source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.,"I mean, any normal man would have just turned up his toes and died. But not our Mick.","Any normal man would've thrown a punch, but not just our Mick.",,,,
Repi hänen kurkkunsa auki ja heitti alas katolta. Mitä sinä tiedät vampyyreista?,"I think a vampire hunted her down, ripped her throat out, and threw her off that roof.",Teared his throat out and threw him off the roof.,,,,
Onnistuin saamaan oven auki ja heitin hänet ulos. Potkaisin hänet pysäkillä ulos.,"Then I managed to open the door and kicked him out the door with my foot, you know, at the next stop.","I managed to get the door open, and I threw him out, and I kicked him out at a stop.",,,,
- Ole huoleti. Se jäi auki heitettyäni sen paskiaisen ulos.,It happened after throwing that bastard out.,"Don't worry, I left it open after I threw that son of a bitch out.",,,,
Koska saatan pian heittää lusikan nurkkaan...,"Seeing as I may be rapping on the door momentarily,",Since I may soon be throwing a spoon in the corner...,,,,
"Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan.",You should have included me in this huge decision you made about how our father's gonna leave this Earth.,You should have brought me into this big decision of yours about the way our father throws a spoon in the corner.,,,,
- Heittää lusikka nurkkaan.,- Bit the dust.,- Toss a spoon in the corner.,,,,
Nuori mies heittää tikkaa baarissa jumalan selän takana.,"- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.",A young man throws darts at a bar behind God's back.,,,,
Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.,"Either throw away everything you've worked for, including your family, or take back control of your life.",Either you throw your job and your family in the pit or you take control of your life again.,,,,
Haluatko heittää Kankkulan kaivoon ne rahat?,You want to see that money go out the front door?,You want to throw that money in Kankkula's well?,,,,
- Että heität tulevaisuutesi kankkulan kaivoon.,I'm afraid you're gonna throw away your whole future.,That you're throwing your future into the well of a hangover.,,,,
"Hän soitti suurlähetystöön, joka heitti pallon meille.","She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us.",He called the embassy that threw the ball at us.,,,,
Herrasmies varmaankin heittäisi pyyhkeen kehään tässä vaiheessa.,- I suppose a gentleman might throw in the towel At this point.,A gentleman would probably throw a towel in the ring at this point.,,,,
"sinä-sinä tartut hetkeen, heität kotrollin hukkaan tässä vaiheessa elämääsi!","You-You seized the moment, claiming control of this part of your life!","you-you're gonna take the moment, you're gonna throw the cotrolla away at this point in your life!",,,,
Vaihe yksi on kuin heittäisi siiman veteen.,Stage One is like throwing a fishing line out,Step one is like throwing a line in the water.,,,,
- Hevosemme karkasivat.,Our horses ran away.,- Our horses ran away.,,,,
- Hevoset karkaavat.,Your pajama thing is a little bit open.,- Horses run away.,,,,
Hevosesi karkaavat.,Oops.,Your horses are running away.,,,,
"Onneissaan Ykän lähdöstä, Beatrice hymyilee kuin hangon keksi.","Thrilled that George was leaving, Beatrice beamed like a Cheshire cat,","Lucky for George to leave, Beatrice smiles like a hangon's cookie.",,,,
Hän hyppii seinille.,She's bouncing off of the walls. Please. - Dawn.,He's jumping on the walls.,,,,
"Jos Gaby saa selville, hän hyppii seinille.","You know, if Gaby finds out, she's gonna hit the ceiling.","If Gaby finds out, he'll jump on the walls.",,,,
Haluatko saada hänet hyppimään seinille?,What do you say? Should we drive him crazy?,You want to get him to jump on the walls?,,,,
"Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.",As people with no ID no money no memories do.,"As a human being without an I.D., no money, no memories.",,,,
Partiz katosi ihmisten ilmoilta.,"So, Ronnie Partiz now goes deep underground.",Partiz disappeared from the public.,,,,
Huhun mukaan olet käynyt enemmän ihmisten ilmoilla.,"So, rumor has it, you're getting out more often.",Rumor has it you've been out more.,,,,
Siitä lähtien hän itsepintaisesti ja tehokkaasti - alkoi sepittää teoriaa normaalista kuolemasta.,"Leaving from there, insistent and superficially, it defended the theory of death for natural causes.","From then on, he persistently and effectively began to elaborate on the theory of normal death.",,,,
Tämä herra tahtoo itsepintaisesti puhua rouvan kanssa.,"This gentleman is most insistent upon speaking to her ladyship, sir.",This gentleman insists on speaking with the lady.,,,,
Bougainvilleläiset tapaavat löytää ulos- pääsyn hämmästyttävän itsepintaisesti,Finding a way out is something the Bougainvillians tend to do with startling regularity.,The Bougainvilles tend to find their way out with amazing persistence.,,,,
Jo alkoi lyyti kirjoittaa. Terve!,And they say I'm a rare species!,"Oh, my God, I'm so sorry, I'm so sorry.",,,,
- Jo alkaa lyyti kirjoittamaan.,"- Well, that's more like it.",- I'm starting to write.,,,,
Jo alkoi lyyti kirjoittaa.,"Well, now you're singing a tune that we may dance to.","Oh, my God, I'm so sorry.",,,,
Sayid oli jumalan selän takana.,Sayid was in the middle of nowhere.,Sayid was behind God's back.,,,,
Me olemme jossakin helvetin methlabrassa jumalan selän takana.,We are stuck in a shed in the middle of lorteland.,We're in some fucking meth lab behind God's back.,,,,
"Sinun pitäisi olla sairaalassa, ei täällä jumalan selän takana.","You're sick, Dad. You should be in a hospital not stuck out here in the middle of nowhere.","You're supposed to be in the hospital, not here, behind God's back.",,,,
"En halua juosten kustua anteeksipyyntöäsi, vaan lupauksen.",I don't want your half-assed apology. I want a promise from you.,I don't want to run and piss off your apology. I want to make a promise.,,,,
He juoksivat pää kolmantena jalkana.,They preferred to run.,They ran with their heads on the third foot.,,,,
Sitten juoksette pää kolmantena jalkana luoksemme.,Then you flock to us. Huh?,Then you run with your head on the third foot to us.,,,,
Meidän molempien ei ole järkeä jäätyä kuoliaaksi.,There's no reason for both of us to freeze to death in here.,It doesn't make sense for both of us to freeze to death.,,,,
Onko mitään järkeä jäädä tänne?,"-Is There anyone out to stay here, do you?",Is there any point in staying here?,,,,
Ei ole mitään järkeä jäädä tänne.,You've no need to stay here.,There's no point in staying here.,,,,
Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle.,It was your class that got Kristen off the cannabis and onto the right track.,"Thanks to you, Kristen left the drugs and went back to the straight path.",,,,
Useampikin vartija on eksynyt kaidalta polulta.,Um... I show more than a few prison guards that have strayed from the path of righteousness.,More than one guard has strayed from a narrow path.,,,,
"Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille.","That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account.","That we have deviated from the narrow path that the Creator set, and now he puts us on account.",,,,
"Jos selviän, minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know.","If I make it, I got a bone to pick with you.",,,,
- Sinullakin oli kana kynittävänä.,And then there's your beef with her on top of that.,"You had a bone to pick, too.",,,,
Meillä on kana kynittävänä.,I've got a score to settle with you.,We've got a bone to pick.,,,,
250 dollaria meni kankkulan kaivoon.,$250 and we didn't learn a goddamn thing. $250?,$250 went to the well of the hangover.,,,,
"Johtuu kai siitä, että rahat meni kankkulan kaivoon.","I guess it's having just thrown $200,000 into the toilet.",I think it's because the money went to the well of the hangover.,,,,
Siis miljoonien dollarien edestä tavaraa kankkulan kaivoon.,"Now, we're talking about millions of dollars of merchandise down the drain.","I mean, millions of dollars worth of stuff in the canopy well.",,,,
"Aina keskellä ei-mitään, salassa.","Always in the middle of nowhere, hiding?","Always in the middle of nowhere, in secret.",,,,
Aika keskellä ei-mitään malariaklinikaksi.,"It's kind of in the middle of nowhere, isn't it, for a malaria clinic?",Time in the middle of nowhere for a malaria clinic.,,,,
Jos pitää kuolla ennenaikaisesti keskellä ei-mitään teen sen mieluummin sinun kuin muiden kanssa.,"If I have to fall to an untimely death in the middle of nowhere, I'd rather do it with you than anyone else.","If you have to die prematurely in the middle of nowhere, I'd rather do it with you than anyone else.",,,,
"Minä olen aina ajatellut, että tuon kiven alla - on uinunut kultaa aikojen alusta asti.","I always thought that if I could split that rock there and get to the gravel underneath, there's gold been waiting there forever.",I've always thought that under that rock... there's been gold dormant since the beginning of time.,,,,
"Ihan sama minne, kunhan liput ovat kiven alla.",Anything hard to get. I don't give a fuck what. Neither will they.,"I don't care where, as long as the tickets are under the rock.",,,,
Olen joka kiven alla.,I'm under every stone that somebody turns over.,I'm under every rock.,,,,
"Sanoit, että siinä on koira haudattuna.","You said it should come without strings. Well, here it is.",You said there was a dog buried in it.,,,,
"Luulenpa, että sinulla on koira haudattuna.","McBeal, we need to talk to you. We think you have a donkey on your back.",I think you have a dog buried.,,,,
"Arvasin, että tähän on koira haudattuna.",I knew there was something else in there.,I knew this was where the dog was buried.,,,,
"Jos käsi murtuu, tai jalka, kalsium korjaa luut ennalleen.","You break a hand, you break a leg after a while, calcium joins it back together.","If you break your arm or your leg, calcium will fix your bones back to normal.",,,,
"Korjaa luusi käytävästä, George.","Get out of the god damn hallway, George.","George, fix your bones in the hallway.",,,,
Korjatkaa luunne!,Get going!,Fix your bones!,,,,
Ensinnäkin ne ovat hassunhauska korvike omille huulille.,"One, a humorous substitute for your own lips.","First of all, they're a funny, funny substitute for their own lips.",,,,
- Oliko hänellä hauskat korvikset?,- She wore amusing earrings?,- Did he have fun earrings?,,,,
"Maalaistalossa, ihan korvessa.",Ta-da! I'm in a farmhouse that's miles from anywhere.,"In a farmhouse, in the middle of nowhere.",,,,
Siniset korviksenikin ovat hukassa. -Ne ovat minun.,"Oh, and I'm also missing those little blue earrings.","My blue earrings are missing, too.",,,,
He olivat kuin kaksi marjaa.,"I figured hey, birds of a feather.",They were like two berries.,,,,
Vanhempi veljeni sekä suojattini ovat kuin kaksi marjaa.,My older brother and my ward getting along like two peas in a pod.,My older brother and my protégé are like two berries.,,,,
Emme olleet kuin kaksi marjaa.,Not that Conor and I were peas in a pod.,We were nothing but two berries.,,,,
"Kuten Gloria Steinem sanoi - ""Nainen ilman miestä on kuin kala ilman polkupyörää.""","Like Gloria Steinem said, ""A woman without a man is like a fish without a bicycle.""","Like Gloria Steinem said, ""A woman without a man is like a fish without a bicycle.""",,,,
Kuin seipään niellyt.,"No, not a stuffed fish. A boiled owl.",Like you swallowed a stake.,,,,
"Ed, olet kuin seipään niellyt.",Ed... You're like a stick in the mud over here.,"Ed, you're like you swallowed a stake.",,,,
"Olen kuin täi tervassa, riskien ympäröimä.",I'm a fly in the ointment.,"I'm like a lice in tar, surrounded by risks.",,,,
- Hän on kiinni kuin täi tervassa. Axelrod joutuu vankilaan.,This is Axelrod in jail.,"He's stuck like a lice in tar, and Axelrod's going to jail.",,,,
Puolimatkassa Newmar oli jäänyt kuin täi tervaan.,It was now a race for pride.,"Half way back, Newmar was stuck like a lice in the tar.",,,,
- Sinä olet kuin viilipytty!,You look about as stirred up as a cesspool.,- You're cool!,,,,
Hän on kuin viilipytty.,He always kept his head.,He's like a cool guy.,,,,
Ja minä pidin pääni kylmänä. Olin kuin viilipytty.,- I had a chill in my back.,And I kept my head cold.,,,,
Hän häärii täällä kukkona tunkiolla.,He rules the roost around here.,He's here as a rooster in a dumpster.,,,,
Darby halusi olla kukkona tunkiolla.,"Darby, he wanted to be the ruler of the world, you know?",Darby wanted to be a rooster in the dumpster.,,,,
- Kukkona tunkiolla?,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.",- A rooster in a dumpster?,,,,
Kylmä kuin ryssän helvetissä.,Colder than a witch's titty out there.,Cold as a Russian in hell.,,,,
On kylmä kuin ryssän helvetissä.,Can't tell you. I'm as cold as a witch's tit.,It's cold as a Russian in hell.,,,,
"Puolustan abortteja, mutta käännän kelkan hetkessä, jos voitamme sillä.",But I would go pro-life in a fetal fucking heartbeat if it meant winning. You're suggesting that you would like me to be a hypocrite like Maddox?,"I'll defend abortions, but I'll flip the sled in no time if we win with it.",,,,
Hän on kääntänyt kelkkansa.,I think she flipped.,He's turned his sled.,,,,
"Joo, ennen kuin hän käänsi kelkkansa.","Yeah, I knew him once, before he turned his back.","Yeah, before he turned his sled.",,,,
Hittolainen. - Nyt se lähtee lapasesta.,Now it's starting to just spin out of control.,Damn it.,,,,
Taisin juoda liikaa ja asiat lähtivät lapasesta - ja tein jotain tyhmää.,"Look, I guess I had too much to drink and things got out of control and I did something really bad.",I think I've had too much to drink and things got out of hand and I did something stupid.,,,,
Mutta veli Marinus - on lähtenyt lapasesta.,But Brother Marinus... has gone out of control.,But Brother Marinus... has left the fold.,,,,
Meidän pitää muutenkin lähtee vetään.,"Yeah, we gotta bounce anyway.",We've got to get out of here anyway.,,,,
Lähde vetämään täältä.,Get out of here.,Get out of here.,,,,
Lähde vetämään.,Fucking retard.,Get out of here.,,,,
"Syyttömiä tuomitaan joskus, vaikka he maksavat itsensä kipeäksi.","There are some people that, no matter how much money they threw at the case, were convicted and shouldn't have been.","The innocent are sometimes convicted, even though they pay themselves to be sick.",,,,
Maksoimme itsemme kipeiksi siitä.,- Paid through the nose for it.,We paid ourselves to be sick about it.,,,,
"Jos lapsi sattuu sairastumaan, maksat itsesi kipeäksi lääkkeistä.","Yeah, well, Fiona already said if I have the baby, she's throwing me out, so I don't even care if we lose the house.","If a child falls ill, you will pay for medicines.",,,,
"Kun tulit Los Angelesiin, sinulla ei ollut muuta, kuin matti kukkarossa.","You show up to L.A., you got nothin' but your ding-dong in your hands.","When you came to L.A., all you had was a match in the purse.",,,,
Omalla kohdallani matti kukkarossa on pieni este.,"Speaking for myself, bone-crushing poverty is something of a stumbling block.","For me, there's a small obstacle to the mat in the purse.",,,,
"On matti kukkarossa, pöljä!","We are broke, you dumbass!","It's a mat in a purse, you idiot!",,,,
Kuin menneen talven lumet.,As in... burnt bread.,Like the snow of the past winter.,,,,
- Vai menneen talven lumia?,Water under the bridge?,- Or the snow of the past winter?,,,,
"Buck on menneen talven lumia, kaikki muut tietävät sen.",- Okay. It is over for Buck and everyone knows it but him.,Buck is the snow of the past winter. Everyone else knows that.,,,,
- Ensimmäinen päiväni meni pipariksi.,"First day on the job, I lead us straight into an ambush.",- My first day was a cookie.,,,,
Koko homma meni pipariksi! Juokse!,"The whole thing's gone in the crapper, kid!",It's all gone!,,,,
"Hyvä on, menen piparittomana.","All right, I'll go cookie-less.","All right, I'll go on a cookie-free basis.",,,,
Se meni putkeen.,- That's right. All the way.,It's all right. It's all right. It's all right.,,,,
"No, jos tämä kaikki menee putkeen niin haluan tehdä sen oikein.","Well, if this all connects, I want to do it right.","Well, if all this goes right, I want to do it right.",,,,
"Jokin ilmiselvästi meni putkeen, koska tienasitte miljoonan.",Obviously it was something because you made a million bucks in two months.,Something obviously went down because you made a million dollars.,,,,
Tämä menee yli hilseen.,Has he really nothing else to do round here?,It's going over my head.,,,,
Tämä meni yli hilseen.,This is just way over my head.,It's gone over my head.,,,,
- Tekoäly menee yli hilseen.,All this A.I. stuff is way out of my league.,- Artificial intelligence's going over the top.,,,,
Shane jäi kuin nalli kalliolle! Britit voittivat kirkkaasti!,"After our first-innings victory, Jeremy decided that for the second challenge, we should re-run a race we'd first tried against the Germans.","Shane got stuck on a rock, and the British beat him brightly!",,,,
Et voi jättää toista kuin nallia kalliolle.,But you cannot just leave someone alone like that!,You can't leave someone else on the cliff.,,,,
"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.","In this case, my client paid for the wedding and was hung out to dry.","My client paid for the wedding, and he was left like a ball on a cliff.",,,,
Miten nenänvalkaisu sujuu?,How's the drying out going?,How's your nose whitening going?,,,,
"Miten sujuu? -Mikä? No liikunta, tupakkalakko, nenänvalkaisu...","You know: exercise, no smoking, no drinking...",What's going on?,,,,
Taisi nousta väärällä jalalla tänään.,Talk about getting off on the wrong foot.,I think he got off on the wrong foot today.,,,,
- Nousitko väärällä jalalla?,"- You got up the wrong side, huh?",- Did you get off on the wrong foot?,,,,
Nousitko väärällä jalalla sängystä?,Did someone wake up on the wrong side of the bed?,Did you get off the wrong foot?,,,,
- Hän oikaisi koipensa.,Gave him a break.,- He cut his leg.,,,,
Taisimme joutua ojasta allikkoon.,Looks like the fat's not out of the fire yet.,Looks like we're all out of a ditch.,,,,
Ryhmän päämajassa asiat menevät ojasta allikkoon.,"Back at base, things are going from bad to worse.","At group headquarters, things go from ditch to ditch.",,,,
Jouduimmekohan ojasta allikkoon?,"Out of the frying pan; hopefully, not into the fire.",Do you think we got caught in a ditch?,,,,
Jonkun on pakko leikata vanhat oksat pois.,- Someone's got to do it. Someone's got to cut away the old wood.,Somebody's got to cut off the old branches.,,,,
Nousen kohta ylös ja järjestän sellaisen kohtauksen että oksat pois.,"Paul, I'm gonna get up and make the biggest scene you can imagine.",I'm about to get up and set up a scene where the branches are gone.,,,,
Oletko nähnyt Janen vihaisena? Siinä ovat oksat poissa.,Have you ever seen Jane in full flight?,Have you seen Jane angry?,,,,
"Hän on hukassa, herra. Pakkomielteinen.","She's undone, sir.","He's lost, sir.",,,,
"llman venepyssyä, olemme hukassa.","Without the punt gun, I feel we're lost.","Without a boat gun, we're lost.",,,,
"Jos olet hukassa tässä talossa, mene pelloille.",If you're lost in this house go back to the land!,"If you're lost in this house, go to the fields.",,,,
Kun kerran käännät kelkkasi olet hukassa.,"Once you tergiversate, you're lost.","Well, since you're flipping your sled, you're lost.",,,,
Makaatte alastomana keskellä kampusta - kuollut lammas päänne päällä.,"Ma'am, you are lying naked in the middle of campus with a dead sheep on your head.",You're lying naked in the middle of campus with a dead sheep on your head.,,,,
- Se oli lammas. Millainen hummeri on?,Just plating up the pork and lamb now.,What's a lobster like?,,,,
"Nämä ei ole lampaita, vaan tuoreita poneja.",These ain't sheep. These is fresh nags.,These aren't sheep. These are fresh ponies.,,,,
"Rikoit Talon sääntöjä, kun löit vetoa pelistä, - jossa sinulla on oma lehmä ojassa.",You broke with House rules when you bet on a game that you hold a personal stake in.,You broke house rules when you bet on a game where you have your own cow in a ditch.,,,,
"Alalla on oma lehmänsä ojassa niiden kanssa, - jotta eläimet nähdään yhä, - söpöinä nallukoina, jotka ovat täysin turvallisia.",The industry has a vested interest in spinning these so that the animals continue to appear like cuddly teddy bears that are completely safe.,"The industry has its own cow in the ditch with them, so the animals are still seen as cute bears that are perfectly safe.",,,,
- Minulla on tässä oma lehmä ojassa.,It's mostly selfish on my part.,I've got my own cow in this ditch.,,,,
"Kerron sinulle opetuksen, jonka opin kantapään kautta.",Let me give you a lesson that I had to learn the hard way.,I'll tell you a lesson I learned the hard way.,,,,
Joskus heidän on opittava kantapään kautta.,"Sometimes, they have to learn the hard way. If Hazel rejects your advice, let her.",Sometimes they have to learn the hard way.,,,,
Minun täytyi oppia kantapään kautta. Minä opin.,"If I did it, I was gonna do it and I was gonna learn the lesson the hard way, which I did, repeatedly.",I had to learn the hard way.,,,,
"Minä otan tilaisuudesta vaarin, vaikka lapsia ei kiinnostaisikaan.","Well, I'm gonna take advantage of this opportunity even if you children aren't interested.","I'll take the opportunity, even if the kids don't care.",,,,
On otettava tilaisuudesta vaarin.,"And when you have an opportunity, you take it.",We have to take this opportunity.,,,,
"Mukava nähdä, että otat tilaisuudesta vaarin.",Glad to seeyou're taking advantage of the opportunities offered.,It's good to see you're taking the chance.,,,,
Yli 800 ihmistä joutui viime vuonna vampyyrien uhriksi Louisianassa. Viranomaiset eivät pane tikkua ristiin.,"You know, last year there were over 800 reported vampire-related attacks in Louisiana alone, and the law won't do nothing about it.","Over 800 people were killed by vampires in Louisiana last year, and the authorities don't cross the stick.",,,,
Aiotko sietää ryöstöt ja tapot panematta tikkua ristiin?,Are you ready to put up with looting and killing without lifting a finger?,You're gonna put up with the robberies and the killings without crossing the stick?,,,,
Eihän se että minä annan tarkoita että mies panisi tikun ristiin takiani.,Just because I'm giving doesn't mean I can expect a man to lift a finger for me.,It's not that I let him cross the stick because of me.,,,,
Pata kattilaa soimaa.,Yeah? Look who's talking.,It's a pot calling the kettle.,,,,
-Pata kattilaa soimaa.,It takes one to know one.,- The pot's ringing the kettle.,,,,
- Pata kattilaa soimaa.,- Look who's talking.,- The pot's ringing the kettle.,,,,
Minulla on peukalo keskellä kämmentä.,I'm all thumbs today.,I have a thumb in the middle of my hand.,,,,
Hänellä on peukalo keskellä kämmentä.,He seems to be all thumbs.,He's got a thumb in the middle of his hand.,,,,
Ja Thomasilla kun on peukalo keskellä kämmentä.,Thomas will be very busy. He's all fingers and thumbs.,And Thomas with his thumb in the middle of his hand.,,,,
En minä olekaan pieniin päin.,I'm not in the family way after all.,I'm not small.,,,,
"Onnittelu, olet toden totta pieniin päin.","Congratulations. Your test confirms you, in fact, have a baby on the way. How about that?","Congratulations, you really are small.",,,,
"Betsillä ja minulla on vaikea päästä pieniin päin, jos tajuatte.","You know, um, well, Betts and I are, uh... We're having a hell of a time getting in a family way, if you catch my drift.","Bets and I are having a hard time getting to the small ones, if you know what I mean.",,,,
Jalkani ovat turvonneet seisoskelusta pihkan edessä.,My feet are swollen from standing in front of the Amber all day.,My feet are swollen from standing in front of the resin.,,,,
Ja hän taitaa olla pihkassa sinuun.,"Plus, I think she's got a little thing for you.",And I think he's got a thing for you.,,,,
Koska olit pihkassa minuun.,'Cause you were into me.,Because you liked me.,,,,
Äitisi antoi meille patoja ja pannuja vaikka meillä on jo niitä pilvin pimein.,"Your mom said we can't leave without pots and pans. I told her I had some, and then she handed me pots and pans.","Your mother gave us pots and pans, even though we already have them in the dark.",,,,
Jalkaväkeä oli pilvin pimein.,Arty and infantry just kept on coming.,The infantry was the darkest of the clouds.,,,,
"- Niitä on pilvin pimein. Mersu, Mersu, Mersu, Mersu...","We stopped to let the twin turbo V8 cool, but then... it decided to die.","They're in the dark of the clouds, a Mercedes, a Mercedes, a Mercedes, a Mercedes...",,,,
