sent,reference,translation
"On muita aivojen osia , jotka erityisesti osallistuvat rakennusten ja maisemien tunnistamiseen ja hallusinointiin .",There are other parts of the brain which are specifically involved with the recognition and hallucination of buildings and landscapes .,There are other parts of the brain that are particularly involved in identifying buildings and landscapes and hallucinating.
Ainoastaan korkeammilla tasoilla muut aistit tulevat mukaan luoden yhteyksiä muistiin ja tunteisiin .,It &apos;s only at higher levels that the other senses join in and there are connections with memory and emotion .,"Only on higher levels do the other senses enter, creating connections to memory and emotion."
"Keskustelu meni yleensä jotenkin näin : &quot; &quot; Kuule Aimee , sinä olet todella kaunis .","And the conversation would go something like this , &quot; &quot; You know Aimee , you &apos;re very attractive .",The conversation usually goes something like this:
"Ja tyttö , joka on tuntenut minut vuosikausia normaalipituudessani 173 cm —",And a girl was there who has known me for years at my normal 5 &apos; 8 &quot; &quot; .,"And the girl who's known me for years at my normal height, 5'9"","
"Itse asiassa on havaittu , että aivojen eri näköalueet aktivoituvat hallusinaatioita koettaessa .","And in fact , to find that different parts of the visual brain are activated as they are hallucinating .","As a matter of fact, it's been discovered that the different visual areas of the brain are activated by hallucinations at the time of experimentation."
"Vuoden 1970 paikkeilla havaittiin , etteivät ainoastaan tietyt aivojen osat , vaan myös tietyt solut .","Around 1970 , it was found that there were not only parts of the brain , but particular cells .","Around 1970, it was discovered that not only certain parts of the brain, but certain cells."
"Koska et saa ketään olemaan samaa mieltä kanssasi , jos he eivät ensin kuuntele sinua .",Because you can &apos;t get anyone to agree with you if they don &apos;t even listen to you first .,Because you can't get anyone to agree with you if they don't listen to you first.
"Jos esimerkiksi liitämme vuoren ja tulen yhteen , saadaan tuli vuori . Siis tulivuori .","For example , the mountain and the fire together , we have fire mountain . It &apos;s a volcano .","For example, if we join a mountain and I come together, we get a volcano, a volcano."
"Hän oli toimittaja lehdessä nimeltä ID , ja teki minusta lehteen kansijutun .","She was the editor then of a magazine called ID , and she gave me a cover story .","He was a reporter in a magazine called ID, and he did a cover story on me."
"Ihmiset tulivat luokseni konferenssin jälkeen , puheeni jälkeen , miehiä ja naisia .","And people would come up to me after the conference , after my talk , men and women .","People came to me after the conference, after my speech, men and women."
"Toinen hahmo oli puoliksi nainen , puoliksi gepardi — pieni kunnianosoitus elämälleni urheilijana .","Then another character was a half-woman , half-cheetah — a little homage to my life as an athlete .","The other character was half woman, half cheetah - a small tribute to my life as an athlete."
Mutta hän oli peloissaan . Hän oli elänyt 95 vuotta eikä ollut koskaan ennen hallusinoinut .,But she was frightened . She &apos;d lived 95 years and she &apos;d never had a hallucination before .,"But he was scared, and he had been alive for 95 years, and he'd never hallucinated before."
Varsin usein nämä hallusinaatiot putkahtavat esiin ja häipyvät yhdessä hujauksessa .,It &apos;s typical of these hallucinations that they may come in a flash and disappear in a flash .,Very often these hallucinations pop up and go away in a heartbeat.
Kermit-sammakko ei merkitse minulle mitään . &quot; &quot; Sarjakuvat eivät häirinneet häntä suuremmin .,Kermit the Frog means nothing to me . &quot; &quot; She didn &apos;t mind the cartoons too much .,Kermit the Frog means nothing to me.
Kuvia muodostettaessa ylempi osa ohimolohkon näköaivokuorta tulee mukaan toimintaan .,"When images are formed , a higher part of the visual cortex is involved in the temporal lobe .","When pictures are formed, the upper part of the visual cortex of the temporal lobe will be involved."
"Se aktivoituu , kun ihminen tunnistaa , piirtää tai hallusinoi sarjakuvia .","It &apos;s activated when one recognizes cartoons , when one draws cartoons , and when one hallucinates them .","It's activated when a person recognizes, draws or hallucinates comics."
"Jotta voimme lopettaa lokeroimasta muotoa , toimintaa ja estetiikkaa , ja niiden arvottamisen eri tavoin .","So that we can stop compartmentalizing form , function and aesthetic , and assigning them different values .","So we can stop compartmentalizing form, action and aesthetics, and appreciating them in different ways."
"Jokunen kuukausi sitten minulle soitettiin hoitokodista , missä työskentelen .","A few months ago , I got a phone call from a nursing home where I work .","A few months ago, I got a call from the nursing home where I work."
Ei ihmistä eikä eläintä . Ne kaikki tuntuivat hänestä merkityksettömiltä .,"And none of the people or the animals , well , they all seemed oblivious of her .","No man, no beast, none of which seemed meaningless to him."
"Sitten sanoin hänelle : &quot; &quot; Luulen tietäväni , mikä teitä vaivaa .","And I then said to her , &quot; I think I know what you have . &quot;","And then I said to him, ""Will you risk it?"" ""I think I know what's wrong with you."""
Isoisä Charles Lullin näki satamäärin eri hahmoja ja kaikenlaisia maisemia .,"Charles Lullin , the grandfather , saw hundreds of different figures , different landscapes of all sorts .","Grandfather Charles Lullin saw hundreds of different characters, all kinds of scenery."
Kerran hän sanoi nähneensä ravintolassa raitapaitaisen miehen .,"On one occasion , she said she saw a man in a striped shirt in a restaurant .",One time he said he saw a man in a striped shirt in a restaurant.
Näköön tai kuuloon littyvät psykoottiset hallusinaatiot puhuttelevat ihmistä . Ne syyttävät .,"Psychotic hallucinations , whether they are visual or vocal , they address you . They accuse you .",The psychotic hallucinations that you're seeing or hearing speak to you.
Nyt 250 vuotta myöhemmin alamme saada pientä valaistusta tapahtumaan .,"Now , 250 years later , I think we &apos;re beginning to glimpse how this is done .","Now 250 years later, we're starting to get a little enlightenment going."
O.S. : &quot; &quot; Ne eivät häiritse minua sen enempää kuin tinnituksenikaan . Jonka jätän huomiotta .,"OS : Well they don &apos;t disturb me any more than my tinnitus , which I ignore .","They don't bother me any more than my tinnitus, which I ignore."
( Naurua ) Mitä olen oppinut ollessani vastaanottavana osapuolena kaikessa tässä rumuudessa ?,"( Laughter ) So what have I realized , being on the receiving end of all this ugliness ?",What have I learned from being on the receiving end of all this ugliness?
"Tuo ei muuten , jos kiinnititte huomiota , ollut emotionaalisesti korrektia .","That , by the way , in case you &apos;re paying attention , is not emotionally correct .","That, by the way, if you were paying attention, wasn't emotionally correct."
"Siksi olin siellä , halusin kutsua heidät katsomaan ja tutustumaan .","That &apos;s why I was there , I wanted to invite them to look and explore .","That's why I was there, to invite them over to see and get to know each other."
"Ja mielenkiintoista , identiteetin kannalta , mitä tarkoittaa olla vammainen ?","And interestingly , from an identity standpoint , what does it mean to have a disability ?","And interestingly enough, an identity-wise, what does it mean to be handicapped?"
Siis tarkoitan — Pamela Andersonilla on enemmän proteesia kehossaan kuin minulla .,"I mean , people — Pamela Anderson has more prosthetic in her body than I do .","I mean, Pamela Anderson has more prosthetic in her body than I do."
"Minulla on ne täällä lavalla mukanani : Viiniköynnöksiä , magnolioita , tyrmäävät .","Actually , I have them on stage with me : grapevines , magnolias — truly stunning .","I have them with me on stage, vines, magnolias, knockouts."
"Minulta kysyttiin , voisinko tulla tapaamaan vanhaa Rosalie-rouvaa .","And so they asked me if I would come and see Rosalie , the old lady .",I was asked if I could come and see the old lady Rosalie.
"Mitä tulee taudin alkuperäiseen kuvaukseen 1700-luvulla , Charles Bonnet ei itse nähnyt asioita .","Now with the original description in the 18th century , Charles Bonnet did not have them .","As for the original description of the disease in the 18th century, Charles Gerhardt didn't see things himself."
Kuvat olivat läpikuultavia ja peittivät näytön tavoin puolet näkökentästä .,"These cartoons would be transparent and would cover half the visual field , like a screen .","The images were transparent, like a screen, covering half the field of vision."
"Ensimmäisissä kuvailuissa ajateltiin , että niitä voitaisiin tulkita unien tapaan .","When these were first described , it was thought that they could be interpreted like dreams .",The first descriptions thought that they could be interpreted like dreams.
En ole lappuliisa enkä hautausurakoitsija .,"And no , I &apos;m not a meter maid , and I &apos;m not an undertaker .","I'm not a insurance company, and I'm not an undertaker."
"Aloin pohtia , kuinka uusi , nopea tapa oppia kiinaa voisi olla hyödyllinen .","I started thinking about how a new , fast method of learning Chinese might be useful .","I began to wonder how a new, fast way to learn Chinese could be useful."
Oven symboli näyttää kuin saluunan ovilta villissä lännessä .,The symbol of the door looks like a pair of saloon doors in the wild west .,The symbol of the door looks like the doors of the saloon in the Wild West.
Nyt hän nostaa kynän peukalolla ja etusormella .,Now he &apos;s going to pick up a pen with his opposed thumb and index finger .,Now he picks up the pen with his thumb and forefinger.
"Ja toiseksi : onko mahdollista , tai edes mielekästä hidastaa ?","And the second is , is it possible , or even desirable , to slow down ?","And secondly, is it possible or even meaningful to slow down?"
TED oli kirjaimellisesti laukaisualusta elämäni matkan seuraavalle vuosikymmenelle .,TED literally was the launch pad to the next decade of my life &apos;s exploration .,TED was literally the launch pad for my life's journey to the next decade.
"Ei ole reilua , että voi muuttaa pituuttaan , miten haluaa .","It &apos;s not fair that you can change your height , as you want it .",It's not fair that you can change your height any way you want.
"Hän sanoi , ettei tunnistanut ainuttakaan ihmistä tai paikkaa harha-aistimuksissaan .",She said she didn &apos;t recognize any of the people or places in the hallucinations .,He said he didn't recognize a single person or place in his delusions.
Hän oli fiksu vanha nainen . Mieleltään täysin terve . Ei mitään lääketieteellisiä ongelmia .,"She was a bright old lady , perfectly sane . She had no medical problems .","She was a smart old woman, perfectly healthy in her mind, no medical problems."
Aivonne ovat täysin kunnossa . Olette mieleltänne täysin terve .,There is nothing wrong with your brain . There is nothing wrong with your mind .,Your brain is perfectly fine.
Noin 10 prosentilla näkövammaisista on harhoja .,"Something like 10 percent , as I said , of visually impaired people get these .",About ten percent of visually impaired people have hallucinations.
"Kasvot , toisinaan rujot kasvot , ovat yleisin yksittäinen näky näissä harhoissa .","Faces , and sometimes deformed faces , are the single commonest thing in these hallucinations .","The face, sometimes crude, is the most common single sight in these delusions."
Erityisesti ohimolohkon yksi alue nimeltään gyrus fusiformis .,"And in particular , one area of the temporal lobe is called the fusiform gyrus .","Specifically, one area of the temporal lobe called the gyrus faciformis."
"Eräs toinen aivojen osa aktivoituu erityisesti , kun näkee sarjakuvia .",There is another part of the brain which is especially activated when one sees cartoons .,"There's one other part of the brain that's activated, especially when you see comic books."
Charles Bonnet ́ n syndroomassa ei päästä noille korkeammille tasoille .,"And in the Charles Bonnet syndrome , you don &apos;t go to those higher levels .",You can't get to those higher levels in Charles Wiltt's Syndrome.
"Vain silloin , kun on näkövammainen tai sokea , ketju katkeaa .",It is only if one is visually impaired or blind that the process is interrupted .,"Only when you're visually impaired or blind, the chain breaks."
Toisinaan ne kiinnostavat minua . Minulla on paljon kuvia niistä muistikirjoissani .,"They occasionally interest me , and I have many pictures of them in my notebooks .","Sometimes I find them interesting, and I have a lot of pictures of them in my notebooks."
"Itse asiassa , mitä paremmin työni teen , sitä enemmän minua vihataan .","In fact , the better I do my job , the more people hate me .","In fact, the better I do my job, the more people hate me."
"En välitä , jos kutsutte minua lepakoksi &#91; dyke &#93; . Ihan oikeasti .",I don &apos;t care if you call me a dyke . I really don &apos;t .,I don't care if you call me a bat.
"Tänään aloitan kahdeksalla näyttääkseni , miten tapa toimii .",Today I &apos;m going to start with eight to show you how the method works .,"Today, I'll start with eight to show you how it works."
"Ovi . Laitetaan lankku oven sisälle , oven salpa .","A door . Put a plank inside the door , it &apos;s a door bolt .","We put a plank inside the door, latch the door."
Tätä tapaa käyttämällä kahdeksan ensimmäistä radikaalia sallivat luoda 32 merkkiä .,"By using this method , the first eight radicals will allow you to build 32 .","Using this way, the first eight radicals allow all 32 signs to be created."
Hän sanoo minulle : &quot; &quot; Olemme tehneet työtä ympäri maata .,"He says to me , &quot; &quot; We &apos;ve done some work around the country .","He says to me, ""10,000, faithful."" ""We've been working all over the country."""
"Sanoimme rakentavamme laitteen , joka tekee mitä hän haluaa .","We said , we &apos;re going to build a device that does what he wants .",We said we'd build a device that would do what he wanted.
"Jostakin syystä , siihen ei ole tutkintovaatimusta eikä peruskurssia .","For some reason , there &apos;s no standard syllabus , there &apos;s no basic course .","For some reason, there's no degree requirement, no basics."
Reaktioni oli sanoa : &quot; &quot; Halleluja — mikä loistoidea !,"My first reflex was to say , &quot; &quot; Hallelujah — what a great idea !","I was going to say, IBM, Gomez, Hallelujah, what a great idea!"
"&quot; Ei , ei , ei ! Sen pitäisi olla Ihmeperhe . &quot;","&quot; No , no , no ! It should be the Incredibles . &quot;",It's supposed to be the Incredible Family.
Runous nostaa banaalin ja laiminlyödyn esineen taiteen valtakuntaan .,Poetry is what elevates the banal and neglected object to a realm of art .,And poetry lifts the jackal and neglected object into the realm of art.
Näemme silmillämme . Mutta näemme myös aivoillamme .,"We see with the eyes , but we see with the brain as well .","We see with our eyes, but we see with our brains."
Mutta viime päivinä hän oli nähnyt asioita .,"But now , for the last few days , she &apos;d been seeing things .","But in the last few days, he'd seen things."
Näen paljon lapsia . He kävelevät portaissa ylös alas .,I see a lot of children . They are walking up and down stairs .,I see a lot of kids walking up and down the stairs.
"Tapaan useita vanhoja ihmisiä , joiden kuulo tai näkö on heikentynyt .",I see a lot of elderly people who are hearing impaired or visually impaired .,I meet a lot of old people with impaired hearing or vision.
Vuonna 1759 hän kuvaili lapsenlapselleen erilaisia näkemiään asioita .,"And in 1759 , he described to his grandson various things he was seeing .","In 1766, he described to his grandson the very different things he saw."
Joskus hän saattoi nähdä teini-ikäisen pojan istumassa konepellillä .,Sometimes she would see a teenage boy sitting on the hood of the car .,Sometimes he could see a teenage boy sitting on the hood.
"Jos he myöntävät vaivansa lääkäreilleen , heidät voidaan diagnosoida väärin .",And if they do mention them to their own doctors they may be misdiagnosed .,"If they admit to their doctors, they could be misdiagnosed."
Tällaista puhutelluksi tulemisen luonnetta ei esiinny Charles Bonnet ́ n hallusinaatioissa lainkaan .,There is none of this quality of being addressed with these Charles Bonnet hallucinations .,The nature of being spoken to does not appear in Charles Gerhardt's hallucinations at all.
"Kun ihmisillä on yksinkertaisia geometrisiä hallusinaatioita , primaarinen näköaivokuori aktivoituu .","When people have these simple geometrical hallucinations , the primary visual cortex is activated .","When humans have simple geometric hallucinations, the primary visual cortex is activated."
Puhutte näistä asioista osoittaen suurta ymmärtämystä ja empatiaa potilaitanne kohtaan .,You speak about these things with so much insight and empathy for your patients .,You speak of these things with great understanding and empathy towards your patients.
"Toinen silmäni on sokea , eikä toinenkaan ole ihan terässä .","I &apos;m blind in one eye , and not terribly good in the other .",One eye's blind and the other one's not quite right either.
Koska ymmärrätte niiden syyn . Eivätkö ne huolestuta teitä ? &quot; &quot;,"Because you understand what &apos;s doing it , it doesn &apos;t make you worried ?",Isn't that what concerns you?
Opin uusia merkkejä joka päivä 15 vuoden ajan .,I learned new characters every day during the course of the next 15 years .,I learned new signs every day for 15 years.
Yksi puu on puu . Kaksi puuta muodostavat pikkumetsän .,"One tree is a tree . Two trees together , we have the woods .","One tree is a tree, and two trees form a small forest."
Merkki vasemmalla on kaksi vuorta toistensa päällä .,The character on the left is two mountains stacked on top of each other .,The mark on the left is two mountains on top of each other.
Mielestäni se ei ole silti yllättävää .,"And I think that — that &apos;s not really surprising though , is it ?",But I don't think it's surprising.
Ja mielestäni psykologisella tasolla tällainen luo yhtälön .,And I think what that does to us psychologically is it creates an equation .,"And I think on a psychological level, this creates an equation."
"Ja jos siinä ei ole hävettävää tarpeeksi , sain sakon Italiassa .","And if that &apos;s not shaming enough , I got that ticket in Italy .","And if it's not embarrassing enough, I got a ticket in Italy."
Se antaa adrenaliiniryöpyn . Siitä on vaikea luopua .,It &apos;s all that adrenaline rush . It &apos;s hard to give it up .,"It gives you a rush of adrenaline, and it's hard to let go."
Tai yksinkertaisesti käyttää aikaa hidastamiseen ja elämästä nauttimiseen .,Or even simply just taking the time to slow down and savor your life .,Or simply use the time to slow down and enjoy life.
"( Naurua ) Tällä tarkoitan , etten enää varta vasten ylikuormita itseäni .",( Laughter ) And what that means is that I no longer overload myself gratuitously .,What I'm saying is that I don't particularly overload myself anymore.
( Naurua ) Näemme tällaista sisä- ja ulkopiiri- psykologiaa koko ajan .,"( Laughter ) We see this sort of in-group , out-group psychology all the time .",We see inside and out psychology like this all the time.
Jotkut teistä näkivätkin minut TEDissä 11 vuotta sitten .,"So some of you actually saw me at TED , 11 years ago .",Some of you saw me on the air 11 years ago.
Minun onnekseni monet ihmiset vastasivat kutsuun .,"Well , lucky for me , a lot of people answered that call .","Lucky for me, a lot of people answered the call."
Mutta ihmisillä on toki hallusinaatioitakin . Hallusinaatiot ovat täysin erilaisia .,"But there are also hallucinations as well , and hallucinations are completely different .","People have hallucinations, of course, hallucinations are completely different."
Näen valkean rakennuksen . Sataa pehmeää lunta .,"I see a white building . It &apos;s snowing , a soft snow .","I see a white building, it's snowing softly."
Poika oli hyvin sinnikäs ja liikkui melkoisen sulavasti auton kääntyessä .,He was very tenacious and he moved rather gracefully when the car turned .,The boy was very persistent and moved quite smoothly when the car turned.
Yhtäkkiä näkee kasvot . Yhtäkkiä näkee auton .,"So , suddenly you see a face . Suddenly you see a car .",Suddenly you see a car.
( Suosionosoituksia ) Chris Anderson : &quot; &quot; Suurenmoinen esitys . Kiitoksia oikein paljon .,( Applause ) Chris Anderson : That was superb . Thank you so much .,Thank you very much.
"Ja se tarkoittaa , että ihmiset eivät pidä meistä . Vai mitä ?","And incidentally , that means that people don &apos;t like us . Right ?","And that means people don't like us, right?"
Hän istui pöydässä seitsemän tai kahdeksan kaverin kanssa .,He sat at a table with seven or eight of these other guys .,He was sitting at a table with seven or eight guys.
"Kun kuorman ottaa pois , siitä tulee taas ohjautuvampi .","They take the load off , and it becomes , again , compliant .","You take the load away, it becomes more manageable."
"Kävimme treffeillä , nyt pikatreffeillä .","And of course , we used to date and now we speed date .","We went on a date, now we're on a speed date."
Eli seksikin kellotetaan nykyään .,"So , you know , even sex is on a stopwatch these days .",So even sex is clockwork these days.
Yksi on että nopeus on hauskaa ja seksikästä .,"One is that speed is fun , you know , speed is sexy .",One is that speed is fun and sexy.
Eniten tätä on tutkittu rotukysymysten yhteydessä .,And the case that &apos;s been most studied is the case of race .,The most-advised research that we've done has been about race.
"Joitakin korteista piteli valkoiset kädet , toisia tummat kädet . Kortit olivat samoja .","Some of them were held by white hands , others by black hands .","Some of the cards had white hands, others had dark hands, the cards were the same."
Ajattelimme luoda jotain täysin uutta liikuntakykyyn vaikuttavaa .,So we thought we would start writing a brand new chapter of mobility .,We're thinking of creating something completely new that affects mobility.
"Mutta ei ole keksitty mitään , mikä saisi minut kävelemään , ennen tätä .","But nothing has been invented that enables me to walk , until now .",But nothing has been invented to make me walk until now.
"Ja muita asioita , joita en tunne .",And other things that I don &apos;t — aren &apos;t familiar with .,And other things I don't know.
Siihen aikaan esittämäni jalat olivat uraauurtavia proteeseja .,"At the time , the legs I presented were groundbreaking in prosthetics .","In those days, the feet I played were groundbreaking prosthetics."
Tekoraaja ei enää kuvaa tarvetta korvata menetys .,A prosthetic limb doesn &apos;t represent the need to replace loss anymore .,The fake chute no longer describes the need to make up for lost time.
Tuntuu kuin ne tulisivat ulkopuolelta ja jäljittelisivät havaintojamme .,"They seem to come from the outside , and to mimic perception .",It's like they're coming from the outside and imitating what we saw.
Näen valjastetun hevosen raahaamassa lunta pois .,"I see this horse with a harness , dragging the snow away .",I see a harnessed horse dragging snow away.
Noin 10 prosentilla näkövammaisista on visuaalisia hallusinaatioita .,And about 10 percent of the visually impaired people get visual hallucinations .,About ten percent of visually impaired people have visual hallucinations.
"Ei ole pakko olla täysin sokea , kyllin heikko näkö riittää .","You don &apos;t have to be completely blind , only sufficiently impaired .",You don't have to be completely blind. Weak enough eyesight is enough.
Ensiksi hän kertoi nähneensä nenäliinan ilmassa .,The first thing he said was he saw a handkerchief in midair .,First he told me he saw a handkerchief in the air.
Sitten nämä kuusi hahmoa yhtyivät taas haitarin tavoin .,"And then the six figures came together again , like a concertina .",And then these six figures rejoined like an accordion.
