,contains_idioms
顔 が 広い,7
口 に 合う,7
片 を 付ける,7
因果 応報,7
人 が 悪い,7
持つ て 生まれる た,7
血 も 涙 も ない,7
気 に 病む,7
多勢 に 無勢,7
耳 に 挟む,7
尻 を 叩く,7
世 も 末,7
愛想 を 尽かす,7
息 を 吹き返す,7
気 が 重い,7
足 を 洗う,7
性 に 合う,7
目 に 映る,7
何 は とも ある,7
思い も 寄る ない,7
高い 買う,7
割 に 合う,7
話 が 分かる,7
蚊帳 の 外,7
首 を 長い する,7
明るみ に 出る,7
後 の 祭り,7
いい 気味,7
雷 が 落ちる,7
顔 に 泥 を 塗る,6
スポット ライト を 浴びる,6
ユートピア,6
身 を 固める,6
取る に 足りる ない,6
胸 を 張る,6
音 を 上げる,6
いい 迷惑 だ,6
気 が 休まる,6
烙印 を 押す れる,6
気 が 気 だ ない,6
首 が 飛ぶ,6
二 つ に 一 つ,6
手 の 内 を 見せる,6
手 を 合わせる,6
血 を 引く,6
引き合い に 出す,6
弱音 を 吐く,6
意地 を 張る,6
骨 を 埋める,6
夢 を 追う,6
世話 を 焼く,6
手中 に 収める,6
力 を 付ける,6
口火 を 切る,6
意表 を 突く,6
"目 が ある,みる 目 が ある",6
買う て 出る,6
目 を 伏せる,6
色目 を 使う,6
幸先 が いい,6
気 に 掛かる,6
気 が 短い,6
"裏 で 糸 を 引く,糸 を 引く",6
中 に 立つ,6
目 と 鼻 の 先,6
生ける 屍,6
若気 の 至る,6
腰 を 据える,6
"気 が 乗る,気 が 乗る ない",6
血 が 通う,6
手 の 施する が ない,6
縁起 だ も ない,6
手 が 込む,5
気 が 早い,5
口数 が 多い,5
生 の 声,5
門戸 を 開く,5
千里 眼,5
耳 を 疑う,5
物 が 分かる,5
矛 盾,5
心 を 寄せる,5
鼻 が 利く,5
嫌 と いう ほど,5
道 が 開く,5
腹 が 大きい,5
水の 泡,5
頭 を 切り替える,5
掛け替え の ない,5
面 が 割れる,5
頭 が 下がる,5
端 を 発する,5
愛想 が 尽きる,5
息 を 呑む,5
言葉 の 綾,5
音 沙汰 が ない,5
聞き捨て なる ない,5
私 と する た こと が,5
アキレス 腱,5
力 に する,5
"人目 を 引く,目 を 引く",5
"腹 を 肥やす,私腹 を 肥やす",5
口 を 封じる,5
青い 鳥,5
気 を 許す,5
気 が 立つ,5
一 巻 の 終わり,5
異 を 唱える,5
お 手 の 物,5
あっ と 言う 間,5
目 を 配る,5
融通 が 利く,5
止める を 刺す,5
"気 が 差す,嫌気 が 差す",5
思い を 寄せる,5
首 を 振る,5
備えあれる ば 憂く なし,5
一 寸先 は 闇,5
手 を 尽くす,5
目 を 瞑る,5
嵐の 前 の 静け さ,5
汗 を 流す,5
魔 が 差す,5
馬 の 骨,5
目 に 物見 せる,5
心 を 打つ,5
足 が ある,5
油 を 注ぐ,4
虫 の 知る せる,4
見果てる ぬ 夢,4
一目 置く,4
足 を 入れる,4
心 が 通ずる,4
堅い なる,4
気合 を 入れる,4
勝手 が 違う,4
杞憂,4
策 を 講じる,4
悪態 を つく,4
長い 目 だ みる,4
頭 を える,4
名 を 馳せる,4
お 目 に 掛かる,4
顔 を 立てる,4
親身 だ なる,4
念頭 に 置く,4
名乗り を 上げる,4
手 を 煩う せる,4
閑古 鳥 が 鳴く,4
何 か と 言う と,4
後釜 に 座る,4
手 が 掛かる,4
茶 番,4
裏 を 取る,4
重き を 置く,4
予断 を 許す ない,4
轍 を 踏む,4
顔 に 書く て ある,4
胸 が 張り裂ける,4
烏合 の 衆,4
世話 が 焼ける,4
体 を 壊す,4
足 を 止める,4
金 の なる 木,4
後れ を 取る,4
力 を 落とす,4
天井 知る ぬ,4
腹黒い,4
胸 に 刻む,4
顔 を 売る,4
喧嘩 を 売る,4
嘘 で 固める,4
気 が 回る,4
無辜 の 民,4
幕 が 開く,4
相性 が 悪い,4
恐れ を なす,4
影 も 形 も ない,4
心 を 動かす,4
筋 を 通す,4
挙句 の 果て,4
心 を 乱す,4
目 が 回る,4
抜ける よう,4
体 で 覚える,4
風 の 吹き回し,4
頭 を 突っ込む,4
目先 を 変える,4
探る を 入れる,4
背 に する,4
有頂 天,4
息 が 切れる,4
蓋 を 開ける,4
気 が 触れる,4
暗礁 に 乗り上げる,4
釘 を 刺す,4
突拍子 も ない,4
頭 を 振る,4
巻き添え を 食う,4
機嫌 を 取る,4
足 を 出す,4
気 が 乗る,4
一泡 吹かせる,4
手玉 に 取る,4
いい子 に なる,4
耳 が 痛い,4
足 が 早い,4
肩 を 貸す,4
根 を 下ろす,4
影 を 落とす,4
顔 が 利く,4
諸刃 の 剣,4
始末 を 付ける,4
日 が 浅い,4
的 を 絞る,4
目 が 高い,4
豹変,4
手 も ない,4
肝に 銘じる,3
その 手 は 食う ない,3
目 の 敵,3
身 を 切る,3
頭 を 痛める,3
夢 を 描く,3
性懲り も ない,3
仮面 を 被る,3
目 を 凝らす,3
逃がす た 魚 は 大きい,3
舌 を 出す,3
事 も ある に,3
逃げる も 隠れる も する ない,3
見栄 を 張る,3
裏 に 回る,3
限り を 尽くす,3
目 を 覆う,3
目 に 焼き付く,3
路頭 に 迷う,3
幕 が 上がる,3
手 が 入る,3
山 が 見える,3
息 を 潜める,3
腰 を 落ち着ける,3
苦 も ない,3
知る ぬ が 仏,3
早い 話 が,3
旗 を 揚げる,3
株 が 上がる,3
千里 の 道 も 一歩 から,3
神経 が 高ぶる,3
真 に 迫る,3
目 が 届く,3
矢面 に 立つ,3
"手 に 取る よう,手 に 取る よう だ",3
押す が 強い,3
気 が 強い,3
目 を 回す,3
最後 を 飾る,3
店 を 畳む,3
声 を 落とす,3
頭 が 上がる ない,3
息 が 続く,3
話 を 詰める,3
手 が 早い,3
桁 が 違う,3
筋金 入り,3
一挙 手一 投足,3
公然 の 秘密,3
最期 を 遂げる,3
とどの つまり,3
油 を 売る,3
当 を える,3
英気 を 養う,3
体 を 張る,3
右 から 左,3
胸 を 痛める,3
名 を 取る,3
肩 を 叩く,3
甘い 汁 を 吸う,3
腹 を 抱える,3
礼 を 失する,3
幕 を 下ろす,3
風穴 を 開ける,3
タオル を 投げる,3
割る て 入る,3
鬼門,3
圧力 を 掛ける,3
足元 を みる,3
虫 の 居所 が 悪い,3
話 が 合う,3
火中 の 栗 を 拾う,3
虚勢 を 張る,3
鳥肌 が 立つ,3
姑息,3
足 が 付く,3
暇 を 潰す,3
口 を 揃える,3
真っ赤 だ 嘘,3
血 の 涙,3
みる に 堪える ない,3
熱 が 冷める,3
早い 者 勝ち,3
目 を 盗む,3
紙一 重,3
台風 の 目,3
宙 に 浮く,3
計算 高い,3
身 を 寄せる,3
反吐 が 出る,3
風前 の 灯,3
大口 を 叩く,3
腕 を 磨く,3
胸 を 打つ,3
臆面 も ない,3
元 の 木 阿弥,3
気 を 入れる,3
涼しい 顔,3
礎 を 築く,3
芽 を 摘む,3
心 が 通う,3
逃げる 腰 に なる,3
厄介 払い,3
機知 に 富む,3
一 か八 か,3
棚上げ に する,3
一役 買う,3
八百 長,3
立 往生 する,3
思い を 馳せる,3
足止め を 食らう,3
男 が 立つ,3
高嶺 の 花,3
機嫌 を 損ねる,3
雲行き が 怪しい,3
成れ の 果て,3
沈黙 を 破る,3
名 を 成す,3
横 を 向く,3
今 は 昔,3
今 の 今 まで,3
棚 に 上げる,3
ミーハー,3
話 が 早い,3
舵 を 取る,3
事 が 運ぶ,3
一 本 取る れる,3
胸 に 秘める,3
腕 が 立つ,3
目 を 欺く,3
精 を 出す,3
立場 が ない,3
手 を 休める,3
高み の 見物,3
"小耳 に 挟む,耳 に 挟む",3
調子 を 合わせる,3
根 を 詰める,3
みる て みる ぬ 振り,3
打つ て 出る,3
手 が 回る,3
袋 の 鼠,3
気 を 持つ せる,3
視線 を 浴びる,3
所帯 を 持つ,3
終わる よい ば すべて よし,3
肩 を 並べる,3
手 が 焼ける,3
"大手 を 振る,大手 を 振る て",3
仲 を 取り持つ,3
薬 に なる,3
運 を 天 に 任せる,2
メス を 入れる,2
髪 を 下ろす,2
頭 が 固い,2
口車 に 乗せる,2
"頭 に 血 が 上る,血 が 上る",2
筋 が いい,2
名 を 上げる,2
喉 から 手 が 出る,2
そ知ら ぬ 顔,2
"夢 を みる,目 を 覚ます",2
熱 を 上げる,2
後ろ を 見せる,2
焦点 を 絞る,2
手癖 が 悪い,2
一 筋縄 で は 行く ない,2
裏表 が ない,2
涙 を 誘う,2
下手 を する と,2
裏 を 返す ば,2
今 は これ まで,2
肩入れる する,2
気合 が 入る,2
一張 羅,2
指折り 数える,2
世 の 習い,2
命 の 綱,2
息 が 合う,2
大船 に 乗る,2
首 が 回る ない,2
笑い 事 だ は ない,2
決 を 採る,2
心 が 躍る,2
襟 を 正す,2
明ける て も 暮れる て も,2
胸糞 が 悪い,2
頭 を 抱える,2
目くじ ら を 立てる,2
合わす 顔 が ない,2
身 を 立てる,2
腰 を 抜かす,2
両手 に 花,2
火 を 通す,2
言う こと なし,2
花 を 持つ せる,2
玩具 に する,2
飽きる が 来る,2
お 誂え向き,2
手 を 着ける,2
争える ない,2
疑わしい は 罰せる ぬ,2
兵 を 挙げる,2
手 が 付く,2
足 が 出る,2
多く れる 少なく れる,2
"気 に する,気 に なる",2
レッテル を 貼る,2
敷居 が 高い,2
死 の 商人,2
絵 に なる,2
身 を 削る,2
尻 を 押す,2
"熱い なる,胸 が 熱い なる",2
何 食う ぬ 顔,2
似る て も 似る つく ない,2
笑い が 止まる ない,2
鼻 を 明かす,2
金 が える,2
気 を 回す,2
三 度 目 の 正直,2
棚卸し を する,2
地獄 に 仏,2
猫 の 手 も 借りる たい,2
気 が 緩む,2
首 を 縦 に 振る,2
顔 が 潰れる,2
契り を 結ぶ,2
射程 距離 に 入る,2
脈 を 取る,2
関の 山,2
荷 を 下ろす,2
調べ が つく,2
言葉 が すぎる,2
切羽 詰まる,2
知恵 を 絞る,2
花 を 咲く せる,2
途轍 も ない,2
切る て も 切れる ない,2
首 の 皮一 枚,2
灰燼 に 帰す,2
太鼓 判 を 押す,2
身 に 余る,2
手 が 付ける られる ない,2
趣向 を 凝らす,2
一笑 に 付す,2
渡り に 船,2
オブラート に 包む,2
そこ へ 行く と,2
血 が 騒ぐ,2
"手 に する,手段 を 選ぶ ない",2
郷 に 入る て は 郷 に 従える,2
物 は 試す,2
顔 向け できる ない,2
丸くなる,2
両刃 の 剣,2
急う て は 事 を 仕損じる,2
食う か 食う れる か,2
鉄の カーテン,2
熱 を 入れる,2
臆 病風 に 吹く れる,2
下手 する と,2
煮え湯 を 飲ます れる,2
いい よう だ する,2
藪 から 棒,2
脚光 を 浴びる,2
花 を 添える,2
所 を える,2
往生 際 が 悪い,2
陰口 を 叩く,2
あっ と 言う せる,2
いい 年 を する て,2
胸 が 躍る,2
一 つ 間違える ば,2
目 が いい,2
"陰 で 糸 を 引く,糸 を 引く",2
気 が 多い,2
手 も 足 も 出る ない,2
手 を 緩める,2
泣き を みる,2
四 の 五 の 言う,2
鉄槌 を 下す,2
引導 を 渡す,2
老婆 心,2
知恵 が 回る,2
二 の 足 を 踏む,2
間 が いい,2
揃い も 揃う て,2
名 を 連ねる,2
目 の 毒,2
心血 を 注ぐ,2
目 が 利く,2
詰まる 所,2
無駄口 を 叩く,2
根 が 深い,2
間 が 抜ける,2
口 が すぎる,2
人聞き が 悪い,2
時 を 稼ぐ,2
お 迎える が 来る,2
目 に 余る,2
胸 が 高鳴る,2
命 を 預かる,2
手取り 足取り,2
心 を 配る,2
尻尾 を 出す,2
手 に 掛かる,2
夢 から 覚める た よう,2
魂 が 抜ける,2
返す 言葉 が ない,2
宙 を 飛ぶ,2
天狗 に なる,2
頭 を 下ろす,2
不発 に 終わる,2
知恵 を 借りる,2
身 を 焼く,2
何 は さておく,2
"何 が 何 で も,手 に 入れる",2
血 は 水 より も 濃い,2
付く て 回る,2
夢 が 覚める,2
顔 を 作る,2
肝 が 据わる,2
耳 に 残る,2
目 が 眩む,2
薄い 気味 悪い,2
決まり が 悪い,2
祝杯 を 上げる,2
一翼 を 担う,2
かっと なる,1
"気 に 食う ない,ちょっと する た",1
痛い 目 に 合う,1
身 を 落とす,1
呼ぶ 水 に なる,1
微塵 も ない,1
眠れる 獅子,1
気 を 取り直す,1
含む 所 が ある,1
胸 を 躍る せる,1
二 つ 返事 だ,1
破天 荒い,1
虫 が 好く ない,1
舵取り を する,1
股 に 掛ける,1
一席 設ける,1
奥行き が ない,1
腕 が 上がる,1
一 肌 脱ぐ,1
敷居 を 跨ぐ,1
目 の 前 が 真っ 暗 に なる,1
帰る ぬ 人 と なる,1
焼け 石 に 水,1
人当 たり が いい,1
理 の 当然,1
耳 を 澄つ ます,1
一 杯 食う,1
"血 と 汗 の 結晶,汗 の 結晶",1
"ローマ は 一 日 に する て なる ぬ,軌道 に 乗る",1
諸手 を 挙げる て,1
柱 石,1
門外 漢,1
生み の 苦しみ,1
渇き を 覚える,1
ちゃん ちゃら おかしい,1
"頭 から,手 に 入れる",1
情け は 人 の 為 だ ぬ,1
詫び を 入れる,1
綱渡り を する,1
足場 を 失う,1
二 の 次 に する,1
口 が 多い,1
茨の 道,1
目 も 当てる られる ない,1
"壁 に 耳 あり,壁 に 耳",1
"気 に なる,目 を 覚ます,的 だ なる",1
案ずる より 産む が 易しい,1
みる に 忍ぬ ない,1
折り紙付き,1
反り が 合う ない,1
声 を 大 に する,1
エンジン が 掛かる,1
"夢 を みる,える ほど",1
夢 の また 夢,1
"宙 を 飛ぶ,完璧",1
初心 に 返る,1
腰 が 据わる,1
"手 に なる,血 を みる",1
モナリザ の 微笑,1
"手 を 引く,手 に 入れる",1
住める ば 都,1
"完璧,早い 話 が",1
耳 を 塞ぐ,1
一 堂 に 会する,1
鬱憤 を 晴らす,1
"目 を 覚ます,冷や 汗 を かく,汗 を かく",1
言う える て 妙,1
点数 を 稼ぐ,1
大海 の 一 滴,1
得体 が しれる ない,1
神経 を 使う,1
事 を 分ける,1
元 の 鞘 に 収まる,1
意中 の 人,1
"手 を 貸す,気 に なる",1
血 の 巡り が 悪い,1
二 番 煎じ,1
勘定 に 入れる,1
年 が 行く,1
けじめ を 付ける,1
息 を 殺す,1
目 を 塞ぐ,1
金魚 の 糞,1
"顔 を 見せる,素顔 を 見せる",1
理 に 適う,1
"金 に 糸目 を 付ける ぬ,目 を 付ける",1
"中 に 入る,何 を 隠す",1
用 が 足りる,1
判 で 押す た よう,1
目 を 掛ける,1
命 の 親,1
泣き出す そう,1
立つ瀬 が ない,1
"火 に 油 を 注ぐ,油 を 注ぐ",1
付く ぬ 離れる ぬ,1
"頭 を 下げる,手 に 入れる",1
土 を 踏む,1
板挟み に なる,1
空 を 使う,1
浮く た 噂,1
"気 に する,息 を 潜める",1
"完璧,気 が 合う",1
"目 に する,耳 に する",1
土 と なる,1
影 が 薄い,1
縁起 を 担ぐ,1
"気 に 入る,手 を 抜く",1
終止 符 を 打 つ,1
要領 が いい,1
左 前,1
身 も 蓋 も ない,1
"冷たい なる,耳 に する",1
口 が 軽い,1
道 を 付ける,1
意 に 介する,1
上手 を 行く,1
勤勉 は 成功 の 母,1
意地 を 通す,1
敵 に 塩 を 送る,1
底 を 突く,1
根回し を する,1
"中 に 入る,的 だ なる",1
天下 晴れる て,1
琴線 に 触れる,1
アンテナ を 張る,1
手 が 出る ない,1
絵 に 描く た よう,1
藻屑 と なる,1
先 を 争う,1
"目 に する,世 を 去る",1
年 を 追う,1
逆立ち する て も,1
後 に も 先 に も,1
"腹 が 立つ,気 が 付く",1
波風 が 立つ,1
尾 を 引く,1
爪 の 垢 を 煎ずる て 飲む,1
意 に 介す ない,1
"気 に 入る,手段 を 選ぶ ない",1
"手 に する,的 だ なる",1
ほとぼり が 冷める,1
身銭 を 切る,1
取り付く 島 も ない,1
寝る 耳 に 水,1
上げる たり 下げる たり,1
馬 が 合う,1
言う は 易い 行う は 難しい,1
時 は 金 なり,1
時 を 移す ぬ,1
宙 に 舞う,1
"岐路 に 立つ,目 が 覚める",1
"目 を 向ける,目 を 開く",1
雲泥 の 差,1
胸 が 裂ける,1
不肖,1
朕 は 国家 なり,1
無用 の 長物,1
"気 に する,暇 を 取る",1
財布 を 握る,1
明日 は 明日 の 風 が 吹く,1
顔 が 売れる,1
機 を 逸する,1
手 が 塞がる,1
恩 を 売る,1
"完璧,手 に 入る",1
押し付ける が ましい,1
雨降る て 地 固まる,1
手 に 乗る,1
八方 塞がり,1
迷える 羊,1
"手 を 貸す,力 を 貸す",1
"手 に する,目 を 覚ます",1
"目 に する,目 を 疑う",1
"手 を 付ける,手段 を 選ぶ ない",1
寸暇 を 惜しむ,1
種 を 蒔く,1
"悲鳴 を 上げる,完璧",1
"気 が 付く,背 を 向ける",1
事 を 構える,1
狭き門,1
血 が える,1
昨日 の 友 は 今日 の 敵,1
"気 に 入る,手 に 入る",1
知る ぬ 存ぜる ぬ,1
圧巻,1
気 が 若い,1
血 を 受ける,1
憎まれる 口 を 叩く,1
根絶やし に する,1
心 が 乱れる,1
声 を 揃える,1
幕 を 閉じる,1
とても だ ない が,1
"気 を 使う,手 を 煩う せる",1
暇 を 出す,1
"手 に 入れる,力 を 貸す",1
提灯 を 持つ,1
ユリイカ,1
"悲鳴 を 上げる,中 に 入る",1
態度 が 大きい,1
そう は 問屋 が 卸さ ない,1
"旗 を 掲げる,白旗 を 掲げる",1
"目 を 開く,遅く れる 早きる れる",1
察し が 付く,1
舌 が 回る,1
核心 に 触れる,1
槍玉 に 上げる,1
いい 顔 を する ない,1
"横 に なる,汗 を かく",1
腰 を 折る,1
土 に なる,1
"荷 が 下りる,肩 の 荷 が 下りる",1
"嘘 を つける,気 が 済む",1
気 が 大きい,1
隠れる 蓑 に する,1
習う は 一生,1
"気 に なる,目 の 敵,目 の 敵 に する",1
歩 を 進める,1
口 が 重い,1
席 巻,1
体 に 障る,1
熱気 を 帯びる,1
言葉 を 飾る,1
明日 は 我が 身,1
小事 は 大事,1
味 を 占める,1
テープ を 切る,1
ただ で は 済む ない,1
腹 を 痛める,1
言葉 を 濁す,1
底 が 浅い,1
嘘 八 百,1
大盤 振る舞い,1
"気 を 取る れる,目 に する",1
血 の 気 が 引く,1
男 を 上げる,1
情け 容赦 も ない,1
傷口 に 塩,1
いい 目 が 出る,1
恩 を 仇 で 返す,1
鼻 が 曲がる,1
灸 を 据える,1
"相変 わる ぬ,口 が 悪い",1
目先 が 利く,1
お 先真っ 暗,1
窮余 の 一 策,1
羽目 を 外す,1
"目 を 引く,注目 を 浴びる",1
"気 に する,手 に 渡る",1
脇 目 も 振る ぬ,1
何 か と 言う ば,1
"手 を 切る,夢 を みる",1
"手 に 入れる,何 と する て も",1
癇 に 障る,1
"鼻 を 折る,骨 を 折る",1
頭 を 切り換える,1
風 を 切る,1
虚仮 に する,1
声 を 潜める,1
口 が 減る ない,1
"手 に 入る,ちょっと する た",1
竹馬 の 友,1
"耳 に する,ちょっと する た",1
堪忍 袋 の 緒 が 切れる,1
油 が 切れる,1
一口 乗る,1
意気 地 が ない,1
"手 に 落ちる,手 に 渡る",1
"気 に なる,気 を 失う",1
有無 を 言わせる ぬ,1
虫 の 息,1
気 が 長い,1
壁 に ぶち当たる,1
赤子 の 手 を 捻る,1
勝負 は 時 の 運,1
"目 を 背ける,注意 を 引く",1
機先 を 制する,1
荷 が 下りる,1
気 が 咎める,1
美人 局,1
背水 の 陣,1
"気 に 掛ける,目 に 付く",1
顔 を 直す,1
缶詰 に なる,1
悦 に 入る,1
口 は 災い の 元,1
藪 を つつく て 蛇 を 出す,1
そっぽ を 向く,1
心 が 動く,1
論 より 証拠,1
会う せる 顔 が ない,1
"台風 の 目,口 に する",1
当たる て 砕けろ,1
"頭 が 固い,固い なる",1
桃源 郷,1
一 枚 噛む,1
色 を 付ける,1
煙幕 を 張る,1
お 世辞 だ も,1
涎 を 垂らす,1
"争える ない,血 は 争える ない",1
事 を 好む,1
青 写真 を 描く,1
当たり が いい,1
心 が 洗う れる,1
"あっ と いう 間,取る に 足る ない",1
大きな お 世 話,1
点 を 打つ,1
"目 を 盗む,人目 を 盗む",1
情け を 掛ける,1
"食える ない,手 を 打つ",1
毛色 の 変わる た,1
勝手 を 知る,1
水火 も 辞せる ぬ,1
帳尻 を 合わせる,1
足 を 取る れる,1
心 を 砕く,1
虫酸 が 走る,1
お 山 の 大将,1
"える ほど,手 を 加える",1
為せる ば なる,1
何 で も 来う,1
追い討ち を 掛ける,1
身 を 粉 に する,1
"ない 知恵 を 絞る,知恵 を 絞る",1
一芝 居打つ,1
押す の 一手,1
引け を 取る,1
