contains_idioms,text,original_text
それ は それ は,"Okay. Well, you look adorable. It really brings out your eyes.",それはそれは、ほれぼれすること 目元が引き立って素晴らしいことね
それ は それ は,"-Yeah, it made me super happy. It made me happy.",めっちゃ うれしかった それは それは普通にうれしかった 俺は
それ は それ は,"That's-- that's good, right?",それは それは良かった - クソ
そ知ら ぬ 顔,"Just because you walked in my shoes, don't you think that you know me.",前回までのFringe... そ知らぬ顔で 成りすましたせいでしょ
そ知ら ぬ 顔,Just because you walked in my shoes don't you think for a moment that you know me.,そ知らぬ顔で 私の人生を奪ったせいでしょ
ただ で は 済む ない,"The point is, if he finds out about this, he's gonna transfer your ass to juneau so fast,",知られたら あなたは、ただでは済まないのよ
ちゃん ちゃら おかしい,That was a stupid idea.,ちゃんちゃら　おかしいよ
ちょっかい を 出す,I'm not bothering them none.,ちょっかいを出してるんじゃないよ
ちょっかい を 出す,"Guess nobody told you, if you mess with the wolf, you get the fangs.",オオカミにちょっかいを出すと 群れでやって来るぜ さっきの仕返しだ
ちょっかい を 出す,"I didn't mean to interfere, you know. Silly girl.",ちょっかいを出したくなかったけど
"ちょっかい を 出す,目 に 付く","Dave, would you quit bothering every girl you see?",デイブ　目に付く女全てに ちょっかいを出すのはやめてくれないか?
ちょっと する た,"A little money. No, sorry.",ちょっとした金
ちょっと する た,It creates a more succulent dish and adds a little theatricality to dinner.,より汁気の多い料理を作れるし、 ちょっとした見栄えと演出も 料理に加えられる。
ちょっと する た,"If I burden myself with a little helpmate during my adventures, this is not out of sentiment or caprice, it is that he has many fine qualities of his own that he has overlooked in his obsession with me.",私が冒険中 ちょっとした相棒を得るなら それは 感情や 気まぐれからではありません 多くの素晴らしい資質を 持っているということです
"ちょっと する た,力 を 貸す",What if I told you that I could help you out with your Klaus problem in exchange for the tiniest bit of gossip?,もし私が力を貸すと いったらどうかしら 貴方の抱えるクラウス問題と ちょっとしたネタを 引き換えに?
とても だ ない が,"No, he's taking it pretty hard.",とてもじゃないが
とどの つまり,"Ultimately, John, we owe our hearts and our minds not to any one man but to an idea, and that idea is under threat.",とどのつまりだな　ジョン 我々が心と頭を奉げる対象とは 一人の男ではなく　理想なのだよ
とどの つまり,"And you are en route to getting yourself killed,",とどのつまりは 殺されるってのに
とどの つまり,"Eventually, yeah.",とどのつまりはな
"ない 知恵 を 絞る,知恵 を 絞る","You know, in case you got displaced.",ない知恵を絞ってね
ほとぼり が 冷める,And you're hiding out here until things cool down because you know it.,そして、ほとぼりが冷めるまで、あなたはココに隠れています。 あなたがそれを知っているから。
みる て みる ぬ 振り,"You were more than happy to turn a blind eye, but... you're not dumb.",あんたは見てみぬ振りで 満足だっただろうが あんたには口がある
みる て みる ぬ 振り,I stay out of the way.,見て見ぬ振りをしています ただ...
みる て みる ぬ 振り,You just looked the other way.,見て見ぬ振りをした
みる に 堪える ない,What's about to happen is gonna be hard to watch.,今から起きることは 見るに堪えない
みる に 堪える ない,I can't watch.,見るに堪えないわ
みる に 堪える ない,Was it painful to see?,見るに堪えなかった？
みる に 忍ぬ ない,Can't stand the sight of a little blood?,見るに忍びないか？
よう に なる,"I think maybe I should take you,","""その方がいいと 思う様になった"""
よう に なる,if they donate to a political cause or if they say something in a discussion.,監視リストに載るぞと 自虐ジョークを言う様になった
よう に なる,We say grace now?,食前に祈る様になったのか
よく 言う,He pressed you. Come on.,よく言うよ
よく 言う,Says the teacher who sleeps with his students.,生徒と寝といて よく言うな
よく 言う,That's pretty rich coming from the woman who stole Alex to begin with.,盗んだ女の分際で よく言うわ
アキレス 腱,His Achilles heel.,"彼の ""アキレス腱"" だ"
アキレス 腱,"Yes, the good news, she may have her own Achilles' heel.",良いニュースは 彼女のアキレス腱は
アキレス 腱,My Achilles heel.,"私の ""アキレス腱"""
アンテナ を 張る,"If you dig deep enough and keep a lively mind, this Doctor keeps cropping up all over the place.",アンテナを張ってればドクターはあちこち登場する
エンジン が 掛かる,It won't start.,エンジンが 掛からない
オブラート に 包む,I'm just- - I'm just trying to wrap my mind around it.,オブラートに包んで言おうとしたんだ
オブラート に 包む,"Mr. Reid, do you understand that's kind of hitting it delicately?",社長、これ以下の表現はオブラートに包む方が
スタート を 切る,"Gentlemen, might I remind you that Caffrey has a four-hour head start?",君たち　キャフリーは　我々より４時間も前に 有利なスタートを切ったことを忘れるな
スタート を 切る,"Fresh start, no old ties.",新しいスタートを切り　古いしがらみも絶った
スタート を 切る,"And one day when all this is ancient history, I hope you can come back, maybe not as a building manager at first, but somewhere where you can start over, earn our trust.",いつか 君の復帰する日が 来ることを願おう 初めから　支配人とは いかないだろうが 再スタートを切り 信頼を回復しろ
スポット を 当てる,We're shining a light on the monster under the bed.,ベッドの下に潜む怪物に スポットを当ててるだけさ
スポット ライト を 浴びる,But Kate... you're stepping into the spotlight now.,でも スポットライトを 浴びることになれば―
スポット ライト を 浴びる,I guess I crave the spotlight. All I need is a proper partner.,スポットライトを浴びたいが パートナーが必要さ
スポット ライト を 浴びる,Especially one who enjoys the public spotlight so much.,特に公衆のスポットライトを浴びる のが好きな人物はね
タオル を 投げる,But seeing as throwing in the towel is not an option that leaves us with a total of two choices.,タオルを投げる選択肢はない 私たちにあるのは ２つの道だ
タオル を 投げる,Maybe I'll just listen to the universe and... and throw the towel in on the whole thing.,全てについてタオルを投げちゃうかな
タオル を 投げる,- So I'm gonna call the fight.,タオルを投げる
テープ を 切る,He said he would cut me free.,私を縛ってたテープを切るから
フェニックス,- The one in the Phoenix?,フェニックス紙？
フェニックス,I'd gotten into the Phoenix.,フェニックスに認められ 入部の儀式を
フェニックス,Phoenix farms.,フェニックス・ファーム。
ミーハー,"You are pretty oldfashioned, despite your looks.",意外とミーハーなんだよなあ
ミーハー,"Saeko-san jumps at new things like a trendhopper, but she's a harsh judge of products.",紗絵子さんは ミーハーな ノリで 新しいものに 飛び付くけど 商品に対しては シビアだよ｡
ミーハー,"She's oldfashioned despite her looks, right?",案外ミーハーなんだよね
メス を 入れる,I plan to delve deeply into the rotten politics at university hospitals.,大学病院の腐った院内政治に 鋭くメスを入れますよ。 ちょっ　ちょっ...
メス を 入れる,They're going to cut into my brain.,俺の頭に メスを入れようとするんだ
モナリザ の 微笑,"Who would make sure that the Statue of David is still standing, or that Mona Lisa's still smiling?",ダビデ像が無事だと？ ... モナリザの微笑みは？
ユリイカ,Eureka!,ユリイカ！
ユートピア,I sort of created a utopian society where we all sort of...,一種のユートピアの創造さ つまり...
ユートピア,"We were jamming, man, building utopia.",私達は夢中でユートピアを作ったよ
ユートピア,We are among those whose fate is a poison We are constantly utopia ...,私たちは毒を持った宿命の人たちの中にい- ます。 常にユートピアです...
レッテル を 貼る,You still want to stamp a mark of conviction on her?,それでもあんた　有罪にしたい？ なにがなんでも彼女に犯罪者のレッテルを貼りたい
レッテル を 貼る,These are all labels. You just label everything.,あんたは レッテルを貼ってるだけだ
"ローマ は 一 日 に する て なる ぬ,軌道 に 乗る","It took a while to get up and running, but Rome wasn't built in a day.",起業して軌道に乗るまでかかった、でもローマは一日にしてならずだよ
一 か八 か,Intelligence officers usually hedge their bets. It's...,情報部の幹部は いつも一か八かなんです
一 か八 か,"It's a bit of a hail mary, But Cisco and I are going to give it a try.",一か八かだが シスコと私でやってみる
一 か八 か,Risk is all I've got left.,一か八かしかない
一 つ 間違える ば,"One mistake, I die.",一つ間違えれば殺される
一 つ 間違える ば,"We make one mistake, thousands of people die.",一つ間違えば大勢の命が
一 堂 に 会する,"Once a year, storks come together for one thing. Storkcon!",年に１度 コウノトリが一堂に会する
一 寸先 は 闇,"So, I've been thinking about those thousand razors.",一寸先は闇だな
一 寸先 は 闇,You're dying the death of a thousand razors up there and you don't even know it.,一寸先は闇だ
一 寸先 は 闇,I don't know. I don't know what happened. Tough couple of days.,一寸先は闇だ つらい毎日だったよ
一 巻 の 終わり,"Because if they see you coming, we're all dead.",気付かれたら 全員が一巻の終わりよ
一 巻 の 終わり,But if Torus gets the ARQ... they'll be unstoppable.,一巻の終わり
一 巻 の 終わり,We are so dead.,一巻の終わりだな
一 本 取る れる,"Fair point, Lieutenant.",一本取られたな、中尉。
一 本 取る れる,- She's got you there.,一本取られた
一 本 取る れる,You win.,一本取られたようですな
一 杯 食う,You swindled me!,一杯食わせやがったな！
"一 杯 食う,一 杯 食う する れる","Yeah, you took your shot, but you missed.",ああ　一杯食わされた だが　失敗した
"一 杯 食う,一 杯 食う する れる",You should have seen your face.,一杯食わされたな
"一 杯 食う,一 杯 食う する れる","I've been gullible, all right, letting him make a fool of me.",お人よし過ぎた だから一杯食わされた
一 枚 噛む,Of course he was involved.,当然彼も一枚噛んでる
一 筋縄 で は 行く ない,"No, nothing with you is easy.",いや　お前は一筋縄では行かない
一 筋縄 で は 行く ない,- He's not playing with a straight bat?,- 奴は　一筋縄では行かないからな
一 肌 脱ぐ,"But he's my friend, and I'm gonna bat for him.",ええ 彼はもっと上手に対処すべきだ でも　彼は友人で 彼の為にひと肌脱ぐつもりだ
一刻 を 争う,The Intel that I brought back is time sensitive.,私が持ってきた情報は 一刻を争うものです
一刻 を 争う,but it was a race against time. it was all for naught.,一刻を争う事態でしたので 報告が遅れたことはお詫びします (浅野)結局 国税に持っていかれたら 元も子もないですね
一刻 を 争う,"Father, they don't have a lot of time.",一刻を争ってる
一口 乗る,"So, what do you say?",どう　一口乗らない？
一席 設ける,I'd love to meet him sometime. I will.,僕も　今度 一席　設けるから。
一張 羅,You have a feast tonight. First change your clothes.,今夜は特別だ、まず一張羅に着替えろ
一張 羅,He only wears that one damn jacket.,彼の一張羅の上着だぞ
一役 買う,But since we led the cops to Harken they ultimately agreed to let our other offenses slide.,（逮捕に一役買ったので 俺達の違法行為は見逃されたのだ）
一役 買う,"Now, what befell Jane is very troubling to all of us, and we would like to help you to set it right.",ジェーンはオレたちには トラブル メーカーだ 粛正に一役買っても良い
一役 買う,What if I help your memory?,私が君の記憶に一役買うとしたら？
一息 入れる,Okay. Just breathe and relax.,大丈夫 一息入れて　落ち着いて
一息 入れる,"When we come up for air, that ship will be headed to Paris and the diamond will be gone forever.",俺達が　一息入れるころ 船はダイヤを乗せて　パリに向かう
一息 入れる,"- Get some ice cream, Mike.",- 一息入れろよ、マイク
一挙 手一 投足,"I spent today soaking in every word, every gesture, every involuntary reaction of these 23 former suspects.",僕は今日１日　この２３人の前容疑者の 一言一句漏らさず 一挙手一投足から　無意識な反応まで 観察し続けていた
一挙 手一 投足,There has been massive digging activity out there and they undoubtedly monitor our every move.,地域外では大規模な掘削活動が 行われていて - -我々は一挙手一投足を見張られている
一挙 手一 投足,"I understand your precarious emotional state, given you've just gotten your job back, and your sensitivity to the bureaucrats that are watching your every move.",仕事に戻ったばかりの 君にしてみれば 情緒が不安定な状態にもなるし 君の一挙手一投足を観察してる 上の奴らに対して
一泡 吹かせる,We'll move into the asteroid field... and we'll have a couple of surprises for him.,つかまってろ 小惑星帯に入るぞ これで一泡吹かせてやる
一泡 吹かせる,It's a suicide mission.,自殺行為だ アンナに一泡吹かせてやりたいが
一泡 吹かせる,"We're on point, ready to give them some of their own medicine.",配置についた 一泡吹かせてやる
一目 置く,I saw Alphonse respected me back there.,- アルフォンには一目置かれている - おう　そうか？
一目 置く,He sees something in you.,彼はお前を一目置いている
一目 置く,That sort of thing means something to people in private schools in New York City.,皆が一目置いてる NYの私立学校関係者も
一笑 に 付す,The church takes great pains to make sure every conceivable medical or psychological explanation can be ruled out before moving forward.,"""教会は 考えられる限りの"" あらゆる医療に 多大な努力を払っていますが 心理学的な説明は お祓い前には一笑に付されます"
一笑 に 付す,"They'd laugh at the truth, and I'd have my head in a noose.",一笑に付され 自分の首を絞めるだけだ
一翼 を 担う,I never had a problem with your people... until they became a part of this rebellion.,お前達とは問題を起こしたことがなかった 反逆の一翼を担うまではな
一翼 を 担う,I am proud to be part of this mission in the great patriotic war.,私は偉大な愛国戦争の 一翼を担う事を 誇りに思います
一芝 居打つ,I want to get close to Latimer. And I'll need a cover story.,近づく為に一芝居打つよ
一言 も ない,He has been gone for weeks.. Not a single word.,彼は一言もなく 何週間も行方をくらましたんです
一言 も ない,And did not live to tell about it.,一言もなく死亡しました
一言 も ない,Without telling me?,私に一言も無く？
三 度 目 の 正直,"Yeah, maybe three times is a charm.",うん　三度目の正直ね
三 度 目 の 正直,"""Third time's a charm?""",- 三度目の正直か？
上 に 立つ,Like we're standing on top of a cake. Yes.,あなたもタキシードを着ないと おかしいでしょ ケーキの一番上に立ってるみたいだ
上 に 立つ,- I saw Astra standing over J'onn.,私は、見たのよ。 アストラを。 ナイフを持って、 ジョンの上に立ってた。
上 に 立つ,The entire top tier of the Bureau's in town to stand onstage and show the world that we prevailed.,長官たちが 党大会の壇上に立って― 犯人逮捕を アピールするんだぞ
上げる たり 下げる たり,Well? What's your vote?,そこの上げたり下げたりしている人
上手 だ 出る,"For the experience to succeed. I had to get the upper hand,",実験の成功の為 私は上手に出るしかなかった
上手 を 行く,"Yes, I want to expose the CIA for what it's become, but... mainly, I want to catch him.",CIAの一つ上手を行きたいの？ そうだ CIAの現状を暴露したい
下手 する と,"Take this serious, because you can get hurt if you're not strong enough, okay?",真剣にやれ 下手すると怪我するぞ
下手 する と,If I fuck up I can ruin somebody's whole life.,下手すると 誰かの人生を台無しに
下手 を する と,"Now, we walk in there like this, with this, we're done.",今､上手くいってますが下手をすると終わりです
下手 を する と,"Preston, if you're not careful, you're going to spend 20 years in prison.",真剣に言ってる 下手をすると これから20年は監獄だぞ
不 幸中 の 幸い,"Not bad, considering the height.",あの高さじゃ不幸中の幸いだった
不 幸中 の 幸い,"Yeah, well, I'm glad they don't know that.","""それを知られてないのは 不幸中の幸いだ"""
不 幸中 の 幸い,We're lucky they got out when they did.,それでも不幸中の幸いだ
不発 に 終わる,"Only Fitzpatrick didn't explode, it was far worse than that.",花火は不発に終わり 最悪の事態に
不発 に 終わる,That's the only reason why I'm still here.,だが不発に終わった
不肖,"Look, I'm not the world's best dad, but I would never do that.",不肖の父親だがやらない
不興 を 買う,"Terrified of displeasing him, aren't you? I know how my son can be.",息子の不興を買うのが怖いんでしょ？
世 に 出る,"Sadly, fredrick died without ever being published.",掛けて 悲しむべき事に 世に出る前に死んだ
世 に 出る,The DEA's worst nightmare is that face out in public.,この写真が世に出たら ＤＥＡは終わりだ
世 に 出る,"You, who killed your mother to come into the world?",この世に出てくるため自分の母親を殺したお前が？
世 の 習い,Maybe angry is just the way of the world.,君が怒る必要は　無い これが世の習いって　やつだ
世 の 習い,"You're the elder, you reap the glory. This is the way of the world.",栄光は長子のもの それが世の習いだが
世 も 末,Even for the apocalypse.,世も末だ
世 も 末,"Of all the horrible things I have had to do in the apocalypse,",俺がこんな事をするとは 世も末だ
世 も 末,What is the world coming to when smugglers must vouch for the honor of kings?,そんなに誉れ高き王たちが運び屋に用があるとは世も末だ
世 を 去る,...who was snuffed out... tragically early.,悲劇にも 若くしてこの世を去った...
世 を 去る,And I'll not leave this world until they all choke on that laughter.,全員笑いで息を詰まらせるまで この世を去るつもりはない
世 を 去る,Lost for many years.,何年も前に世を去った
世話 が 焼ける,Your uselessness is epic.,ほんとに世話が焼ける人
世話 が 焼ける,"I guess I'll just be home, which sucks for you because it's gonna be so hard for you to go through all my stuff.",来年　僕はずっと家にいる 世話が焼けて ママも大変だ
世話 が 焼ける,You must admit she works hard with those chicken feathers!,ポッポちゃんは　世話が焼ける
世話 に なる,"End of line, man.",世話になったな
世話 に なる,I've always paid my way. You know I send what I can.,俺は人の世話になったことない 自分のことは自分でする
世話 に なる,I sent on to my old genetics professor.,残りを昔世話になった遺伝学の教授に送ったの
世話 を 焼く,Someone must've helped you,誰かが親切に世話を焼いたんだね。 だれかが　しんせつに　せわをやいたんだね Someone must've helped you
世話 を 焼く,"His woman, his children.",その中の妻や子供たちの世話を焼いた
世話 を 焼く,Why must you always mother-hen me? I'm quite capable of looking after myself.,世話を焼いてくれんでも 自分で出来る
世間 を 騒ぐ せる,"Outside Lenox Hill Hospital today, more twists and turns in the Van Loon-Atwood merger.",レノックス･ヒル病院前です ヴァン･ルーンとの合併が 世間を騒がせてますが
両刃 の 剣,"Yeah, the gun's a double-edged sword, kind of.",ああ　だが　あの銃は両刃の剣だ
両刃 の 剣,"Besides, he's hot.",歯止めとして働きますが 両刃の剣です
両手 に 花,They're organized the way he likes them.,ニックは両手に花だ
両手 に 花,On the dance floor I used to dance with girls on each arm.,ダンスフロアでは 両手に花で踊つたものだ
中 に 入る,"There must be a loose tile and he's climbed in, and can't get out.",瓦がグラついてるとこがあって そこから　中に入って
中 に 入る,Spreads as it goes in. Doesn't come out.,相手の中に入ると 広がって出てこない
中 に 入る,"So, you know, we can come in, we can have our dick hanging out of our pants.",中に入る パンツから ちんぽを絞首刑
"中 に 入る,何 を 隠す","So, I'll go back in, see what exactly Chapple's hiding.",だから、私は中に入る チャップルが何を 隠しているのか見つけて下さい
"中 に 入る,口 に 合う","Oh, come inside, and we'll see if we can't get you some food, and some civilized company.",さあ　中に入って 何かお口に合う物を探さなくては 文明国から来たお友達にね
"中 に 入る,気 が 済む","Well, now that you have, can I politely invite you to step off my fucking porch?",じゃあ　気が済んだら― 中に入って貰えるかな？
"中 に 入る,的 だ なる","The attention was too much for her, and she fell in with the wrong crowd.",注目の的になることは 彼女にとって　荷が重すぎて 悪い仲間の中に入ってしまった
中 に 立つ,"This prick stands right in the mix, while seven or eight of them turn Zeke all at the same time.",このバカは７，８人の ゾンビの真ん中に立ってた
中 に 立つ,You know what's smack in the middle of Dauphine street...,ドフィネ通りの ど真ん中に立ってみろ...
中 に 立つ,There's a... a young girl laughing as she's being lifted into the air by her father.,幼い女の子が笑ってるんだ お父さんに支えられて空中に立っててね
丸くなる,"At one point, so was the Earth being round.",ある時点から　地球は丸くなったということだ
丸くなる,How did Vogel come round? How the fuck did that happen?,ｳﾞｫｰｹﾞﾙはどのように丸くなった How the fuck did that happen ?
九死 に 一生 を える,But your little darling's got nine lives.,でも、あなたの可愛い娘は九死に一生を得ましたよ。
予断 を 許す ない,"All I know is that the fate of the future hangs in the balance, and you have some role to play.",知ってるのは未来の運命 予断を許さない状態 あなたは役割を果たせばいい
予断 を 許す ない,Hancock is in serious condition with multiple gunshot wounds.,銃で撃たれ 予断を許さない状態です
予断 を 許す ない,"Willis is currently in a coma at National City General, although her fate would have been much more grim had it not been for the timely arrival of Supergirl...",ナショナル・シティ総合病院にて 昏睡状態で― 予断を許さない状態が続いていますが スーパーガールのタイムリーな 到着が無ければ...
争える ない,I cannot vie with such beauty and such sorrow.,あんな美しい人とは争えない
争える ない,"The apple doesn't fall far from the tree, my friend.",りんごは木から離れた所に落ちない （血統は争えない）
"争える ない,血 は 争える ない",Blood runs true.,血は争えない
事 が 運ぶ,I never told you it was gonna be easy.,簡単に事が運ぶとは言ってない
事 が 運ぶ,"You didn't think that'd be that easy, did you?",そう簡単に 事が運ぶわけないじゃない？
事 が 運ぶ,"If things were that simple, no one would ever suffer.",シンプルに事が運べば 人間 苦労しないよ
事 に よる と,"Zoe Barnes of the Washington Herald now reporting, quoting a source close to the President, as saying that Senator Catherine Durant will likely be the new nominee for Secretary of State after Michael Kern's withdrawal earlier this week.",ゾーイ・バーンズの 記事によると デュラント上院議員が― カーン退場後の 新たな国務長官候補に...
事 に よる と,"Listen, this paper talks about you being in this Black Mountain Security thing.",この記事によると あなたが ブラック・マウンテン警備 の事件に関わっていたらしい
事 に よる と,"Locals reported Susan Jones, an American mother of two...",地方記事によると、スーザン ジョーンズさん、二人の子供の母．．．
事 も ある に,"I was told, not only that your sister was to be most advantageously married, but that you, Miss Elizabeth Bennet, would be soon afterwards united to my nephew Mr Darcy!",お姉さんが有利な 結婚をするだけでなく ー 事もあろうに あなたと私の甥のダーシーが！
事 も ある に,It's the most devastating of all the Pagan symbols.,これは事もあろうに異教徒の シンボルで最も悲惨です
事 も ある に,"You know, of all my confidential informants, you got the nicest wheels.",事もあろうに　君は 私の密告者を知ってる 1番いい車に乗ってる
事 を 分ける,A lot of the women in the adult film industry completely separate their porn lives from their personal lives.,AV業界の多くの女性は 私生活と仕事を 分けているわ
事 を 好む,And I don't like to be accused of participating in the genocide of the human race based solely on the word of a woman whom I have already indicated to you may well be a Cylon agent.,そして、僕は関与を 非難される事を好まない... 人類の大虐殺の罪を、たった一言... それも僕がすでに指摘した サイロンであろう女性の言葉で
事 を 構える,We have one chance for peace...,""" 事を構えずに済んだ """
事 を 起こす,"After what those shifters have done -- chipping away at our territory, insulting us...",シフターが事を起こした後は 俺たちのシマを奪い 侮辱したら
事 を 起こす,"Six months in, and it was mostly just talk on their part, so Michael and I were told to expedite things by giving them the blueprints to the federal building in Omaha that they had talked so much about.",6ヶ月経ったが 話し合いばかりだ それで事を 起こさせようと― オマハの連邦ビルの 設計図を持ち込んだ
