source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Täs ei olla jäniksen selässä. Deadlinet ei tuu vastaan aikoihin.,"I'm not in a rush, my deadline is far away.",This is not on the back of a hare. Deadlines don&#39;t always come.,,,,
"Sillä, joka hommasi sinut ilmiantajaksi, ei ollut kaikki intiaanit kanootissa.",Listen. Whoever targeted you as an informant was asleep at the wheel.,Whoever hired you to inform didn&#39;t have all the Indians in the canoe.,,,,
Minulla ei ole kaikki muumit laaksossa.,You might've noticed I'm a few raisins short of a full scoop.,I don&#39;t have all the Moomins in the valley.,,,,
Hänellä ei ole kaikki muumit laaksossa.,She's not in her right mind.,He doesn&#39;t have all the Moomins in the valley.,,,,
Minä en ole eilisen teeren poika. Mistä saitte aseen?,"You may have been born yesterday, but I wasn't.Where did you get the gun?",I am not the son of yesterday&#39;s tea. Where did you get the gun?,,,,
En ole mikään eilisen teeren poika.,"I was born, but I wasn't born yesterday, son.",I&#39;m not a boy from yesterday.,,,,
Olenko muka eilisen teeren poika?,"What am I, born yesterday?",Am I the son of yesterday&#39;s tea?,,,,
Eukko elää kuin pellossa.,Whoa. Homegirl clearly never met a trashcan.,Eukko lives like a field.,,,,
Täällähän eletään kuin pellossa.,Nasty motherfuckers. Got no goddamned home-training.,Here we live like in a field.,,,,
Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia.,"You'd be like a pig in a barley field, with no control.",No one would be able to monitor your spending. You could live like a field without control.,,,,
Lähden siis pää viidentenä jalkana puistoon heittämään koreja.,I meant I shall go forth to the park to shoot some hoop.,So I head to the park to throw baskets.,,,,
Tule näkyviin ja heitä ase pois.,Step out where I can see you and throw down the gun.,Appear and throw the weapon away.,,,,
Hän haluaa heittää lokaa päällesi.,She wants to drag your reputation through the mud.,He wants to throw mud at you.,,,,
"Juma, se heitti veivinsä",Man...,"Damn, it threw its knife",,,,
Joutaakin heittämään veivinsä. ― Sinäpä sen sanoit.,He ain't worth a hill of beans in this whole goddamn world. - You said it.,You have to throw in the towel. - You said it.,,,,
Kuka tahansa normaali mies olisi heittänyt veivinsä - mutta ei vain meidän Mick.,"I mean, any normal man would have just turned up his toes and died. But not our Mick.",Any normal man would have thrown in the towel - but not just our Mick.,,,,
Repi hänen kurkkunsa auki ja heitti alas katolta. Mitä sinä tiedät vampyyreista?,"I think a vampire hunted her down, ripped her throat out, and threw her off that roof.",Tore his throat open and threw him off the roof. What do you know about vampires?,,,,
Onnistuin saamaan oven auki ja heitin hänet ulos. Potkaisin hänet pysäkillä ulos.,"Then I managed to open the door and kicked him out the door with my foot, you know, at the next stop.",I managed to get the door open and threw him out. I kicked him out at the bus stop.,,,,
- Ole huoleti. Se jäi auki heitettyäni sen paskiaisen ulos.,It happened after throwing that bastard out.,- Do not worry. It was left open after I threw the bastard out.,,,,
Koska saatan pian heittää lusikan nurkkaan...,"Seeing as I may be rapping on the door momentarily,",Because I might throw the spoon in the corner soon…,,,,
"Sinun olisi pitänyt ottaa minut mukaan tähän isoon päätökseesi - tavasta, jolla isämme heittää lusikan nurkkaan.",You should have included me in this huge decision you made about how our father's gonna leave this Earth.,You should have included me in this big decision of yours - the way our father throws the spoon in the corner.,,,,
- Heittää lusikka nurkkaan.,- Bit the dust.,- Throws the spoon into the corner.,,,,
Nuori mies heittää tikkaa baarissa jumalan selän takana.,"- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.",A young man throws darts in a bar behind the god&#39;s back.,,,,
Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.,"Either throw away everything you've worked for, including your family, or take back control of your life.",Either you throw your job and your family down the drain - or you take control of your life again.,,,,
Haluatko heittää Kankkulan kaivoon ne rahat?,You want to see that money go out the front door?,Do you want to throw that money into Kankkula&#39;s well?,,,,
- Että heität tulevaisuutesi kankkulan kaivoon.,I'm afraid you're gonna throw away your whole future.,- That you are throwing your future into the well.,,,,
"Hän soitti suurlähetystöön, joka heitti pallon meille.","She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us.","He called the embassy, which dropped the ball on us.",,,,
Herrasmies varmaankin heittäisi pyyhkeen kehään tässä vaiheessa.,- I suppose a gentleman might throw in the towel At this point.,The gentleman would probably throw in the towel at this point.,,,,
"sinä-sinä tartut hetkeen, heität kotrollin hukkaan tässä vaiheessa elämääsi!","You-You seized the moment, claiming control of this part of your life!","you-you&#39;re seizing the moment, you&#39;re wasting your time at this point in your life!",,,,
Vaihe yksi on kuin heittäisi siiman veteen.,Stage One is like throwing a fishing line out,Step one is like throwing a line into the water.,,,,
- Hevosemme karkasivat.,Our horses ran away.,- Our horses ran away.,,,,
- Hevoset karkaavat.,Your pajama thing is a little bit open.,- The horses run away.,,,,
Hevosesi karkaavat.,Oops.,Your horses run away.,,,,
"Onneissaan Ykän lähdöstä, Beatrice hymyilee kuin hangon keksi.","Thrilled that George was leaving, Beatrice beamed like a Cheshire cat,","Happy about Ykä&#39;s departure, Beatrice smiles like Hanko&#39;s cookie.",,,,
Hän hyppii seinille.,She's bouncing off of the walls. Please. - Dawn.,He jumps on the walls.,,,,
"Jos Gaby saa selville, hän hyppii seinille.","You know, if Gaby finds out, she's gonna hit the ceiling.","If Gaby finds out, she&#39;ll jump the walls.",,,,
Haluatko saada hänet hyppimään seinille?,What do you say? Should we drive him crazy?,Want to make him jump on walls?,,,,
"Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.",As people with no ID no money no memories do.,"As a person without ID, - no money, no memories.",,,,
Partiz katosi ihmisten ilmoilta.,"So, Ronnie Partiz now goes deep underground.",Partiz disappeared from human sight.,,,,
Huhun mukaan olet käynyt enemmän ihmisten ilmoilla.,"So, rumor has it, you're getting out more often.",Rumor has it that you have visited more people.,,,,
Siitä lähtien hän itsepintaisesti ja tehokkaasti - alkoi sepittää teoriaa normaalista kuolemasta.,"Leaving from there, insistent and superficially, it defended the theory of death for natural causes.","From then on, he persistently and effectively - began to forge a theory about normal death.",,,,
Tämä herra tahtoo itsepintaisesti puhua rouvan kanssa.,"This gentleman is most insistent upon speaking to her ladyship, sir.",This gentleman insistently wants to talk to the lady.,,,,
Bougainvilleläiset tapaavat löytää ulos- pääsyn hämmästyttävän itsepintaisesti,Finding a way out is something the Bougainvillians tend to do with startling regularity.,Bougainvilleans tend to find a way out with amazing persistence,,,,
Jo alkoi lyyti kirjoittaa. Terve!,And they say I'm a rare species!,Lyyti already started writing. Hey!,,,,
- Jo alkaa lyyti kirjoittamaan.,"- Well, that's more like it.",- Lyyti is already starting to write.,,,,
Jo alkoi lyyti kirjoittaa.,"Well, now you're singing a tune that we may dance to.",Lyyti already started writing.,,,,
Sayid oli jumalan selän takana.,Sayid was in the middle of nowhere.,Sayid was behind the god&#39;s back.,,,,
Me olemme jossakin helvetin methlabrassa jumalan selän takana.,We are stuck in a shed in the middle of lorteland.,We are in some hellish methlabra behind god&#39;s back.,,,,
"Sinun pitäisi olla sairaalassa, ei täällä jumalan selän takana.","You're sick, Dad. You should be in a hospital not stuck out here in the middle of nowhere.","You should be in the hospital, not here behind god&#39;s back.",,,,
"En halua juosten kustua anteeksipyyntöäsi, vaan lupauksen.",I don't want your half-assed apology. I want a promise from you.,"I don&#39;t want to run and piss off your apology, but a promise.",,,,
He juoksivat pää kolmantena jalkana.,They preferred to run.,They ran the head as the third leg.,,,,
Sitten juoksette pää kolmantena jalkana luoksemme.,Then you flock to us. Huh?,Then you run head first to us.,,,,
Meidän molempien ei ole järkeä jäätyä kuoliaaksi.,There's no reason for both of us to freeze to death in here.,There&#39;s no point in both of us freezing to death.,,,,
Onko mitään järkeä jäädä tänne?,"-Is There anyone out to stay here, do you?",Is there any point in staying here?,,,,
Ei ole mitään järkeä jäädä tänne.,You've no need to stay here.,There&#39;s no point in staying here.,,,,
Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle.,It was your class that got Kristen off the cannabis and onto the right track.,"Thanks to you, Kristen quit drugs and got back on track.",,,,
Useampikin vartija on eksynyt kaidalta polulta.,Um... I show more than a few prison guards that have strayed from the path of righteousness.,More than one guard has lost his way from the narrow path.,,,,
"Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille.","That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account.","That we have strayed from the narrow path that the Creator laid out, and now he is calling us to account.",,,,
"Jos selviän, minulla on kana kynittävänä kanssasi.","If I do make it, you and I have unfinished business. Yeah, I know.","If I make it, I&#39;ll have a chicken to pluck with you.",,,,
- Sinullakin oli kana kynittävänä.,And then there's your beef with her on top of that.,- You also had a chicken to pluck.,,,,
Meillä on kana kynittävänä.,I've got a score to settle with you.,We have a chicken to pluck.,,,,
250 dollaria meni kankkulan kaivoon.,$250 and we didn't learn a goddamn thing. $250?,250 dollars went into the well of the dumpling.,,,,
"Johtuu kai siitä, että rahat meni kankkulan kaivoon.","I guess it's having just thrown $200,000 into the toilet.",I guess it&#39;s because the money went down the well.,,,,
Siis miljoonien dollarien edestä tavaraa kankkulan kaivoon.,"Now, we're talking about millions of dollars of merchandise down the drain.","That is, in front of millions of dollars of stuff in the well of the kannkula.",,,,
"Aina keskellä ei-mitään, salassa.","Always in the middle of nowhere, hiding?","Always in the middle of nowhere, in secret.",,,,
Aika keskellä ei-mitään malariaklinikaksi.,"It's kind of in the middle of nowhere, isn't it, for a malaria clinic?",Time in the middle of nowhere for a malaria clinic.,,,,
Jos pitää kuolla ennenaikaisesti keskellä ei-mitään teen sen mieluummin sinun kuin muiden kanssa.,"If I have to fall to an untimely death in the middle of nowhere, I'd rather do it with you than anyone else.","If I have to die prematurely in the middle of nowhere, I&#39;d rather do it with you than anyone else.",,,,
"Minä olen aina ajatellut, että tuon kiven alla - on uinunut kultaa aikojen alusta asti.","I always thought that if I could split that rock there and get to the gravel underneath, there's gold been waiting there forever.",I have always thought that under that stone - there has been gold sleeping since the beginning of time.,,,,
"Ihan sama minne, kunhan liput ovat kiven alla.",Anything hard to get. I don't give a fuck what. Neither will they.,"It doesn&#39;t matter where, as long as the tickets are under a rock.",,,,
Olen joka kiven alla.,I'm under every stone that somebody turns over.,I&#39;m under every rock.,,,,
"Sanoit, että siinä on koira haudattuna.","You said it should come without strings. Well, here it is.",You said there was a dog buried in it.,,,,
"Luulenpa, että sinulla on koira haudattuna.","McBeal, we need to talk to you. We think you have a donkey on your back.",I think you have a dog buried.,,,,
"Arvasin, että tähän on koira haudattuna.",I knew there was something else in there.,I guessed that a dog was buried here.,,,,
"Jos käsi murtuu, tai jalka, kalsium korjaa luut ennalleen.","You break a hand, you break a leg after a while, calcium joins it back together.","If an arm is broken, or a leg, calcium will repair the bones.",,,,
"Korjaa luusi käytävästä, George.","Get out of the god damn hallway, George.","Get your bone out of the hallway, George.",,,,
Korjatkaa luunne!,Get going!,Fix your bones!,,,,
Ensinnäkin ne ovat hassunhauska korvike omille huulille.,"One, a humorous substitute for your own lips.","First of all, they are a hilarious substitute for your own lips.",,,,
- Oliko hänellä hauskat korvikset?,- She wore amusing earrings?,- Did he have funny ears?,,,,
"Maalaistalossa, ihan korvessa.",Ta-da! I'm in a farmhouse that's miles from anywhere.,"In a country house, right in the middle of nowhere.",,,,
Siniset korviksenikin ovat hukassa. -Ne ovat minun.,"Oh, and I'm also missing those little blue earrings.",My blue ears are also lost. -They are mine.,,,,
He olivat kuin kaksi marjaa.,"I figured hey, birds of a feather.",They were like two berries.,,,,
Vanhempi veljeni sekä suojattini ovat kuin kaksi marjaa.,My older brother and my ward getting along like two peas in a pod.,My older brother and my protege are like two berries.,,,,
Emme olleet kuin kaksi marjaa.,Not that Conor and I were peas in a pod.,We were just two berries.,,,,
"Kuten Gloria Steinem sanoi - ""Nainen ilman miestä on kuin kala ilman polkupyörää.""","Like Gloria Steinem said, ""A woman without a man is like a fish without a bicycle.""",As Gloria Steinem said - &quot;A woman without a man is like a fish without a bicycle.&quot;,,,,
Kuin seipään niellyt.,"No, not a stuffed fish. A boiled owl.",Stiff as a ramrod.,,,,
"Ed, olet kuin seipään niellyt.",Ed... You're like a stick in the mud over here.,"Ed, it&#39;s like you swallowed a bar of soap.",,,,
"Olen kuin täi tervassa, riskien ympäröimä.",I'm a fly in the ointment.,"I am like a louse in tar, surrounded by risks.",,,,
- Hän on kiinni kuin täi tervassa. Axelrod joutuu vankilaan.,This is Axelrod in jail.,- He&#39;s stuck like a louse in tar. Axelrod goes to jail.,,,,
Puolimatkassa Newmar oli jäänyt kuin täi tervaan.,It was now a race for pride.,"Halfway through, Newmar was stuck like a louse in tar.",,,,
- Sinä olet kuin viilipytty!,You look about as stirred up as a cesspool.,- You&#39;re like a coolie!,,,,
Hän on kuin viilipytty.,He always kept his head.,He&#39;s like a coolie.,,,,
Ja minä pidin pääni kylmänä. Olin kuin viilipytty.,- I had a chill in my back.,And I kept my cool. I was like a creep.,,,,
Hän häärii täällä kukkona tunkiolla.,He rules the roost around here.,He&#39;s strutting around here like a rooster.,,,,
Darby halusi olla kukkona tunkiolla.,"Darby, he wanted to be the ruler of the world, you know?",Darby wanted to be cocky.,,,,
- Kukkona tunkiolla?,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.",- As a cock on the prowl?,,,,
Kylmä kuin ryssän helvetissä.,Colder than a witch's titty out there.,Cold as hell.,,,,
On kylmä kuin ryssän helvetissä.,Can't tell you. I'm as cold as a witch's tit.,It&#39;s cold as hell.,,,,
"Puolustan abortteja, mutta käännän kelkan hetkessä, jos voitamme sillä.",But I would go pro-life in a fetal fucking heartbeat if it meant winning. You're suggesting that you would like me to be a hypocrite like Maddox?,"I&#39;m pro-abortion, but I&#39;ll flip the bandwagon in a heartbeat if we win with it.",,,,
Hän on kääntänyt kelkkansa.,I think she flipped.,He has turned his sled.,,,,
"Joo, ennen kuin hän käänsi kelkkansa.","Yeah, I knew him once, before he turned his back.","Yeah, before he flipped his sled.",,,,
Hittolainen. - Nyt se lähtee lapasesta.,Now it's starting to just spin out of control.,Damn it. - Now it comes out of the glove.,,,,
Taisin juoda liikaa ja asiat lähtivät lapasesta - ja tein jotain tyhmää.,"Look, I guess I had too much to drink and things got out of control and I did something really bad.",I guess I drank too much and things got out of hand - and I did something stupid.,,,,
Mutta veli Marinus - on lähtenyt lapasesta.,But Brother Marinus... has gone out of control.,But brother Marinus - has left the glove.,,,,
Meidän pitää muutenkin lähtee vetään.,"Yeah, we gotta bounce anyway.",We have to leave anyway.,,,,
Lähde vetämään täältä.,Get out of here.,Get out of here.,,,,
Lähde vetämään.,Fucking retard.,Go pull.,,,,
"Syyttömiä tuomitaan joskus, vaikka he maksavat itsensä kipeäksi.","There are some people that, no matter how much money they threw at the case, were convicted and shouldn't have been.","Innocent people are sometimes convicted, even if they pay dearly.",,,,
Maksoimme itsemme kipeiksi siitä.,- Paid through the nose for it.,We paid ourselves sick for it.,,,,
"Jos lapsi sattuu sairastumaan, maksat itsesi kipeäksi lääkkeistä.","Yeah, well, Fiona already said if I have the baby, she's throwing me out, so I don't even care if we lose the house.","If the child happens to get sick, you will pay yourself a lot for the medicine.",,,,
"Kun tulit Los Angelesiin, sinulla ei ollut muuta, kuin matti kukkarossa.","You show up to L.A., you got nothin' but your ding-dong in your hands.","When you came to Los Angeles, you had nothing but Matti in your purse.",,,,
Omalla kohdallani matti kukkarossa on pieni este.,"Speaking for myself, bone-crushing poverty is something of a stumbling block.","In my case, Matti has a small obstacle in the purse.",,,,
"On matti kukkarossa, pöljä!","We are broke, you dumbass!","It&#39;s Matti in the purse, you bastard!",,,,
Kuin menneen talven lumet.,As in... burnt bread.,Like the snows of last winter.,,,,
- Vai menneen talven lumia?,Water under the bridge?,- Or last winter&#39;s snow?,,,,
"Buck on menneen talven lumia, kaikki muut tietävät sen.",- Okay. It is over for Buck and everyone knows it but him.,"Buck is last winter&#39;s snow, everyone else knows that.",,,,
- Ensimmäinen päiväni meni pipariksi.,"First day on the job, I lead us straight into an ambush.",- My first day was a mess.,,,,
Koko homma meni pipariksi! Juokse!,"The whole thing's gone in the crapper, kid!",The whole thing went haywire! Run!,,,,
"Hyvä on, menen piparittomana.","All right, I'll go cookie-less.","All right, I&#39;ll go pepperless.",,,,
Se meni putkeen.,- That's right. All the way.,It went down the drain.,,,,
"No, jos tämä kaikki menee putkeen niin haluan tehdä sen oikein.","Well, if this all connects, I want to do it right.","Well, if this all works out, I want to do it right.",,,,
"Jokin ilmiselvästi meni putkeen, koska tienasitte miljoonan.",Obviously it was something because you made a million bucks in two months.,Something obviously went wrong because you made a million.,,,,
Tämä menee yli hilseen.,Has he really nothing else to do round here?,This goes over the top.,,,,
Tämä meni yli hilseen.,This is just way over my head.,This went over the top.,,,,
- Tekoäly menee yli hilseen.,All this A.I. stuff is way out of my league.,- Artificial intelligence goes overboard.,,,,
Shane jäi kuin nalli kalliolle! Britit voittivat kirkkaasti!,"After our first-innings victory, Jeremy decided that for the second challenge, we should re-run a race we'd first tried against the Germans.",Shane was left like a teddy bear on a rock! The British won resoundingly!,,,,
Et voi jättää toista kuin nallia kalliolle.,But you cannot just leave someone alone like that!,You can&#39;t leave anything but a teddy bear on a rock.,,,,
"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.","In this case, my client paid for the wedding and was hung out to dry.",My main man paid for the wedding and he was left like a teddy bear on a rock.,,,,
Miten nenänvalkaisu sujuu?,How's the drying out going?,How does nose whitening work?,,,,
"Miten sujuu? -Mikä? No liikunta, tupakkalakko, nenänvalkaisu...","You know: exercise, no smoking, no drinking...","How are you getting along? -What? Well, exercise, no smoking, nose whitening...",,,,
Taisi nousta väärällä jalalla tänään.,Talk about getting off on the wrong foot.,I guess I got off on the wrong foot today.,,,,
- Nousitko väärällä jalalla?,"- You got up the wrong side, huh?",- Did you get off on the wrong foot?,,,,
Nousitko väärällä jalalla sängystä?,Did someone wake up on the wrong side of the bed?,Did you get out of bed on the wrong foot?,,,,
- Hän oikaisi koipensa.,Gave him a break.,- He straightened his moth bush.,,,,
Taisimme joutua ojasta allikkoon.,Looks like the fat's not out of the fire yet.,I think we got out of the ditch and into the spring.,,,,
Ryhmän päämajassa asiat menevät ojasta allikkoon.,"Back at base, things are going from bad to worse.","At the group&#39;s headquarters, things go from bad to worse.",,,,
Jouduimmekohan ojasta allikkoon?,"Out of the frying pan; hopefully, not into the fire.",Did we fall from the ditch into the spring?,,,,
Jonkun on pakko leikata vanhat oksat pois.,- Someone's got to do it. Someone's got to cut away the old wood.,Someone has to cut the old branches off.,,,,
Nousen kohta ylös ja järjestän sellaisen kohtauksen että oksat pois.,"Paul, I'm gonna get up and make the biggest scene you can imagine.",I&#39;ll get up right away and arrange such a scene that the branches will be removed.,,,,
Oletko nähnyt Janen vihaisena? Siinä ovat oksat poissa.,Have you ever seen Jane in full flight?,Have you seen Jane angry? There the branches are gone.,,,,
"Hän on hukassa, herra. Pakkomielteinen.","She's undone, sir.","He&#39;s lost, sir. Obsessive.",,,,
"llman venepyssyä, olemme hukassa.","Without the punt gun, I feel we're lost.","Without a boat gun, we&#39;re lost.",,,,
"Jos olet hukassa tässä talossa, mene pelloille.",If you're lost in this house go back to the land!,"If you are lost in this house, go to the fields.",,,,
Kun kerran käännät kelkkasi olet hukassa.,"Once you tergiversate, you're lost.","Once you turn your sled, you&#39;re lost.",,,,
Makaatte alastomana keskellä kampusta - kuollut lammas päänne päällä.,"Ma'am, you are lying naked in the middle of campus with a dead sheep on your head.",You are lying naked in the middle of the campus - a dead sheep on your head.,,,,
- Se oli lammas. Millainen hummeri on?,Just plating up the pork and lamb now.,- It was a sheep. What is a lobster like?,,,,
"Nämä ei ole lampaita, vaan tuoreita poneja.",These ain't sheep. These is fresh nags.,"These are not sheep, but fresh ponies.",,,,
"Rikoit Talon sääntöjä, kun löit vetoa pelistä, - jossa sinulla on oma lehmä ojassa.",You broke with House rules when you bet on a game that you hold a personal stake in.,You broke the House Rules when you bet on a game where you have your own cow in the ditch.,,,,
"Alalla on oma lehmänsä ojassa niiden kanssa, - jotta eläimet nähdään yhä, - söpöinä nallukoina, jotka ovat täysin turvallisia.",The industry has a vested interest in spinning these so that the animals continue to appear like cuddly teddy bears that are completely safe.,"The industry has its own cow in the ditch with them, - so that the animals are still seen, - as cute teddies that are completely safe.",,,,
- Minulla on tässä oma lehmä ojassa.,It's mostly selfish on my part.,- I have my own cow in the ditch here.,,,,
"Kerron sinulle opetuksen, jonka opin kantapään kautta.",Let me give you a lesson that I had to learn the hard way.,Let me tell you a lesson I learned the hard way.,,,,
Joskus heidän on opittava kantapään kautta.,"Sometimes, they have to learn the hard way. If Hazel rejects your advice, let her.",Sometimes they have to learn the hard way.,,,,
Minun täytyi oppia kantapään kautta. Minä opin.,"If I did it, I was gonna do it and I was gonna learn the lesson the hard way, which I did, repeatedly.",I had to learn the hard way. I learned.,,,,
"Minä otan tilaisuudesta vaarin, vaikka lapsia ei kiinnostaisikaan.","Well, I'm gonna take advantage of this opportunity even if you children aren't interested.","I will take advantage of the opportunity, even if the children are not interested.",,,,
On otettava tilaisuudesta vaarin.,"And when you have an opportunity, you take it.",The opportunity must be taken care of.,,,,
"Mukava nähdä, että otat tilaisuudesta vaarin.",Glad to seeyou're taking advantage of the opportunities offered.,Nice to see that you are taking advantage of the opportunity.,,,,
Yli 800 ihmistä joutui viime vuonna vampyyrien uhriksi Louisianassa. Viranomaiset eivät pane tikkua ristiin.,"You know, last year there were over 800 reported vampire-related attacks in Louisiana alone, and the law won't do nothing about it.",More than 800 people fell victim to vampires in Louisiana last year. The authorities don&#39;t give a damn.,,,,
Aiotko sietää ryöstöt ja tapot panematta tikkua ristiin?,Are you ready to put up with looting and killing without lifting a finger?,Are you going to put up with robberies and Killings without giving a damn?,,,,
Eihän se että minä annan tarkoita että mies panisi tikun ristiin takiani.,Just because I'm giving doesn't mean I can expect a man to lift a finger for me.,The fact that I give doesn&#39;t mean that the man will give up on me.,,,,
Pata kattilaa soimaa.,Yeah? Look who's talking.,A pot of soima.,,,,
-Pata kattilaa soimaa.,It takes one to know one.,- Boil a pot of soima.,,,,
- Pata kattilaa soimaa.,- Look who's talking.,- A pot of soima.,,,,
Minulla on peukalo keskellä kämmentä.,I'm all thumbs today.,I have a thumb in the middle of my palm.,,,,
Hänellä on peukalo keskellä kämmentä.,He seems to be all thumbs.,He has a thumb in the middle of his palm.,,,,
Ja Thomasilla kun on peukalo keskellä kämmentä.,Thomas will be very busy. He's all fingers and thumbs.,And Thomas has his thumb in the middle of his palm.,,,,
En minä olekaan pieniin päin.,I'm not in the family way after all.,I&#39;m not into small things.,,,,
"Onnittelu, olet toden totta pieniin päin.","Congratulations. Your test confirms you, in fact, have a baby on the way. How about that?","Congratulations, you are so true to the little ones.",,,,
"Betsillä ja minulla on vaikea päästä pieniin päin, jos tajuatte.","You know, um, well, Betts and I are, uh... We're having a hell of a time getting in a family way, if you catch my drift.","Bets and I have a hard time getting to the little ones, if you understand.",,,,
Jalkani ovat turvonneet seisoskelusta pihkan edessä.,My feet are swollen from standing in front of the Amber all day.,My feet are swollen from standing in front of the pitch.,,,,
Ja hän taitaa olla pihkassa sinuun.,"Plus, I think she's got a little thing for you.",And he seems to have a crush on you.,,,,
