source,references,hypothesis,trans_error,human_error,ambiguous,error_type
"Regarde, j'en ai la chair de poule.","Look, I got freakin' goose bumps.","Look, I got goosebumps.",,,,
"Ah la vache, j'en ai la chair de poule.",Oh my God I got goose bumps.,"Oh damn, I got goosebumps.",,,,
Mitsuko et Joe ont le cœur sur la main.,Mitsuko and Joe are open-handed.,Mitsuko and Joe have their hearts on their sleeves.,,,,
"C'est bon, tu peux avoir le coeur sur la main","It's okay, you can wear your heart on your sleeve","It&#39;s okay, you can have your heart on your sleeve",,,,
"Vous savez, les Punjabis ont le coeur sur la main.",You know we Punjabis are really large-hearted.,"You know, Punjabis wear their hearts on their sleeves.",,,,
"Magnez vous le cul, j'ai la dalle!",Let's fucking go!,"Eat your ass, I have the slab!",,,,
J'ai la dalle.,I sure am hungry.,I&#39;m starving.,,,,
"Allez, j'ai la dalle.","Come on, I'm starving.","Come on, I have the slab.",,,,
J'ai la flemme de lire des sous-titres.,"Actually, no. I'm not down for subtitles tonight.",I&#39;m too lazy to read subtitles.,,,,
Ses parents avaient la flemme de l'appeler Bob ?,"What, his parents were too lazy to come up with, like, Bob?",His parents were too lazy to call him Bob?,,,,
J'ai eu la flemme.,"I got lazy, man, you know.",I had the laziness.,,,,
Tu as la gueule de bois.,You're hungover.,You have a hangover.,,,,
"En tant que demoiselle d'honneur, je dois m'assurer que personne n'ait la gueule de bois.","- WAIT, WAIT, WAIT. AS MAID OF HONOR, IT'S MY RESPONSIBILITY TO MAKE SURE","As a bridesmaid, I have to make sure no one gets hungover.",,,,
- Bien sûr que j'ai la gueule de bois.,Of course I'm hungover.,- Of course I&#39;m hungover.,,,,
"J'ai la patate, moi !",I'm starting to see why!,I have the potato!,,,,
Je peux avoir les patates ?,"May I have the potatoes, please?",Can I have the potatoes?,,,,
"- Papa, puis-je avoir les patates ?","- Dad, may I please have the potatoes?","- Dad, can I have the potatoes?",,,,
J'ai la pêche à mort.,Good as hell.,I have the peach to death.,,,,
J'ai la pêche comme c'est pas possible.,My spirit's high as it can be,I have the fishing as it is not possible.,,,,
"T'as la pêche, hein ?",- You're in great shape!,"You have the peach, huh?",,,,
Tu cherches trop à impressionner. Tu as les yeux plus gros que le ventre.,"You try so hard to impress people, you always bite off more than you can chew.",You try too hard to impress. Your eyes are bigger than your stomach.,,,,
"Voila ce qui arrive lorsqu'on a les yeux plus gros que le ventre, Pat.","This is what happens when you get too big for your boots, Pat.","This is what happens when your eyes are bigger than your stomach, Pat.",,,,
J'avais les yeux plus gros que le ventre.,I bit off more than I could chew.,My eyes were bigger than my stomach.,,,,
- Non. On a d'autres chats à fouetter.,We have bigger fish to fry.,- Nope. We have other fish to fry.,,,,
"Arrête, on a d'autres chats à fouetter.","Shut up, focus on the job.","Stop, we have other fish to fry.",,,,
On a d'autres chats à fouetter.,We got bigger fish to fry.,We have other fish to fry.,,,,
J'ai un chat dans la gorge.,Yeah.,I&#39;ve a frog in my throat.,,,,
J'avais un chat dans la gorge.,Just got a frog in my throat.,I had a cat in my throat.,,,,
Il a un chat dans la gorge.,He's just a little hoarse.,He has a cat in his throat.,,,,
"Meg disait à Markayla de ralentir, mais Markayla a eu un coup de foudre.","Meg kept telling Markayla to slow down, but Markayla was head over heels.","Meg was telling Markayla to slow down, but Markayla had a crush.",,,,
Moi aussi. Mais on n'a pas eu de coup de foudre.,"So do I, but we didn't love each other at first either.",Me too. But we didn&#39;t have a crush.,,,,
"Avoir un coup de foudre, c'est sentir le véritable amour.","To experience love at first sight, is to feel true love.",To fall in love is to feel true love.,,,,
"Je m'appelle Sydney White, mon pére est plombier, je collectionne les BD et j'ai une peur bleue des ballons en forme d'animaux.",My name is Sydney White. My dad's a plumber. I collect comic books and I'm secretly terrified of balloon animals.,"My name is Sydney White, my father is a plumber, I collect comics and I&#39;m scared to death of balloons in the shape of animals.",,,,
L'autre moitié a une peur bleue de lui.,The rest... scared to death of that wombat.,The other half is scared to death of him.,,,,
"Vous avez oublié, je suis influent à Klingen et que j'ai une peur bleue des pigeons.","Well, you only left out that... I'm fluent in Klingon and have a bona fide fear of pigeons.","You forgot, I&#39;m influential in Klingen and I&#39;m terrified of pigeons.",,,,
Il a un poil dans la main.,That boy is scared of working. He ain't done a lick of work in his life.,He has a hair in his hand.,,,,
Surtout ceux qui ont un poil dans la main. Ils préfèrent rester assis et manger des fruits.,They're just too idle to work.,Especially those who have a hair in their hand. They prefer to sit still and eat fruit.,,,,
"Et toi aussi mon petit Mattis tu pourrais aider, mais tu as un poil dans la main.","What about you, little Mattis. You could lend a hand too.","And you too my little Mattis you could help, but you have a hair in your hand.",,,,
Battons le fer tant qu'il est chaud.,We have to act quickly and seize this opportunity.,Strike while the iron is hot.,,,,
Il faut battre le fer tant qu'il est chaud.,You gotta strike while the iron is hot.,Strike while the iron is hot.,,,,
- Battons le fer tant qu'il est chaud!,Strike while the iron is hot!,- Let&#39;s strike while the iron is hot!,,,,
- Il pourrait blanchir de l'argent.,He could be laundering money. - So?,- He could launder money.,,,,
Bien pratique pour blanchir de l'argent en tant que gros dealer de coke,Which comes in handy to launder all the money he makes as the biggest coke dealer,Handy for laundering money as a big coke dealer,,,,
"A droite, une holding dont se sert Khasinau pour blanchir de l'argent.","On the right, a holding company that Khasinau uses to launder money.","On the right, a holding company used by Khasinau to launder money.",,,,
"""Putain de salope, arrête de boire comme un trou au déjeuner.",You shouldn't have drank so much water at lunch!,"&quot;Damn bitch, stop drinking like a hole at lunch.",,,,
Ils boivent comme des trous.,They're drinkin' like fishes.,They drink like holes.,,,,
Il a commencé à boire comme un trou.,Started drinking like a fish.,He started drinking like a hole.,,,,
Millie ne sera pas choquée de voir quelqu'un boire un coup.,Millie won't be shocked to see somebody take a drink.,Millie won&#39;t be shocked to see someone having a drink.,,,,
Deux courtiers sont venus boire un coup.,A couple of brokers stopped in for spritzers one night.,Two brokers came for a drink.,,,,
Viens boire un coup ce soir.,Aren't you coming with us?,Come have a drink tonight.,,,,
"Et d'ailleurs, je déteste casser du sucre sur le dos de quelqu'un.","Anyway, I don't like talking about people behind their back.","And besides, I hate breaking sugar on someone&#39;s back.",,,,
"Et ça non plus, ce n'est pas tes oignons.","And this isn't any of your business, either.",And that&#39;s not your business either.,,,,
- Ce n'est pas tes oignons.,"- Nothing, don't look at it.",- It&#39;s none of your business.,,,,
"Ecoutez, peu importe les sentiments que vous avez eus du vivant de votre ami, ce n'est pas mes oignons.","Sir, whatever you gentlemen felt for each other when your friend was still alive... is certainly none of my affair.","Look, whatever feelings you had while your friend was alive, that&#39;s none of my business.",,,,
C'est la fin des haricots!,This is the end of the beans!,It is the end of beans!,,,,
Je crois que c'est la fin des haricots pour le mollusque à moteur.,Looks like the party is over for the motoring mollusk.,I believe that&#39;s the end of the beans for the motor shellfish.,,,,
C'est la fin des haricots.,It's a nail in my coffin.,It is the end of beans.,,,,
M. Blumenthal qui menace de changer de crèmerie. M. Hardigan... Il t'a dit ça ?,Mr. Blumenthal's threatening to take his business elsewhere.,Mr. Blumenthal threatening to change dairies. Mr. Hardigan... He told you that?,,,,
Elles ont changé de crèmerie pour se cacher.,The two ninnies just moved to a more private venue.,They have changed dairies to hide.,,,,
"Inutile, ""chat échaudé craint l'eau froide"".",They're scared enough as it is.,"Useless, &quot;scalded cat fears cold water&quot;.",,,,
Chat échaudé craint l'eau froide.,I got burned once and I learned my lesson.,Scalded cat fears cold water.,,,,
"Chat échaudé craint l'eau froide, hein ?","The burned child dreads the fire, eh?","Scalded cat fears cold water, huh?",,,,
"Là, ça fait le mec qui cherche la petite bête.",That will look like nit-picking.,"There, it&#39;s the guy looking for the little beast.",,,,
"- Quoi ? Je vous montre un truc fabuleux, et vous cherchez la petite bête.","I show you something fantastic, you find fault.","- What ? I&#39;m showing you something fabulous, and you&#39;re looking for the little beast.",,,,
"Ils cherchent la petite bête, pour que rien ne flanche.","Well, I suppose they're all bending over backwards to get this thing right. It's just got to be, you know?","They are looking for the little beast, so that nothing fails.",,,,
"Tu as regardé ""Coup de foudre à Notting Hill"" pour moi?",You watched Notting Hill for me?,Did you watch &quot;Love at First sight in Notting Hill&quot; for me?,,,,
"Tu crois que cette fille, cette bombasse a vu Éric, elle a flashé, hop, coup de foudre.",Really? You think that 25-year-old sex bomb saw Eric and suddenly fell in love with him?,"Do you think this girl, this hottie saw Eric, she flashed, hop, love at first sight.",,,,
Barbara a eu le coup de foudre en voyant une photo de toi dans People magasine,Barbara fell enchanted vith you in a picture in People magazine,Barbara fell in love with a photo of you in People magazine.,,,,
Ça me coûte les yeux de la tête.,That costs me an arm and a leg.,It costs me the eyes of the head.,,,,
Ça m'a coûté les yeux de la tête.,You have no idea how much money I've spent on dolls.,It cost me the eyes of the head.,,,,
C'est dépassé et ça coûte les yeux de la tête.,It's outdated and expensive as shit.,It&#39;s outdated and it costs an arm and a leg.,,,,
"Même si ça me coûte les yeux de la tête, pour payer ses études, je remercie Dieu de pouvoir encore boire un coup.",Considering it costs me an arm and a leg to pay for his education I'm thankful I can afford to drink,"Even if it costs me the eyes of the head, to pay for his studies, I thank God that I can still have a drink.",,,,
On crève la dalle.,-We were starving.,We break the slab.,,,,
Je crève la dalle.,"Look, I gotta eat, okay?",I&#39;m starving.,,,,
"Une heure après, vous crevez la dalle.","You go in there and spend 50 and eat for an hour and a half, and a half hour later you´re starving to death.","An hour later, you burst the slab.",,,,
"Lutter contre ce type, c'est donner de la confiture aux cochons !",A fight with that guy is like feeding sows to the pigs.,To fight this guy is to give jam to the pigs!,,,,
"C'est comme donner de la confiture aux cochons, hein ?","Like throwing pearls to the pigs, eh?","It&#39;s like giving jam to pigs, isn&#39;t it?",,,,
Et il a passé sa vie à donner de la confiture aux cochons.,"And then he spent his whole career ""casting pearls before swine"", He talked like that...",And he spent his life giving jam to pigs.,,,,
Vous avez donné votre langue au chat?,Cat got your tongue?,You gave your tongue to the cat?,,,,
Je donne ma langue au chat.,What is it?,I give my tongue to the cat.,,,,
"- Je donne ma langue au chat, James.","- You've got me, James.","- I give my tongue to the cat, James.",,,,
Il adore les sucettes et en a marre d'en tenir six à la fois ?,"Maybe he's really into lollipops, and he's tired of housing six at a time?",He loves lollipops and is tired of holding six at a time?,,,,
J'en ai marre d'être sous ce soleil... à discutailler avec un aspirant dictateur.,"Now, look, I'm tired of hanging around under this sun... playing footsie with a half-pint would-be dictator.",I&#39;m sick of being in this sun... arguing with an aspiring dictator.,,,,
Elle en a marre que je sente l'iodoforme.,She says I have to stop smelling of iodoform.,She&#39;s sick of me smelling of iodoform.,,,,
"Putain, j'en ai rien à foutre! J'en ai marre!","Fuck, I don't want to know, I've had enough!","Damn, I don&#39;t give a fuck! I&#39;ve had it up to here!",,,,
"C'est la faute à personne. Terminé. Tourne la page, j'en ai marre.","Move on, because, frankly, I'm sick of hearing about it.","It&#39;s nobody&#39;s fault. Ended. Turn the page, I&#39;m fed up.",,,,
Nous sommes en train d'en avoir marre l'un de l'autre.,We're slowly getting sick of each other.,We are getting fed up with each other.,,,,
J'en ai ras-le-bol de 1973.,I'm bloody sick of 1973.,I&#39;m sick of 1973.,,,,
J'en ai ras-le-bol de tes phénomènes paranormaux.,You and your supernatural phenomena. You're driving me crazy.,I&#39;m fed up with your paranormal phenomena.,,,,
Elle en avait ras-le-bol de toi.,She was sick of you.,She was fed up with you.,,,,
"J'en ai ras-le bol d'être ici, je veux rentrer chez moi.",The fuck can... I'm tired of this shit. I want to go home,"I&#39;m tired of being here, I want to go home.",,,,
"Pour guérir mieux, plus vite. J'en ai ras le bol d'être ici quand mes amis sont là-bas. Je ne peux le dire à personne.","So I can get better fast, because I'm sick and tired of being here while my friends die over there, and I can't tell anyone that, because they won't get it.","To heal better, faster. I&#39;m sick of being here when my friends are there. I can&#39;t tell anyone.",,,,
- Non. J'ai chaud et j'en ai ras le bol.,"I'm hot, and I'm fuckin' bored.",- Nope. I&#39;m hot and I&#39;m fed up.,,,,
Les enflures dehors n'en ont rien à cirer de nous !,Them motherfuckers outside this place don't give a fuck about us.,The swellings outside don&#39;t give a shit about us!,,,,
Je vous avais dit qu'elle en avait rien à cirer de moi.,I told you she doesn't give two shits about me.,I told you she didn&#39;t care about me.,,,,
"J'en ai rien à cirer!""","I don't give a goddamn!""",I don&#39;t care!&quot;,,,,
J'en ai rien a faire de vivre les deux prochaines heures.,"Look, I don't care about living through the next two hours.",I don&#39;t care about living the next two hours.,,,,
Et la police n'en avait rien à faire.,Stolen. The police couldn't have cared less.,And the police didn&#39;t care.,,,,
Au lieu de leur rentrer dedans comme si tu n'en avais rien à faire.,Instead of coming across like you don't care.,Instead of bumping into them like you don&#39;t care.,,,,
"""J'en ai rien à foutre de Mozart !"" Parfait !","""I do not give a shit about Mozart!"" Perfect! Remove.",&quot;I don&#39;t give a fuck about Mozart!&quot; Perfect !,,,,
"Fais ce que tu veux, j'en ai rien à foutre.",Suit yourself. See if I care.,"Do what you want, I don&#39;t give a fuck.",,,,
J'en ai rien à foutre.,I'm not giving you shit.,I don&#39;t give a fuck.,,,,
"Si tu te sens seul, comme si on en a rien à foutre de toi... et que le monde entier en a rien à cirer, moi, je suis là.","If you're feeling alone, like nobody in the world cares... and nobody in the fucking world gives a shit, then I'm here.","If you feel alone, like we don&#39;t give a fuck about you... and the whole world doesn&#39;t give a damn, I&#39;m here.",,,,
Pourquoi est-ce qu'il faut en faire tout un fromage ?,Why does it have to be such a big deal?,Why do you have to make such a big deal out of it?,,,,
Cette stupide bague dont ta famille en fait tout un fromage ?,"Oh, that stupid ring that your family holds onto like a bunch of hobbits?",That stupid ring your family makes such a big deal out of?,,,,
"Ouais enfin, on va pas en faire tout un fromage.","Yeah, well, let's not make a big deal out of it.","Yeah finally, we&#39;re not going to make a big deal out of it.",,,,
Ton équipe pourrait en prendre de la graine.,Something your team could learn about.,Your team could take the seed.,,,,
Je devrais en prendre de la graine.,I should learn from you.,I should take the seed.,,,,
"- Oui, tu devrais en prendre de la graine.",- You should take a page from his book.,"- Yes, you should take the seed.",,,,
Tu enfonces une porte ouverte.,Now you're preaching to the choir.,You&#39;re kicking in an open door.,,,,
"C'est enfoncer une porte ouverte, mais, d'accord...","That's sort of a given but, yes.","It&#39;s kicking in an open door, but, okay...",,,,
"À part en enfonçant une porte ouverte,",Right.,"Except kicking in an open door,",,,,
"- À ta place, je ferais gaffe à mon cul.","- Lf I was you, I'd watch my ass.","- If I were you, I&#39;d watch my ass.",,,,
"Fais gaffe oû tu mets les pieds, j'ai tout astiqué.","Watch where you're walking, I just mopped here.","Be careful where you put your feet, I polished everything.",,,,
"- Tous chez Faucelli! - Aux baraques, faites gaffe!","Back to the sheds, and keep your eyes open!","- All at Faucelli! - At the barracks, watch out!",,,,
"Fais gaffe, je suis en train de suturer.",Hello. I'm suturing here.,"Watch out, I&#39;m suturing.",,,,
"Quand on était petits, on croyait que maman faisait l'andouille.",Remember when we were kids and we thought mom was just being silly?,"When we were little, we thought that mom made the andouille.",,,,
Il a fait l'andouille et maintenant il en récolte les fruits .,He acted like a jerk and now he caught it in the butt.,He made the sausage and now he&#39;s reaping the rewards.,,,,
Pourquoi tu te crois toujours obligé de faire l'andouille ?,Why do you have to act like an idiot?,Why do you always think you have to do the andouille?,,,,
J'ai commencé à faire la grasse matinée les dimanches matins.,I started sleeping in on Sunday mornings.,I started sleeping in on Sunday mornings.,,,,
"Je vais apprendre à me détendre, à faire la grasse matinée.",Yep. I'm going to relax and sleep late.,"I&#39;m going to learn to relax, to sleep in.",,,,
"C'est samedi, et c'est notre journée de repos. On va pouvoir faire la grasse matinée.","It's Saturday, that's our day off and we're gonna get to sleep in.","It&#39;s Saturday, and it&#39;s our day off. We can sleep late.",,,,
Elle doit être en train de faire la grasse matinée dans la chambre de Jake.,"Uh, gee, I guess she's probably still asleep in jake's room.",She must be sleeping in in Jake&#39;s room.,,,,
"Ok les chatons, on y va. On fait le pont de Londres.","Okay, kitties, let's go.","Ok kittens, here we go. We&#39;re doing London Bridge.",,,,
"Celui-ci est à l'envers, alors si vous faisiez le pont...","This one is upside down, so if you were doing a back bend or something...","This one is upside down, so if you did the bridge...",,,,
"Il veut refaire le pont, tout le pont, avant le début de la saison.","He wants to re-bed the deck, the whole deck, before the start of the season.","He wants to rebuild the bridge, the whole bridge, before the start of the season.",,,,
Comment pouvez-vous accepter de faire la sourde oreille à ceux qui souffrent sur une carte ?,"How convenient that must be for you, to turn a deaf ear to those who suffer behind a line on a map.",How can you agree to turn a deaf ear to those who suffer on a map?,,,,
Et elle a fait la sourde oreille.,And she shut me down completely.,And she turned a deaf ear.,,,,
"Tu parleras au conseil, mais il fera la sourde oreille.","You will go before the council, but your words will fall on deaf ears.","You will speak to the council, but it will turn a deaf ear.",,,,
Tu fais la tête.,Now you're sulking.,You make your head.,,,,
"Tu as décidé de me faire la tête, c'est ça ?",You are giving to me the silent treatment.,"You decided to piss me off, right?",,,,
"Oui, c'est vrai, je pense que tu as fait la tête non stop de 1992 à 1994 peut-être.","Yes, right, I think you sulked nonstop from about 1992 to '94 maybe.","Yes, it&#39;s true, I think you sulked non-stop from 1992 to 1994 maybe.",,,,
Tu m'as fait une queue de poisson.,"You cut me off, bitch.",You made me a fishtail.,,,,
"Un jour, un type a fait une queue de poisson à Pinker.","One time, this guy cuts Pinker off on the highway.","One day, a guy fishtailed Pinker.",,,,
Il t'a fait une queue de poisson sur l'autoroute.,He cut you off on the freeway.,He cut you off on the freeway.,,,,
Je ferais un tabac avec un car vidéo-mobile.,- I can get the jump on everybody if I get a remote.,I would be a hit with a video-mobile car.,,,,
"Il a bossé un an et à son retour, il a fait un tabac.",He just worked his ass off for a year. He come back. And he hit it big.,"He worked for a year and when he came back, he was a hit.",,,,
Vous pourriez faire un tabac.,You could be really big.,You could be a hit.,,,,
Pourquoi avez-vous filé à l'anglaise?,Why'd you give them the slip up at the hospital? You don't like the place?,Why did you slip away?,,,,
Vous avez filé à l'anglaise ?,"Say, did you sneak out of here?",Did you spin in English?,,,,
Il a filé à l'anglaise.,He was tired and slipped away.,He spun in English.,,,,
Et ça finit en queue de poisson.,Then it all fizzles out.,And it ends in a fishtail.,,,,
L'enquête pourrait finir en queue de poisson.,The investigation could end up going the other way.,The investigation could come to a head.,,,,
- Il fait un froid de canard.,- It's freezing cold!,- It&#39;s freezing cold.,,,,
Il fait un froid de canard.,"It's colder than a well digger's ass, man.",It&#39;s freezing cold.,,,,
"Il fait un froid de canard, ici.",It's freezing here.,It&#39;s freezing cold here.,,,,
Il faut souffrir pour être belle.,And that's a good thing?,You must suffer to be beautiful.,,,,
Il faut souffrir pour être beau.,"No pain, no gain.",One must suffer to be beautiful.,,,,
Il faut souffrir pour être beau !,Agony fashion !,One must suffer to be beautiful !,,,,
"À 4h du matin, sur les routes d'Akina il n'y a pas un chat.",There's not a soul there at 4 in the morning.,"At 4am, on the roads of Akina there is not a cat.",,,,
"Il n'y avait pas un chat, alors j'ai commandé un cocktail.","There wasn't a soul to talk to, so I ordered a sidecar.","There wasn&#39;t a cat, so I ordered a cocktail.",,,,
Il n'y aura pas un chat à moins que les joueurs ne viennent avec des souris.,The game won't draw flies unless the players bring their horses.,There won&#39;t be a chat unless the players come with mice.,,,,
Ça lui apprendra à jeter l'argent par les fenêtres !,"I'm going to teach that boy a lesson. Yes, that's what he deserves  throwing nickels around like that.",That&#39;ll teach him to throw money away!,,,,
"Tu as passé ta vie à flamber, à jeter l'argent par les fenêtres.",You spent your life squandering your money.,"You&#39;ve spent your life flaming, throwing money down the drain.",,,,
On résout les problèmes en jetant l'argent par les fenêtres ?,That's the spirit. Solving problems by throwing money at them.,Do we solve problems by throwing money away?,,,,
"Eh bien, si tu vas jeter le bébé avec l'eau du bain...","Well, if you're gonna throw the baby out with the bathwater...","Well, if you&#39;re going to throw the baby out with the bathwater...",,,,
"qui devient intéressant de commencer, mais que personne ne ""jeter le bébé avec l'eau du bain"" et je pense que c'est très important, de garder la foi dans la science.",But one doesn't want to throw the baby with the bath water and I think it's really important to stay faithful to science.,"which is getting interesting to start with, but no one is &quot;throwing the baby out with the bathwater&quot; and I think that&#39;s very important, to keep the faith in science.",,,,
On jetait le bébé avec l'eau du bain.,A case of throwing the baby out with the bath water.,The baby was thrown out with the bathwater.,,,,
Le toebib a jeté l'éponge ae 6e roend.,The doctor threw in the towel in the sixth round.,The toebib threw in the towel ae 6th roend.,,,,
Tu te planques ? Tu crois que je vais jeter l'éponge !,You think you've escaped?,Are you hiding? You think I&#39;m going to throw in the towel!,,,,
"Sa dernière tension est à 70, mais Bailey veut pas jeter l'éponge.","Her last systolic was in the 70s, but Bailey's not ready to throw in the towel yet.","His latest blood pressure is 70, but Bailey doesn&#39;t want to throw in the towel.",,,,
"Je suis revenu avec des glacières médicales, un conteneur scellé, mais, une fois, j'ai jeté un coup d'oeil.","I flew back with medical ice chests, coolers sealed up tight, but I got a look once.","Came back with medical coolers, sealed container, but once I peeked.",,,,
Ça ne vous dérange pas si on jette un coup d'oeil ?,I hope you don't mind if we look around.,Do you mind if we take a look?,,,,
Laissez-moi juste jeter un coup d'oeil.,Just give me one stroll around the foot.,Just let me take a look.,,,,
"Le pauvre a eu du mal à joindre les deux bouts, dernièrement.",Poor guy's been struggling lately.,Poor guy has been struggling to make ends meet lately.,,,,
Comment vais-je joindre les deux bouts ?,"How, how am I going to make ends meet, mmkay?",How am I going to make ends meet?,,,,
"C'est dur de joindre les deux bouts, mais encore plus d'épargner.","Breakin' even's hard enough, but getting ahead's impossible.","It&#39;s hard to make ends meet, but even harder to save.",,,,
Les carottes sont cuites!,That soup's gonna boil!,The carrots are cooked!,,,,
"Si Eaton les convainc d'être des martyres et d'accepter les 30 jours, les carottes sont cuites.","He doesn't have a right to be deaf, so he'll have to listen to what we have to say. First thing, there's nothing in your file about children.","If Eaton convinces them to be martyrs and agree to the 30 days, the carrots are done.",,,,
"Vous vous dites, ""Les carottes sont cuites!","You're saying to yourself, ""The jig is up!","You say to yourself, &quot;The carrots are done!",,,,
"Je te bats les doigts dans le nez. Si c'est que tu veux, d'accord!","I could beat you hands down, but if that's what you want, you can have it!","I beat my fingers in your nose. If that&#39;s what you want, okay!",,,,
"J'écris pas ""Bises, Stephanie"" à quelqu'un qui a le doigt dans le nez tout le temps.","I can't sign, ""Love, Stephanie"" to someone who has his finger in his nose all day.","I don&#39;t write &quot;Bises, Stephanie&quot; to someone who has the finger in the nose all the time.",,,,
Je penserais que j'y suis arrivée les doigts dans le nez et je le regretterais.,I'll think I aced it and I'll live to regret it.,I would think that I got there with my fingers in my nose and I would regret it.,,,,
C'est pas la fin des haricots.,"listen, uh... It's not the end of the world.",It&#39;s not the end of the beans.,,,,
Ce n'est pas la fin des haricots...,"There, there, Esme. It's not the end of the world.",This is not the end of the beans...,,,,
Ce n'est pas la fin des haricots.,That's the last straw!,This is not the end of the beans.,,,,
"Tu sais, la goutte d'eau qui fait déborder le vase...",Did you ever hear about the straw that broke the camel's back?,"You know, the straw that broke the camel&#39;s back...",,,,
"Pour la Fox, c'était la goutte d'eau qui faisait déborder le vase.","For Fox, this was the final straw.","For the Fox, it was the straw that broke the camel&#39;s back.",,,,
C'est la goutte d'eau qui fait déborder le vase.,That's the last straw. I'm going over there.,It&#39;s the drop of water that makes the vase overflow.,,,,
L'habit ne fait pas le moine.,Not everything's as it seems,The clothes do not make the man.,,,,
- l'habit ne fait pas le moine.,- One man's ceiling is another man's floor.,- the clothes do not make the man.,,,,
"L'habit ne fait pas le moine, pas vrai, les gars ?","Sure as shit can't tell a book by its cover, huh, boys?","The clothes don&#39;t make the monk, right, guys?",,,,
J'ai mangé sur le pouce.,I kinda ate on the run.,I ate on the run.,,,,
"Au lieu de ça, je mangeais sur le pouce et je me rendais à un spectacle amateur de kabuki.","Instead, I stopped at my favorite sidewalk cafe for a quick bite, and was on my way to some kind of amateur kabuki performance.","Instead, I ate on the go and went to an amateur kabuki show.",,,,
