source,references,hypothesis,trans_error,human_error,ambiguous,error_type
C'est la fin des haricots.,It's a nail in my coffin.,That's the end of the beans.,,,,
M. Blumenthal qui menace de changer de crèmerie. M. Hardigan... Il t'a dit ça ?,Mr. Blumenthal's threatening to take his business elsewhere.,Mr. Blumenthal threatening to change creameries. Mr. Hardigan... Did he tell you that?,,,,
Elles ont changé de crèmerie pour se cacher.,The two ninnies just moved to a more private venue.,They have changed the creamery to hide.,,,,
"Inutile, ""chat échaudé craint l'eau froide"".",They're scared enough as it is.,"Useless, ""scalded cat fears cold water"".",,,,
Chat échaudé craint l'eau froide.,I got burned once and I learned my lesson.,"Once bitten, twice shy of cold water.",,,,
"Chat échaudé craint l'eau froide, hein ?","The burned child dreads the fire, eh?","Once bitten, twice shy, eh?",,,,
"Là, ça fait le mec qui cherche la petite bête.",That will look like nit-picking.,"Here, it's like the guy looking for the little beast.",,,,
"- Quoi ? Je vous montre un truc fabuleux, et vous cherchez la petite bête.","I show you something fantastic, you find fault.","- What? I'm showing you something fabulous, and you're looking for the smallest thing.",,,,
"Ils cherchent la petite bête, pour que rien ne flanche.","Well, I suppose they're all bending over backwards to get this thing right. It's just got to be, you know?","They are looking for the little beast, so that nothing goes wrong.",,,,
"Tu as regardé ""Coup de foudre à Notting Hill"" pour moi?",You watched Notting Hill for me?,"Did you watch ""Love at first sight in Notting Hill"" for me?",,,,
"Tu crois que cette fille, cette bombasse a vu Éric, elle a flashé, hop, coup de foudre.",Really? You think that 25-year-old sex bomb saw Eric and suddenly fell in love with him?,"You think this girl, this hottie saw Eric, she flashed, hop, love at first sight.",,,,
Barbara a eu le coup de foudre en voyant une photo de toi dans People magasine,Barbara fell enchanted vith you in a picture in People magazine,Barbara fell in love with you at first sight when she saw a picture of you in People magazine,,,,
Ça me coûte les yeux de la tête.,That costs me an arm and a leg.,It costs me the eyes of the head.,,,,
Ça m'a coûté les yeux de la tête.,You have no idea how much money I've spent on dolls.,It cost me my eyes.,,,,
C'est dépassé et ça coûte les yeux de la tête.,It's outdated and expensive as shit.,It's outdated and costs a lot of money.,,,,
"Même si ça me coûte les yeux de la tête, pour payer ses études, je remercie Dieu de pouvoir encore boire un coup.",Considering it costs me an arm and a leg to pay for his education I'm thankful I can afford to drink,"Even though it costs me an arm and a leg to pay for her education, I thank God that I can still have a drink.",,,,
On crève la dalle.,-We were starving.,We are starving.,,,,
Je crève la dalle.,"Look, I gotta eat, okay?",I'm starving.,,,,
"Une heure après, vous crevez la dalle.","You go in there and spend 50 and eat for an hour and a half, and a half hour later you´re starving to death.","An hour later, you are starving.",,,,
"Lutter contre ce type, c'est donner de la confiture aux cochons !",A fight with that guy is like feeding sows to the pigs.,Fighting against this guy is giving jam to the pigs!,,,,
"C'est comme donner de la confiture aux cochons, hein ?","Like throwing pearls to the pigs, eh?","It's like giving jam to pigs, right?",,,,
Et il a passé sa vie à donner de la confiture aux cochons.,"And then he spent his whole career ""casting pearls before swine"", He talked like that...",And he spent his life giving jam to pigs.,,,,
Vous avez donné votre langue au chat?,Cat got your tongue?,Have you given your tongue to the cat?,,,,
Je donne ma langue au chat.,What is it?,I give my tongue to the cat.,,,,
"- Je donne ma langue au chat, James.","- You've got me, James.","- I'm giving my tongue to the cat, James.",,,,
Il adore les sucettes et en a marre d'en tenir six à la fois ?,"Maybe he's really into lollipops, and he's tired of housing six at a time?",He loves lollipops and is tired of holding six at a time?,,,,
J'en ai marre d'être sous ce soleil... à discutailler avec un aspirant dictateur.,"Now, look, I'm tired of hanging around under this sun... playing footsie with a half-pint would-be dictator.",I'm tired of being under this sun... chatting with a would-be dictator.,,,,
Elle en a marre que je sente l'iodoforme.,She says I have to stop smelling of iodoform.,She's tired of me smelling like iodoform.,,,,
"Putain, j'en ai rien à foutre! J'en ai marre!","Fuck, I don't want to know, I've had enough!",I don't give a fuck! I'm sick of it!,,,,
"C'est la faute à personne. Terminé. Tourne la page, j'en ai marre.","Move on, because, frankly, I'm sick of hearing about it.","It's nobody's fault. No more. Turn the page, I'm done.",,,,
Nous sommes en train d'en avoir marre l'un de l'autre.,We're slowly getting sick of each other.,We are getting tired of each other.,,,,
J'en ai ras-le-bol de 1973.,I'm bloody sick of 1973.,I'm sick of 1973.,,,,
J'en ai ras-le-bol de tes phénomènes paranormaux.,You and your supernatural phenomena. You're driving me crazy.,I'm sick of your paranormal phenomena.,,,,
Elle en avait ras-le-bol de toi.,She was sick of you.,She was sick of you.,,,,
"J'en ai ras-le bol d'être ici, je veux rentrer chez moi.",The fuck can... I'm tired of this shit. I want to go home,"I'm tired of being here, I want to go home.",,,,
"Pour guérir mieux, plus vite. J'en ai ras le bol d'être ici quand mes amis sont là-bas. Je ne peux le dire à personne.","So I can get better fast, because I'm sick and tired of being here while my friends die over there, and I can't tell anyone that, because they won't get it.","To heal better, faster. I'm tired of being here when my friends are there. I can't tell anyone.",,,,
- Non. J'ai chaud et j'en ai ras le bol.,"I'm hot, and I'm fuckin' bored.","- No, I'm not. I'm hot and tired of it.",,,,
Les enflures dehors n'en ont rien à cirer de nous !,Them motherfuckers outside this place don't give a fuck about us.,The bastards out there don't give a shit about us!,,,,
Je vous avais dit qu'elle en avait rien à cirer de moi.,I told you she doesn't give two shits about me.,I told you she didn't care about me.,,,,
"J'en ai rien à cirer!""","I don't give a goddamn!""","I don't give a shit!""",,,,
J'en ai rien a faire de vivre les deux prochaines heures.,"Look, I don't care about living through the next two hours.",I don't care about living the next two hours.,,,,
Et la police n'en avait rien à faire.,Stolen. The police couldn't have cared less.,And the police didn't care.,,,,
Au lieu de leur rentrer dedans comme si tu n'en avais rien à faire.,Instead of coming across like you don't care.,Instead of running into them like you don't care.,,,,
"""J'en ai rien à foutre de Mozart !"" Parfait !","""I do not give a shit about Mozart!"" Perfect! Remove.","""I don't give a shit about Mozart!"" Perfect!",,,,
"Fais ce que tu veux, j'en ai rien à foutre.",Suit yourself. See if I care.,"Do what you want, I don't care.",,,,
J'en ai rien à foutre.,I'm not giving you shit.,I don't give a shit.,,,,
"Si tu te sens seul, comme si on en a rien à foutre de toi... et que le monde entier en a rien à cirer, moi, je suis là.","If you're feeling alone, like nobody in the world cares... and nobody in the fucking world gives a shit, then I'm here.","If you're feeling lonely, like no one gives a shit about you... and the whole world doesn't care, I'm here.",,,,
Pourquoi est-ce qu'il faut en faire tout un fromage ?,Why does it have to be such a big deal?,Why do we have to make a big deal out of it?,,,,
Cette stupide bague dont ta famille en fait tout un fromage ?,"Oh, that stupid ring that your family holds onto like a bunch of hobbits?",That stupid ring that your family makes such a big deal about?,,,,
"Ouais enfin, on va pas en faire tout un fromage.","Yeah, well, let's not make a big deal out of it.","Yeah well, let's not make a big deal out of it.",,,,
Ton équipe pourrait en prendre de la graine.,Something your team could learn about.,Your team could learn from this.,,,,
Je devrais en prendre de la graine.,I should learn from you.,I should learn from them.,,,,
"- Oui, tu devrais en prendre de la graine.",- You should take a page from his book.,"- Yes, you should learn from them.",,,,
Tu enfonces une porte ouverte.,Now you're preaching to the choir.,You're kicking in an open door.,,,,
"C'est enfoncer une porte ouverte, mais, d'accord...","That's sort of a given but, yes.","That's an open door, but okay...",,,,
"À part en enfonçant une porte ouverte,",Right.,"Except by breaking down an open door,",,,,
"- À ta place, je ferais gaffe à mon cul.","- Lf I was you, I'd watch my ass.","- If I were you, I'd watch my ass.",,,,
"Fais gaffe oû tu mets les pieds, j'ai tout astiqué.","Watch where you're walking, I just mopped here.","Be careful where you step, I've polished everything.",,,,
"- Tous chez Faucelli! - Aux baraques, faites gaffe!","Back to the sheds, and keep your eyes open!","- Everyone to Faucelli's! - To the barracks, watch out!",,,,
"Fais gaffe, je suis en train de suturer.",Hello. I'm suturing here.,"Watch out, I'm suturing.",,,,
"Quand on était petits, on croyait que maman faisait l'andouille.",Remember when we were kids and we thought mom was just being silly?,"When we were little, we thought that mom was making the andouille.",,,,
Il a fait l'andouille et maintenant il en récolte les fruits .,He acted like a jerk and now he caught it in the butt.,He made the sausage and now he reaps the benefits.,,,,
Pourquoi tu te crois toujours obligé de faire l'andouille ?,Why do you have to act like an idiot?,Why do you always feel compelled to be a jerk?,,,,
J'ai commencé à faire la grasse matinée les dimanches matins.,I started sleeping in on Sunday mornings.,I started sleeping in on Sunday mornings.,,,,
"Je vais apprendre à me détendre, à faire la grasse matinée.",Yep. I'm going to relax and sleep late.,"I will learn to relax, to sleep in.",,,,
"C'est samedi, et c'est notre journée de repos. On va pouvoir faire la grasse matinée.","It's Saturday, that's our day off and we're gonna get to sleep in.","It's Saturday, and it's our day off. We will be able to sleep in.",,,,
Elle doit être en train de faire la grasse matinée dans la chambre de Jake.,"Uh, gee, I guess she's probably still asleep in jake's room.",She must be sleeping in Jake's room.,,,,
"Ok les chatons, on y va. On fait le pont de Londres.","Okay, kitties, let's go.","Ok kittens, let's go. Let's do the London Bridge.",,,,
"Celui-ci est à l'envers, alors si vous faisiez le pont...","This one is upside down, so if you were doing a back bend or something...","This one is upside down, so if you were to bridge the gap...",,,,
"Il veut refaire le pont, tout le pont, avant le début de la saison.","He wants to re-bed the deck, the whole deck, before the start of the season.","He wants to redo the deck, the whole deck, before the season starts.",,,,
Comment pouvez-vous accepter de faire la sourde oreille à ceux qui souffrent sur une carte ?,"How convenient that must be for you, to turn a deaf ear to those who suffer behind a line on a map.",How can you agree to turn a deaf ear to those who suffer on a map?,,,,
Et elle a fait la sourde oreille.,And she shut me down completely.,And she turned a deaf ear.,,,,
"Tu parleras au conseil, mais il fera la sourde oreille.","You will go before the council, but your words will fall on deaf ears.","You will talk to the council, but they will turn a deaf ear.",,,,
Tu fais la tête.,Now you're sulking.,You're sulking.,,,,
"Tu as décidé de me faire la tête, c'est ça ?",You are giving to me the silent treatment.,"You've decided to give me a hard time, haven't you?",,,,
"Oui, c'est vrai, je pense que tu as fait la tête non stop de 1992 à 1994 peut-être.","Yes, right, I think you sulked nonstop from about 1992 to '94 maybe.","Yes, it's true, I think you were doing the head non stop from 1992 to 1994 maybe.",,,,
Tu m'as fait une queue de poisson.,"You cut me off, bitch.",You gave me a fishtail.,,,,
"Un jour, un type a fait une queue de poisson à Pinker.","One time, this guy cuts Pinker off on the highway.","One day, a guy gave Pinker a hard time.",,,,
Il t'a fait une queue de poisson sur l'autoroute.,He cut you off on the freeway.,He gave you the slip on the highway.,,,,
Je ferais un tabac avec un car vidéo-mobile.,- I can get the jump on everybody if I get a remote.,I'd make a killing with a mobile video bus.,,,,
"Il a bossé un an et à son retour, il a fait un tabac.",He just worked his ass off for a year. He come back. And he hit it big.,"He worked for a year and when he came back, he was a hit.",,,,
Vous pourriez faire un tabac.,You could be really big.,You could be a hit.,,,,
Pourquoi avez-vous filé à l'anglaise?,Why'd you give them the slip up at the hospital? You don't like the place?,Why did you run away?,,,,
Vous avez filé à l'anglaise ?,"Say, did you sneak out of here?",Did you get away with it?,,,,
Il a filé à l'anglaise.,He was tired and slipped away.,He ran away in the English way.,,,,
Et ça finit en queue de poisson.,Then it all fizzles out.,And it ends up in a fishtail.,,,,
L'enquête pourrait finir en queue de poisson.,The investigation could end up going the other way.,The investigation could end up in a mess.,,,,
- Il fait un froid de canard.,- It's freezing cold!,- It is freezing cold.,,,,
Il fait un froid de canard.,"It's colder than a well digger's ass, man.",It is freezing cold.,,,,
"Il fait un froid de canard, ici.",It's freezing here.,It's freezing here.,,,,
Il faut souffrir pour être belle.,And that's a good thing?,You have to suffer to be beautiful.,,,,
Il faut souffrir pour être beau.,"No pain, no gain.",You have to suffer to be beautiful.,,,,
Il faut souffrir pour être beau !,Agony fashion !,You have to suffer to be beautiful!,,,,
"À 4h du matin, sur les routes d'Akina il n'y a pas un chat.",There's not a soul there at 4 in the morning.,"At 4 am, on the roads of Akina there is not a cat.",,,,
"Il n'y avait pas un chat, alors j'ai commandé un cocktail.","There wasn't a soul to talk to, so I ordered a sidecar.","There wasn't a cat, so I ordered a cocktail.",,,,
Il n'y aura pas un chat à moins que les joueurs ne viennent avec des souris.,The game won't draw flies unless the players bring their horses.,There won't be a cat unless the players come with mice.,,,,
Ça lui apprendra à jeter l'argent par les fenêtres !,"I'm going to teach that boy a lesson. Yes, that's what he deserves  throwing nickels around like that.",That will teach him to throw money away!,,,,
"Tu as passé ta vie à flamber, à jeter l'argent par les fenêtres.",You spent your life squandering your money.,"You've spent your life flaming out, throwing money away.",,,,
On résout les problèmes en jetant l'argent par les fenêtres ?,That's the spirit. Solving problems by throwing money at them.,Do we solve problems by throwing money at them?,,,,
"Eh bien, si tu vas jeter le bébé avec l'eau du bain...","Well, if you're gonna throw the baby out with the bathwater...","Well, if you're going to throw the baby out with the bathwater...",,,,
"qui devient intéressant de commencer, mais que personne ne ""jeter le bébé avec l'eau du bain"" et je pense que c'est très important, de garder la foi dans la science.",But one doesn't want to throw the baby with the bath water and I think it's really important to stay faithful to science.,"that becomes interesting to start, but that no one ""throw the baby out with the bathwater"" and I think it is very important, to keep faith in science.",,,,
On jetait le bébé avec l'eau du bain.,A case of throwing the baby out with the bath water.,We were throwing the baby out with the bathwater.,,,,
Le toebib a jeté l'éponge ae 6e roend.,The doctor threw in the towel in the sixth round.,The toebib threw in the towel on the 6th weekend.,,,,
Tu te planques ? Tu crois que je vais jeter l'éponge !,You think you've escaped?,Are you hiding? You think I'm going to throw in the towel!,,,,
"Sa dernière tension est à 70, mais Bailey veut pas jeter l'éponge.","Her last systolic was in the 70s, but Bailey's not ready to throw in the towel yet.","His last pressure is 70, but Bailey doesn't want to throw in the towel.",,,,
"Je suis revenu avec des glacières médicales, un conteneur scellé, mais, une fois, j'ai jeté un coup d'oeil.","I flew back with medical ice chests, coolers sealed up tight, but I got a look once.","I came back with medical coolers, a sealed container, but, once, I took a look.",,,,
Ça ne vous dérange pas si on jette un coup d'oeil ?,I hope you don't mind if we look around.,Do you mind if we take a look around?,,,,
Laissez-moi juste jeter un coup d'oeil.,Just give me one stroll around the foot.,Let me just take a look.,,,,
"Le pauvre a eu du mal à joindre les deux bouts, dernièrement.",Poor guy's been struggling lately.,The poor guy has been struggling to make ends meet lately.,,,,
Comment vais-je joindre les deux bouts ?,"How, how am I going to make ends meet, mmkay?",How will I make ends meet?,,,,
"C'est dur de joindre les deux bouts, mais encore plus d'épargner.","Breakin' even's hard enough, but getting ahead's impossible.","It's hard to make ends meet, but even harder to save.",,,,
Les carottes sont cuites!,That soup's gonna boil!,The carrots are cooked!,,,,
"Si Eaton les convainc d'être des martyres et d'accepter les 30 jours, les carottes sont cuites.","He doesn't have a right to be deaf, so he'll have to listen to what we have to say. First thing, there's nothing in your file about children.","If Eaton convinces them to be martyrs and accept the 30 days, the carrots are cooked.",,,,
"Vous vous dites, ""Les carottes sont cuites!","You're saying to yourself, ""The jig is up!","You think, ""The carrots are cooked!",,,,
"Je te bats les doigts dans le nez. Si c'est que tu veux, d'accord!","I could beat you hands down, but if that's what you want, you can have it!","I'll beat you to the punch. If that's what you want, fine!",,,,
"J'écris pas ""Bises, Stephanie"" à quelqu'un qui a le doigt dans le nez tout le temps.","I can't sign, ""Love, Stephanie"" to someone who has his finger in his nose all day.","I don't write ""Kisses, Stephanie"" to someone who has their finger in their nose all the time.",,,,
Je penserais que j'y suis arrivée les doigts dans le nez et je le regretterais.,I'll think I aced it and I'll live to regret it.,I'd think I'd gotten there with my fingers in my nose and regret it.,,,,
C'est pas la fin des haricots.,"listen, uh... It's not the end of the world.",This is not the end of the beans.,,,,
Ce n'est pas la fin des haricots...,"There, there, Esme. It's not the end of the world.",This is not the end of the beans...,,,,
Ce n'est pas la fin des haricots.,That's the last straw!,This is not the end of the beans.,,,,
"Tu sais, la goutte d'eau qui fait déborder le vase...",Did you ever hear about the straw that broke the camel's back?,"You know, the last straw...",,,,
"Pour la Fox, c'était la goutte d'eau qui faisait déborder le vase.","For Fox, this was the final straw.","For Fox, this was the last straw.",,,,
C'est la goutte d'eau qui fait déborder le vase.,That's the last straw. I'm going over there.,This is the last straw.,,,,
L'habit ne fait pas le moine.,Not everything's as it seems,Clothes don't make the man.,,,,
- l'habit ne fait pas le moine.,- One man's ceiling is another man's floor.,- the clothes don't make the man.,,,,
"L'habit ne fait pas le moine, pas vrai, les gars ?","Sure as shit can't tell a book by its cover, huh, boys?","Clothes don't make the man, right, guys?",,,,
J'ai mangé sur le pouce.,I kinda ate on the run.,I ate on the run.,,,,
"Au lieu de ça, je mangeais sur le pouce et je me rendais à un spectacle amateur de kabuki.","Instead, I stopped at my favorite sidewalk cafe for a quick bite, and was on my way to some kind of amateur kabuki performance.","Instead, I ate on the run and went to an amateur kabuki show.",,,,
Y a t-il des en-cas à manger sur le pouce ?,Is there any finger food?,Are there any snacks to eat on the go?,,,,
"- Une déposition, d'après lui. Je crois plutôt qu'il essaie de mener quelqu'un en bateau.","- He says it's a statement, but I think he's putting somebody on.","- A deposition, he says. I think he's trying to lead someone on.",,,,
Ça met du piment dans ma vie.,Adds a little excitement to my life.,It spices up my life.,,,,
Je mets du piment dans vos vies et vous vous plaignez sans cesse.,"I add a little excitement, a little spice to your lives and all you do is complain.",I add spice to your lives and you are always complaining.,,,,
Ça met du piment dans notre vie amoureuse.,It adds mystery and excitement to our love life.,It spices up our love life.,,,,
