source,references,hypothesis,trans_error,human_error,ambiguous,error_type
Mitsuko et Joe ont le cœur sur la main.,Mitsuko and Joe are open-handed.,Mitsuko and Joe have their hearts on their hands.,,,,
"C'est bon, tu peux avoir le coeur sur la main","It's okay, you can wear your heart on your sleeve","It's okay, you can have your heart on your hand.",,,,
"Vous savez, les Punjabis ont le coeur sur la main.",You know we Punjabis are really large-hearted.,"You know, Punjabis have their hearts on their hands.",,,,
"Magnez vous le cul, j'ai la dalle!",Let's fucking go!,"Get your ass up, I've got the slab!",,,,
J'ai la dalle.,I sure am hungry.,I've got the slab.,,,,
"Allez, j'ai la dalle.","Come on, I'm starving.","Come on, I got the slab.",,,,
J'ai la flemme de lire des sous-titres.,"Actually, no. I'm not down for subtitles tonight.",I've got the guts to read subtitles.,,,,
Ses parents avaient la flemme de l'appeler Bob ?,"What, his parents were too lazy to come up with, like, Bob?",Did his parents have the flummy to call him Bob?,,,,
J'ai eu la flemme.,"I got lazy, man, you know.",I've had the falter.,,,,
Tu as la gueule de bois.,You're hungover.,You're hungover.,,,,
"En tant que demoiselle d'honneur, je dois m'assurer que personne n'ait la gueule de bois.","- WAIT, WAIT, WAIT. AS MAID OF HONOR, IT'S MY RESPONSIBILITY TO MAKE SURE","As a bridesmaid, I have to make sure no one's hungover.",,,,
- Bien sûr que j'ai la gueule de bois.,Of course I'm hungover.,- Of course I'm hungover.,,,,
"J'ai la patate, moi !",I'm starting to see why!,I've got the potato!,,,,
Je peux avoir les patates ?,"May I have the potatoes, please?",Can I have the potatoes?,,,,
"- Papa, puis-je avoir les patates ?","- Dad, may I please have the potatoes?","- Dad, can I have the potatoes?",,,,
J'ai la pêche à mort.,Good as hell.,I'm fishing to death.,,,,
J'ai la pêche comme c'est pas possible.,My spirit's high as it can be,I'm fishing like I can't.,,,,
"T'as la pêche, hein ?",- You're in great shape!,"You're fishing, aren't you?",,,,
Tu cherches trop à impressionner. Tu as les yeux plus gros que le ventre.,"You try so hard to impress people, you always bite off more than you can chew.","You're trying too hard to impress, and your eyes are bigger than your belly.",,,,
"Voila ce qui arrive lorsqu'on a les yeux plus gros que le ventre, Pat.","This is what happens when you get too big for your boots, Pat.","That's what happens when your eyes are bigger than your belly, Pat.",,,,
J'avais les yeux plus gros que le ventre.,I bit off more than I could chew.,My eyes were bigger than my belly.,,,,
- Non. On a d'autres chats à fouetter.,We have bigger fish to fry.,We've got more cats to whip.,,,,
"Arrête, on a d'autres chats à fouetter.","Shut up, focus on the job.","Stop it, we've got more cats to whip.",,,,
On a d'autres chats à fouetter.,We got bigger fish to fry.,We have other cats to whip.,,,,
J'ai un chat dans la gorge.,Yeah.,I got a cat in my throat.,,,,
J'avais un chat dans la gorge.,Just got a frog in my throat.,I had a cat in my throat.,,,,
Il a un chat dans la gorge.,He's just a little hoarse.,He's got a cat in his throat.,,,,
"Meg disait à Markayla de ralentir, mais Markayla a eu un coup de foudre.","Meg kept telling Markayla to slow down, but Markayla was head over heels.","Meg told Markayla to slow down, but Markayla had a crush.",,,,
Moi aussi. Mais on n'a pas eu de coup de foudre.,"So do I, but we didn't love each other at first either.","Me too, but we didn't have a lightning strike.",,,,
"Avoir un coup de foudre, c'est sentir le véritable amour.","To experience love at first sight, is to feel true love.",To have a crush is to feel true love.,,,,
"Je m'appelle Sydney White, mon pére est plombier, je collectionne les BD et j'ai une peur bleue des ballons en forme d'animaux.",My name is Sydney White. My dad's a plumber. I collect comic books and I'm secretly terrified of balloon animals.,"My name is Sydney White, my father is a plumber, I collect comic books and I'm blue afraid of animal-shaped balloons.",,,,
L'autre moitié a une peur bleue de lui.,The rest... scared to death of that wombat.,The other half has a blue fear of him.,,,,
"Vous avez oublié, je suis influent à Klingen et que j'ai une peur bleue des pigeons.","Well, you only left out that... I'm fluent in Klingon and have a bona fide fear of pigeons.","You forgot, I'm influential in Klingen and I'm blue afraid of pigeons.",,,,
Il a un poil dans la main.,That boy is scared of working. He ain't done a lick of work in his life.,He's got a hair in his hand.,,,,
Surtout ceux qui ont un poil dans la main. Ils préfèrent rester assis et manger des fruits.,They're just too idle to work.,"Especially those with hair in their hands, they prefer to sit and eat fruit.",,,,
"Et toi aussi mon petit Mattis tu pourrais aider, mais tu as un poil dans la main.","What about you, little Mattis. You could lend a hand too.","And you too, my little Mattis, could help, but you have a hair in your hand.",,,,
Battons le fer tant qu'il est chaud.,We have to act quickly and seize this opportunity.,Let's beat the iron while it's hot.,,,,
Il faut battre le fer tant qu'il est chaud.,You gotta strike while the iron is hot.,You have to beat the iron while it's hot.,,,,
- Battons le fer tant qu'il est chaud!,Strike while the iron is hot!,- Let's beat the iron while it's hot!,,,,
- Il pourrait blanchir de l'argent.,He could be laundering money. - So?,- He could launder money.,,,,
Bien pratique pour blanchir de l'argent en tant que gros dealer de coke,Which comes in handy to launder all the money he makes as the biggest coke dealer,Convenient to launder money as a big coke dealer,,,,
"A droite, une holding dont se sert Khasinau pour blanchir de l'argent.","On the right, a holding company that Khasinau uses to launder money.","On the right, a holding company that Khasinau uses to launder money.",,,,
"""Putain de salope, arrête de boire comme un trou au déjeuner.",You shouldn't have drank so much water at lunch!,"""You bitch, stop drinking like a hole at lunch.",,,,
Ils boivent comme des trous.,They're drinkin' like fishes.,They drink like holes.,,,,
Il a commencé à boire comme un trou.,Started drinking like a fish.,He started drinking like a hole.,,,,
Millie ne sera pas choquée de voir quelqu'un boire un coup.,Millie won't be shocked to see somebody take a drink.,Millie won't be shocked to see someone drink a shot.,,,,
Deux courtiers sont venus boire un coup.,A couple of brokers stopped in for spritzers one night.,Two brokers came for a drink.,,,,
Viens boire un coup ce soir.,Aren't you coming with us?,Come have a drink tonight.,,,,
"Et d'ailleurs, je déteste casser du sucre sur le dos de quelqu'un.","Anyway, I don't like talking about people behind their back.","And besides, I hate to break sugar on someone's back.",,,,
"Et ça non plus, ce n'est pas tes oignons.","And this isn't any of your business, either.",And that's none of your business either.,,,,
- Ce n'est pas tes oignons.,"- Nothing, don't look at it.",- It's none of your business.,,,,
"Ecoutez, peu importe les sentiments que vous avez eus du vivant de votre ami, ce n'est pas mes oignons.","Sir, whatever you gentlemen felt for each other when your friend was still alive... is certainly none of my affair.","Look, whatever feelings you've had during your friend's lifetime, it's none of my business.",,,,
C'est la fin des haricots!,This is the end of the beans!,It's the end of the beans!,,,,
Je crois que c'est la fin des haricots pour le mollusque à moteur.,Looks like the party is over for the motoring mollusk.,I think it's the end of the beans for the motor mollusc.,,,,
C'est la fin des haricots.,It's a nail in my coffin.,It's the end of the beans.,,,,
M. Blumenthal qui menace de changer de crèmerie. M. Hardigan... Il t'a dit ça ?,Mr. Blumenthal's threatening to take his business elsewhere.,"Mr. Blumenthal, who's threatening to change his cream shop, Mr. Hardigan, did he tell you that?",,,,
Elles ont changé de crèmerie pour se cacher.,The two ninnies just moved to a more private venue.,They changed their cream shop to hide.,,,,
"Inutile, ""chat échaudé craint l'eau froide"".",They're scared enough as it is.,"Needless, ""scaled cat sucks cold water.""",,,,
Chat échaudé craint l'eau froide.,I got burned once and I learned my lesson.,Scalded cat fears cold water.,,,,
"Chat échaudé craint l'eau froide, hein ?","The burned child dreads the fire, eh?","Scalded cat sucks cold water, huh?",,,,
"Là, ça fait le mec qui cherche la petite bête.",That will look like nit-picking.,That's the guy looking for the little beast.,,,,
"- Quoi ? Je vous montre un truc fabuleux, et vous cherchez la petite bête.","I show you something fantastic, you find fault.","I'll show you something fabulous, and you're looking for the little beast.",,,,
"Ils cherchent la petite bête, pour que rien ne flanche.","Well, I suppose they're all bending over backwards to get this thing right. It's just got to be, you know?","They're looking for the little beast, so nothing's going on.",,,,
"Tu as regardé ""Coup de foudre à Notting Hill"" pour moi?",You watched Notting Hill for me?,"Did you watch ""Bunting at Notting Hill"" for me?",,,,
"Tu crois que cette fille, cette bombasse a vu Éric, elle a flashé, hop, coup de foudre.",Really? You think that 25-year-old sex bomb saw Eric and suddenly fell in love with him?,"You think this girl, this bombardment saw Eric, she flashed, hop, lightning.",,,,
Barbara a eu le coup de foudre en voyant une photo de toi dans People magasine,Barbara fell enchanted vith you in a picture in People magazine,Barbara had love at first sight when she saw a picture of you in People magazine,,,,
Ça me coûte les yeux de la tête.,That costs me an arm and a leg.,It costs me the eyes of my head.,,,,
Ça m'a coûté les yeux de la tête.,You have no idea how much money I've spent on dolls.,It cost me the eyes of my head.,,,,
C'est dépassé et ça coûte les yeux de la tête.,It's outdated and expensive as shit.,It's out of date and it costs the eyes of the head.,,,,
"Même si ça me coûte les yeux de la tête, pour payer ses études, je remercie Dieu de pouvoir encore boire un coup.",Considering it costs me an arm and a leg to pay for his education I'm thankful I can afford to drink,"Even if it costs me the eyes of my head, to pay for his studies, I thank God for being able to drink again.",,,,
On crève la dalle.,-We were starving.,We're killing the slab.,,,,
Je crève la dalle.,"Look, I gotta eat, okay?",I'm going to die.,,,,
"Une heure après, vous crevez la dalle.","You go in there and spend 50 and eat for an hour and a half, and a half hour later you´re starving to death.","An hour later, you're digging the slab.",,,,
"Lutter contre ce type, c'est donner de la confiture aux cochons !",A fight with that guy is like feeding sows to the pigs.,To fight this guy is to give jam to the pigs!,,,,
"C'est comme donner de la confiture aux cochons, hein ?","Like throwing pearls to the pigs, eh?","It's like giving jam to pigs, right?",,,,
Et il a passé sa vie à donner de la confiture aux cochons.,"And then he spent his whole career ""casting pearls before swine"", He talked like that...",And he spent his life giving jam to pigs.,,,,
Vous avez donné votre langue au chat?,Cat got your tongue?,Did you give your tongue to the cat?,,,,
Je donne ma langue au chat.,What is it?,I give my tongue to the cat.,,,,
"- Je donne ma langue au chat, James.","- You've got me, James.","- I give my tongue to the cat, James.",,,,
Il adore les sucettes et en a marre d'en tenir six à la fois ?,"Maybe he's really into lollipops, and he's tired of housing six at a time?",He loves lollipops and is tired of holding six at a time?,,,,
J'en ai marre d'être sous ce soleil... à discutailler avec un aspirant dictateur.,"Now, look, I'm tired of hanging around under this sun... playing footsie with a half-pint would-be dictator.",I'm tired of being under that sun... talking with a sucker dictator.,,,,
Elle en a marre que je sente l'iodoforme.,She says I have to stop smelling of iodoform.,She's sick of me smelling like iodoform.,,,,
"Putain, j'en ai rien à foutre! J'en ai marre!","Fuck, I don't want to know, I've had enough!","I don't give a shit, I'm sick of it!",,,,
"C'est la faute à personne. Terminé. Tourne la page, j'en ai marre.","Move on, because, frankly, I'm sick of hearing about it.","It's nobody's fault, it's over, turn the page, I'm sick of it.",,,,
Nous sommes en train d'en avoir marre l'un de l'autre.,We're slowly getting sick of each other.,We're getting tired of each other.,,,,
J'en ai ras-le-bol de 1973.,I'm bloody sick of 1973.,I'm sick of 1973.,,,,
J'en ai ras-le-bol de tes phénomènes paranormaux.,You and your supernatural phenomena. You're driving me crazy.,I'm sick of your paranormal phenomena.,,,,
Elle en avait ras-le-bol de toi.,She was sick of you.,She was so sick of you.,,,,
"J'en ai ras-le bol d'être ici, je veux rentrer chez moi.",The fuck can... I'm tired of this shit. I want to go home,"I'm tired of being here, I want to go home.",,,,
"Pour guérir mieux, plus vite. J'en ai ras le bol d'être ici quand mes amis sont là-bas. Je ne peux le dire à personne.","So I can get better fast, because I'm sick and tired of being here while my friends die over there, and I can't tell anyone that, because they won't get it.","To heal better, faster. I'm sick of being here when my friends are there. I can't tell anyone.",,,,
- Non. J'ai chaud et j'en ai ras le bol.,"I'm hot, and I'm fuckin' bored.",I'm hot and I'm sick of it.,,,,
Les enflures dehors n'en ont rien à cirer de nous !,Them motherfuckers outside this place don't give a fuck about us.,The creeps out there don't care about us!,,,,
Je vous avais dit qu'elle en avait rien à cirer de moi.,I told you she doesn't give two shits about me.,I told you she didn't care about me.,,,,
"J'en ai rien à cirer!""","I don't give a goddamn!""","I don't care!""",,,,
J'en ai rien a faire de vivre les deux prochaines heures.,"Look, I don't care about living through the next two hours.",I don't care if I live the next two hours.,,,,
Et la police n'en avait rien à faire.,Stolen. The police couldn't have cared less.,And the police didn't care.,,,,
Au lieu de leur rentrer dedans comme si tu n'en avais rien à faire.,Instead of coming across like you don't care.,Instead of getting into them like you don't care.,,,,
"""J'en ai rien à foutre de Mozart !"" Parfait !","""I do not give a shit about Mozart!"" Perfect! Remove.","""I don't give a shit about Mozart!"" Perfect!",,,,
"Fais ce que tu veux, j'en ai rien à foutre.",Suit yourself. See if I care.,"Do what you want, I don't give a shit.",,,,
J'en ai rien à foutre.,I'm not giving you shit.,I don't give a shit.,,,,
"Si tu te sens seul, comme si on en a rien à foutre de toi... et que le monde entier en a rien à cirer, moi, je suis là.","If you're feeling alone, like nobody in the world cares... and nobody in the fucking world gives a shit, then I'm here.","If you're lonely, like we don't give a shit about you... and the whole world has nothing to do with it, I'm here.",,,,
Pourquoi est-ce qu'il faut en faire tout un fromage ?,Why does it have to be such a big deal?,Why do you have to make a whole cheese out of it?,,,,
Cette stupide bague dont ta famille en fait tout un fromage ?,"Oh, that stupid ring that your family holds onto like a bunch of hobbits?",That stupid ring your family makes it all a cheese?,,,,
"Ouais enfin, on va pas en faire tout un fromage.","Yeah, well, let's not make a big deal out of it.","Yeah, well, we're not gonna make it all a cheese.",,,,
Ton équipe pourrait en prendre de la graine.,Something your team could learn about.,Your team could get some seed.,,,,
Je devrais en prendre de la graine.,I should learn from you.,I should get some seed.,,,,
"- Oui, tu devrais en prendre de la graine.",- You should take a page from his book.,"- Yeah, you should get some seed.",,,,
Tu enfonces une porte ouverte.,Now you're preaching to the choir.,You're breaking into an open door.,,,,
"C'est enfoncer une porte ouverte, mais, d'accord...","That's sort of a given but, yes.","It's breaking into an open door, but, okay...",,,,
"À part en enfonçant une porte ouverte,",Right.,"Except by pushing an open door,",,,,
"- À ta place, je ferais gaffe à mon cul.","- Lf I was you, I'd watch my ass.","- If I were you, I'd watch out for my ass.",,,,
"Fais gaffe oû tu mets les pieds, j'ai tout astiqué.","Watch where you're walking, I just mopped here.","Watch where you get your feet, I've stunned everything.",,,,
"- Tous chez Faucelli! - Aux baraques, faites gaffe!","Back to the sheds, and keep your eyes open!",- All of you at Faucelli's.,,,,
"Fais gaffe, je suis en train de suturer.",Hello. I'm suturing here.,"Watch out, I'm sweating.",,,,
"Quand on était petits, on croyait que maman faisait l'andouille.",Remember when we were kids and we thought mom was just being silly?,"When we were kids, we thought Mom was doing the stupid thing.",,,,
Il a fait l'andouille et maintenant il en récolte les fruits .,He acted like a jerk and now he caught it in the butt.,And now he's reaping the fruits of it.,,,,
Pourquoi tu te crois toujours obligé de faire l'andouille ?,Why do you have to act like an idiot?,Why do you always think you have to do the stupid thing?,,,,
J'ai commencé à faire la grasse matinée les dimanches matins.,I started sleeping in on Sunday mornings.,I started doing the fat morning on Sunday mornings.,,,,
"Je vais apprendre à me détendre, à faire la grasse matinée.",Yep. I'm going to relax and sleep late.,"I'm going to learn how to relax, how to make the morning fat.",,,,
"C'est samedi, et c'est notre journée de repos. On va pouvoir faire la grasse matinée.","It's Saturday, that's our day off and we're gonna get to sleep in.","It's Saturday, and it's our day off.",,,,
Elle doit être en train de faire la grasse matinée dans la chambre de Jake.,"Uh, gee, I guess she's probably still asleep in jake's room.",She must be doing the fat morning in Jake's room.,,,,
"Ok les chatons, on y va. On fait le pont de Londres.","Okay, kitties, let's go.","Okay, kittens, let's go.",,,,
"Celui-ci est à l'envers, alors si vous faisiez le pont...","This one is upside down, so if you were doing a back bend or something...","This one's upside down, so if you were to make the bridge...",,,,
"Il veut refaire le pont, tout le pont, avant le début de la saison.","He wants to re-bed the deck, the whole deck, before the start of the season.","He wants to rebuild the bridge, the whole bridge, before the start of the season.",,,,
Comment pouvez-vous accepter de faire la sourde oreille à ceux qui souffrent sur une carte ?,"How convenient that must be for you, to turn a deaf ear to those who suffer behind a line on a map.",How can you accept deaf ears to those who suffer on a card?,,,,
Et elle a fait la sourde oreille.,And she shut me down completely.,And she did the deaf ear.,,,,
"Tu parleras au conseil, mais il fera la sourde oreille.","You will go before the council, but your words will fall on deaf ears.","You'll talk to the council, but he'll be deaf ears.",,,,
Tu fais la tête.,Now you're sulking.,You're the head.,,,,
"Tu as décidé de me faire la tête, c'est ça ?",You are giving to me the silent treatment.,"You've decided to give me the head, haven't you?",,,,
"Oui, c'est vrai, je pense que tu as fait la tête non stop de 1992 à 1994 peut-être.","Yes, right, I think you sulked nonstop from about 1992 to '94 maybe.","Yeah, that's right, I think you did the nonstop head from 1992 to 1994 maybe.",,,,
Tu m'as fait une queue de poisson.,"You cut me off, bitch.",You made me a fishtail.,,,,
"Un jour, un type a fait une queue de poisson à Pinker.","One time, this guy cuts Pinker off on the highway.","One day, a guy made a fishtail in Pinker.",,,,
Il t'a fait une queue de poisson sur l'autoroute.,He cut you off on the freeway.,He made you a fishtail on the highway.,,,,
Je ferais un tabac avec un car vidéo-mobile.,- I can get the jump on everybody if I get a remote.,I'd be smoking with a video-mobile bus.,,,,
"Il a bossé un an et à son retour, il a fait un tabac.",He just worked his ass off for a year. He come back. And he hit it big.,"He worked for a year, and when he came back, he got a hit.",,,,
Vous pourriez faire un tabac.,You could be really big.,You could have a smoke.,,,,
Pourquoi avez-vous filé à l'anglaise?,Why'd you give them the slip up at the hospital? You don't like the place?,Why did you go to English?,,,,
Vous avez filé à l'anglaise ?,"Say, did you sneak out of here?",Did you go to English?,,,,
Il a filé à l'anglaise.,He was tired and slipped away.,He went to English.,,,,
Et ça finit en queue de poisson.,Then it all fizzles out.,And it ends in a fishtail.,,,,
L'enquête pourrait finir en queue de poisson.,The investigation could end up going the other way.,The investigation could end up in a fishtail.,,,,
- Il fait un froid de canard.,- It's freezing cold!,- It's a cold duck.,,,,
Il fait un froid de canard.,"It's colder than a well digger's ass, man.",It's a cold duck.,,,,
"Il fait un froid de canard, ici.",It's freezing here.,It's a cold duck here.,,,,
Il faut souffrir pour être belle.,And that's a good thing?,You have to suffer to be beautiful.,,,,
Il faut souffrir pour être beau.,"No pain, no gain.",You have to suffer to be beautiful.,,,,
Il faut souffrir pour être beau !,Agony fashion !,You have to suffer to be beautiful!,,,,
"À 4h du matin, sur les routes d'Akina il n'y a pas un chat.",There's not a soul there at 4 in the morning.,"At 4:00 in the morning, on the Akina roads there is no cat.",,,,
"Il n'y avait pas un chat, alors j'ai commandé un cocktail.","There wasn't a soul to talk to, so I ordered a sidecar.","There wasn't a cat, so I ordered a cocktail.",,,,
Il n'y aura pas un chat à moins que les joueurs ne viennent avec des souris.,The game won't draw flies unless the players bring their horses.,There won't be a cat unless the players come with mice.,,,,
Ça lui apprendra à jeter l'argent par les fenêtres !,"I'm going to teach that boy a lesson. Yes, that's what he deserves  throwing nickels around like that.",It'll teach him to throw the money out the windows!,,,,
"Tu as passé ta vie à flamber, à jeter l'argent par les fenêtres.",You spent your life squandering your money.,"You've spent your life blazing, throwing money out the windows.",,,,
On résout les problèmes en jetant l'argent par les fenêtres ?,That's the spirit. Solving problems by throwing money at them.,We solve problems by throwing money out the windows?,,,,
"Eh bien, si tu vas jeter le bébé avec l'eau du bain...","Well, if you're gonna throw the baby out with the bathwater...","Well, if you're gonna throw the baby out with the bath water...",,,,
"qui devient intéressant de commencer, mais que personne ne ""jeter le bébé avec l'eau du bain"" et je pense que c'est très important, de garder la foi dans la science.",But one doesn't want to throw the baby with the bath water and I think it's really important to stay faithful to science.,"which becomes interesting to start, but that no one ""toss the baby with bath water"" and I think it's very important, to keep faith in science.",,,,
On jetait le bébé avec l'eau du bain.,A case of throwing the baby out with the bath water.,We were throwing the baby away with the bath water.,,,,
Le toebib a jeté l'éponge ae 6e roend.,The doctor threw in the towel in the sixth round.,The toebib threw the sponge ae 6e roend.,,,,
Tu te planques ? Tu crois que je vais jeter l'éponge !,You think you've escaped?,You think I'm gonna throw the sponge away?,,,,
"Sa dernière tension est à 70, mais Bailey veut pas jeter l'éponge.","Her last systolic was in the 70s, but Bailey's not ready to throw in the towel yet.","His last tension is 70, but Bailey doesn't want to throw the sponge.",,,,
"Je suis revenu avec des glacières médicales, un conteneur scellé, mais, une fois, j'ai jeté un coup d'oeil.","I flew back with medical ice chests, coolers sealed up tight, but I got a look once.","I came back with medical coolers, a sealed container, but, once, I took a look.",,,,
Ça ne vous dérange pas si on jette un coup d'oeil ?,I hope you don't mind if we look around.,Don't you mind if we take a look?,,,,
Laissez-moi juste jeter un coup d'oeil.,Just give me one stroll around the foot.,Let me just take a look.,,,,
"Le pauvre a eu du mal à joindre les deux bouts, dernièrement.",Poor guy's been struggling lately.,The poor guy's been struggling to make ends meet lately.,,,,
Comment vais-je joindre les deux bouts ?,"How, how am I going to make ends meet, mmkay?",How am I gonna make ends meet?,,,,
"C'est dur de joindre les deux bouts, mais encore plus d'épargner.","Breakin' even's hard enough, but getting ahead's impossible.","It's hard to make ends meet, but it's even harder to save.",,,,
Les carottes sont cuites!,That soup's gonna boil!,The carrots are cooked!,,,,
"Si Eaton les convainc d'être des martyres et d'accepter les 30 jours, les carottes sont cuites.","He doesn't have a right to be deaf, so he'll have to listen to what we have to say. First thing, there's nothing in your file about children.","If Eaton convinces them to be martyrs and accept within 30 days, the carrots are cooked.",,,,
"Vous vous dites, ""Les carottes sont cuites!","You're saying to yourself, ""The jig is up!","You're thinking, ""Carrots are cooked!",,,,
"Je te bats les doigts dans le nez. Si c'est que tu veux, d'accord!","I could beat you hands down, but if that's what you want, you can have it!","I'll beat your fingers in the nose, if it's what you want, all right!",,,,
"J'écris pas ""Bises, Stephanie"" à quelqu'un qui a le doigt dans le nez tout le temps.","I can't sign, ""Love, Stephanie"" to someone who has his finger in his nose all day.","I don't write ""Bises, Stephanie"" to someone with a finger in his nose all the time.",,,,
Je penserais que j'y suis arrivée les doigts dans le nez et je le regretterais.,I'll think I aced it and I'll live to regret it.,I'd think I got my fingers in the nose and I'd regret it.,,,,
C'est pas la fin des haricots.,"listen, uh... It's not the end of the world.",It's not the end of beans.,,,,
Ce n'est pas la fin des haricots...,"There, there, Esme. It's not the end of the world.",It's not the end of the beans...,,,,
Ce n'est pas la fin des haricots.,That's the last straw!,It's not the end of beans.,,,,
"Tu sais, la goutte d'eau qui fait déborder le vase...",Did you ever hear about the straw that broke the camel's back?,"You know, the drop of water that makes the vase overflow...",,,,
"Pour la Fox, c'était la goutte d'eau qui faisait déborder le vase.","For Fox, this was the final straw.","For Fox, it was the drop of water that made the vase overflow.",,,,
C'est la goutte d'eau qui fait déborder le vase.,That's the last straw. I'm going over there.,It's the drop of water that makes the vase overflow.,,,,
L'habit ne fait pas le moine.,Not everything's as it seems,The habit isn't the monk.,,,,
- l'habit ne fait pas le moine.,- One man's ceiling is another man's floor.,- the habit isn't the monk.,,,,
"L'habit ne fait pas le moine, pas vrai, les gars ?","Sure as shit can't tell a book by its cover, huh, boys?","The habit isn't the monk, is it, guys?",,,,
J'ai mangé sur le pouce.,I kinda ate on the run.,I ate on my thumb.,,,,
"Au lieu de ça, je mangeais sur le pouce et je me rendais à un spectacle amateur de kabuki.","Instead, I stopped at my favorite sidewalk cafe for a quick bite, and was on my way to some kind of amateur kabuki performance.","Instead, I was eating on my thumb and going to a kabuki amateur show.",,,,
Y a t-il des en-cas à manger sur le pouce ?,Is there any finger food?,Are there any snacks to eat on your thumb?,,,,
"- Une déposition, d'après lui. Je crois plutôt qu'il essaie de mener quelqu'un en bateau.","- He says it's a statement, but I think he's putting somebody on.",I think he's trying to take someone by boat.,,,,
Ça met du piment dans ma vie.,Adds a little excitement to my life.,It's hotter in my life.,,,,
Je mets du piment dans vos vies et vous vous plaignez sans cesse.,"I add a little excitement, a little spice to your lives and all you do is complain.",I put pepper in your lives and you always complain.,,,,
Ça met du piment dans notre vie amoureuse.,It adds mystery and excitement to our love life.,It's kind of chilly in our love life.,,,,
