idiom,lang,meaning,noun_translation
Un froid de canard,fr,to be bitterly cold to be icy cold,"['cold', 'duck']"
Pleuvoir des cordes,fr,to be raining cats and dogs,['string']
Jeter l’argent par les fenêtres,fr,"to carelessly spend money to waste money, to splurge","['silver', 'window']"
Une bouchée de pain,fr,for next to nothing.,"['bite', 'bread']"
Blanchir de l’argent,fr,to launder money,['silver']
Ne pas y aller de main morte,fr,to make no bones about it to be heavy-handed to not pull one’s punches,['hand']
Coûter les yeux de la tête,fr,to cost an arm and a leg to cost a fortune,"['eye', 'head']"
Coûter les yeux un bras,fr,to cost an arm and a leg to cost a fortune,"['eye', 'arms']"
S’en mettre plein les poches,fr,to line your pockets,['poached']
Rouler sur l’or,fr,"to be rolling in money, to be rich",['gold']
Se serrer la ceinture,fr,to tighten one’s belt,['belt']
Casser les pieds à quelqu’un,fr,to annoy bother someone,['foot']
Casser du sucre sur le dos de quelqu’un,fr,to talk about someone behind his/her back,"['sugar', 'back']"
Tourner au vinaigre,fr,to get out of control to get nasty.,['vinegar']
Faire la grasse matinée,fr,to sleep in.,"['bold', 'morning']"
Tomber dans le panneau,fr,to fall into the trap.,['sign']
Jeter un coup d’oeil,fr,to cast a glance to take a look.,"['cut', 'eye']"
Raconter des salades,fr,to talk bullshit to spin a yarn,['salad']
Aller droit au but,fr,to go straight to the point,"['right', 'aim']"
Faire le pont,fr,to take a long weekend,['bridge']
Faire gaffe,fr,"to be careful, to watch out.",['blunder']
Faire la sourde oreille,fr,to turn a deaf ear.,['ear']
Tourner la page,fr,"to make a fresh start, to put something behind you",['page']
Faire l’andouille,fr,to act silly,['andouille']
S’occuper de ses oignons,fr,to mind one’s own business.,['onion']
En faire tout un fromage,fr,to make a mountain out of a molehill/to make a fuss about something,['cheese']
Mettre du piment dans sa vie,fr,to spice up one’s life,"['chilli pepper', 'life']"
Pleurer comme une madeleine,fr,"to cry like a baby, to cry your eyes out",['madeleine']
Ramener sa fraise,fr,to put one’s two cents in,['strawberry']
Changer de crèmerie,fr,to take one’s custom elsewhere,['creamery']
En avoir rien à cirer,fr,"to not give a shit, to not give a damn",[]
En avoir rien à foutre,fr,"to not give a shit, to not give a damn",[]
En avoir rien à faire,fr,"to not give a shit, to not give a damn",[]
Avoir d’autres chats à fouetter,fr,"to have better things to do, to have other fish to fry",['cat']
Faire la tête,fr,to sulk,['head']
Mettre son grain de sel,fr,to put two cents in.,"['grain', 'salt']"
En prendre de la graine,fr,"to take the page from someone’s book, to follow an example",['seed']
Prendre ses cliques et ses claques,fr,"to pack up and go, to leave suddenly","['click', 'slap']"
Prendre quelque chose au pied de la lettre,fr,to the letter,"['thing', 'foot', 'letter']"
Partir en fumée,fr,"to go up in smoke, to disappear",['smoke']
Prendre ses jambes à son cou,fr,to run for one’s life,"['leg', 'neck']"
Prendre son courage à deux mains,fr,"to summon the courage to do something, to gather one’s courage","['courage', 'hand']"
Prendre quelqu’un la main dans le sac,fr,to be caught red-handed,"['hand', 'bag']"
N’y voir que du feu,fr,"to be clueless, to fail to notice something",['fire']
Être en train de,fr,to be doing,['train']
Chercher la petite bête,fr,to nitpick,['stupid']
Tomber dans les pommes,fr,To faint,['apple']
Être sur son 31,fr,to be all dressed up,[]
Ne pas être sorti de l’auberge,fr,"to be well and truly in it, to not be out of the woods",['hostel']
Donner sa langue au chat,fr,"I have taken the time to think about it, and frankly I don’t know the answer to your question, so I give up","['language', 'cat']"
Tenir au courant,fr,"to keep up to date, to keep posted",['running']
Un coup de main,fr,a helping hand,"['cut', 'hand']"
Sur un coup de tête,fr,"on an impulse, on a whim","['cut', 'head']"
Les doigts dans le nez,fr,"hands down, with one hand tied behind your back","['finger', 'nose']"
Quelque chose qui cloche,fr,"To not add up, not be right",['thing']
Ah la vache,fr,"Oh my god, holy cow",['cow']
Ça marche,fr,"Alright, ok",[]
Tout craché,fr,spitting image,[]
C’est la fin des haricots,fr,there is nothing left/it’s the end,"['end', 'bean']"
Ne pas être de la tarte,fr,"It’s not easy, it’s hard work",['tart']
Faire un tabac,fr,to be a hit.,['tobacco']
Sentir le sapin,fr,to have one foot in the grave.,['fir']
自業自得,jp,"eventually, you will face the consequences of your actions","['self-employed', 'Own']"
十人十色,jp,"To each his own, Different strokes for different folks.","['ten people', 'colour']"
起死回生,jp,Make the best of a bad situation,"['death', 'times', 'Raw']"
我田引水,jp,Take advantage of,[]
悪因悪果,jp,You get what you deserve.,"['evil cause', 'bad results']"
見ぬが花,jp,Reality can’t compete with the imagination,['flower']
弱肉強食,jp,Survival of the fittest,"['Weak', 'gluttony']"
海千山千,jp,A sly old fox,['Mountain']
酔生夢死,jp,To spend all your time daydreaming without accomplishing anything,"['dreams', 'death']"
一期一会,jp,You only live once,"['first term', 'meeting']"
異体同心,jp,like-minded people who share similar interest and/ or beliefs,"['alien body', 'Concentric']"
羊頭狗肉,jp,False advertising,"['sheep', 'head dog', 'meat']"
会者定離,jp,Those who meet must part. All good things must end.,"['party', 'constant separation']"
美人薄命,jp,beauty and long life seldom go together,"['beautiful woman', 'short life']"
負けるが勝ち,jp,sometimes it’s best not to engage in combat or conflict and to save your energy for more important things,['win']
虎穴に入らずんば虎子を得ず,jp,"Nothing ventured, nothing gained","['tiger', 'hole', 'tiger', 'Child']"
猿も木から落ちる,jp,Everyone makes mistakes,"['monkey', 'wood']"
蓼食う虫も好き好き,jp,There’s no accounting for taste,"['knotweed', 'insect', 'matter of taste']"
蛙の子は蛙,jp,"Like father, like son,The apple doesn’t fall far from the tree","['frog&#39;s', 'Child', 'frog']"
覆水盆に帰らず,jp,No use crying over spilled milk,"['cover the water', 'tray']"
知らぬが仏,jp,Ignorance is bliss,['Buddha']
猫に小判,jp,To cast pearls before swine,"['Cat', 'oval']"
井の中の蛙、大海を知らず,jp,Big fish in a small pond,"['well', 'During ~', 'frog', 'ocean']"
二兎を追う者は一兎をも得ず,jp,"If you try to do two things at once, you will fail at both","['rabbit', 'person', 'one rabbit']"
門前の小僧習わぬ経を読む,jp,"You learn, without realising it, from what is around you","['small', 'monastic practice', 'circle']"
七転び八起き,jp,"If at first, you don’t succeed, try, try again","['seven falls', 'Get up']"
案ずるより産むが易し,jp,the act of stressing out about something is usually worse than the thing you’re actually stressing out about,[]
馬鹿は死ななきゃ治らない,jp,There is no cure for ignorance,"['fool', 'Kya']"
秋茄子は嫁に食わすな,jp,Don’t let others take advantage of you,['bride']
花より団子,jp,"Quality over quantity,Substance over style.","['flower', 'dumpling']"
口は災いの元,jp,Silence is golden,"['mouth', 'Yuan']"
能ある鷹は爪を隠す,jp,Stay humble and don’t show off,"['competent', 'hawk', 'nail']"
武士は食わねど高楊枝,jp,When you don’t let others see your pain because you are too proud,"['samurai', 'high', 'Yang', 'branch']"
悪銭身に付かず,jp,Ill-gotten gains are short-lived,"['evil', 'money']"
郷に入っては郷に従え,jp,"When in Rome, do as the Romans do.","['township', 'township']"
石二鳥,jp,Kill two birds with one stone,"['stone', 'bird']"
頭に来る,jp,to get angry or mad,['Head']
会わせる顔がない,jp,Ashamed to go out in public,['face']
口が軽い,jp,Someone who can’t keep a secret,['mouth']
のどから手が出る,jp,to desperately desire something,"['Throat', 'hand']"
大目玉を食らう,jp,To be rebuked or severely scolded,"['Big', 'Eyeball']"
手を抜く,jp,"Cut corners, Phone it in, To do a shoddy job.",['hand']
雨が降ろうと、槍が降ろうと,jp,Come hell or high water,"['rain', 'spear']"
砂を噛むよう,jp,"When something is dull, tedious, or uninteresting",['sand']
猫も杓子も,jp,A lot of people,['Cat']
ごまめの歯ぎしり,jp,Something trivial and of no consequence,['bruxism']
月とすっぽん,jp,"Apples and oranges,Night and day,Like chalk and cheese","['Moon', 'soft-shelled turtle']"
イタチの最後っ屁,jp,"Last resort,Final measure,One last push,Last ditch effort","['last', 'fart']"
寿司詰め,jp,Packed like sardines,"['sushi', 'pack']"
朝飯前,jp,A piece of cake. Easy peasy,"['breakfast', 'Previous']"
窓際族,jp,"Suits, Drones, Seat warmers","['by the window', 'tribe']"
地獄に仏,jp,A saving grace,"['hell', 'Buddha']"
内弁慶,jp,Someone haughty and boastful when at home but meek and reserved elsewhere,"['inner valve', 'Kei']"
ちゃんぽん,jp,Mish-mash,['champon']
暖簾に腕押し,jp,Make a mountain out of a molehill,"['arm', 'push']"
小便横町,jp,Narrow alleyways that are dirty and smelly,"['urine', 'beside', 'town']"
出る杭は打たれる,jp,Tall-poppy syndrome,[]
鯛も一人はうまからず,jp,Meals are only delicious when you eat them with someone,"['sea bream', 'One person']"
腹八分に医者いらず,jp,Everything in moderation,"['belly eight', 'minutes', 'doctor']"
明日のことを言うと天井のネズミが笑う,jp,You can’t predict the futur,"['tomorrow', 'thing', 'ceiling', 'mouse or rat']"
明日は明日の風が吹く,jp,Tomorrow is a new day,"['tomorrow', 'tomorrow', 'Wind']"
雨降って地固ま,jp,What doesn’t kill you makes you stronger,"['foundation', 'devil']"
相変わらず,jp,The same as ever,[]
天下り,jp,Fall from grace,['dictate']
口が滑る,jp,"Let the cat out of the bag,Spill the beans.",['mouth']
因果応報,jp,"What goes around comes around,Just desserts.","['cause and effect', 'Retribution']"
花鳥風月,jp,the beauties of nature,['Moon']
一日一歩,jp,One day at a time,"['Day', 'walking']"
温故知新,jp,Learn from the past History repeats itself,"['warm weather', 'innovation']"
नौ दो ग्यारह,hi,head for the hills make a getaway,[]
बंदर क्या जाने अदरक का स्वाद,hi,Laying pearls before swine.,"['monkey', 'Ginger', 'Taste']"
भैंस के आगे बीन बजाना,hi,wasting effort on something,"['Buffalo', 'bean']"
दिल्ली अभी दूर है’,hi,there is still a long way to go,[]
नाच न जाने आँगन टेढ़ा,hi,a bad workman blames his tools,"['Dance', 'courtyard']"
एक हाथ से ताली नहीं बजती,hi,it takes two to tango,"['Hand', 'clap']"
चोर की दाढ़ी में तिनका,hi,A guilty conscience needs no accuser,"['Thief', 'beard', 'straw']"
हाथी के दाँत खाने के और दिखाने के और,hi,All that glitters is not gold,"['elephant', 'teeth']"
अन्त भला तो सब भला,hi,All’s well that ends well,['the end']
कंगाली में आटा गीला,hi,An unhappy man’s cart is sure to tumble,"['pauper', 'Flour']"
खाली दिमाग शैतान का घर,hi,An empty mind is a devil’s workshop,"['Brain', 'devil', 'House']"
जैसी करनी वैसी भरनी,hi,"As you sow, so shall you reap.",[]
नेकी कर दरिया में डाल,hi,Do good and forget.,"['virtuous', 'river']"
जान बची लाखों पाए,hi,"Save life, save all",['Life']
उल्टा चोर कोतवाल को डांटे,hi,The pot is calling the kettle black.,['Thief']
हाथ कंगन को आरसी क्या,hi,You don't need a mirror to look at the bracelet on your wrist,['Hand']
जंगल में मोर नाचा किस ने देखा,hi,"If you got it, flaunt it.","['forest', 'Peacock', 'dance']"
जिस की लाठी उसकी भैंस,hi,Might is right.,"['Stick', 'Buffalo']"
घर का भेदी लंका ढाये,hi,An harmless-appearing confidant can bring down Lanka,"['House', 'piercing']"
अब पछताए होत क्या जब चिड़िया चुग गई खेत,hi,It's no use crying over spilled milk.,['bird']
नाच न जाने आँगन ठेढ़ा,hi,A bad workman blames his tools.,"['Dance', 'courtyard']"
दूर के ढोल सुहावने लगते हैं,hi,The grass is always greener on the other side.,['drum']
घर की मुर्गी दाल बराबर,hi,Self possessions are always undermined and other's possessions seem better,"['House', 'Lentils']"
