idiom,lang,meaning
chercher la petite bête,fr,to split hairs
courir sur le haricot de quelqu’un,fr,to get on somebody’s nerves
coûter les yeux de la tête,fr,to cost an arm and a leg
les doigts dans le nez,fr,to accomplish something easily
donner de la confiture aux cochons,fr,to cast pearls before swine
donner sa langue au chat,fr,to give up on guessing
en avoir gros sur le cœur/la patate,fr,to be heavy-hearted
en avoir ras-le-bol,fr,to be fed up to the back teeth
en faire tout un fromage/plat,fr,to make a mountain out of a molehill
enfoncer une porte ouverte,fr,to whip a dead horse
engueuler quelqu'un comme du poisson pourri,fr,"to give somebody a earful (US), to give somebody a rollicking (UK)"
entrer quelque part comme dans un moulin,fr,to waltz in somewhere as you please
être le dindon de la farce,fr,to be the butt of the joke
être au four et au moulin,fr,to wear too many hats
être bien dans sa peau,fr,to feel good about one's self
être long(ue) à la détente,fr,to be slow on the uptake
être à l’ouest/à la ramasse,fr,to run on empty
ne faire qu’une bouchée de quelqu’un,fr,to wipe the floor with somebody
faire une queue de poisson,fr,to cut somebody up
faire la grasse matinée,fr,"to sleep in (US), to have a lie-in (UK)"
faire l’andouille,fr,to be silly
faire un tabac,fr,to strike it rich
filer à l'anglaise,fr,to sneak out
finir en queue de poisson,fr,to fizzle out
la goutte d’eau qui fait déborder le vase,fr,the final straw that breaks the camel’s back
l’habit ne fait pas le moine,fr,you can't judge a book by its cover
il faut souffrir pour être belle,fr,"no pain, no gain"
il n'y a pas un chat,fr,nobody's here
jeter l’argent par les fenêtres,fr,to poor money down the drain
jeter le bébé avec l'eau du bain,fr,to throw the baby out with the bathwater
jeter l’éponge,fr,to throw in the towel
joindre les deux bouts,fr,to make ends meet
la fin des haricots,fr,the last straw
les carottes sont cuites,fr,your goose is cooked
mener quelqu’un en bateau,fr,to lead someone up to the garden path
mettre la charrue avant les boeufs,fr,put the cart before the horse
mettre son grain de sel,fr,to put in two cents
ne pas être dans son assiette,fr,to feel under the weather
ne pas y aller avec le dos de la cuillère,fr,not to go in with half measures
ne pas avoir sa langue dans sa poche,fr,not never be at a loss of words
ne pas avoir la lumière à tous les étages,fr,the lights are on but nobody’s home
ne pas casser trois pattes à un canard,fr,nothing to write home about
ne pas être sorti de l’auberge,fr,not to be out of the woods
pas avoir de quoi fouetter un chat,fr,no need to get your knickers in a twist
passer du coq à l’âne,fr,to jump from pillar to post
passer l'arme à gauche,fr,to kick the bucket
péter un câble,fr,to blow a fuse
"petit à petit, l'oiseau fait son nid",fr,little strokes fell great oaks
pipi de chat,fr,not important
plumer quelqu'un,fr,to take somebody to the cleaner's
poser un lapin,fr,to stand someone up
prendre ses jambes à son cou,fr,to take your heels
presser quelqu'un comme un citron,fr,to squeeze somebody dry
quand les poules auront des dents,fr,when pigs fly
"Quand le chat n'est pas là, les souris dansent.",fr,"When the cat's away, the mice will play."
à quelque chose malheur est bon,fr,every cloud has a silver lining
qui vole un œuf vole un bœuf,fr,give somebody an inch and he/she will take a mile
raconter des salades,fr,to spin a yarn
ramener sa fraise,fr,to stick your oar in
rendre l'âme,fr,to give up the ghost
revenir à ses moutons,fr,to get back on topic
rouler quelqu’un dans la farine,fr,to cook somebody's goose
se jeter dans la gueule du loup,fr,to throw oneself in the lion's den
se mettre sur son 31,fr,to be dressed up to the nines
se noyer dans un verre d'eau,fr,to be as helpless as a babe
s’envoyer en l’air,fr,"make love, have sex"
se serrer la ceinture,fr,to tighten one’s belt
s’occuper de ses oignons,fr,to mind your own business
un tien vaut mieux que deux tu l’auras,fr,a bird in the hand is worth two in the bush
tomber dans le panneau,fr,to fall into the trap
tomber dans les pommes,fr,to faint
tourner au vinaigre,fr,to turn sour
traîner quelqu’un dans la boue,fr,to drag somebody’s name in the mud
vendre la peau de l’ours avant de l’avoir tué,fr,to count your chickens before they hatch
出る杭は打たれる,jp,"by standing out, you invite criticism"
案ずるより産むが易し,jp,fear is worse than the actual threat of danger
知らぬが仏,jp,ignorance is bliss
虎穴に入らずんば虎子を得ず,jp,"nothing ventured, nothing gained"
井の中の蛙大海を知らず,jp,a person who’s satisfied to judge everything by their own narrow experience
鯛も一人はうまからず,jp,a significant part of the pleasure of eating is to sit around the table to share a meal with loved ones
腹八分に医者いらず,jp,eating in moderation
明日のことを言うと天井のネズミが笑う,jp,The future is unpredictable
明日は明日の風が吹く,jp,tomorrow is a new day
雨降って地固まる,jp,what doesn’t kill you makes you stronger
花より団子,jp,one should value substance over form
相変わらず,jp,The same as ever
猿も木から落ちる,jp,We all make mistakes
朝飯前,jp,piece of cake
見ぬが花,jp,reality can’t compete with imagination
天下り,jp,bureaucrats are often able to find high-ranking jobs in private firms after retirement.
猫に小判,jp,casting pearls before swine
七転び八起き,jp,"reminder that when life knocks you down, all you’ve got to do is stand back up"
口が滑る,jp,the cat’s out of the bag
因果応報,jp,what goes around comes around
自業自得,jp,you reap what you sow
一期一会,jp, every encounter we have is a once-in-a-lifetime experience
十人十色,jp,to each his own
起死回生,jp,turn a bad situation into a success
花鳥風月,jp,the beauty of nature
一石二鳥,jp,to kill two birds with one stone
一日一歩,jp,one step a day toward our goals
温故知新,jp,history repeats itself
異体同心,jp,harmony of mind between two people
आँखें चुराना,hi,not like to be seen
आँखो का तारा,hi,Beloved
मुँह मीठा करना,hi,to distribute sweet in joy
चहरा उतरना,hi,to be sad/disappointed
दन्तो तले उंगली दबाना,hi,to be very surprised
बात पक्की होना,hi,to be agree on something
बाल-बाल बचना,hi,to get away from a trouble by a close margin
अकल का दुश्मन,hi,to be dumb
जान पर खेलना,hi,to be fearless
पेट में चूहे कूदना,hi,to be very hungry
आसमान पर चड़ना,hi,to be proud
आकाश पाताल का अंतर,hi,to be a big difference
हवा से बातें करना,hi,to run at high speed
पत्थर की लकीर,hi,to be firm on saying
पहाड़ टूट पड़ना,hi,to get into a big trouble
ईद का चाँद होना,hi,only to be seen after long time (usually a person)
चकमा देना,hi,to deceive
उल्टी गंगा बहना,hi,to be unusual (happening)
छ्क्के छुड़ाना,hi,to defeat
फूँक फूँक कर कदम रखना,hi,to be very careful (in action)
दम में दम आना,hi,to feel free from fear
दाँत से दाँत बजाना,hi,to feel very cold
मुँह में पानी आना,hi,to be tempted by food
नाक काटना,hi,to blame or embarrass someone
कमर टूटना,hi,to feel disappointed
कमर कसना,hi,to prepare for something
कलेजा पत्थर का होना,hi,to be mentally very strong
दाँत खट्टे करना,hi,to defeat someone
ईंट से ईंट बजाना,hi,to destroy someone
बदले में लेना-देना,hi,Trade in
फायदा उठाना,hi,Trade on
जाँच के लिए चलाकर देखना,hi,Try out
किसी के खिलाफ खड़े हो जाना,hi,Turn against
धुँधला पड़ना,hi,Wear off
समय नष्ट करना,hi,While away
हक्का-बक्का होना,hi,Aghast at
दिए हुए वचन से मुकर जाना,hi,Back out of
बुलाने पर हाजिर होना,hi,Beck and call
जी जान से,hi,Body and soul
दिन दहाड़े,hi,Broad daylight
बाल-बाल बचना,hi,Close shave
कानून का सहारा लेना,hi,Go to law
नाक में दम करना,hi,fed up as a result of another person bothering
लोहे के चने चबाना,hi,to perform an exceedingly difficult seemingly impossible task
पापड़ बेलना,hi,to endure hardship in one's life
दाल न गलना,hi,to fail at an attempt at an endeavor
चूना लगाना,hi,to mask one's true intentions or to deceive
पत्ता कटना,hi,to be fired from one's job or to be told off
मक्खन लगाना,hi,to disingenuously flatter another person with the intent of gaining favor in return
मगज़ मारना,hi,to mentally over-exert oneself as a result of too much contemplation or concentration
हाथी पर चढ़ना,hi,to rise in wealth stature or reputation
वरक़ उलटना,hi,to make a fresh start or a positive change
फंदा छूटना,hi,to be freed from an entrapping or unbearable situation
सफ़ेदी आना,hi,to age
अपनी खिचड़ी अलग पकाना,hi,to diverge from group mentality and instead go on one's own unique path
Avoir un coup de foudre,fr,to fall in love at first sight to fall madly in love
Se faire larguer,fr,to get dumped
Se prendre un râteau,fr,to get knocked back
Poser un lapin à quelqu’un,fr,to stand somebody up
S’envoyer en l’air,fr,to get laid
Avoir le cafard,fr,"to feel blue, to feel down to feel depressed"
Avoir la pêche,fr,"to feel great, to feel happy to be in high spirits"
Avoir la banane,fr,"to feel great, to feel happy to be in high spirits"
Avoir la patate,fr,"to feel great, to feel happy to be in high spirits"
Avoir la dalle,fr,"to be starving, to feel hungry"
Crever la dalle,fr,"to be starving, to feel hungry"
Prendre la tête,fr,"to bother someone, to give yourself a headache to drive crazy"
En avoir marre,fr,to be fed up with something or someone.
Avoir du pain sur la planche,fr,to have a lot on your plate
Être canon,fr,"to be hot, to fit the standard of beauty"
Être à l’ouest,fr,to be spaced out to not be with it.
Être rouge comme une tomate,fr,to be as red as a beetroot
Être rouge comme une écrevisse,fr,to be as red as a beetroot
Être rouge comme une pivoine,fr,to be as red as a beetroot
Être crevé,fr,"to be exhausted, to be extremely tired"
Être mal en point,fr,to be in a bad state
En avoir ras le bol,fr,to be fed up with
Avoir la flemme,fr,"to be lazy, can’t be bothered"
Avoir une peur bleue de,fr,"to be terrified, to be scared to death of something"
Ne pas être dans son assiette,fr,to be/feel under the weather
Avoir la moutarde qui monte au nez,fr,to lose your temper
Être au taquet,fr,to be going flat out to be going full throttle to be full on
Avoir la gueule de bois,fr,to have a hangover
Avoir un chat dans la gorge,fr,To have a frog in one’s throat.
Être bien dans sa peau,fr,to be comfortable in your own skin to feel good about yourself
Avoir un QI d’huître,fr,to be stupid
Avoir un poil dans la main,fr,to be lazy
Manger sur le pouce,fr,to eat on the go on the run.
Boire comme un trou,fr,to drink like a fish to drink heavily
Boire un coup,fr,to have a drink
Avoir les yeux plus gros que le ventre,fr,to bite off more than you can chew.
Un froid de canard,fr,to be bitterly cold to be icy cold
Pleuvoir des cordes,fr,to be raining cats and dogs
Jeter l’argent par les fenêtres,fr,"to carelessly spend money to waste money, to splurge"
Une bouchée de pain,fr,for next to nothing.
Blanchir de l’argent,fr,to launder money
Ne pas y aller de main morte,fr,to make no bones about it to be heavy-handed to not pull one’s punches
Coûter les yeux de la tête,fr,to cost an arm and a leg to cost a fortune
Coûter les yeux un bras,fr,to cost an arm and a leg to cost a fortune
S’en mettre plein les poches,fr,to line your pockets
Rouler sur l’or,fr,"to be rolling in money, to be rich"
Se serrer la ceinture,fr,to tighten one’s belt
Casser les pieds à quelqu’un,fr,to annoy bother someone
Casser du sucre sur le dos de quelqu’un,fr,to talk about someone behind his/her back
Tourner au vinaigre,fr,to get out of control to get nasty.
Faire la grasse matinée,fr,to sleep in.
Tomber dans le panneau,fr,to fall into the trap.
Jeter un coup d’oeil,fr,to cast a glance to take a look.
Raconter des salades,fr,to talk bullshit to spin a yarn
Aller droit au but,fr,to go straight to the point
Faire le pont,fr,to take a long weekend
Faire gaffe,fr,"to be careful, to watch out."
Faire la sourde oreille,fr,to turn a deaf ear.
Tourner la page,fr,"to make a fresh start, to put something behind you"
Faire l’andouille,fr,to act silly
S’occuper de ses oignons,fr,to mind one’s own business.
En faire tout un fromage,fr,to make a mountain out of a molehill/to make a fuss about something
Mettre du piment dans sa vie,fr,to spice up one’s life
Pleurer comme une madeleine,fr,"to cry like a baby, to cry your eyes out"
Ramener sa fraise,fr,to put one’s two cents in
Changer de crèmerie,fr,to take one’s custom elsewhere
En avoir rien à cirer,fr,"to not give a shit, to not give a damn"
En avoir rien à foutre,fr,"to not give a shit, to not give a damn"
En avoir rien à faire,fr,"to not give a shit, to not give a damn"
Avoir d’autres chats à fouetter,fr,"to have better things to do, to have other fish to fry"
Faire la tête,fr,to sulk
Mettre son grain de sel,fr,to put two cents in.
En prendre de la graine,fr,"to take the page from someone’s book, to follow an example"
Prendre ses cliques et ses claques,fr,"to pack up and go, to leave suddenly"
Prendre quelque chose au pied de la lettre,fr,to the letter
Partir en fumée,fr,"to go up in smoke, to disappear"
Prendre ses jambes à son cou,fr,to run for one’s life
Prendre son courage à deux mains,fr,"to summon the courage to do something, to gather one’s courage"
Prendre quelqu’un la main dans le sac,fr,to be caught red-handed
N’y voir que du feu,fr,"to be clueless, to fail to notice something"
Être en train de,fr,to be doing
Chercher la petite bête,fr,to nitpick
Tomber dans les pommes,fr,To faint
Être sur son 31,fr,to be all dressed up
Ne pas être sorti de l’auberge,fr,"to be well and truly in it, to not be out of the woods"
Donner sa langue au chat,fr,"I have taken the time to think about it, and frankly I don’t know the answer to your question, so I give up"
Tenir au courant,fr,"to keep up to date, to keep posted"
Un coup de main,fr,a helping hand
Sur un coup de tête,fr,"on an impulse, on a whim"
Les doigts dans le nez,fr,"hands down, with one hand tied behind your back"
Quelque chose qui cloche,fr,"To not add up, not be right"
Ah la vache,fr,"Oh my god, holy cow"
Ça marche,fr,"Alright, ok"
Tout craché,fr,spitting image
C’est la fin des haricots,fr,there is nothing left/it’s the end
Ne pas être de la tarte,fr,"It’s not easy, it’s hard work"
Faire un tabac,fr,to be a hit.
Sentir le sapin,fr,to have one foot in the grave.
自業自得,jp,"eventually, you will face the consequences of your actions"
十人十色,jp,"To each his own, Different strokes for different folks."
起死回生,jp,Make the best of a bad situation
我田引水,jp,Take advantage of
悪因悪果,jp,You get what you deserve.
見ぬが花,jp,Reality can’t compete with the imagination
弱肉強食,jp,Survival of the fittest
海千山千,jp,A sly old fox
酔生夢死,jp,To spend all your time daydreaming without accomplishing anything
一期一会,jp,You only live once
異体同心,jp,like-minded people who share similar interest and/ or beliefs
羊頭狗肉,jp,False advertising
会者定離,jp,Those who meet must part. All good things must end.
美人薄命,jp,beauty and long life seldom go together
負けるが勝ち,jp,sometimes it’s best not to engage in combat or conflict and to save your energy for more important things
虎穴に入らずんば虎子を得ず,jp,"Nothing ventured, nothing gained"
猿も木から落ちる,jp,Everyone makes mistakes
蓼食う虫も好き好き,jp,There’s no accounting for taste
蛙の子は蛙,jp,"Like father, like son,The apple doesn’t fall far from the tree"
覆水盆に帰らず,jp,No use crying over spilled milk
知らぬが仏,jp,Ignorance is bliss
猫に小判,jp,To cast pearls before swine
井の中の蛙、大海を知らず,jp,Big fish in a small pond
二兎を追う者は一兎をも得ず,jp,"If you try to do two things at once, you will fail at both"
門前の小僧習わぬ経を読む,jp,"You learn, without realising it, from what is around you"
七転び八起き,jp,"If at first, you don’t succeed, try, try again"
案ずるより産むが易し,jp,the act of stressing out about something is usually worse than the thing you’re actually stressing out about
馬鹿は死ななきゃ治らない,jp,There is no cure for ignorance
秋茄子は嫁に食わすな,jp,Don’t let others take advantage of you
花より団子,jp,"Quality over quantity,Substance over style."
口は災いの元,jp,Silence is golden
能ある鷹は爪を隠す,jp,Stay humble and don’t show off
武士は食わねど高楊枝,jp,When you don’t let others see your pain because you are too proud
悪銭身に付かず,jp,Ill-gotten gains are short-lived
郷に入っては郷に従え,jp,"When in Rome, do as the Romans do."
石二鳥,jp,Kill two birds with one stone
頭に来る,jp,to get angry or mad
会わせる顔がない,jp,Ashamed to go out in public
口が軽い,jp,Someone who can’t keep a secret
のどから手が出る,jp,to desperately desire something
大目玉を食らう,jp,To be rebuked or severely scolded
手を抜く,jp,"Cut corners, Phone it in, To do a shoddy job."
雨が降ろうと、槍が降ろうと,jp,Come hell or high water
砂を噛むよう,jp,"When something is dull, tedious, or uninteresting"
猫も杓子も,jp,A lot of people
ごまめの歯ぎしり,jp,Something trivial and of no consequence
月とすっぽん,jp,"Apples and oranges,Night and day,Like chalk and cheese"
イタチの最後っ屁,jp,"Last resort,Final measure,One last push,Last ditch effort"
寿司詰め,jp,Packed like sardines
朝飯前,jp,A piece of cake. Easy peasy
窓際族,jp,"Suits, Drones, Seat warmers"
地獄に仏,jp,A saving grace
内弁慶,jp,Someone haughty and boastful when at home but meek and reserved elsewhere
ちゃんぽん,jp,Mish-mash
暖簾に腕押し,jp,Make a mountain out of a molehill
小便横町,jp,Narrow alleyways that are dirty and smelly
出る杭は打たれる,jp,Tall-poppy syndrome
鯛も一人はうまからず,jp,Meals are only delicious when you eat them with someone
腹八分に医者いらず,jp,Everything in moderation
明日のことを言うと天井のネズミが笑う,jp,You can’t predict the futur
明日は明日の風が吹く,jp,Tomorrow is a new day
雨降って地固ま,jp,What doesn’t kill you makes you stronger
相変わらず,jp,The same as ever
天下り,jp,Fall from grace
口が滑る,jp,"Let the cat out of the bag,Spill the beans."
因果応報,jp,"What goes around comes around,Just desserts."
花鳥風月,jp,the beauties of nature
一日一歩,jp,One day at a time
温故知新,jp,Learn from the past History repeats itself
नौ दो ग्यारह,hi,head for the hills make a getaway
बंदर क्या जाने अदरक का स्वाद,hi,Laying pearls before swine.
भैंस के आगे बीन बजाना,hi,wasting effort on something
दिल्ली अभी दूर है’,hi,there is still a long way to go
नाच न जाने आँगन टेढ़ा,hi,a bad workman blames his tools
एक हाथ से ताली नहीं बजती,hi,it takes two to tango
चोर की दाढ़ी में तिनका,hi,A guilty conscience needs no accuser
हाथी के दाँत खाने के और दिखाने के और,hi,All that glitters is not gold
अन्त भला तो सब भला,hi,All’s well that ends well
कंगाली में आटा गीला,hi,An unhappy man’s cart is sure to tumble
खाली दिमाग शैतान का घर,hi,An empty mind is a devil’s workshop
जैसी करनी वैसी भरनी,hi,"As you sow, so shall you reap."
नेकी कर दरिया में डाल,hi,Do good and forget.
जान बची लाखों पाए,hi,"Save life, save all"
उल्टा चोर कोतवाल को डांटे,hi,The pot is calling the kettle black.
हाथ कंगन को आरसी क्या,hi,You don't need a mirror to look at the bracelet on your wrist
जंगल में मोर नाचा किस ने देखा,hi,"If you got it, flaunt it."
जिस की लाठी उसकी भैंस,hi,Might is right.
घर का भेदी लंका ढाये,hi,An harmless-appearing confidant can bring down Lanka
अब पछताए होत क्या जब चिड़िया चुग गई खेत,hi,It's no use crying over spilled milk.
नाच न जाने आँगन ठेढ़ा,hi,A bad workman blames his tools.
दूर के ढोल सुहावने लगते हैं,hi,The grass is always greener on the other side.
घर की मुर्गी दाल बराबर,hi,Self possessions are always undermined and other's possessions seem better
जल में रहकर मगर से बैर ठीक नहीं,hi,It is hard to live in Rome and strive against the Pope.
जाति ना पूछो साधु की; पूछ लीजिए ज्ञान,hi,Don't judge a book by its cover.
इश्क अंधा होता है,hi,Love is blind.
जान है तो जहान है,hi,"there is life, there is world."
अधगल गगरी छलकत जाये,hi,Those with little knowledge keep showing it. Those who know all are calm/silent.
अंधों में काना राजा,hi,A one-eyed man is king amongst blind men.
गर्जने वाले बदल बरसते नहीं हैं,hi,Those who make the most threats seldom do anything
जितनी लम्बी चादर हो पैर उतने ही फैलाना चाहिए,hi,Limit your Spending To your Earnings.
सौ सुनार की एक लोहार की,hi,The power in one blow of hammer used by blacksmith equals hundred blows of hammer used by goldsmith
ओखली में सर दिया तोह मूसलों से क्या डरना,hi,If you have started a difficult task don't bother about what's going to happen.
जहाँ चाह वहाँ राह,hi,where there is a will there is a way
काला अक्षर भैंस बराबर,hi,both black letters and black buffalo appear same to an illiterate person
अपना हाथ जगन्नाथ,hi,It says that one should not depend on others to do any work but have faith in his own hardwork to do the same.
आप सुखी तो जग सुखी,hi,He that is warm thinks all are so
आम से टपका बगल में अटका,hi,ut of the frying pan into the fire.
अपने मुहं मियां मिट्ठू मत बनो,hi,Self praise is no recommendation
आगे दौड़ पीछे चौड,hi,Haste makes waste/Hurry spoils curry
आँख ओझल पहाड़ ओझल,hi,"Out of sight, out of mind."
आवश्यकता अविष्कार की जननी है,hi,Necessity is the mother of invention.
अन्धा क्या जाने बसंत की बहार,hi,A blindman is no judge of colours.
अपना अपना,hi,Blood is thicker than water.
अच्छा वही जो अच्छा कार्य करे,hi,Handsome is that handsome does
इलाज से परहेज अच्छा,hi,Prevention is batter than cure.
ऊंट के मुहं में जीरा,hi,A drop of the ocean.
उपदेश देने से स्वयं उपदेशों पर चलना बेहतर है,hi,Example is better than precept
एक पंथ दो काज,hi,Two kill two birds with one stone.
एकता में बल,hi,Union is Strength.
एक चुप सौ सुख,hi,Silence is the best
एक गंदी मछली सारे तालाब को गंदा कर देती है,hi,A single sheep infects the whole flock.
ऊँची दुकान फीका पकवान,hi,"Much cry, little wool."
कर भला हो भला,hi,Godness never goes unrewarded.
कोठी वाला रोये छप्पर वाला सोये,hi,Uneasy lies the head that wears the crown
कुत्ते का कुत्ता बैरी,hi,Two of a trade seldom agree.
कद्र खोद देता है रोज का आना जाना,hi,Familiarity breeds contempt
ああ言えばこう言う,jp,
愛多ければ憎しみ至る,jp,
愛嬌を振りまく,jp,
愛敬を振りまく,jp,
匕首に鍔,jp,
合言葉にする,jp,
挨拶は時の氏神,jp,
挨拶より円札,jp,
相性が悪い,jp,
合性が悪い,jp,
愛想が尽きる,jp,
愛想が尽きる,jp,
愛想づかしも金から起きる,jp,
愛想も小想も尽き果てる,jp,
愛想を尽かす,jp,
相対のことはこちゃ知らぬ,jp,
開いた口が塞がらない,jp,
開いた口には戸はたたぬ,jp,
開いた口へ牡丹餅,jp,
相槌を打つ,jp,
相手変われど主変わらず,jp,
相手にとって不足はない,jp,
相手のさする功名,jp,
相手のない喧嘩はできぬ,jp,
相手見てからの喧嘩声,jp,
合いの手を入れる,jp,
愛の鞭,jp,
愛は惜しみなく与う,jp,
愛は惜しみなく奪う,jp,
愛は小出しにせよ,jp,
愛は憎悪の始め,jp,
相惚れ自惚れ片惚れ岡惚れ,jp,
合間を縫う,jp,
相も変わらず,jp,
逢い戻りは鴨の味,jp,
会うは別れの始め,jp,
逢うは別れの始め,jp,
合うも不思議合わぬも不思議,jp,
阿吽の呼吸,jp,
敢えて主とならず客となる,jp,
会えば五厘の損がゆく,jp,
仰いで唾を吐く,jp,
仰いで天に愧じず,jp,
青い鳥,jp,
青柿が熟柿弔う,jp,
青くなる,jp,
青写真を描く,jp,
青筋を立てる,jp,
青田買い,jp,
青菜に塩,jp,
青二才,jp,
青は藍より出でて藍より青し,jp,
青葉は目の薬,jp,
青表紙を叩いた者にはかなわぬ,jp,
煽りを食う,jp,
赤いは酒の咎,jp,
垢が抜ける,jp,
赤くなる,jp,
赤子のうちは七国七里の者に似る,jp,
赤子の腕を捩じる,jp,
赤子の手をねじる,jp,
赤子の手を捩じるよう,jp,
赤子の手を捻る,jp,
赤子の手を捻るよう,jp,
赤子は泣き泣き育つ,jp,
赤子を裸にしたよう,jp,
証が立つ,jp,
証を立てる,jp,
赤信号が付く,jp,
赤信号が点く,jp,
赤恥をかく,jp,
垢で死んだ者はない,jp,
垢抜ける,jp,
赤の他人,jp,
垢は擦るほど出る、あらは探すほど出る,jp,
赤恥をかく,jp,
赤恥を搔く,jp,
垢も身のうち,jp,
明るけりゃ月夜だと思う,jp,
明るみに出る,jp,
赤を入れる,jp,
足掻きが取れない,jp,
秋荒れ半作,jp,
秋風が立つ,jp,
秋風と夫婦喧嘩は日が入りゃ止む,jp,
飽きが来る,jp,
空樽は音が高い,jp,
商い三年,jp,
商い上手の仕入れ下手,jp,
商いは牛の涎,jp,
商いは数でこなせ,jp,
商いは門門,jp,
商いは門々,jp,
商いは草の種,jp,
商いは本にあり,jp,
秋茄子は嫁に食わすな,jp,
秋の雨が降れば猫の顔が三尺になる,jp,
秋の入り日と年寄りはだんだん落ち目が早くなる,jp,
秋の扇,jp,
秋の鹿は笛に寄る,jp,
秋の日と娘の子はくれぬようでくれる,jp,
秋の日は釣瓶落とし,jp,
秋葉山から火事,jp,
秋日和半作,jp,
空き家で声嗄らす,jp,
空き家の雪隠,jp,
諦めは心の養生,jp,
呆れが礼に来る,jp,
アキレス腱,jp,
呆れて物が言えない,jp,
商人と屏風は直ぐには立たぬ,jp,
商人と屏風は曲がらねば立たぬ,jp,
商人に系図なし,jp,
商人の嘘は神もお許し,jp,
商人の子は算盤の音で目を覚ます,jp,
商人の空値,jp,
商人の元値,jp,
商人は損していつか倉が建つ,jp,
悪縁契り深し,jp,
灰汁が強い,jp,
灰汁が抜ける,jp,
悪妻は百年の不作,jp,
悪妻は六十年の不作,jp,
悪事、千里を走る,jp,
悪事、身にかえる,jp,
悪獣もなおその類を思う,jp,
悪女の深情け,jp,
悪女は鏡を疎む,jp,
アクセントを置く,jp,
悪銭身に付かず,jp,
悪態をつく,jp,
悪態を突く,jp,
悪に強きは善にも強し,jp,
悪人あればこそ善人も顕る,jp,
悪の裏は善,jp,
悪の温床,jp,
悪の報いは針の先,jp,
悪は一旦の事なり,jp,
悪は延べよ,jp,
欠伸を嚙み殺す,jp,
悪法もまた法なり,jp,
胡坐をかく,jp,
胡座をかく,jp,
開けて悔しき玉手箱,jp,
明けても暮れても,jp,
朱に染まる,jp,
朱を奪う紫,jp,
揚げ足を取る,jp,
挙げ足を取る,jp,
挙げ句の果て,jp,
挙句の果て,jp,
上げ潮に乗る,jp,
上げ膳据え膳,jp,
上げ膳に据え膳,jp,
上げたり下げたり,jp,
阿漕が浦に引く網,jp,
顎から先に生まれる,jp,
顎が落ちそう,jp,
顎が落ちる,jp,
顎が外れる,jp,
顎が干上がる,jp,
顎で使う,jp,
顎で蠅を追う,jp,
顎振り三年,jp,
顎をしゃくる,jp,
顎を出す,jp,
顎を撫でる,jp,
朝雨馬に鞍置け,jp,
朝雨と女の腕捲り,jp,
朝雨に傘いらず,jp,
朝雨に傘要らず,jp,
浅い川も深く渡れ,jp,
朝起き千両,jp,
