sent,reference,translation
L pensent que ce n'est pas votre tasse de thé.,I think this is not your cup of tea.,I think it's not your cup of tea.
- Ce n'est pas votre tasse de thé?,Not your cup of tea?,- Isn't that your cup of tea?
On dirait du pipi de chat.,It tastes like cat pee.,It's like cat pee.
Vous sentez le pipi de chat.,You smell like cat piss.,You smell like cat pee.
"Je me plains pas, mais t'es plus celle qui a parfumé mes habits au pipi de chat.","- I'm not complaining. I think it's wonderful, I really do... but you are not the same girl who made all my clothes smell like cat pee.","I'm not complaining, but you're not the one who perfumed my clothes with cat pee."
Vos têtes sont remplies pipi de chat.,Your heads are filled with cat urine.,Your heads are filled with cat pee.
"Elle a 5 chats, sa maison doit sentir le pipi de chat au lieu de la bière et de la fumée.","She has five cats, so her place probably smells like cat pee instead of beer and smoke.","She's got five cats, so her house should smell like cat pee instead of beer and smoke."
Mais qui prendra la tête des forces de Rome ?,Yet who shall lead the forces of Rome?,But who will lead Rome's forces?
Alors comment vous prévoyiez de prendre la tête ?,So how do you plan to take the lead?,So how did you plan on taking the lead?
"Il prendra la tête, mais je ne crois pas qu'il tiendra la distance.","He's gonna be out on the lead, but I don't think he'll handle the distance.","He'll take the lead, but I don't think he can hold the distance."
Prenez la tête!,Lean forward!,Take the lead!
Prenez la tête.,Go ahead.,Take the lead.
C'est la fin des haricots!,This is the end of the beans!,It's the end of the beans!
"Nous avons perdu beaucoup de temps à essayer de comprendre l'âme, ...alors que la partie matérielle de notre être, reste une terre inconnue.",We wasted so much time trying to study the soul meanwhile the material element of our beings is still an unknown universe.,"We've wasted a lot of time trying to understand the soul, while the material part of our being remains an unknown land."
"Mon boulot, c'est de prendre les âmes",I take souls for a living.,My job is to take the souls.
Ca fait quoi de prendre l'âme de quelqu'un ?,What is it like to take someone's soul?,How does it feel to take someone's soul?
On peut prendre l'âme des arbres ?,Can you take tree souls?,Can we take the souls of the trees?
JE prends les âmes des gens avant qu'ils meurent.,I take people's souls before they die.,I take people's souls before they die.
Je suis sûr qu'ils ont construit cet endroit pour qu'ils s'envoient en l'air.,Sure hope they built this place to code.,I'm sure they built this place to get laid.
On s'envoie en l'air.,"Here we are, up in the air.",Let's have sex.
Ce n'est pas encore le moment de fêter ni de s'envoyer en l'air.,"Well, let's don't start jumping up and down, throwing babies in the air yet, Captain.",It's not time to celebrate or get laid yet.
C'est vrai qu'un mouton peut se noyer dans un verre d'eau ?,"You once told me a cup of fresh water was enough to drown a sheep, right?",Is it true a sheep can drown in a glass of water?
Il se noie dans un verre d'eau.,This man would drown in a glass of water.,He drowns in a glass of water.
Tu sens le sapin.,You smell like a pine cone.,You smell like a tree.
Ça sentait le sapin.,I smelled that pine box.,It smelled like a tree.
- Si on tournait la page ?,- Let's turn the page.,- Why don't we move on?
"Bon OK, continuer de tourner les pages.","All right, keep flipping pages.","All right, keep turning the pages."
- Il tourne les pages à l'envers.,It keeps turning the pages back.,- He's turning the pages backwards.
Retourne la page.,Oy. Turn it over.,Turn the page.
"Écoute, chéri. Si la musique te plaît, viens me tourner les pages.","Darling, if you like the music, sit beside me and turn the pages.","Listen, honey, if you like the music, come and turn the pages for me."
Et que ça tourne au vinaigre ?,And watch it turn to vinegar?,And everything goes wrong?
"L'eau devient amère avec le poison, le vin tourne au vinaigre.","Water grows bitter with poison, Wine turns into vinegar.","Water becomes bitter with poison, wine turns sour."
"tous crachent sur toi, mais tu n'es pas prête.","Everyone's spitting at you, but you're not ready.","Everyone spits on you, but you're not ready."
Il refusait même de prendre une bouchée de pain.,Refused to take even a mouthful of bread.,He wouldn't even take a bite of bread.
Tout ça pour une bouchée de pain ?,What's a loaf of bread anyway?,All this for a small piece of bread?
Nous étions 14 enfants... et nous devions nous battre à table pour avoir une bouchée de pain.,There were 14 children. And we had to fight for our bread at the table:,We were 14 children... and we had to fight at the table for a bite of bread.
Ca sent comme si quelqu'un était crevé ici...,It smells like something died down here.,It smells like someone's dead in here...
Il y a ce moment excellent où son œil est crevé...,There's this brilliant bit where his eye gets gouged out...,There's this excellent moment where his eye is dead...
Il y en a qui sont crevés !,What the hell? Half of them are dead.,Some of them are tired!
Mais vous êtes crevés.,"Wish you could try it, but you're all dead.",But you're tired.
T'es dans la lune ?,Are you on the moon?,Are you out of your mind?
"Enfin, Arthur, tu es dans la lune depuis deux mois.","God! Arthur, you've been gazing at the moon for the past two months.","Come on, Arthur, you've been on the moon for two months."
"Toi t'es dans la Lune, et moi je suis le Soleil",Worshiper of moons. I am the sun.,"You're in the moon, and I'm the sun"
Et j'ai compris que tout est dans la lunette.,And I finally figured out the trick is right there in the collar.,And I realized it's all in the glass.
"- C'est à l'ouest, ça.",That's way out West.,- That's west.
On est à l'ouest du Mississippi!,We are west of the Mississippi!,We're in the west side of theché.
"L'île est à l'ouest de nous, Hugh.","The island's to the west of us, Hugh.","The island is west of us, Hugh."
"Kesan est à l'ouest d'Istanbul, près de la frontière grecque.","Kesan is West, near the Greek borders.","kisan is in the west of in mansion, near the greek border."
Nous sommes à l'ouest de votre position.,We're directly west of you.,We're west of your position.
"Je l'ignore, je donne ma langue au chat.","I do not know, I give my tongue to the cat.","I don't know, I give up."
C'est comme essayer d'enfoncer une porte ouverte.,Blow the door open!,It's like trying to break down an open door.
Votre pneu est crevé.,This tire's got a hole in it.,Your tire's flat.
