source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
ああ　落ち着け　こんなの朝飯前だ,"Oh, relax, fellas. This is gonna be a piece of cake.","Yeah, calm down. This is a piece of cake.",朝飯前,,,,
前は数千マイルだって 朝飯前だったのに,Before a couple thousand miles were a piece of cake.,It used to be thousands of miles before breakfast.,朝飯前,,,,
朝飯前さ,"Easy-peasy, fresh and squeezy...",It's just breakfast.,朝飯前,,,,
あんたなら朝飯前だろ,But you could've pulled this off with your eyes closed.,I think you're right about breakfast.,朝飯前,,,,
親が金持ちなら 朝飯前だ,"Rich parents like Zach has, it's not hard to put two and two together.","If your parents are rich, they'll be here for breakfast.",朝飯前,,,,
朝飯前だ,Piece of cake.,It's breakfasttime.,朝飯前,,,,
朝飯前　心配無し,"It's all right, Lister. I'm in complete and total control.",No worries before breakfast.,朝飯前,,,,
俺を殺すくらい朝飯前か？,Can they kill me before breakfast?,You think you're gonna kill me before breakfast?,朝飯前,,,,
ジョージ・テネットが 「朝飯前」と言ったとき,"That's why when George Tenet said ""slam dunk,""","When George Tennet said,",朝飯前,,,,
朝飯前さ,Piece of cake.,It's just breakfast.,朝飯前,,,,
案ずるより産むが易し、だよ,Doing it is the easy part.,It's easier to give birth than you think.,案ずるより産むが易し,,,,
''武士は食わねど高楊枝''って やつですか,Eagles don't eat flies... is that it?,"'Cause a warrior doesn't eat, doesn't he?",武士は食わねど高楊枝,,,,
相手は海千山千のお偉方だ 話をもっともらしくしないと...,"You're meeting the adepts here, the higher-ups on the pyramid, so it is very important that you sound authentic.","He's got 1,000 grand at sea. He's got to be good at what he's saying.",海千山千,,,,
シャーロック・ホームズ 相変わらず　イカしてる♪,"Sherlock Holmes, you look dashing as ever.",Sherlock Holmes. Sherlock Holmes. She's as cool as ever.,相変わらず,,,,
相変わらず素晴らしいわ,"Impressive as always, Eddie.",It's as good as ever.,相変わらず,,,,
推理力は 相変わらず 非の打ちどころがない,Your powers of deduction are as ever impeccable.,Your powers of reasoning are still inconclusive.,相変わらず,,,,
司令官　相変わらず,Marshal. Looking sharp.,"Commander, continue.",相変わらず,,,,
ああ　彼は相変わらず無知よ,"Ah, he's clueless, as usual.","Yeah, he's as ignorant as ever.",相変わらず,,,,
相変わらず 好奇心旺盛だ,Stuffed to the gills with insatiable curiosity.,I'm still curious.,相変わらず,,,,
相変わらず兄上は 権力の掌握が大事なのね 兄弟の救出よりも,"As usual, your power grabs are more important than rescuing your brother.",You still have more control over your power than you do to rescue your brother.,相変わらず,,,,
相変わらず きついスーツだ,I don't remember it being so tight.,It's still a tough suit.,相変わらず,,,,
相変わらず反抗的だな デミ,"""Always the rebel, Demi.""","You're still rebellious, Dima.",相変わらず,,,,
俺が自分を投げ出したのに お前は相変わらず上から目線だ！,I threw myself at you and you still think you're superior to me!,"I gave myself up, and you're still up there looking at me!",相変わらず,,,,
相変わらず お前には歯がたたないな 俺は,I can never beat you.,"I can't hold your teeth any longer, can I?",相変わらず,,,,
相変わらず美しいよ,You look good.,She's as beautiful as ever.,相変わらず,,,,
ずっとパソコンの画面を 睨みっぱなしになります 相変わらずですね,"I'll be staring at a computer screen the whole time, but still.","You're going to be staring at the computer screen for a long time, and you're still looking at it.",相変わらず,,,,
相変わらずさ,"You know, Frank. Same old shit.",I've always been.,相変わらず,,,,
相変わらずいつもと同じか？,"Same old, same old, huh?",Same as always?,相変わらず,,,,
トミーは相変わらず オリバーは元気か？,Tommy is Tommy. How's Oliver?,"Tommy, how's Oliver?",相変わらず,,,,
相変わらずよ,Always.,It's always been.,相変わらず,,,,
(松本） お前は相変わらず白いな 夏休みどうしてた？,You're still as pale as ever. What'd you do over summer break?,You're as white as ever. How was your summer vacation?,相変わらず,,,,
相変わらず的確な書評でした,"As usual, it was a very apt review.",It's always been a good review.,相変わらず,,,,
君の舌も相変わらずだ,Your tongue is very feisty.,Your tongue's just as good as yours.,相変わらず,,,,
そうして寂しく6ヶ月が過ぎた 相変わらず僕とハリーだけだった,So six lonely months went by and it was still just me and Harry.,Six months have passed since I've missed it. It's just me and Harry.,相変わらず,,,,
なあ、相変わらずだな。 生きてた頃と変わらん。,"You know, you were the same way when you were alive.","Hey, it's the same as it was when I was alive.",相変わらず,,,,
マイク 相変わらずだな,Fuckin' Mike. You always were a hardass.,"Mike, you always did.",相変わらず,,,,
相変わらず美しい,Lovely as ever.,It's as beautiful as ever.,相変わらず,,,,
相変わらず子供たちとね,Still with my kids.,I'm still with the kids.,相変わらず,,,,
ライアンは相変わらず 馬鹿な策を練ってる,Ryan's created a whole new wall of crazy conspiracy theories.,Ryan's still trying to make a fool of himself.,相変わらず,,,,
- 相変わらず　落ちては焼いてる,"- They keep coming, we keep burning them.",- You're still on fire.,相変わらず,,,,
相変わらず若いよ,You still look as young.,You're still young.,相変わらず,,,,
相変わらずね...,"Long time, no...",As always.,相変わらず,,,,
良い言葉だ 教授 だが相変わらず 足りないし遅すぎる,"Nice words, Professor, but as usual, too little too late.","That's a good word, Professor, but as usual, it's not enough, it's too late.",相変わらず,,,,
相変わらずお元気そうですね,- You look as lovely as ever. - I concur.,You look as good as ever.,相変わらず,,,,
相変わらずだな,Never changed!,You've always been.,相変わらず,,,,
まあ　相変わらず痩せねえが,Very relaxed.,"Well, I'm not as thin as I used to be.",相変わらず,,,,
あなたって 相変わらずね,you're still the same.,"You've always been, haven't you?",相変わらず,,,,
相変わらず 騙されやすいのね,How can you still be so naive?,You're as easy to fool as ever.,相変わらず,,,,
相変わらず 哀れな坊や,You're still just a sad little boy.,"As always, poor little boy.",相変わらず,,,,
相変わらず忙しいの？,- Is the lab keeping you busy? - Yeah.,Are you still busy?,相変わらず,,,,
相変わらず よく しゃべるわね,"Big mouth, as always.",You talk as well as I do.,相変わらず,,,,
相変わらず 台本は一切ございません,"As usual, there is no script at all.","As usual, there is no script at all.",相変わらず,,,,
山里は 相変わらず 何にも分かってへんな お前,"Yamasato, you just don't know anything.",Yamasato still doesn't know anything.,相変わらず,,,,
（山里）GirlsAwardでね 相変わらずガサツに 何でも言っちゃう聖南が,"Yes, Seina, who tends to be blunt, ends up helping them get together.","-Yes. -Sinina, who's still talking to the sisters, said anything to them.",相変わらず,,,,
相変わらず美しいですね,Lovely as ever.,"It's as beautiful as ever, isn't it?",相変わらず,,,,
相変わらず不器用で 愚かな奴,Clumsy as always and twice as dim.,He's as clumsy and as stupid as ever.,相変わらず,,,,
笑えるぜ　相変わらずだ 行くぜ相棒,"Crazy, both of y'all, still the same. Let's roll, buddy.","You're funny. You're still here. Come on, buddy.",相変わらず,,,,
ハッターは相変わらず 騒がしかった,The Hatter was perfectly Hatter-ish,Hatter was as noisy as ever.,相変わらず,,,,
相変わらず 何て言ってるかわからない,Still have no idea what you're saying.,"As usual, I don't know what you're saying.",相変わらず,,,,
相変わらずクソな世界だ,This world is as doomed as ever.,It's still a shitty world.,相変わらず,,,,
博士 相変わらず素敵ね,Dr. Ford. Always charming.,"Doctor, you're still lovely.",相変わらず,,,,
無茶なところは相変わらずね そんなに困ってるの？,We both have done desperate things when our backs are against the wall.,"You've always been a fool, haven't you? Are you in so much trouble?",相変わらず,,,,
トリッシュは相変わらずだよ,"Oh, you know, Trish is Trish.",It's the same with Twilight.,相変わらず,,,,
（山里）いやあ 相変わらず クルミちゃんの,-Yeah.,"-Yes, as usual.",相変わらず,,,,
（半田）相変わらず散らかっているけど （夏美）お邪魔しまーす,"-It's a mess as usual, but...",-It's just a mess. -Hello.,相変わらず,,,,
バカ バカだな 相変わらず,That'd be a stupid move.,You're an idiot. You're still an idiot.,相変わらず,,,,
俺はもう相変わらず 作ってるよ,-I've been building as usual.,I've been working on it all along.,相変わらず,,,,
相変わらず素敵ですね 陛下,"Still so handsome, my king.","You're as lovely as ever, Your Grace.",相変わらず,,,,
相変わらず センスがいいのね,Your taste is as impeccable as always.,You still have a good sense of humor.,相変わらず,,,,
相変わらずお美しい,"Just look at you, dear.",You're as beautiful as ever.,相変わらず,,,,
相変わらず凄腕ですね、 ドラゴン。,"Good work, Dragon.","You're as good as ever, dragon.",相変わらず,,,,
相変わらず脅かしてくれるね,"Oh, you do continue to delight and amaze.","You're always scaring me, aren't you?",相変わらず,,,,
相変わらずお人好しね,Always knew you were a softy.,You've always been nice to me.,相変わらず,,,,
あの男は　相変わらず,The man is as mercurial a character as you will ever encounter.,That man's always been.,相変わらず,,,,
相変わらず,Always.,As always.,相変わらず,,,,
相変わらずだよ,It's the same.,I've always been.,相変わらず,,,,
減らず口は相変わらず,I don't think this guy's moved on.,I'm not going to stop talking.,相変わらず,,,,
相変わらず陽気な絵だ,Darling your paintings look more and more happy ...,It's as cheerful as ever.,相変わらず,,,,
相変わらずの静寂、 船長は怒鳴った、,"Calm as ever, the captain bellows...","The calm as usual, the captain yelled at me.",相変わらず,,,,
相変わらず ステキですわ,"Oh, no, miss foxworth, you're as lovely as ever.",It's as beautiful as ever.,相変わらず,,,,
ディーン　相変わらず 80年代のB級活劇的な台詞だな,"Dean, always with the B-grade '80s-action-movie wit.","Dean, it's always been the B-grade of the '80s. It's a dramatic word.",相変わらず,,,,
ハィ マギー　相変わらず 私を巻き込んでくれるね,"Hi. Ah. You look exactly the same, which frankly, annoys me.","Hi, Maggie. You're always gonna get me involved.",相変わらず,,,,
相変わらず眼光が鋭い　リグスビー,"As keen-eyed as ever, young Rigsby.","As sharp as ever, Rigsby.",相変わらず,,,,
もう時間が無いぞ どうぞ 12年経っても 相変わらず,"We're running out of time. Yep? It's good to see that after 12 years, uh, paper gowns are still awful.","We're running out of time. Go ahead. Even after 12 years, you'll still be here.",相変わらず,,,,
ローレライの不義は 相変わらず昔のまま！,"Lorelei's treachery remains unchanged, no matter the world.",Lorelei's injustice is as old as ever!,相変わらず,,,,
僕は　相変わらず部外者だ,I will always remain an outsider.,I'm still an outsider.,相変わらず,,,,
相変わらず 勝負してる｡,It's so good.,We're still fighting.,相変わらず,,,,
爽太君 変わってないねぇ｡ 相変わらず 痛ーい｡,"Souta-kun, you haven't changed at all. As usual, hopeless.",Souta-kun hasn't changed.,相変わらず,,,,
相変わらず テレビは故障,TV still doesn't work.,TV still doesn't work.,相変わらず,,,,
相変わらず テレビは故障,'TV still doesn't work.,TV still doesn't work.,相変わらず,,,,
相変わらず上品だな,Classy as ever.,You're as elegant as ever.,相変わらず,,,,
うちの曾じいちゃんは 相変わらずだよ,"Donald says he's already earned the ""great"" part, so we just leave it at that.",My great-grandfather's still here.,相変わらず,,,,
相変わらずだわ,It's one of your most endearing qualities.,It's the same.,相変わらず,,,,
ジミーは相変わらずだよ,- Jimmy's Jimmy. You know?,Jimmy's as good as ever.,相変わらず,,,,
相変わらず　真実の恋 あなたは？,"Same as always, true love. How about you?","As always, true love. Who are you?",相変わらず,,,,
相変わらずの のんき者だな,"Like always, you are a dreamer.","You're just as good as ever, aren't you?",相変わらず,,,,
- 相変わらずです,-More of the same.,- Same as usual.,相変わらず,,,,
相変わらず いいパンチしてやがる,"Damn, Dom! Your girl's still got that swing, homie.",He's still got a good punch.,相変わらず,,,,
だが 予測不可能性 他人を傷つけたいという意欲 相変わらず危険だ,"But your unpredictability, your willingness to hurt others make you as dangerous as ever.","But unpredictability, the desire to hurt others, it's as dangerous as ever.",相変わらず,,,,
みんな相変わらず 家を必要としてる かつてのオリーには しゃべりの才能があったが,"People still need a roof over their heads, and the old Ollie always had a gift for the gab.","Everyone needs a home as much as they used to be, and Ollie had a gift to talk to.",相変わらず,,,,
相変わらず 生意気な女だな,"As usual, you're a rude woman.",She's as smart as ever.,相変わらず,,,,
相変わらず　愛想悪いな。,"She's as unsociable as ever, isn't she.","As always, I feel uncomfortable.",相変わらず,,,,
相変わらずだな,I've seen this movie before.,You've always been.,相変わらず,,,,
相変わらずか?,You still dip?,How long have you been here?,相変わらず,,,,
相変わらずね,-Same old Dave.,You've always been.,相変わらず,,,,
ああ 礼さんの高校二年と三年のときに担任をしておりました 陶芸家の伊藤松憲と申します あの人も相変わらずうさんくさいな,I was Rei's homeroom teacher during her junior and senior years of high school... a ceramicist... super shady.,"I was in charge of his high school year, two and three years. I'm Ito Matsu, a potter.",相変わらず,,,,
相変わらずキレイだ,Great to see you. You look beautiful as always.,You're as beautiful as ever.,相変わらず,,,,
相変わらず,As usual.,As always.,相変わらず,,,,
相変わらずだよ,"Oh, you know. Same old, same old.",I've always been.,相変わらず,,,,
相変わらず負けず嫌いなのか？,"Senator, actually.","You still don't like it, do you?",相変わらず,,,,
"相変わらずだな ""喧嘩するな""","Same as always. ""Shuffle along, cause no strife.","As always. ""Don't fight.""",相変わらず,,,,
相変わらず颯爽としてらっしゃいますわ。,"Dashing as ever, I see.",I'll be back as always.,相変わらず,,,,
- 相変わらずだよ,- Same old Wimbledon.,- Same as usual.,相変わらず,,,,
相変わらず、教授室は嫌いですか？,"You never did like your office, did you?",Do you still hate the professor's office?,相変わらず,,,,
相変わらず大げさだな でもありがとうよ、アーサー,"Your confession, has always as much appreciated, Arthur, thank you.","You're still making a big deal of it, but thank you, Arthur.",相変わらず,,,,
お前は相変わらず ゲス野郎だ,You always were a son of a bitch. Come on.,You're still a son of a bitch.,相変わらず,,,,
相変わらずのバカだ,"– He's still out there, is he?",You're as stupid as ever.,相変わらず,,,,
相変わらず口が悪くて よかった,I'm glad to see you still have your twisted sense of humor.,I'm glad you're still a bad-mouthed man.,相変わらず,,,,
- 相変わらず混線してる...,- Like Dixon's brain...,- It's still crowded...,相変わらず,,,,
でも彼は相変わらず 時計のネジを巻き続けている,But there's you every day winding that stupid watch.,But he's still rolling clock screws.,相変わらず,,,,
相変わらずだ,"- Same old, same old.",As always.,相変わらず,,,,
相変わらずか？,Still fighting a good fight?,How long have you been here?,相変わらず,,,,
相変わらずね,"- Yeah, you haven't changed.",You've always been.,相変わらず,,,,
ただオレは これまでと同じだ　相変わらずだ,"Sure, I'm still who I was, who I am.",But I'm the same as ever. Same as ever.,相変わらず,,,,
ダンスパーティの女王様だ 相変わらず　ホットだなぁ,"Yes, little Miss Prom Queen still hot as ever.",She's the queen of the dance party. She's still hot.,相変わらず,,,,
相変わらず,Afraid so.,As always.,相変わらず,,,,
相変わらず かっこいいですね,As handsome as ever.,You're as cool as ever.,相変わらず,,,,
相変わらずの人道主義だな　ばってん,"Ever the nostalgiste, eh Rat?","You're a humanitarian, you know that, don't you?",相変わらず,,,,
相変わらず 卒業する気もないのか,Still no plans to graduate?,"You're still not going to graduate, are you?",相変わらず,,,,
相変わらず ビクついてるな,"No change, Pete? Still jumpy.",You're as excited as ever.,相変わらず,,,,
トップは相変わらずナンバー１７、 フェラーリのジャン -ピエール・サルティ... .,"Number 17, the Ferrari of Jean-Pierre Sarti, is still in front but he just cannot get away from number 12, Scott Stoddard in the BRM.","Tops are still number 17, Ferrari Jean-Jean-State...",相変わらず,,,,
相変わらずさ,- All right.,I've always been.,相変わらず,,,,
相変わらずだな　なつかしい,You look great. Everything looks great.,You've always been. I miss you so much.,相変わらず,,,,
相変わらずですね,Bright and alert as always.,"It's always been that way, isn't it?",相変わらず,,,,
相変わらずのクセっ毛ね 私の子供の頃と　そっくり。,"Wavy hair, just like mine when I was your age.",You're as old as I was when I was a kid.,相変わらず,,,,
ダーシーは相変わらずで 彼女にも軽蔑的な態度 でも令夫人は 彼を 婿にと決めてるみたい 令夫人には逆らえないわ,"Mr Darcy shows no inclination for her, and treats her with the same indifference he shows everyone, but Lady Catherine is determined to have him for a son-in-law, and she is not a woman to be gainsaid.","Darcy's always been the same, and she's always the same, but Lady Catherine's decided to take him for her son-in-law, and I can't resist her.",相変わらず,,,,
まったく相変わらずだな その性格は・・,"Just wait a moment, my stiff-necked brother.",That's exactly what I'm talking about. That personality is...,相変わらず,,,,
そっちこそ 相変わらず教会へ行く 婆様よりノロノロ運転だな,And you still drive slower than a little old lady on her way to church.,You're still driving faster than the old lady going to church.,相変わらず,,,,
なるほど ったく相変わらず頑固だな,"Still the same old Frank, huh?",I see. You're as stubborn as ever.,相変わらず,,,,
相変わらず 気まぐれなんだから,Not that it matters. You come and go as you please.,You're still a bit of a whim.,相変わらず,,,,
- 相変わらず綺麗だ,You're still beautiful!,- You're as beautiful as ever.,相変わらず,,,,
相変わらず タトゥイーンの坊やね,"Ani, you'll always be that little boy I knew on Tatooine.",You're still a tattoo boy.,相変わらず,,,,
相変わらずだな あんた,"Goddamn it, Morpheus, you ain't never gonna change.","You've always been, haven't you?",相変わらず,,,,
（吉森） 岩崎の野郎 相変わらず 手加減しないで ボカスカ ケリやがって ちくしょう ！,That brute Iwazaki... He doesn't treat someone differently as ever. It's so bothersome Damn it...!,"You Iwazaki son of a bitch, don't be too hard on me, Bocaska!",相変わらず,,,,
（吉森） なんだよ 親父さんも 相変わらずだね,What the... Your father also hasn't changed a little bit.,What's up? Your father's always been there.,相変わらず,,,,
相変わらずだな,What do we know?,You've always been.,相変わらず,,,,
相変わらず海猿だわ　最悪！,"Same old ""sea monkeys. "" I hate 'em.",He's still a sea monkey. Damn it!,相変わらず,,,,
― 相変わらずでしょ ― うん,I told you.,- You've always been. - Yeah.,相変わらず,,,,
相変わらず向いてない,- We're still a bunch of misfits.,I'm not as good as I used to be.,相変わらず,,,,
相変わらず,- The same.,As always.,相変わらず,,,,
相変わらず　アメ車は単純だ,American cars are so simple!,The candy car is as simple as ever.,相変わらず,,,,
（実況） 相変わらず カーブが好調ですね,Nice curve ball!,The curve is as good as ever.,相変わらず,,,,
おふくろさんだって相変わらず 団地でお題目上げてるだろ,Your mom is at the apartment praying as usual,Your mother's always been on top of us.,相変わらず,,,,
相変わらずですね 友よ,"In one thing you have not changed, dear friend.","As always, my friend.",相変わらず,,,,
相変わらずだろ？,"Fuck, I know, right?","It's always been that way, isn't it?",相変わらず,,,,
サイラス 相変わらず 態度悪いな,"You always were a rude bastard, Cyrus.","Cyrus, you still have a bad attitude.",相変わらず,,,,
- あぁ　相変わらず,"- Yes, the usual.","- Yeah, as usual.",相変わらず,,,,
相変わらず喋りすぎか？,"Talkative as ever, eh?",Are you still talking too much?,相変わらず,,,,
- 相変わらずだな,- That was the old stuff.,- You've always been.,相変わらず,,,,
目の前にあっただろう、ジョン 相変わらず節穴だな,"The evidence was right under your nose, John, as ever you see but do not observe.","It was right in front of you, John. You're still in the hole.",相変わらず,,,,
ダメよ　相変わらず,No. As usual.,"No, no, no, no, no, no, no, no, no, no, no.",相変わらず,,,,
相変わらずよ,I'm still here.,It's always been.,相変わらず,,,,
相変わらず 緊張しすぎよ,It's like I said. You boys are too tense.,You're just as nervous as ever.,相変わらず,,,,
ダイエットは　相変わらず うまくいってるとは言えないが あなたの頚動脈が バスケットボールみたいに 飛び跳ね始めたところを見ると,And the fact that your carotid has started jumping up and down like a basketball makes me think that your stash is nearby.,"I can't say your diet is still going well, but when I see your jugular artery starting to jump like a basketball,",相変わらず,,,,
相変わらずこの街の組織犯罪には 君の影響が衰えていない,Certainly your control of the city's criminal enterprises appears undiminished.,"As usual, your influence on organized crime in this city has not diminished.",相変わらず,,,,
"- まぁ 相変わらずです""","- Oh, the same.","- Well, as always.",相変わらず,,,,
