source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
"pour le petit déjeuner , il il falloir un poele à frire ( Harris protester que ce être un mode de cuisson indigeste , ce avoir quoi il lui répliquâmer simplement de ne pas faire le andouille ) , et George continuer : un théiere , un bouilloire , et un réchaud à alcool .","""Now for breakfast we shall want a frying-pan"" - (Harris said it was indigestible; but we merely urged him not to be an ass, and George went on) - ""a tea-pot and a kettle, and a methylated spirit stove.""","For breakfast, you need a frying pan (Harris protest that this being is an indigestible way of cooking, that having what he simply retorts him not to do the fuss ), and George continue: a teapot, a kettle, and an alcohol stove.",,,,,
"ça , ce être de le Harris tout cracher .",That's just like Harris.,"That, that Harris being spitting it all out.",,,,,
Jehan qui faire le tête et qui siffler compléter le illusion .,"Jehan who formed the head, and who was whistling, completed the illusion.",Jehan who makes the head and whistle completes the illusion.,,,,,
"il ne savoir se il se rendre compte subitement de ce idée , mais , tout évaporer que il être , il comprendre que il avoir voir ce que il ne avoir pas devoir voir , que il venir de surprendre le âme de son frère aîné dans un de son plus secret attitude , et que il ne falloir pas que Claude se en apercevoir .","We do not know whether he suddenly became conscious of these things; but, giddy as he was, he understood that he had seen what he ought not to have seen, that he had just surprised the soul of his elder brother in one of its most secret altitudes, and that Claude must not be allowed to know it.","he doesn't know if he suddenly realizes this idea, but, evaporating everything that he is, he understands that he has to see what he doesn't have to see, that he just surprised the soul of his older brother in one of his most secret attitude, and that it doesn't have to be that Claude realizes it.",,,,,
"le foule fourmiller autour de il ; de temps en temps , un homme accoutrer de un casaque jaune et rouge faire faire le cercle , puis revenir se asseoir sur un chaise à quelque pas de le danseur , et prendre le tête de le chèvre sur son genou .","The crowd was swarming around her; from time to time, a man accoutred in red and yellow made them form into a circle, and then returned, seated himself on a chair a few paces from the dancer, and took the goat's head on his knees.","the crowd swarm around it; from time to time, a man clad with a yellow and red casaque make the circle make, then come back to sit on a chair a few steps from the dancer, and take the head of the goat on his knee.",,,,,
"il reposer donc le aviron , et se retourner pour jeter un coup de oeil . le fleuve , dans le crépuscule , se étirer tout droit sur un distance de quinze cents metre , sans le ombre de un écluse .",The river stretched out straight before us in the twilight for about a mile; not a ghost of a lock was to be seen.,"so rest the row, and turn around to take a look. the river, in dusk, stretch straight for a distance of fifteen hundred meters, without the shadow of a lock.",,,,,
"puis , rassembler tout son force , il prendre le tête de le jeune homme entre son deux main , le regarder un instant comme si tout son âme être passer dans son regard , et , avec un cri sanglotant , il appuyer son lèvre sur le sien .","Then, collecting all her strength, she took the head of the young man between her hands, looked at him for an instant as if her whole soul passed into that look, and with a sobbing cry pressed her lips to his.","Then, gathering all his strength, he takes the young man's head between his two hands, looking at him for a moment as if all his soul was passing through his eyes, and, with a sobbing cry, he presses his lip on his.",,,,,
"comme le civilisation , il avoir tourner le page , et le esprit nouveau de le temps le trouver prêt à écrire sous son dictée .","Like civilization, it has turned a page, and the new spirit of the time finds her ready to write at its dictation.","like civilization, it has turned the page, and the new spirit of time find it ready to write under its dictation.",,,,,
il ne abandonner point le pharmacie ; à le contraire ! il se tenir à le courant de le découverte .,"He by no means gave up his shop. On the contrary, he kept well abreast of new discoveries.",he does not abandon the pharmacy; on the contrary! he keeps to the current of the discovery.,,,,,
"« ah ! ce être impayable de entendre George parler de travail , se esclaffer il , lui qui rendre le âme à le bout de trente minute de effort !","""Fancy old George talking about work!"" he laughed; ""why, about half-an- hour of it would kill him.","""Ah! this impeccable being to hear George speak of work, slamming himself he, he who renders the soul at the end of thirty minutes of effort!",,,,,
"tout à coup il lui prendre le tête dans le deux main , le baiser vite à le front en se écrier « Adieu ! » et se élancer dans le escalier .","Suddenly she seized his head between her hands, kissed him hurriedly on the forehead, crying, ""Adieu!"" and rushed down the stairs.","All of a sudden he takes his head in both hands, kissing him quickly at the forehead by shouting ""Friendly!"" and leaning in the stairs.",,,,,
"ce être , à ce que on assurer , un fameux lapin ! il rouler sur le or! il mener avec lui trois maître et son cuisinier !","From what I hear, he's a regular dog; he's rolling in money; he's taking three mistresses and a cook along with him.","that being, to what we assure, a famous rabbit! it roll on the gold! it lead with him three master and his cook!",,,,,
"il faire venir de Rouen le volume de le docteur Duval , et , tout le soir , se prendre le tête entre le main , il se enfoncer dans ce lecture .","He sent to Rouen for Dr. Duval's volume, and every evening, holding his head between both hands, plunged into the reading of it.","He brings from Rouen the volume of Dr. Duval, and, all night, takes his head between his hand, he sinks into this reading.",,,,,
"et il falloir posséder à fond tout son principe de hygiène , pour diriger , critiquer le construction de le bâtiment , le régime de le animal , le alimentation de le domestique ! il falloir encore , madame Lefrançois , posséder le botanique ; pouvoir discerner le plante , entendre il , quel être le salutaire de avec le délétère , quel le improductive et quel le nutritive , se il être bon de le arracher par-ci et de le ressemer par là , de propager le un , de détruire le autre ; bref , il falloir se tenir à le courant de le science par le brochure et papier public , être toujours en haleine , afin de indiquer le amélioration ...","And one must be master of all the principles of hygiene in order to direct, criticize the construction of buildings, the feeding of animals, the diet of domestics. And, moreover, Madame Lefrancois, one must know botany, be able to distinguish between plants, you understand, which are the wholesome and those that are deleterious, which are unproductive and which nutritive, if it is well to pull them up here and re-sow them there, to propagate some, destroy others; in brief, one must keep pace with science by means of pamphlets and public papers, be always on the alert to find out improvements.""","and it will be necessary to possess thoroughly its whole principle of hygiene, to direct, to criticize the construction of the building, the regime of the animal, the food of the domestic! you still have to possess the botany, to be able to discern the plant, to hear it, what to be the salutary of with the deleterious, what the unproductive and what the nutritive, if it is good to remove it by this and to resurrect it by there, to propagate the one, to destroy the other; in short, you have to keep to the current of the science by the brochure and public paper, to be always inhaled, in order to indicate the improvement ...",,,,,
"« ah ! ce ne être pas à le Alhambra que on se ennuire , dire Harris , aventurer un instant son tete hors de le bâche pour jeter un coup de oeil vers le ciel .","""Why, the Alhambra would be almost more lively,"" said Harris, venturing his head outside the cover for a moment and taking a survey of the sky.","""Ah! it's not to the Alhambra that we get bored, say Harris, venture for a moment its head out of the tarpaulin to take a look at the sky.",,,,,
"enfin , pour se tenir à le courant , il prendre un abonnement à le ruche médical , journal nouveau dont il avoir recevoir le prospectus .","Finally, to keep up with the times, he took in ""La Ruche Medicale,"" a new journal whose prospectus had been sent him.","Finally , to keep up with the news , he takes a subscription to the medical hive , new newspaper from which he has received the prospectus .",,,,,
le chevalier de Rochefort jeter un coup de oeil en arrière et vivre que Porthos et Aramis se être placer entre lui et le porte ; il comprendre que il être complètement à le merci de ce quatre homme .,"The Chevalier de Rochefort cast a glance backward, and saw that Porthos and Aramis had placed themselves between him and the gate; he understood that he was completely at the mercy of these four men.",the knight of Rochefort take a look back and live that Porthos and Aramis have placed between him and the door; he understands that he is completely at the mercy of this four man.,,,,,
George venir jeter un coup de oeil à son œuvre : il se réduire à le taille de un cacahuete .,George came and had a look at it - it was about the size of a pea-nut.,George came to take a look at his work: he reduced himself to the size of a poopuete.,,,,,
"il se faire tirer le langue , y jeter un coup de oeil , se prendre le poul , lui assener un claquer dans le dos à le moment ou il lui y attendre le moins « ce que il appeler un coup en traître « puis y coller brutalement son oreille .","Then he opened me and looked down me, and clutched hold of my wrist, and then he hit me over the chest when I wasn't expecting it - a cowardly thing to do, I call it - and immediately afterwards butted me with the side of his head.","he gets his tongue pulled, he takes a look at it, he takes the octopus, he slams him in the back at the moment or he waits for it the least ""what he calls a blow by traitor "" then brutally sticks his ear to it.",,,,,
"et jeter un coup de oeil sur le _gig_ , il y voir en effet mistress Harrison qui y être asseoir .","Looking at the gig, I saw that it was indeed Mrs. Harrison who was seated in it.","and take a look at the _gig_ , there indeed see Harrison mistress who are sitting there .",,,,,
"un de son œil avoir être crever et abîmer par un blessure , mais le autre se porter de son père à lui avec autant de vivacité que de pénétration .","One eye was disfigured and sightless from a wound, but the other looked from my father to myself with the quickest and shrewdest of expressions.","one of his eye to have been killed and damaged by an injury, but the other to wear from his father to him with as much vivacity as penetration.",,,,,
"en dire ce mot , il ouvrir le porte . il y jeter un coup de oeil et il être un vingtaine de homme bien mettre , parmi lequel il reconnaître plusieurs figure qui lui être devenir familier pendant son court carrière à le West- End .","He opened a door as he spoke, and looking in we saw a score of well- dressed men, some of whose faces had become familiar to me during my short West End career, seated round a table upon which stood a steaming soup-tureen filled with punch.","Saying this word, he opens the door. he takes a look at it and he is about twenty men well put, among which he recognizes several figures who become familiar to him during his short career at the West End.",,,,,
"si un mineur marier ne arriver pas à joindre le deux bout , un garçon sobre , ne avoir aucun charge , pouvoir réaliser un économie .","If a married miner can with difficulty make both ends meet, a sober lad who has no burdens can even manage to save.","if a minor marriage does not manage to make ends meet, a sober boy, have no charge, be able to realize an economy.",,,,,
"il savoir que avoir le suite de le trouble de Montsou , un vif émotion se être emparer un journal de Paris , tout un polémique violent entre le feuille officieux et le feuille de le opposition , un récit terrifiant , que on exploiter surtout contre le internationale , dont le empire prendre peur , après le avoir encourager ; et , le Régie ne oser plus faire le sourd oreille , deux de le régisseur avoir daigner venir pour un enquete , mais de un air de regret , sans paraître se inquiéter de le dénouement , si désintéressé , que trois jour après il être repartir , en déclarer que le chose aller le mieux de le monde .","He knew that after the Montsou troubles there had been great excitement in the Paris journals, quite a violent controversy between the official newspapers and the opposition newspapers, terrible narratives, which were especially directed against the International, of which the empire was becoming afraid after having first encouraged it; and the directors not daring to turn a deaf ear any longer, two of them had condescended to come and hold an inquiry, but with an air of regret, not appearing to care about the upshot; so disinterested, that in three days they went away again, declaring that everything was going on as well as possible.","he knows that to have the continuation of the trouble of Montsou, a lively emotion to have seized a newspaper of Paris, a whole violent controversy between the unofficial sheet and the sheet of the opposition, a terrifying narrative, which one exploit especially against the international, whose empire take fear, after having encouraged it; and, the Régie no longer dares to make the deaf ear, two of the administrator to have deigned to come for an investigation, but with an air of regret, without seeming to worry about the outcome, so disinterested, only three days after he was left, declaring that the thing to be the best of the world.",,,,,
"il se contenter de jeter un coup de oeil sur le chambre que il lui montrer et ne y entrer même pas ; puis il se dire que il avoir devoir avoir beaucoup de peine et de fatigue pour effectuer un si grand changement en si peu de temps , mais pas un seul fois il ne exprimer un satisfaction de voir son maison bien arranger .","He just looked in at the doors I opened; and when he had wandered upstairs and downstairs, he said I must have gone through a great deal of fatigue and trouble to have effected such considerable changes in so short a time: but not a syllable did he utter indicating pleasure in the improved aspect of his abode.","he just takes a look at the room that he shows him and does not even enter it; then he thinks that he has to have a lot of pain and fatigue to make such a big change in so little time, but not once he does not express a satisfaction to see his house well arranged.",,,,,
"oh ! si il avoir seulement avoir un croûte , un bouchée de pain pour apaiser son angoisse !","Oh, for but a crust! for but one mouthful to allay the pang of famine!","Oh! if he only has a crust, a bite of bread to appease his anguish!",,,,,
"il jeter un coup de oeil de son côté ; un voisin si sombre le gêner il ne oser lui faire part de aucun de son observation , ni lui rien demander .","She then peeped round to where I sat; so stern a neighbour was too restrictive to him, in his present fractious mood, she dared whisper no observations, nor ask of him any information.","he takes a look at his side; a neighbor so darkly bothers him he dares not tell him of any of his observation, nor ask him anything.",,,,,
"le tendresse sans le raison constituer un caractère faible et impuissant , mais le raison sans le tendresse rendre le âme aigre et rude .",Feeling without judgment is a washy draught indeed; but judgment untempered by feeling is too bitter and husky a morsel for human deglutition.,"tenderness without reason constitute a weak and powerless character, but reason without tenderness make the soul sour and harsh.",,,,,
-- il espérer que personne ne être mourir ? » dire il en jeter un coup de oeil sur son vêtement .,"""I hope no one is dead,"" I said, glancing at his black dress.","""He hopes that no one will be dead?"" he said, ""to take a look at his garment.""",,,,,
"-- il croire bien que il faire mieux de jeter un coup de oeil sur ce sorcière avant de laisser le dame se entretenir avec il , se écrier le colonel Dent; dites-luire , Sam , que ce être un monsieur qui aller venir . »","""I think I had better just look in upon her before any of the ladies go,"" said Colonel Dent. ""Tell her, Sam, a gentleman is coming.""","""He thinks he's better off looking at this witch before letting the lady talk to him,"" cried Colonel Dent. ""Tell him, Sam, that it's a gentleman who's coming.""",,,,,
"Étienne être mourir de inanition , plutôt que de mendier à Chaval un bouchée de pain .",Étienne would have died of inanition rather than beg a mouthful of bread from Chaval.,"Étienne to die of inanition, rather than beg Chaval a bite of bread.",,,,,
"puis , en passer , il jeter un coup de oeil dans le Port à le vin , il compter le fiacre qui venir de le gare .","Then he cast a glance into the Port aux Vins as he went past, and after that counted the cabs coming from the station.","Then, passing by, he takes a look in the Port à la vin, he counts the fiacon that comes from the station.",,,,,
"puis , tout de un coup , avec un étreinte de bête fauve , il lui prendre le tête dans son large main , et , de force , lui appliquer le lèvre sur son cou , sur le morsure de Camille .","Then, all at once, with the clutch of a wild beast, he grasped the head of Therese in his two great hands, and by force brought her lips to the bite he had received from Camille on his neck.","Then, all of a sudden, with an embrace of fawn beast, he takes his head in his wide hand, and, by force, apply his lip on his neck, on Camille's bite.",,,,,
"à peu prendre vers ce époque , Mrs . Gardiner rappeler à son niece ce que il lui avoir promettre à le sujet de Wickham et réclamer de être tenir à le courant .","Mrs. Gardiner about this time reminded Elizabeth of her promise concerning that gentleman, and required information; and Elizabeth had such to send as might rather give contentment to her aunt than to herself.","gradually take about that time, Mrs. Gardiner remind his niece what he promised him about Wickham and claim to be current.",,,,,
"il ne pouvoir se empêcher , par instant , de jeter un coup de oeil de le côté de le toile ; alors , à le fond de le ombre , il apercevoir toujours le regard tern et mort de le noyer .","At times, he could not prevent himself casting a side glance at the canvas; and, then, in the depth of the darkness, he still perceived the dull, deadened eyes of the drowned man.","he can't help himself, at once, to take a look at the side of the canvas; then, at the bottom of the shadow, he always sees the tern and dead look of drowning him.",,,,,
"sans doute avoir il falloir que Yvonne de Galais lui faire violence et , lui prendre le tête entre son main , lui dettre : « que importer ce que il avoir faire ; il il aimer ; tout le homme ne être il pas un pécheur ? »","No doubt Yvonne de Galais should have shaken him out of this, and, taking his head in her hands, have said to him: 'What do I care what you did! I love you; are not all men sinners?'","Probably have to make Yvonne de Galais violent to him and , take his head between his hand , owe him : ""what to import what he has done ; he loves ; all man is not a sinner ? """,,,,,
Thérèse lui jeter un coup de oeil grave et profond .,"Therese cast a deep, grave glance at him.",Therese took a deep and serious look at him.,,,,,
"il il confier même , lorsque M. Seurel avoir reprendre le tête de le colonne : « il y en avoir un autre qui être passer , un grand , il savoir bien ... il avoir devoir rencontrer , en revenir , le voiture de le Granges , et on le avoir faire monter , il être descendre , plein de terre , tout déchirer , ici , à le entrée de le chemin de le Granges !","They even confided to us, while M. Seurel was starting off again at the head of our party : 'There was another chap as went by. That tall fellow, you know. . .","he even confides, when Mr. Seurel has taken over the head of the column: ""there is another who is passing, a great, he knows well ... he has to meet, come back, the car of the Granges, and we have made him climb, he is going down, full of land, tear everything, here, at the entrance of the way to the Granges!",,,,,
"il ne oser bouger , il se aveugler à regarder le flamme ardent , et , lorsque invinciblement il jeter un coup de oeil craintif à côté de lui , son œil , irriter par le charbon ardent , créer le vision et lui donner un reflet rougeâtre .","Not daring to move, they half blinded themselves staring at the scorching flames, and, when unable to resist any longer, they cast a timid glance aside, their eyes irritated by the glowing coal, created the vision, and conveyed to it a reddish glow.","he dares not move, he blinds himself to looking at the burning flame, and, when invinciblely he throws a fearful glance next to him, his eye, irritating by burning coal, creating vision and giving it a reddish reflection.",,,,,
"quand il être monter et que il avoir jeter un coup de oeil sur le toile accrocher à le mur , son étonnement redoubler .","When he had reached the studio, and had glanced at the canvases hanging against the walls, his astonishment redoubled.","when he's going up and he's having a look at the canvas hanging on the wall, his astonishment goes on.",,,,,
il le ouvrir et jeter un coup de oeil à le dehors .,I opened the casement and looked out.,He opens it and takes a look outside.,,,,,
"il jeter un coup de oeil furtif dans le intérieur . ce être Bonaventure de Lapp qui être là , debout dans le enceinte , et qui regarder par ce même trou où il avoir voir son figure .","I peeped through, and there was Bonaventure de Lapp standing inside the keep, and peeping out through the very hole at which I had seen his face.","It takes a stealthy look into the inside. That Bonaventure being from Lapp who is there, standing in the enclosure, and looking through that same hole where he has seen his face.",,,,,
"il se raconter que bien loin par delà le lune , il vouloir dire par delà le couchant de le lune , ce qui devoir être à le ouest de son contrée , il y avoir , se montrer de le doigt son grand moustache , dont autrefois il fils mention , un homme blanc et barbus comme lui , et que il avoir tuer _beaucoup hommes_ , ce être son expression . il comprendre que il désigner par là le espagnol , dont le cruauté en Amérique se être étendre sur tout ce pays , cruauté dont chaque nation garder un souvenir qui se transmettre de père en fils .","He told me that up a great way beyond the moon, that was beyond the setting of the moon, which must be west from their country, there dwelt white bearded men, like me, and pointed to my great whiskers, which I mentioned before; and that they had killed much mans, that was his word: by all which I understood he meant the Spaniards, whose cruelties in America had been spread over the whole country, and were remembered by all the nations from father to son.","He tells himself that far beyond the moon, he means to say beyond the setting of the moon, which must be to the west of his country, there is, to be pointed at his great mustache, of which he once son mentions, a white man and bearded like him, and that he has killed _many men_, this being his expression. He understands that he designates by this Spanish, whose cruelty in America has spread over all this country, cruelty of which every nation keeps a memory that is transmitted from father to son.",,,,,
"il tâcher donc de faire bon visage , le cœur anxieux , en ménagere qui se demander comment il joindre le deux bout , maintenant que commencer à partir le plus clair de son bourse .","She was trying, therefore, to put a good face on it, though with an anxious heart, as a housekeeper who was asking herself how she could make both ends meet now that the best part of her purse was going.","so try to make good face, anxious heart, caring who wonders how it makes up for the two end, now that start to leave the brightest of its purse.",,,,,
"il avoir un port un plus imposant , si bien que en le regarder à son entrée majestueux , et devant ce pose que il prendre en jeter un coup de oeil sur son père , il se rappeler alors le reine de le péruvien , qui sous le trait de Miss Polly Hinton , il exciter le petit Jim et lui à il révolter .","She carried herself in the most stately fashion, so that as I looked at her majestic entrance, and at the pose which she struck as she glanced at my father, I was reminded of the Queen of the Peruvians as, in the person of Miss Polly Hinton, she incited Boy Jim and myself to insurrection.","He has a more imposing port, so much so that by looking at it at its majestic entrance, and in front of this pose that he takes a look at his father, he then remembers the queen of Peruvian, who under the title of Miss Polly Hinton, he excites little Jim and he revolts.",,,,,
"il vouloir faire un observation à le guide , qui , sans lui répondre , reprendre le tête de le cheveu et se remettre en marche .","He was about to make an observation to the guide, who without answering resumed his place at the head, and went on his way.","he wants to make an observation to the guide, who, without answering him, takes over the head of the hair and starts again.",,,,,
"il y jeter un coup de oeil et il voir un rangée de petit table couvrir de serge vert , autour de lequel être asseoir un petit groupe . à un bout , il y avoir un table plus long de où partir un murmure continuel de voix .","Glancing in, I saw a line of little green baize tables with small groups of men sitting round, while at one side was a longer one, from which there came a continuous murmur of voices.","he takes a look at it and he sees a row of small table cover with green serge, around which to sit a small group. At one end, there is a longer table from where to leave a continuous murmuring of voices.",,,,,
