source,references,hypothesis,contains_idioms,trans_error,human_error,ambiguous,error_type
〈大学病院の医局は弱体化し→ 命のやりとりをする医療も→ ついに弱肉強食の時代に 突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","&lt;The medical office of a university hospital is weakened → Medical care for exchanging lives → Finally, we have entered the era of weak meat and strong food&gt;",弱肉強食,,,,
しかし　それは 弱肉強食によって支配されます,But this one is governed by the law of the jungle.,But it is dominated by a weak and strong diet,弱肉強食,,,,
〈大学病院の医局は弱体化し→ 命のやり取りをする医療も→ ついに弱肉強食の時代に 突入した〉,"University hospitals' medical offices were losing power, and even medicine, which deals with life and death, plunged into an era where the law of jungle prevailed.","&lt;The medical office of a university hospital is weakened → Medical care for exchanging lives → Finally, we have entered the era of weak meat and strong food&gt;",弱肉強食,,,,
数千年前 ここは弱肉強食の世界でした,"Thousands of years ago, these were the forces that ruled our world.","Thousands of years ago, this was a world of weak meat and strong food",弱肉強食,,,,
手を抜くな,Don't skimp.,Don&#39;t cut corners,手を抜く,,,,
うちの社長は 気に入らない仕事だからって 手を抜くような人じゃ ないですよね？,Our boss isn't someone who wouldn't do her best just because she doesn't like the product.,"My president isn&#39;t the kind of person who cuts corners because he doesn&#39;t like the job, right?",手を抜く,,,,
手を抜くな クレイ ダッシュを織り交ぜろ,Put some energy in it.,Don&#39;t cut corners Interweave clay dashes,手を抜く,,,,
朝飯前ですよ,It's a piece of cake.,It&#39;s before breakfast,朝飯前,,,,
朝飯前さ,"Easy-peasy, fresh and squeezy...",Before breakfast,朝飯前,,,,
そんなことは朝飯前だ まあ話はいくらでも続けられるが 言いたいことはつまり,"And then I jumped back... for the final quarter of the N.B.A. Finals - courtside, of course.","That&#39;s before breakfast. Well, I can continue talking as much as I want, but what I want to say is",朝飯前,,,,
多分今日も朝飯前に また誰かを脅した。,He probably threatened someone before breakfast this morning.,Maybe I threatened someone again today before breakfast.,朝飯前,,,,
親が金持ちなら 朝飯前だ,"Rich parents like Zach has, it's not hard to put two and two together.","If your parents are rich, it ’s before breakfast.",朝飯前,,,,
朝飯前です,With my eyes closed.,Before breakfast,朝飯前,,,,
朝飯前の練習かな,I don't know. A three-hour low-rate technical row before breakfast.,Is it practice before breakfast?,朝飯前,,,,
ただの屈服させた 魔女3人殺すだけだものね 凶暴なクラウス・マイケルソンを 朝飯前だわ,"Just kill the 3 witches that brought the mighty Klaus Mikaelson to his knees, no big deal.",It&#39;s just killing three witches who gave in. It&#39;s just before breakfast for the ferocious Klaus Michaelson.,朝飯前,,,,
前は数千マイルだって 朝飯前だったのに,Before a couple thousand miles were a piece of cake.,It used to be thousands of miles before breakfast,朝飯前,,,,
朝飯前　心配無し,"It's all right, Lister. I'm in complete and total control.",No worries before breakfast,朝飯前,,,,
じゃあ君には死んだフリも 朝飯前だったわけか！,Over-reacting! So you fake your own death and you waltz in here large as bloody life! Shh.,Then you pretended to be dead before breakfast!,朝飯前,,,,
それに　家のアラームも 朝飯前さ,Child's play.,And the alarm at home is before breakfast,朝飯前,,,,
楽しくやるの当たり前 ニコニコ朝飯前,It ain't hard out here when you're doing it right Put a smile on blast that's the Troll life,It&#39;s natural to have fun,朝飯前,,,,
朝飯前さ,Piece of cake.,Before breakfast,朝飯前,,,,
朝飯前だよ,"Yes, it's a piece of cake.",Before breakfast,朝飯前,,,,
警備員を出し抜くなんて朝飯前ね,Blackmailing a security guard would've been a piece of cake.,It ’s just before breakfast to overtake the guards.,朝飯前,,,,
すぐに捕まえられるさ その気になれば朝飯前だよ 遺体は暖かくなかった,And I will be there when they flip that switch and fry him like a breakfast kipper.,"You&#39;ll be caught right away. If you feel like it, it&#39;s before breakfast. The body wasn&#39;t warm.",朝飯前,,,,
指紋の転写なんて 訓練されたスパイにとっちゃ朝飯前だ 今時そんなことも知らないから ハメられるんだ,"Fingerprint transference would be child's play to a well-trained spy, and if you don't know that by now, then you deserve to be framed.","Fingerprint transfer is just before breakfast for a trained spy. I don&#39;t even know that now, so I&#39;m addicted to it.",朝飯前,,,,
朝飯前だ,Piece of cake.,Before breakfast,朝飯前,,,,
あんたなら朝飯前だろ,But you could've pulled this off with your eyes closed.,You&#39;re in front of breakfast,朝飯前,,,,
ああ　落ち着け　こんなの朝飯前だ,"Oh, relax, fellas. This is gonna be a piece of cake.",Oh calm down like this before breakfast,朝飯前,,,,
俺を殺すくらい朝飯前か？,Can they kill me before breakfast?,Is it before breakfast enough to kill me?,朝飯前,,,,
ジョージ・テネットが 「朝飯前」と言ったとき,"That's why when George Tenet said ""slam dunk,""",When George Tenet said &quot;before breakfast&quot;,朝飯前,,,,
案ずるより産むが易し、だよ,Doing it is the easy part.,It&#39;s easier to give birth than you think,案ずるより産むが易し,,,,
''武士は食わねど高楊枝''って やつですか,Eagles don't eat flies... is that it?,"&quot;&quot; Samurai don&#39;t eat, but Takayoe &quot;&quot;",武士は食わねど高楊枝,,,,
相手は海千山千のお偉方だ 話をもっともらしくしないと...,"You're meeting the adepts here, the higher-ups on the pyramid, so it is very important that you sound authentic.",The other party is a great man of Kaisenyamasen. I have to make the story plausible ...,海千山千,,,,
相変わらずいつもと同じか？,"Same old, same old, huh?",Is it the same as usual?,相変わらず,,,,
相変わらずクソな世界だ,This world is as doomed as ever.,It&#39;s still a fucking world,相変わらず,,,,
相変わらず センスがいいのね,Your taste is as impeccable as always.,I still have a good sense,相変わらず,,,,
相変わらず 好奇心旺盛だ,Stuffed to the gills with insatiable curiosity.,I&#39;m still curious,相変わらず,,,,
相変わらず 何て言ってるかわからない,Still have no idea what you're saying.,I still don&#39;t know what you&#39;re saying,相変わらず,,,,
トミーは相変わらず オリバーは元気か？,Tommy is Tommy. How's Oliver?,Is Tommy still fine with Oliver?,相変わらず,,,,
相変わらずね...,"Long time, no...",As usual ...,相変わらず,,,,
博士 相変わらず素敵ね,Dr. Ford. Always charming.,Doctor is still nice,相変わらず,,,,
みんな相変わらず 家を必要としてる かつてのオリーには しゃべりの才能があったが,"People still need a roof over their heads, and the old Ollie always had a gift for the gab.","Everyone still needs a house, but once Olly had a talent for talking",相変わらず,,,,
相変わらず美しい,Lovely as ever.,Beautiful as ever,相変わらず,,,,
ライアンは相変わらず 馬鹿な策を練ってる,Ryan's created a whole new wall of crazy conspiracy theories.,Ryan is still devising a stupid plan,相変わらず,,,,
- 相変わらず　落ちては焼いてる,"- They keep coming, we keep burning them.","――As usual, it&#39;s falling and baking",相変わらず,,,,
良い言葉だ 教授 だが相変わらず 足りないし遅すぎる,"Nice words, Professor, but as usual, too little too late.","It ’s a good word. Professor, but it ’s still not enough or too late.",相変わらず,,,,
相変わらず お前には歯がたたないな 俺は,I can never beat you.,"As usual, you have no teeth",相変わらず,,,,
相変わらずお美しい,"Just look at you, dear.",Beautiful as ever,相変わらず,,,,
相変わらず素敵ですね 陛下,"Still so handsome, my king.",Your Majesty is as nice as ever,相変わらず,,,,
バカ バカだな 相変わらず,That'd be a stupid move.,I&#39;m stupid as usual,相変わらず,,,,
（半田）相変わらず散らかっているけど （夏美）お邪魔しまーす,"-It's a mess as usual, but...","(Handa) It&#39;s still messy, but (Natsumi) I&#39;ll bother you.",相変わらず,,,,
相変わらずさ,"You know, Frank. Same old shit.",As usual,相変わらず,,,,
（山里）いやあ 相変わらず クルミちゃんの,-Yeah.,"(Yamazato) No, as usual, walnuts",相変わらず,,,,
そうして寂しく6ヶ月が過ぎた 相変わらず僕とハリーだけだった,So six lonely months went by and it was still just me and Harry.,"Six months have passed since I was lonely, and as usual, I and Harry were the only ones.",相変わらず,,,,
相変わらず若いよ,You still look as young.,I&#39;m still young,相変わらず,,,,
相変わらず子供たちとね,Still with my kids.,As usual with the kids,相変わらず,,,,
相変わらず反抗的だな デミ,"""Always the rebel, Demi.""",It&#39;s still rebellious Demi,相変わらず,,,,
マイク 相変わらずだな,Fuckin' Mike. You always were a hardass.,Mike is as usual,相変わらず,,,,
なあ、相変わらずだな。 生きてた頃と変わらん。,"You know, you were the same way when you were alive.","Hey, as usual. It&#39;s the same as when I was alive.",相変わらず,,,,
君の舌も相変わらずだ,Your tongue is very feisty.,Your tongue is as usual,相変わらず,,,,
相変わらず兄上は 権力の掌握が大事なのね 兄弟の救出よりも,"As usual, your power grabs are more important than rescuing your brother.","As usual, it&#39;s important for my brother to seize power, rather than rescue his brother.",相変わらず,,,,
トリッシュは相変わらずだよ,"Oh, you know, Trish is Trish.",Trish is as usual,相変わらず,,,,
相変わらず的確な書評でした,"As usual, it was a very apt review.",It was an accurate book review as usual,相変わらず,,,,
相変わらず美しいよ,You look good.,It&#39;s still beautiful,相変わらず,,,,
無茶なところは相変わらずね そんなに困ってるの？,We both have done desperate things when our backs are against the wall.,The unreasonable place is still so troubled?,相変わらず,,,,
(松本） お前は相変わらず白いな 夏休みどうしてた？,You're still as pale as ever. What'd you do over summer break?,(Matsumoto) Why did you still have a white summer vacation?,相変わらず,,,,
俺はもう相変わらず 作ってるよ,-I've been building as usual.,I&#39;m still making,相変わらず,,,,
相変わらず きついスーツだ,I don't remember it being so tight.,It ’s still a tight suit.,相変わらず,,,,
相変わらずよ,Always.,As usual,相変わらず,,,,
司令官　相変わらず,Marshal. Looking sharp.,Commander as usual,相変わらず,,,,
ずっとパソコンの画面を 睨みっぱなしになります 相変わらずですね,"I'll be staring at a computer screen the whole time, but still.",I keep staring at the screen of my computer all the time.,相変わらず,,,,
まあ　相変わらず痩せねえが,Very relaxed.,"Well, I&#39;m still thin",相変わらず,,,,
相変わらず不器用で 愚かな奴,Clumsy as always and twice as dim.,As usual clumsy and stupid guy,相変わらず,,,,
ああ　彼は相変わらず無知よ,"Ah, he's clueless, as usual.",Oh he&#39;s still ignorant,相変わらず,,,,
相変わらず 勝負してる｡,It's so good.,I&#39;m still competing.,相変わらず,,,,
爽太君 変わってないねぇ｡ 相変わらず 痛ーい｡,"Souta-kun, you haven't changed at all. As usual, hopeless.",Sota-kun hasn&#39;t changed. It hurts as usual.,相変わらず,,,,
相変わらず よく しゃべるわね,"Big mouth, as always.",I talk a lot as usual,相変わらず,,,,
相変わらず テレビは故障,TV still doesn't work.,TV is still out of order,相変わらず,,,,
相変わらず テレビは故障,'TV still doesn't work.,TV is still out of order,相変わらず,,,,
相変わらず上品だな,Classy as ever.,It&#39;s still elegant,相変わらず,,,,
相変わらず忙しいの？,- Is the lab keeping you busy? - Yeah.,Are you still busy?,相変わらず,,,,
うちの曾じいちゃんは 相変わらずだよ,"Donald says he's already earned the ""great"" part, so we just leave it at that.",My great-grandpa is as usual,相変わらず,,,,
相変わらずだわ,It's one of your most endearing qualities.,As usual,相変わらず,,,,
相変わらず 台本は一切ございません,"As usual, there is no script at all.","As usual, there is no script",相変わらず,,,,
ジミーは相変わらずだよ,- Jimmy's Jimmy. You know?,Jimmy is as usual,相変わらず,,,,
相変わらずの のんき者だな,"Like always, you are a dreamer.",I&#39;m still a carefree person,相変わらず,,,,
- 相変わらずです,-More of the same.,"- Same old, same old",相変わらず,,,,
相変わらず 哀れな坊や,You're still just a sad little boy.,Poor little boy as usual,相変わらず,,,,
相変わらず いいパンチしてやがる,"Damn, Dom! Your girl's still got that swing, homie.","As usual, I&#39;ll punch good",相変わらず,,,,
相変わらずお人好しね,Always knew you were a softy.,I&#39;m still friendly,相変わらず,,,,
相変わらず脅かしてくれるね,"Oh, you do continue to delight and amaze.",It still threatens me,相変わらず,,,,
相変わらず凄腕ですね、 ドラゴン。,"Good work, Dragon.","It&#39;s still a great skill, a dragon.",相変わらず,,,,
相変わらず 騙されやすいのね,How can you still be so naive?,It ’s still easy to be fooled.,相変わらず,,,,
笑えるぜ　相変わらずだ 行くぜ相棒,"Crazy, both of y'all, still the same. Let's roll, buddy.","I can laugh, I&#39;m still going, my partner",相変わらず,,,,
相変わらず　真実の恋 あなたは？,"Same as always, true love. How about you?",True love as ever You?,相変わらず,,,,
ハッターは相変わらず 騒がしかった,The Hatter was perfectly Hatter-ish,The hatter was still noisy,相変わらず,,,,
僕は　相変わらず部外者だ,I will always remain an outsider.,I&#39;m still an outsider,相変わらず,,,,
もう時間が無いぞ どうぞ 12年経っても 相変わらず,"We're running out of time. Yep? It's good to see that after 12 years, uh, paper gowns are still awful.","I don&#39;t have time anymore. Please, even after 12 years, it&#39;s still the same.",相変わらず,,,,
推理力は 相変わらず 非の打ちどころがない,Your powers of deduction are as ever impeccable.,Reasoning power is still impeccable,相変わらず,,,,
相変わらず素晴らしいわ,"Impressive as always, Eddie.",It&#39;s still wonderful,相変わらず,,,,
俺が自分を投げ出したのに お前は相変わらず上から目線だ！,I threw myself at you and you still think you're superior to me!,"Even though I threw myself out, you&#39;re still looking from above!",相変わらず,,,,
シャーロック・ホームズ 相変わらず　イカしてる♪,"Sherlock Holmes, you look dashing as ever.",Sherlock Holmes is still squid ♪,相変わらず,,,,
だが 予測不可能性 他人を傷つけたいという意欲 相変わらず危険だ,"But your unpredictability, your willingness to hurt others make you as dangerous as ever.",But unpredictability The desire to hurt others is still dangerous,相変わらず,,,,
あなたって 相変わらずね,you're still the same.,You are as usual,相変わらず,,,,
相変わらずだな,Never changed!,As usual,相変わらず,,,,
あの男は　相変わらず,The man is as mercurial a character as you will ever encounter.,That man is as usual,相変わらず,,,,
相変わらず,Always.,As usual,相変わらず,,,,
ローレライの不義は 相変わらず昔のまま！,"Lorelei's treachery remains unchanged, no matter the world.",Lorelei&#39;s iniquity remains the same as before!,相変わらず,,,,
相変わらずだよ,It's the same.,As usual,相変わらず,,,,
相変わらず陽気な絵だ,Darling your paintings look more and more happy ...,It&#39;s still a cheerful picture,相変わらず,,,,
相変わらずの静寂、 船長は怒鳴った、,"Calm as ever, the captain bellows...","The silence as usual, the captain yelled,",相変わらず,,,,
相変わらず ステキですわ,"Oh, no, miss foxworth, you're as lovely as ever.",It ’s still wonderful.,相変わらず,,,,
ディーン　相変わらず 80年代のB級活劇的な台詞だな,"Dean, always with the B-grade '80s-action-movie wit.","Dean As usual, it&#39;s a dramatic B-class line in the 80&#39;s.",相変わらず,,,,
ハィ マギー　相変わらず 私を巻き込んでくれるね,"Hi. Ah. You look exactly the same, which frankly, annoys me.",Hi Maggie will still involve me,相変わらず,,,,
相変わらず眼光が鋭い　リグスビー,"As keen-eyed as ever, young Rigsby.",Riggsby with sharp eyes as usual,相変わらず,,,,
相変わらず美しいですね,Lovely as ever.,It&#39;s still beautiful,相変わらず,,,,
（山里）GirlsAwardでね 相変わらずガサツに 何でも言っちゃう聖南が,"Yes, Seina, who tends to be blunt, ends up helping them get together.","(Yamazato) At Girls Award, Seinan, who still says anything to Gasatsu",相変わらず,,,,
山里は 相変わらず 何にも分かってへんな お前,"Yamasato, you just don't know anything.","Yamazato still doesn&#39;t understand anything, you",相変わらず,,,,
減らず口は相変わらず,I don't think this guy's moved on.,The mouth does not decrease as usual,相変わらず,,,,
相変わらずお元気そうですね,- You look as lovely as ever. - I concur.,You look fine as usual,相変わらず,,,,
相変わらず 生意気な女だな,"As usual, you're a rude woman.",She&#39;s still a cheeky woman,相変わらず,,,,
相変わらず　愛想悪いな。,"She's as unsociable as ever, isn't she.",It&#39;s still unfriendly.,相変わらず,,,,
相変わらずだな,I've seen this movie before.,As usual,相変わらず,,,,
相変わらずか?,You still dip?,Is it as usual?,相変わらず,,,,
相変わらずね,-Same old Dave.,As usual,相変わらず,,,,
ああ 礼さんの高校二年と三年のときに担任をしておりました 陶芸家の伊藤松憲と申します あの人も相変わらずうさんくさいな,I was Rei's homeroom teacher during her junior and senior years of high school... a ceramicist... super shady.,"Ah, I&#39;m Matsunori Ito, a ceramist who was in charge of Rei&#39;s second and third year of high school.",相変わらず,,,,
相変わらずキレイだ,Great to see you. You look beautiful as always.,It&#39;s still beautiful,相変わらず,,,,
相変わらず,As usual.,As usual,相変わらず,,,,
相変わらずだよ,"Oh, you know. Same old, same old.",As usual,相変わらず,,,,
"相変わらずだな ""喧嘩するな""","Same as always. ""Shuffle along, cause no strife.","As usual, &quot;Don&#39;t quarrel&quot;",相変わらず,,,,
サイラス 相変わらず 態度悪いな,"You always were a rude bastard, Cyrus.",Cyrus still has a bad attitude,相変わらず,,,,
相変わらず颯爽としてらっしゃいますわ。,"Dashing as ever, I see.",You&#39;re still dashing.,相変わらず,,,,
- 相変わらずだよ,- Same old Wimbledon.,――As usual,相変わらず,,,,
相変わらず、教授室は嫌いですか？,"You never did like your office, did you?",Do you still hate the professor&#39;s office?,相変わらず,,,,
相変わらず大げさだな でもありがとうよ、アーサー,"Your confession, has always as much appreciated, Arthur, thank you.","It&#39;s still exaggerated, but thank you, Arthur",相変わらず,,,,
お前は相変わらず ゲス野郎だ,You always were a son of a bitch. Come on.,You&#39;re still a Guess guy,相変わらず,,,,
相変わらずのバカだ,"– He's still out there, is he?",I&#39;m still stupid,相変わらず,,,,
相変わらず口が悪くて よかった,I'm glad to see you still have your twisted sense of humor.,I&#39;m glad I was still sick,相変わらず,,,,
- 相変わらず混線してる...,- Like Dixon's brain...,――It&#39;s still cross-talked ...,相変わらず,,,,
でも彼は相変わらず 時計のネジを巻き続けている,But there's you every day winding that stupid watch.,But he&#39;s still winding the clock screw,相変わらず,,,,
相変わらずだ,"- Same old, same old.",As usual,相変わらず,,,,
相変わらずか？,Still fighting a good fight?,Is it as usual?,相変わらず,,,,
相変わらずね,"- Yeah, you haven't changed.",As usual,相変わらず,,,,
ただオレは これまでと同じだ　相変わらずだ,"Sure, I'm still who I was, who I am.",But I&#39;m the same as before,相変わらず,,,,
ダンスパーティの女王様だ 相変わらず　ホットだなぁ,"Yes, little Miss Prom Queen still hot as ever.",It ’s the queen of a dance party. It ’s still hot.,相変わらず,,,,
相変わらず,Afraid so.,As usual,相変わらず,,,,
相変わらず かっこいいですね,As handsome as ever.,It&#39;s still cool,相変わらず,,,,
相変わらずの人道主義だな　ばってん,"Ever the nostalgiste, eh Rat?",It ’s still humanitarian.,相変わらず,,,,
相変わらず 卒業する気もないのか,Still no plans to graduate?,Do you still feel like graduating?,相変わらず,,,,
相変わらず ビクついてるな,"No change, Pete? Still jumpy.",I&#39;m still scared,相変わらず,,,,
トップは相変わらずナンバー１７、 フェラーリのジャン -ピエール・サルティ... .,"Number 17, the Ferrari of Jean-Pierre Sarti, is still in front but he just cannot get away from number 12, Scott Stoddard in the BRM.","The top is still number 17, Ferrari&#39;s Jean-Pierre Salty ....",相変わらず,,,,
相変わらずさ,- All right.,As usual,相変わらず,,,,
相変わらずだな　なつかしい,You look great. Everything looks great.,I still miss you,相変わらず,,,,
相変わらずですね,Bright and alert as always.,As usual,相変わらず,,,,
相変わらずのクセっ毛ね 私の子供の頃と　そっくり。,"Wavy hair, just like mine when I was your age.","It&#39;s still quirky hair, just like when I was a kid.",相変わらず,,,,
ダーシーは相変わらずで 彼女にも軽蔑的な態度 でも令夫人は 彼を 婿にと決めてるみたい 令夫人には逆らえないわ,"Mr Darcy shows no inclination for her, and treats her with the same indifference he shows everyone, but Lady Catherine is determined to have him for a son-in-law, and she is not a woman to be gainsaid.","Darcy is still derogatory to her, but she seems to have decided to make him a son-in-law.",相変わらず,,,,
まったく相変わらずだな その性格は・・,"Just wait a moment, my stiff-necked brother.",It&#39;s still the same personality ...,相変わらず,,,,
そっちこそ 相変わらず教会へ行く 婆様よりノロノロ運転だな,And you still drive slower than a little old lady on her way to church.,That&#39;s the way I&#39;m driving from the old lady who goes to the church as usual,相変わらず,,,,
なるほど ったく相変わらず頑固だな,"Still the same old Frank, huh?","I see, I&#39;m still stubborn",相変わらず,,,,
相変わらず 気まぐれなんだから,Not that it matters. You come and go as you please.,It&#39;s still capricious,相変わらず,,,,
- 相変わらず綺麗だ,You're still beautiful!,――It&#39;s still beautiful,相変わらず,,,,
相変わらず タトゥイーンの坊やね,"Ani, you'll always be that little boy I knew on Tatooine.","As usual, Tatooine&#39;s little boy",相変わらず,,,,
相変わらずだな あんた,"Goddamn it, Morpheus, you ain't never gonna change.",You&#39;re still,相変わらず,,,,
（吉森） 岩崎の野郎 相変わらず 手加減しないで ボカスカ ケリやがって ちくしょう ！,That brute Iwazaki... He doesn't treat someone differently as ever. It's so bothersome Damn it...!,"(Yoshimori) Iwasaki&#39;s bastard As usual, let&#39;s get rid of it!",相変わらず,,,,
（吉森） なんだよ 親父さんも 相変わらずだね,What the... Your father also hasn't changed a little bit.,"(Yoshimori) What is it, my dad is still the same?",相変わらず,,,,
相変わらずだな,What do we know?,As usual,相変わらず,,,,
相変わらず海猿だわ　最悪！,"Same old ""sea monkeys. "" I hate 'em.","It&#39;s still a sea monkey, the worst!",相変わらず,,,,
― 相変わらずでしょ ― うん,I told you.,-It&#39;s still the same-Yeah,相変わらず,,,,
相変わらず向いてない,- We're still a bunch of misfits.,Not suitable as usual,相変わらず,,,,
相変わらず,- The same.,As usual,相変わらず,,,,
相変わらず　アメ車は単純だ,American cars are so simple!,American cars are as simple as ever,相変わらず,,,,
（実況） 相変わらず カーブが好調ですね,Nice curve ball!,"(Actual condition) The curve is still strong, isn&#39;t it?",相変わらず,,,,
おふくろさんだって相変わらず 団地でお題目上げてるだろ,Your mom is at the apartment praying as usual,Even my mother is still raising the subject in the housing complex.,相変わらず,,,,
相変わらずですね 友よ,"In one thing you have not changed, dear friend.","As usual, my friend",相変わらず,,,,
相変わらずだろ？,"Fuck, I know, right?",Isn&#39;t it as usual?,相変わらず,,,,
相変わらず負けず嫌いなのか？,"Senator, actually.",Do you still hate losing?,相変わらず,,,,
- あぁ　相変わらず,"- Yes, the usual.","――Ah, as usual",相変わらず,,,,
相変わらず 緊張しすぎよ,It's like I said. You boys are too tense.,I&#39;m still too nervous,相変わらず,,,,
相変わらず喋りすぎか？,"Talkative as ever, eh?",Are you still talking too much?,相変わらず,,,,
- 相変わらずだな,- That was the old stuff.,――As usual,相変わらず,,,,
目の前にあっただろう、ジョン 相変わらず節穴だな,"The evidence was right under your nose, John, as ever you see but do not observe.","It must have been in front of me, John is still a knot hole",相変わらず,,,,
ダメよ　相変わらず,No. As usual.,"No, as usual",相変わらず,,,,
相変わらずよ,I'm still here.,As usual,相変わらず,,,,
相変わらずここは地獄の様ね,"My, we've let this place go to hell, haven't we?","As usual, this is like hell",相変わらず,,,,
相変わらずこの街の組織犯罪には 君の影響が衰えていない,Certainly your control of the city's criminal enterprises appears undiminished.,"As usual, your influence on organized crime in this city has not diminished.",相変わらず,,,,
"- まぁ 相変わらずです""","- Oh, the same.","--Well, as usual. &quot;",相変わらず,,,,
