sent,reference,translation
あなたは走り続けた スー いい子になりたくてね 大学生になるのを夢見て そして理想のボーイフレンドと 素晴らしいプロムを,"You kept running, Sue, little Suze, because you've been dreaming about senior year and the perfect boyfriend and the perfect prom your whole goddamned life.","You've been running, Sue, trying to be a good kid, dreaming of becoming a college kid, and having a great boyfriend and a great prom."
では いい子になるのよ,"Now remember, Pinocchio, be a good boy.",Then be a good boy.
問題児だったけど― いざという時は勇敢だった,"He was a real handful... but when it came down to it, he was very brave.","He was a problem kid, but he was brave when he needed him."
いざという時が来たら― 君はどのくらいで ラボを引き継げるかな,"If push came to shove, I was wondering how soon you might be able to take over the lab yourself.","When the time comes, I wonder how soon you'll be able to take over the lab."
いざという時 やり返す,I'm going out like I came in: screaming and kicking.,"When you have to do something, you have to do it back."
おじゃんになった,"Mm. Now, that blows.",Hello.
ほぉ お世辞でも嬉しいな,"Whoa. Well, I'm flattered.","Oh, I'm flattered."
お先真っ暗だな 勝手にやってろ,'Cause you just blew the best thing you had going for you.,It's so dark out there. You can do it.
- お安い御用,- You're welcome.,- It's not that bad.
あなたが勝って― お山の大将になったら―,"And once you've won, once you're king of the mountain,","If you win, you'll be Lord Commander of the Mountain."
お手の物ね,You're so good with him.,That's a good one.
反対尋問で陪審員は 銃はお手の物だった事が判りますし,So on cross-examination the jury could hear about how well he handled a gun?,"In the cross-examination, the jury knew the gun was handy."
お手上げね,Allergies. Nothing you can do.,I don't know what to do.
お手上げだよ,I wish to hell we did.,I don't know what to do.
あぁ 基本的なことはね 君にはお手上げだろ,"Yeah, I got the basics. Wow. You are so in over your head.","Yeah, the basics. You can't handle them."
とんだところでお目に掛かったな,"- It's great to see you, Leslie!",Nice meeting you.
すこし戸惑われたかもしれませんが お目に掛かれて大変光栄です,"I'm very pleased, if slightly puzzled, to make your acquaintance.",I'm sure you've been a little confused. It's a great honor to meet you.
礼はする、またお目に掛かろう 近いうちにな,"I'm gonna make a problem for you. I'm gonna be seeing you again, real soon.",Thank you. I'll see you soon.
私たちにお<unk>え向きの仕事だわ,So we've got our work cut out for us.,It's a job for us.
お<unk>え向きだわ,We're not going to get a better window.,I'm looking forward to it.
財務長官だったんだよ お門違いどころか,I was the US Treasury Secretary. I'm in some position to make that call.,"He was a Treasury secretary, not a misunderstanding."
そもそも、お門違いだし,"'Cause you shouldn't be, anyway.",I don't know what you're talking about.
身分の違い 願うのは お門違い,Because you'd be barking up the wrong beanstalk.,"The differences in identity, the things you're asking me to do."
あいつ等のおべっかで 満足しました? Kiss your(my) ass おべっかを使う、誰々のゴマをする,Did they kiss your ass to your satisfaction?,Is it your ass that makes you happy?
かっとなって言っただけだよ,"Listen, I'm sure your sister didn't mean what she said.",I'm just being a coward.
きまりが悪かったか?,You embarrassed about me?,Did I make you uncomfortable?
ひどくきまりが悪かったよ たった5分間なのに,It was fucking embarrassing. It was only for five minutes.,It's just been five minutes.
きまりが悪いわ,It's embarrassing.,It's embarrassing.
始めた事の けじめを付けたいよ,I'll finish what I started.,I want to put a stop to what we started.
おい けりを付けたくないなら やめろ?,"Hey, don't start this if you don't want to finish it.","Hey, if you don't want to end this, why don't you stop?"
しょうもない酔っぱらいが,You fucking drunk.,I'm a fucking drunk.
しょうもない男と 関係を持ったんだ,Hooked up with this guy. He was no good. His name was...,I had an affair with a man I had nothing to do with.
- トレントしょうもないやつだ,Trent was a dick.,- Trent's a pain in the ass.
だが そうは問屋が卸さない,"I just don't get it, Spock.",But that's not what a bookie would expect.
笑顏も見せてくれないし 直ぐそっぽを向くし,"Never give me a smile, or even a shrug.","He won't show me any laughs, and he'll turn his back on me right now."
その手は食わないわ,"Oh, no, I'm not falling for that.",I'm not gonna eat that.
その手は食わない,I know what you're doing.,I won't eat your hands.
もうその手は食わないわ,I'm not falling for this shit.,I'm not gonna eat that anymore.
それはそれは、ほれぼれすること 目元が引き立って素晴らしいことね,"Okay. Well, you look adorable. It really brings out your eyes.","Well, that's a little squishy, but it's nice to have a good look at it."
めっちゃ うれしかった それは それは普通にうれしかった 俺は,"-Yeah, it made me super happy. It made me happy.",I was so happy. It was normally happy.
前回までのFringe... そ知らぬ顔で 成りすましたせいでしょ,"Just because you walked in my shoes, don't you think that you know me.",Previously on Fringe...
そ知らぬ顔で 私の人生を奪ったせいでしょ,Just because you walked in my shoes don't you think for a moment that you know me.,Because you took my life with a stranger's face.
知られたら あなたは、ただでは済まないのよ,"The point is, if he finds out about this, he's gonna transfer your ass to juneau so fast,","If they find out, you're not going to be alone."
ちゃんちゃら おかしいよ,That was a stupid idea.,You're crazy.
ちょっかいを出してるんじゃないよ,I'm not bothering them none.,I'm not messing with you.
オオカミにちょっかいを出すと 群れでやって来るぜ さっきの仕返しだ,"Guess nobody told you, if you mess with the wolf, you get the fangs.","You know, if a wolf tries to bite you, they're gonna come back with a flock."
ちょっかいを出したくなかったけど,"I didn't mean to interfere, you know. Silly girl.",I didn't want to be a bitch.
デイブ 目に付く女全てに ちょっかいを出すのはやめてくれないか?,"Dave, would you quit bothering every girl you see?","Dave, would you please stop messing with all the women you see?"
ちょっとした金,"A little money. No, sorry.",A little money.
より汁気の多い料理を作れるし、 ちょっとした見栄えと演出も 料理に加えられる。,It creates a more succulent dish and adds a little theatricality to dinner.,"You can make a more airtight meal, a little more presence and direction."
私が冒険中 ちょっとした相棒を得るなら それは 感情や 気まぐれからではありません 多くの素晴らしい資質を 持っているということです,"If I burden myself with a little helpmate during my adventures, this is not out of sentiment or caprice, it is that he has many fine qualities of his own that he has overlooked in his obsession with me.","If I'm going to get a little partner while I'm at it, it's not from emotion or whim, it's because I have many wonderful qualities."
もし私が力を貸すと いったらどうかしら 貴方の抱えるクラウス問題と ちょっとしたネタを 引き換えに?,What if I told you that I could help you out with your Klaus problem in exchange for the tiniest bit of gossip?,Why don't you say I can help in exchange for the little stuff that you have about Klaus?
とてもじゃないが,"No, he's taking it pretty hard.",Not very much.
とどのつまりだな ジョン 我々が心と頭を奉げる対象とは 一人の男ではなく 理想なのだよ,"Ultimately, John, we owe our hearts and our minds not to any one man but to an idea, and that idea is under threat.","You see, John, the subjects we give our hearts and our heads are not one man, but an ideal."
とどのつまりは 殺されるってのに,"And you are en route to getting yourself killed,","I mean, he's gonna kill me."
とどのつまりはな,"Eventually, yeah.",I don't know what you mean.
ない知恵を絞ってね,"You know, in case you got displaced.",I'm trying to narrow it down.
そして、ほとぼりが冷めるまで、あなたはココに隠れています。 あなたがそれを知っているから。,And you're hiding out here until things cool down because you know it.,"And you're hiding here until the boar gets cold, because you know it."
あんたは見てみぬ振りで 満足だっただろうが あんたには口がある,"You were more than happy to turn a blind eye, but... you're not dumb.","You've been happy to act like you're a stranger, but you have a mouth."
見て見ぬ振りをしています ただ...,I stay out of the way.,"You're acting like you don't see it, but..."
見て見ぬ振りをした,You just looked the other way.,I didn't see it coming.
今から起きることは 見るに堪えない,What's about to happen is gonna be hard to watch.,What happens now is hard to see.
見るに堪えないわ,I can't watch.,It's hard to see.
見るに堪えなかった?,Was it painful to see?,Didn't look good?
見るに忍びないか?,Can't stand the sight of a little blood?,Wouldn't it be nice to see it?
よく言うよ,He pressed you. Come on.,That's what they say.
生徒と寝といて よく言うな,Says the teacher who sleeps with his students.,You're sleeping with a student. Don't say that.
盗んだ女の分際で よく言うわ,That's pretty rich coming from the woman who stole Alex to begin with.,That's what they say about the woman who stole it.
"彼の ""アキレス腱"" だ",His Achilles heel.,"It's his, uh... his, uh... his, uh... his, uh..."
良いニュースは 彼女のアキレス腱は,"Yes, the good news, she may have her own Achilles' heel.","The good news is,"
"私の ""アキレス腱""",My Achilles heel.,"My, uh... my, uh, Achilles."
アンテナを張ってればドクターはあちこち登場する,"If you dig deep enough and keep a lively mind, this Doctor keeps cropping up all over the place.","If you keep an antenna, the doctors will be everywhere."
オブラートに包んで言おうとしたんだ,I'm just- - I'm just trying to wrap my mind around it.,I was gonna wrap it up and tell him.
社長、これ以下の表現はオブラートに包む方が,"Mr. Reid, do you understand that's kind of hitting it delicately?","Mr. President, these words should be wrapped in Observers."
君たち キャフリーは 我々より4時間も前に 有利なスタートを切ったことを忘れるな,"Gentlemen, might I remind you that Caffrey has a four-hour head start?","You guys, remember Caffrey had a lead four hours before us."
新しいスタートを切り 古いしがらみも絶った,"Fresh start, no old ties.","We've made a new start, and we're done with the old stuff."
いつか 君の復帰する日が 来ることを願おう 初めから 支配人とは いかないだろうが 再スタートを切り 信頼を回復しろ,"And one day when all this is ancient history, I hope you can come back, maybe not as a building manager at first, but somewhere where you can start over, earn our trust.","Let's hope one day you'll be back with the manager from the beginning, but you're not going to be able to get your trust back."
ベッドの下に潜む怪物に スポットを当ててるだけさ,We're shining a light on the monster under the bed.,I'm just trying to find a spot for monsters hiding under my bed.
でも スポットライトを 浴びることになれば―,But Kate... you're stepping into the spotlight now.,"But when you get into the spotlight,"
スポットライトを浴びたいが パートナーが必要さ,I guess I crave the spotlight. All I need is a proper partner.,"I want to get a spotlight, but I need a partner."
特に公衆のスポットライトを浴びる のが好きな人物はね,Especially one who enjoys the public spotlight so much.,Especially someone who likes to get a public spotlight.
タオルを投げる選択肢はない 私たちにあるのは 2つの道だ,But seeing as throwing in the towel is not an option that leaves us with a total of two choices.,You don't have a choice throwing a towel. We have two choices.
全てについてタオルを投げちゃうかな,Maybe I'll just listen to the universe and... and throw the towel in on the whole thing.,I'm throwing towels about everything.
タオルを投げる,- So I'm gonna call the fight.,I'm throwing a towel.
私を縛ってたテープを切るから,He said he would cut me free.,I'm gonna cut the tape that tied me up.
意外とミーハーなんだよなあ,"You are pretty oldfashioned, despite your looks.",I don't know. It's a bit mellow.
紗絵子さんは ミーハーな ノリで 新しいものに 飛び付くけど 商品に対しては シビアだよ。,"Saeko-san jumps at new things like a trendhopper, but she's a harsh judge of products.","Saeko-san jumps into something new at a fair rate, but for the product, it's sour."
案外ミーハーなんだよね,"She's oldfashioned despite her looks, right?",I'm pretty sure that's a good idea.
大学病院の腐った院内政治に 鋭くメスを入れますよ。 ちょっ ちょっ...,I plan to delve deeply into the rotten politics at university hospitals.,I'll put a sharp meth in the rotten hospital politics.
ダビデ像が無事だと? ... モナリザの微笑みは?,"Who would make sure that the Statue of David is still standing, or that Mona Lisa's still smiling?",You're saying David's statue is safe... and what's the smile of the killers?
ユリイカ!,Eureka!,Julia!
一種のユートピアの創造さ つまり...,I sort of created a utopian society where we all sort of...,It's some kind of Uボan. I mean...
私達は夢中でユートピアを作ったよ,"We were jamming, man, building utopia.",We've made Uぉa in the wild.
私たちは毒を持った宿命の人たちの中にい- ます。 常にユートピアです...,We are among those whose fate is a poison We are constantly utopia ...,We're among the fateful people with poison.
それでもあんた 有罪にしたい? なにがなんでも彼女に犯罪者のレッテルを貼りたい,You still want to stamp a mark of conviction on her?,"Do you still want to convict her in any way, or do you want to put a criminal record on her?"
あんたは レッテルを貼ってるだけだ,These are all labels. You just label everything.,You're just putting on a recorder.
起業して軌道に乗るまでかかった、でもローマは一日にしてならずだよ,"It took a while to get up and running, but Rome wasn't built in a day.","It took me a while to get into orbit, but Rome wasn't a day away."
情報部の幹部は いつも一か八かなんです,Intelligence officers usually hedge their bets. It's...,The top intelligence officers are always one-sided.
一か八かだが シスコと私でやってみる,"It's a bit of a hail mary, But Cisco and I are going to give it a try.","I don't know, but Cisco and I are going to try."
一か八かしかない,Risk is all I've got left.,There's only one way to find out.
一つ間違えれば殺される,"One mistake, I die.","One wrong move, they'll kill you."
一つ間違えば大勢の命が,"We make one mistake, thousands of people die.","If we do one wrong move, a lot of people will die."
年に1度 コウノトリが一堂に会する,"Once a year, storks come together for one thing. Storkcon!","Once a year, there's a cow."
一寸先は闇だな,"So, I've been thinking about those thousand razors.",There's a lot of darkness ahead.
一寸先は闇だ,You're dying the death of a thousand razors up there and you don't even know it.,It's a long way from the dark.
一寸先は闇だ つらい毎日だったよ,I don't know. I don't know what happened. Tough couple of days.,It's a little dark out there. It's been a tough day.
気付かれたら 全員が一巻の終わりよ,"Because if they see you coming, we're all dead.","If they find out, they're all going to die."
一巻の終わり,But if Torus gets the ARQ... they'll be unstoppable.,It's the end of the world.
一巻の終わりだな,We are so dead.,That's the end of it.
一本取られたな、中尉。,"Fair point, Lieutenant.","You've got one, Lieutenant."
一本取られた,- She's got you there.,They took one.
一本取られたようですな,You win.,Looks like they took one.
一杯食わせやがったな!,You swindled me!,You made me eat this shit!
ああ 一杯食わされた だが 失敗した,"Yeah, you took your shot, but you missed.","Yeah, I was fed up with it, but I failed."
一杯食わされたな,You should have seen your face.,I've had enough of this.
お人よし過ぎた だから一杯食わされた,"I've been gullible, all right, letting him make a fool of me.",I've been too nice to you. That's why you let me have a drink.
当然彼も一枚噛んでる,Of course he was involved.,"Of course he bit one, too."
いや お前は一筋縄では行かない,"No, nothing with you is easy.","No, you're not going anywhere."
- 奴は 一筋縄では行かないからな,- He's not playing with a straight bat?,- He's not going anywhere.
ええ 彼はもっと上手に対処すべきだ でも 彼は友人で 彼の為にひと肌脱ぐつもりだ,"But he's my friend, and I'm gonna bat for him.","Yeah, he should have handled it better, but he's a friend, and I'm gonna take off for him."
私が持ってきた情報は 一刻を争うものです,The Intel that I brought back is time sensitive.,"The information I've brought, it's a matter of time."
一刻を争う事態でしたので 報告が遅れたことはお詫びします (浅野)結局 国税に持っていかれたら 元も子もないですね,but it was a race against time. it was all for naught.,I apologize for the delay in reporting.
一刻を争ってる,"Father, they don't have a lot of time.",We're still fighting.
どう 一口乗らない?,"So, what do you say?",Why don't you take a bite?
僕も 今度 一席 設けるから。,I'd love to meet him sometime. I will.,I'll have a seat next time.
今夜は特別だ、まず一張羅に着替えろ,You have a feast tonight. First change your clothes.,"It's a special night. First, you're gonna have to change your coat."
彼の一張羅の上着だぞ,He only wears that one damn jacket.,That's his jacket.
(逮捕に一役買ったので 俺達の違法行為は見逃されたのだ),But since we led the cops to Harken they ultimately agreed to let our other offenses slide.,"He bought a lot of money to arrest us, so we're not gonna be doing anything illegal."
ジェーンはオレたちには トラブル メーカーだ 粛正に一役買っても良い,"Now, what befell Jane is very troubling to all of us, and we would like to help you to set it right.","Jane's a troublemaker to us, and I'm willing to buy a fortune."
私が君の記憶に一役買うとしたら?,What if I help your memory?,What if I buy your memories a lot?
大丈夫 一息入れて 落ち着いて,Okay. Just breathe and relax.,It's okay. Just take a breath. Take it easy.
俺達が 一息入れるころ 船はダイヤを乗せて パリに向かう,"When we come up for air, that ship will be headed to Paris and the diamond will be gone forever.","By the time we take a breath, the ship will carry the diamonds and head to Paris."
- 一息入れろよ、マイク,"- Get some ice cream, Mike.","- Take a breath, Mike."
僕は今日1日 この23人の前容疑者の 一言一句漏らさず 一挙手一投足から 無意識な反応まで 観察し続けていた,"I spent today soaking in every word, every gesture, every involuntary reaction of these 23 former suspects.","I've been watching this 23 former suspects day and night, from a single whisper to an unconscious response."
地域外では大規模な掘削活動が 行われていて - -我々は一挙手一投足を見張られている,There has been massive digging activity out there and they undoubtedly monitor our every move.,"There's been a massive drilling out of the area, and we're watching every step of the way."
仕事に戻ったばかりの 君にしてみれば 情緒が不安定な状態にもなるし 君の一挙手一投足を観察してる 上の奴らに対して,"I understand your precarious emotional state, given you've just gotten your job back, and your sensitivity to the bureaucrats that are watching your every move.","If you're just getting back to work, you'll be feeling unstable, and you'll be watching every move you make against those upstairs."
つかまってろ 小惑星帯に入るぞ これで一泡吹かせてやる,We'll move into the asteroid field... and we'll have a couple of surprises for him.,Hang on. We're going into the nearest planet. We're gonna blow this shit up.
自殺行為だ アンナに一泡吹かせてやりたいが,It's a suicide mission.,It's a suicide mission.
配置についた 一泡吹かせてやる,"We're on point, ready to give them some of their own medicine.",I'm gonna give you a bubble to get in position.
- アルフォンには一目置かれている - おう そうか?,I saw Alphonse respected me back there.,- Alphonse is the one who keeps an eye on him.
彼はお前を一目置いている,He sees something in you.,He's keeping an eye on you.
皆が一目置いてる NYの私立学校関係者も,That sort of thing means something to people in private schools in New York City.,Everybody's gone. Even the whole of New York's private school.
"""教会は 考えられる限りの"" あらゆる医療に 多大な努力を払っていますが 心理学的な説明は お祓い前には一笑に付されます",The church takes great pains to make sure every conceivable medical or psychological explanation can be ruled out before moving forward.,"""The Church has made great effort to provide all kinds of medical care, but psychological explanations are bestowed on it before the wedding. """
一笑に付され 自分の首を絞めるだけだ,"They'd laugh at the truth, and I'd have my head in a noose.",You're just gonna get on the head and you're gonna choke.
お前達とは問題を起こしたことがなかった 反逆の一翼を担うまではな,I never had a problem with your people... until they became a part of this rebellion.,"I've never had a problem with you before, not until I laid a wing of treason."
私は偉大な愛国戦争の 一翼を担う事を 誇りに思います,I am proud to be part of this mission in the great patriotic war.,I'm proud to carry the wings of the great patriotic war.
近づく為に一芝居打つよ,I want to get close to Latimer. And I'll need a cover story.,I'll make a play to get close to you.
彼は一言もなく 何週間も行方をくらましたんです,He has been gone for weeks.. Not a single word.,He disappeared for weeks without a word.
一言もなく死亡しました,And did not live to tell about it.,He died without a word.
私に一言も無く?,Without telling me?,Not a word to me?
うん 三度目の正直ね,"Yeah, maybe three times is a charm.","Yeah, that's a third time being honest."
- 三度目の正直か?,"""Third time's a charm?""",- third-time honesty?
長官たちが 党大会の壇上に立って― 犯人逮捕を アピールするんだぞ,The entire top tier of the Bureau's in town to stand onstage and show the world that we prevailed.,The directors are gonna stand on the board of the party and call for the arrest of the murderer.
そこの上げたり下げたりしている人,Well? What's your vote?,Someone who's up or down there.
実験の成功の為 私は上手に出るしかなかった,"For the experience to succeed. I had to get the upper hand,","For the sake of the experiment, I had no choice but to succeed."
CIAの一つ上手を行きたいの? そうだ CIAの現状を暴露したい,"Yes, I want to expose the CIA for what it's become, but... mainly, I want to catch him.","You want to do one of those things? Yes, I want to expose the CIA."
真剣にやれ 下手すると怪我するぞ,"Take this serious, because you can get hurt if you're not strong enough, okay?","Take it seriously, or you'll get hurt."
下手すると 誰かの人生を台無しに,If I fuck up I can ruin somebody's whole life.,"If I'm not good enough, I'm gonna ruin someone's life."
今、上手くいってますが下手をすると終わりです,"Now, we walk in there like this, with this, we're done.","It's going really well right now, but if you're not good enough, you're done."
真剣に言ってる 下手をすると これから20年は監獄だぞ,"Preston, if you're not careful, you're going to spend 20 years in prison.","I'm serious. If you don't do your job, you're going to be in prison for 20 years."
あの高さじゃ不幸中の幸いだった,"Not bad, considering the height.",I'm lucky to have you at that height.
"""それを知られてないのは 不幸中の幸いだ""","Yeah, well, I'm glad they don't know that.",It's unfortunate they don't know that.
それでも不幸中の幸いだ,We're lucky they got out when they did.,But I'm happy for you.
花火は不発に終わり 最悪の事態に,"Only Fitzpatrick didn't explode, it was far worse than that.",The fireworks ended badly.
だが不発に終わった,That's the only reason why I'm still here.,But it ended badly.
不肖の父親だがやらない,"Look, I'm not the world's best dad, but I would never do that.","He's a bad father, but he doesn't do it."
息子の不興を買うのが怖いんでしょ?,"Terrified of displeasing him, aren't you? I know how my son can be.",You're afraid to buy a son's ugliness?
掛けて 悲しむべき事に 世に出る前に死んだ,"Sadly, fredrick died without ever being published.",He died before there was anything sad about him.
この写真が世に出たら DEAは終わりだ,The DEA's worst nightmare is that face out in public.,The DEA's done with this picture.
君が怒る必要は 無い これが世の習いって やつだ,Maybe angry is just the way of the world.,You don't have to be angry. This is the way of the world.
栄光は長子のもの それが世の習いだが,"You're the elder, you reap the glory. This is the way of the world.","glory is the eldest, that's the way of the world."
世も末だ,Even for the apocalypse.,The end of the world.
俺がこんな事をするとは 世も末だ,"Of all the horrible things I have had to do in the apocalypse,",It's the end of the world for me to do this.
そんなに誉れ高き王たちが運び屋に用があるとは世も末だ,What is the world coming to when smugglers must vouch for the honor of kings?,The end of the world for kings so honorably honored.
悲劇にも 若くしてこの世を去った...,...who was snuffed out... tragically early.,And then there's the tragedy of leaving the world young.
全員笑いで息を詰まらせるまで この世を去るつもりはない,And I'll not leave this world until they all choke on that laughter.,I'm not going to leave this world until everyone's laughing to death.
何年も前に世を去った,Lost for many years.,She died many years ago.
ほんとに世話が焼ける人,Your uselessness is epic.,You're a real pain in the ass.
来年 僕はずっと家にいる 世話が焼けて ママも大変だ,"I guess I'll just be home, which sucks for you because it's gonna be so hard for you to go through all my stuff.","Next year, I'm gonna be home all the time, and I'm gonna have to take care of my mom."
ポッポちゃんは 世話が焼ける,You must admit she works hard with those chicken feathers!,She's got a lot on her mind.
俺は人の世話になったことない 自分のことは自分でする,I've always paid my way. You know I send what I can.,I've never been in good hands. I'll take care of myself.
残りを昔世話になった遺伝学の教授に送ったの,I sent on to my old genetics professor.,I sent the rest to an old genetics professor.
世話を焼いてくれんでも 自分で出来る,Why must you always mother-hen me? I'm quite capable of looking after myself.,"Even if you don't take care of me, I can take care of myself."
レノックス・ヒル病院前です ヴァン・ルーンとの合併が 世間を騒がせてますが,"Outside Lenox Hill Hospital today, more twists and turns in the Van Loon-Atwood merger.",In front of Lennox Hill Hospital.
ああ だが あの銃は両刃の剣だ,"Yeah, the gun's a double-edged sword, kind of.","Yeah, but that's a sword with two blades."
歯止めとして働きますが 両刃の剣です,"Besides, he's hot.","It works as a stop, but it's a sword with two blades."
ダンスフロアでは 両手に花で踊つたものだ,On the dance floor I used to dance with girls on each arm.,"On the dance floor, I used to dance with flowers in my hands."
だから、私は中に入る チャップルが何を 隠しているのか見つけて下さい,"So, I'll go back in, see what exactly Chapple's hiding.",So I'm gonna go inside and find out what Chapple's hiding.
さあ 中に入って 何かお口に合う物を探さなくては 文明国から来たお友達にね,"Oh, come inside, and we'll see if we can't get you some food, and some civilized company.","Come on, let's go inside and find something that fits in with our friends from civilization."
じゃあ 気が済んだら― 中に入って貰えるかな?,"Well, now that you have, can I politely invite you to step off my fucking porch?","So, when you're finished, will you let me in?"
注目の的になることは 彼女にとって 荷が重すぎて 悪い仲間の中に入ってしまった,"The attention was too much for her, and she fell in with the wrong crowd.","Being the center of attention has been too much for her, and she's become one of the bad guys."
"このバカは7,8人の ゾンビの真ん中に立ってた","This prick stands right in the mix, while seven or eight of them turn Zeke all at the same time.",This fool was standing in the midst of a thousand zombies.
ヴォーゲルはどのように丸くなった How the fuck did that happen ?,How did Vogel come round? How the fuck did that happen?,How the fuck did that happen?
でも、あなたの可愛い娘は九死に一生を得ましたよ。,But your little darling's got nine lives.,But your pretty daughter got her whole life to die.
知ってるのは未来の運命 予断を許さない状態 あなたは役割を果たせばいい,"All I know is that the fate of the future hangs in the balance, and you have some role to play.","All I know is the fate of the future, that you will not be able to foresee, that you will do your part."
銃で撃たれ 予断を許さない状態です,Hancock is in serious condition with multiple gunshot wounds.,He's been shot with a gun and unforgivable.
ナショナル・シティ総合病院にて 昏睡状態で― 予断を許さない状態が続いていますが スーパーガールのタイムリーな 到着が無ければ...,"Willis is currently in a coma at National City General, although her fate would have been much more grim had it not been for the timely arrival of Supergirl...","He's been in a coma at National City General Hospital, where he's in no condition to foresee, but if Supergirl doesn't make a timely arrival..."
あんな美しい人とは争えない,I cannot vie with such beauty and such sorrow.,I can't fight someone so beautiful.
りんごは木から離れた所に落ちない (血統は争えない),"The apple doesn't fall far from the tree, my friend.",apples don't fall away from trees.
血は争えない,Blood runs true.,Blood can't fight.
簡単に事が運ぶとは言ってない,I never told you it was gonna be easy.,I didn't say things would be easy.
そう簡単に 事が運ぶわけないじゃない?,"You didn't think that'd be that easy, did you?",How can it be so easy to carry something like that?
シンプルに事が運べば 人間 苦労しないよ,"If things were that simple, no one would ever suffer.",A man doesn't have to be so simple.
ゾーイ・バーンズの 記事によると デュラント上院議員が― カーン退場後の 新たな国務長官候補に...,"Zoe Barnes of the Washington Herald now reporting, quoting a source close to the President, as saying that Senator Catherine Durant will likely be the new nominee for Secretary of State after Michael Kern's withdrawal earlier this week.","According to Zoe Barnes, Senator During has become a new secretary of state after Khan's decommission."
この記事によると あなたが ブラック・マウンテン警備 の事件に関わっていたらしい,"Listen, this paper talks about you being in this Black Mountain Security thing.","According to this article, you were involved in the Black Mountain Security case."
地方記事によると、スーザン ジョーンズさん、二人の子供の母...,"Locals reported Susan Jones, an American mother of two...","According to a local article, Susan Jones, the mother of two children..."
AV業界の多くの女性は 私生活と仕事を 分けているわ,A lot of the women in the adult film industry completely separate their porn lives from their personal lives.,A lot of women in the porn industry split their lives and their jobs.
そして、僕は関与を 非難される事を好まない... 人類の大虐殺の罪を、たった一言... それも僕がすでに指摘した サイロンであろう女性の言葉で,And I don't like to be accused of participating in the genocide of the human race based solely on the word of a woman whom I have already indicated to you may well be a Cylon agent.,And I don't like being accused of being involved in one single thing-- the slaughter of mankind-- the word of a woman I've already mentioned-- the word of a Cylon.
""" 事を構えずに済んだ """,We have one chance for peace...,I've had enough of this.
シフターが事を起こした後は 俺たちのシマを奪い 侮辱したら,"After what those shifters have done -- chipping away at our territory, insulting us...","After the shifter did something, he took our schedule, insulted us."
ご存知通りです 陛下 老師の責務はご希望通りに事を運ぶだけに及びません 戦時には 助言を申し上げることも責務,"As you know, Your Grace, it is not only the sworn duty of a Maester to carry out the wishes of the house he serves, but also to offer guidance and counsel in times of war.","You know, Your Majesty, a Maester's duty is not only to carry things out as you wish, but also to advise him in times of war."
食事を運ぶ者もなく,Nobody to bring her food.,No one's carrying food.
警部 私は頭越しに事を運ぶのは 好みませんし,"Look, captain, I don't like going over anybody's head,","Captain, I don't like carrying things over my head."
さて、捕虜を取らないとすると、 残る選択肢は二つに一つだ,"Now, that leaves two ways we can play this out.","Now, if we don't take the prisoner, we have two choices."
