source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"Nuori mies heittää tikkaa baarissa jumalan selän takana.
","A young man is throwing darts in a bar in the middle of nowhere.
","[""- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal.\n""]",1,nuori mies heittää tikka baari jumala selkä takana .,"['heittää', 'jumala selkä takana']",20240
"- Että heität tulevaisuutesi kankkulan kaivoon.
","That you're throwing your future down the drain.
","[""I'm afraid you're gonna throw away your whole future.\n""]",1,- että heittää tulevaisuus kankkula kaivo .,"['heittää', 'kankkula kaivo']",20240
"Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan.
","Either you throw your job and your family in the ground, or you take control of your life again.
","[""Either throw away everything you've worked for, including your family, or take back control of your life.\n""]",1,joko heittää työsi ja perheetä kankkula kaivo - tai ottaa taas elämä hallinta .,"['heittää', 'kankkula kaivo']",20240
"Haluatko heittää Kankkulan kaivoon ne rahat?
","Do you want to throw that money away?
",['You want to see that money go out the front door?\n'],1,haluta heittää kankkula kaivo se raha ?,"['heittää', 'kankkula kaivo']",20240
"Hän soitti suurlähetystöön, joka heitti pallon meille.
","He called the embassy. They threw us the ball.
","['She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us.\n']",1,"hän soittaa suur#lähetystö , joka heittää pallo minä .","['heittää', 'soittaa suu']",20240
"Pari päivää sitten hän kolaroi moottoritiellä ja heitti veivinsä.
","A few days ago, he crashed on the freeway and dropped dead.
","['Couple days ago, he crashed into a semi on the freeway and died.\n']",1,pari päivä sitten hän kolaroida moottori#tie ja heittää veivä .,"['heittää', 'heittää veivä']",20240
"Haluan olla täysin perse auki neljässä sekunnissa.
","I want to be completely broke in four seconds.
",['I want to be completely broke in the next four secds.\n'],1,haluta olla täysin perse auki neljä sekunti .,['auki'],11728
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.
","And you spend thousands of dollars just standing there.
","[""The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.\n""]",1,"lnfektio mahdollisuus kasvaa joka sekunti , joka hän olla auki . lisäksi tuhla tuhat dollari , kun seisoa se tumpu suora .","['auki', 'tumpu suora']",11728
"On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki.
","I need to see Jack. Our marriage is falling apart, and we're broke.
","[""- I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I..\n""]",1,olla tavata jack.A#vio#liitto rakoilla ja olla aivan auki .,['auki'],11728
"Ehkä se oli väärin, mutta olin persaukinen.
","Maybe it was wrong, but I was broke.
","[""Maybe that was wrong, but I was broke, and that's what I did.\n""]",1,"ehkä se olla väärin , mutta olla persaukinen .","['auki', 'persaukinen']",11728
"Mitä persaukinen Randy Newman ajattelee asiasta?
","How does broke Randy Newman feel about that?
","[""What's broke-ass Randy Newman's take on it?\n""]",1,mikä persaukinen Randy Newman ajatella asia ?,"['auki', 'persaukinen']",11728
"Meidät putsattiin persaukiseksi.
","They cleaned us out. We're broke.
",['They cleaned us out.\n'],1,minä putsata persaukinen .,"['auki', 'persaukinen']",11728
"Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin.
","You don't want to go home broke when John hits this shot.
","[""You don't want to go home broke once John makes this shot.\n""]",1,"ei haluta mennä koti persaukinen , kun John lyödä tämä lyönti .","['auki', 'persaukinen']",11728
"Miten persaukisella olisi varaa 1 500 dollarin aseeseen?
","How does a broke-ass man afford a $1,500 gun?
","[""How's a guy that's so broke afford a $1500 handgun?\n""]",1,miten persaukinen olla vara 1 500 dollari ase ?,"['auki', 'persaukinen']",11728
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.
","If you feel lost, if you want to talk, my door is open.
","[""I only want you to know that if you feel like you're under water, if you need to talk, my door is open.\n""]",1,"jos tuntea olla hukassa , - jos haluta puhua , ovi olla auki .","['auki', 'olla hukassa']",11728
"Otat riskin Lafayette-aukiolla.
","You're taking a risk in Lafayette Square.
","[""I watch the news. You're going for broke in Lafayette square.\n""]",1,ottaa riski lafayette#aukio .,['auki'],11728
"Olen persauki.
","I'm broke.
","[""Okay, I'm broke, man.\n""]",1,olla persauki .,['auki'],11728
"Missä vaiheessa aloit tuntea olevasi hukassa?
","At what point did you start to feel lost?
",['At what point did you begin to feel lost?\n'],1,mikä vaihe alkaa tuntea olla hukassa ?,"['vaihe', 'olla hukassa']",9907
"Luulin, että ryöstelisimme jo tässä vaiheessa pankkeja - emmekä bensarekkoja jossain Jumalan selän takana.
","I thought by now we'd be robbing banks, not gas stations in the middle of nowhere.
","[""I thought we'd be robbing banks by now, not some gas truck in the middle of nowhere.\n""]",1,"luulla , että ryöstellä jo tämä vaihe pankki - ei bensa#rekko jokin Jumala selkä takana .",['vaihe'],9907
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.
","I think we can safely say that this is where you got out of the ditch.
","[""I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.\n""]",1,"voida varmaan sanoa , että tämä vaihe mennä oja allikko .","['vaihe', 'oja allikko']",9907
"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.
","If you want to stay broke, you'll be attending a day-to-day seminar to demonstrate the 32 stages of handwashing.
","['If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation.\n']",1,"jos haluta pysyä auki , osallistua päivä#seminaari joka esitellä käsi#enpesu 32 vaihe .","['vaihe', 'auki']",9907
"Asut korvessa väärällä nimellä.
","You live in the middle of nowhere under a false name.
","[""You're living in the middle of nowhere under an assumed name. I can help you.\n""]",1,asua korvi väärä nimi .,['korvi'],871
"Olemme kaukana korvessa.
","We're in the middle of nowhere.
",['We are away on the boonies here.\n'],1,olla kaukana korvi .,['korvi'],871
"Maalaistalossa, ihan korvessa.
","In a farmhouse in the middle of nowhere.
","[""Ta-da! I'm in a farmhouse that's miles from anywhere.\n""]",1,"maalais#talo , ihan korvi .",['korvi'],871
"Maatilalle korven keskelle.
","A farmhouse in the middle of nowhere.
","['Had a farm, middle of nowhere.\n']",1,maa#tila korvi keskelle .,['korvi'],871
"Vain Angela saa kyydin korvessa.
","Angela's the only one getting a ride in the middle of nowhere.
",['Only Angela could get a ride in the middle of nowhere.\n'],1,vain Angela saada kyytin korvi .,['korvi'],871
"- Olen hukassa.
","I'm lost.
","[""I'm lost.\n""]",1,- olla hukassa .,['olla hukassa'],717
"Hän on hukassa, herra. Pakkomielteinen.
","He's lost, sir.
","[""She's undone, sir.\n""]",1,"hän olla hukassa , herra . pakko#mielteinen .",['olla hukassa'],717
"llman venepyssyä, olemme hukassa.
","Without the boat gun, we're lost.
","[""Without the punt gun, I feel we're lost.\n""]",1,"llmata vene#pyssy , olla hukassa .",['olla hukassa'],717
"Jos olet hukassa tässä talossa, mene pelloille.
","If you're lost in this house, go to the fields.
","[""If you're lost in this house go back to the land!\n""]",1,"jos olla hukassa tämä talo , mennä pelto .",['olla hukassa'],717
"-Olen hukassa.
","I'm lost.
","[""I'm lost.\n""]",1,olla hukassa .,['olla hukassa'],717
"Kuningas osoitti suurta johtajuutta vaarallisessa tilanteessa.
","The King showed great leadership in a dangerous situation.
",['Yippee. His Majesty showed great leadership in extremely perilous circumstances.\n'],1,kuningas osoittaa suuri johtajuus vaarallinen tilanne .,['soittaa suu'],252
"Soitit suutasi psykopaattien edessä.
","You talked your mouth off in front of a bunch of psychos.
","[""You had to run your mouth in front of psychopaths, didn't you?\n""]",1,soittaa suu psykopaatti edessä .,['soittaa suu'],252
"-Älä soita suutasi.
","- Don't give me that shit.
","[""I'll bounce you off the wall, son.\n""]",1,-Älä soittaa suu .,['soittaa suu'],252
"Soitan suutani, mutta sanon harvoin suorat sanat.
","I mouth off, but I rarely say what's on my mind.
","['I mean, I talk a good game, but I very rarely tell people what I think to their face.\n']",1,"soittaa suu , mutta sanoa harvoin suora sana .",['soittaa suu'],252
"- Älä soita suutasi.
","- Don't give me that shit.
","[""Don't you brash me.\n""]",1,- ei soittaa suu .,['soittaa suu'],252
"Partiz katosi ihmisten ilmoilta.
","Partiz disappeared off the grid.
","['So, Ronnie Partiz now goes deep underground.\n']",1,partiz kadota ihminen ilma .,['ihminen ilma'],249
"Huhun mukaan olet käynyt enemmän ihmisten ilmoilla.
","Rumor has it you've been out in the world more.
","[""So, rumor has it, you're getting out more often.\n""]",1,huhu mukaan olla käydä enemmän ihminen ilma .,['ihminen ilma'],249
"Tapaat naisen, jos lähdet ihmisten ilmoille. Ymmärrätkö?
","You'll meet a woman if you go out in public.
",['You will meet someone if you go out and try to meet people.\n'],1,"tavata nainen , jos lähteä ihminen ilma . ymmärtää ?",['ihminen ilma'],249
"Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.
","A human being with no ID, no money, no memories.
",['As people with no ID no money no memories do.\n'],1,"ihminen ilman henkilö#todistus , - ei raha , ei muisto .",['ihminen ilma'],249
"Otetaanpas sinut ihmisten ilmoille.
","Let's get you out in the open.
","['Come on, little mate, out you come.\n']",1,ottaa sinä ihminen ilma .,['ihminen ilma'],249
"Me olemme lampaiden planeetalla.
","We're on a planet of sheep.
","['Here we are, on a planet of sheep.\n']",1,minä olla lammas planeetta .,['olla lammas'],204
"Emme ole lampaita!
","We're not sheep!
",['- We are not sheep.\n'],1,ei olla lammas !,['olla lammas'],204
"-He ovatkin lampaita.
","- They're sheep.
",['- Most people are sheep.\n'],1,-He olla lammas .,['olla lammas'],204
"Olet lampaiden kasvattama tiikeri.
","You're a tiger raised by sheep.
","[""You're a tiger raised by lambs.\n""]",1,olla lammas kasvattaa tiikeri .,['olla lammas'],204
"Etsikää oma äänenne. Älkää olko lampaita.""
","Find your own voice, don't be sheep.""
","['""Find your own voice."" ""Don\'t be a sheep.""\n']",1,"etsiä oma äänenne . ei olla lammas . """,['olla lammas'],204
"Ja hän taitaa olla pihkassa sinuun.
","And I think she has a crush on you.
","[""Plus, I think she's got a little thing for you.\n""]",1,ja hän taitaa olla pihkka sinä .,['pihkka'],161
"Ehkä hän on pihkassa sinuun.
","Maybe he's got a crush on you.
",['Maybe he has a crush on you.\n'],1,ehkä hän olla pihkka sinä .,['pihkka'],161
"Koska olit pihkassa minuun.
","Because you had a crush on me.
","[""'Cause you were into me.\n""]",1,koska olla pihkka minä .,['pihkka'],161
"- Oletko pihkassa Mackenzieen?
","- Do you have a crush on Mackenzie?
",['Do you have a crush on Mackenzie? No.\n'],1,- olla pihkka Mackenzie ?,['pihkka'],161
"Olet pihkassa tyttööni.
","You have a crush on my girl.
",['You got a thing for my girl.\n'],1,olla pihkka tyttö .,['pihkka'],161
"No, jos tämä kaikki menee putkeen niin haluan tehdä sen oikein.
","Well, if all goes well, I want to do it right.
","['Well, if this all connects, I want to do it right.\n']",1,"no , jos tämä kaikki mennä putki niin haluta tehdä se oikein .",['mennä putki'],131
"Se meni putkeen.
","That went really well.
","[""- That's right. All the way.\n""]",1,se mennä putki .,['mennä putki'],131
"Jokin ilmiselvästi meni putkeen, koska tienasitte miljoonan.
","Something obviously went right because you made a million dollars.
",['Obviously it was something because you made a million bucks in two months.\n'],1,"jokin ilmiselvästi mennä putki , koska tienata miljoona .",['mennä putki'],131
"Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.
","Name one other peculiarity... you were caught stealing coins from a fountain in Logan Square.
",['I caught you stealing a bunch of coins out of the fountain at Logan Circle.\n'],1,mainita yksi toinen kummallisuus . jäädä kiinni rysä päältä varastaa kolikko Logan aukio lähde .,"['rysä päältä', 'auki']",93
"Kun Frank jää kiinni rysän päältä, sinäkin saat oman välitystoimiston.
","When Frank gets caught red-handed, you'll have your own agency.
","['Just think, Vanessa, when you catch Frank cheating on you, you can open your own real-estate agency.\n']",1,"kun Frank jäädä kiinni rysä päältä , sinä saada oma välitys#toimisto .",['rysä päältä'],93
"Connor on ehkä yllätänyt hänet rysän päältä.
","Connor may have caught him red-handed.
","['Looks like Connor probably, uh, caught him in the act, so...\n']",1,Connor olla ehkä yllättää hän rysä päältä .,['rysä päältä'],93
"Jäikö hän kiinni rysän päältä?
","They caught him red-handed?
","['Oh my God! - What, then you caught her?\n']",1,jäädä hän kiinni rysä päältä ?,['rysä päältä'],93
"Ehkä hän haluaa saada heidät kiinni rysän päältä.
","Maybe he wants to catch them red-handed.
","[""I guess he's trying to catch them at it or...\n""]",1,ehkä hän haluta saada hän kiinni rysä päältä .,['rysä päältä'],93
"Smith jäi kiinni rysän päältä varastaessaan lapsilta.
","Smith was caught stealing from children.
",['Smith was caught red-handed stealing from boys.\n'],1,Smith jäädä kiinni rysä päältä varastaa lapsi .,['rysä päältä'],93
"Ihan sama minne, kunhan liput ovat kiven alla.
","I don't care where you go, as long as you've got the tickets.
","[""Anything hard to get. I don't give a fuck what. Neither will they.\n""]",1,"ihan sama minne , kunhan lippu olla kivi alla .",['kivi alla'],91
"Hyvät miehet ovat kiven alla.
","Good men are hard to come by.
",['It is impossible to find a good guy in this city.\n'],1,hyvä mies olla kivi alla .,['kivi alla'],91
"Vapaaehtoiset ovat kiven alla.
","Volunteers are swamped.
","[""I'm having a tough time finding volunteers.\n""]",1,vapaa#ehtoinen olla kivi alla .,['kivi alla'],91
"Tietyt tiedot ovat kiven alla.
","Certain information is hard to come by.
","[""It's just, some of the information I need, it's like getting blood out of a stone.\n""]",1,tietty tieto olla kivi alla .,['kivi alla'],91
"Vastaukset olivat kiven alla.
","The answers were hard to come by.
",['Okay. But he was finding it difficult to get any answers.\n'],1,vastaus olla kivi alla .,['kivi alla'],91
"Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle.
","Thanks to you, Kristen left the drugs and went straight.
",['It was your class that got Kristen off the cannabis and onto the right track.\n'],1,sinä ansio Kriste jättää huume ja palata kaita polku .,['kaita polku'],86
"Toivottavasti hän onnistuu pysymään kaidalla polulla.
","Let's just hope he keeps out of trouble for a while.
","['Now, if only she can strike that happy balance between creative curiosity and criminal trespass.\n']",1,toivottavasti hän onnistua pysyä kaita polku .,['kaita polku'],86
"Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille.
","That we've wandered off the straight and narrow path that God put us on, and now he's putting us on trial.
","['That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account.\n']",1,"että olla poiketa kaita polku , joka luoja asettaa , ja nyt hän laittaa minä tili .",['kaita polku'],86
"Useampikin vartija on eksynyt kaidalta polulta.
","More guards have lost their way.
",['Um... I show more than a few prison guards that have strayed from the path of righteousness.\n'],1,usea vartija olla eksyä kaita polku .,['kaita polku'],86
"Lähden kaidalle polulle.
","I'm going straight.
","[""I'm giving up the trade, going straight.\n""]",1,lähteä kaita polku .,['kaita polku'],86
"Aika keskellä ei-mitään malariaklinikaksi.
","Time in the middle of nowhere for a malaria clinic.
","[""It's kind of in the middle of nowhere, isn't it, for a malaria clinic?\n""]",1,aika keskellä ei#mitä malari#akli#nika .,['keskellä ei#mitä'],77
"Aina keskellä ei-mitään, salassa.
","Always in the middle of nowhere, in secret.
","['Always in the middle of nowhere, hiding?\n']",1,"aina keskellä ei#mitä , salassa .",['keskellä ei#mitä'],77
"Jos pitää kuolla ennenaikaisesti keskellä ei-mitään teen sen mieluummin sinun kuin muiden kanssa.
","If I have to die prematurely in the middle of nowhere, I'd rather do it with you than with the others.
","[""If I have to fall to an untimely death in the middle of nowhere, I'd rather do it with you than anyone else.\n""]",1,jos pitää kuolla ennenaikaisesti keskellä ei#mitä tehdä se mieluummin sinä kuin muu kanssa .,['keskellä ei#mitä'],77
"Meidän ei pitäisi tehdä tätä keskellä ei-mitään.
","We shouldn't be doing this in the middle of nowhere.
","[""We shouldn't do this in the middle of nowhere.\n""]",1,minä ei pitää tehdä tämä keskellä ei#mitä .,['keskellä ei#mitä'],77
"Se on aidattu ja keskellä ei-mitään.
","It's gated and in the middle of nowhere.
","[""I don't know. It's in the middle of nowhere. It's all fenced in.\n""]",1,se olla aidata ja keskellä ei#mitä .,['keskellä ei#mitä'],77
"Cheerleaderille pitää kaikki vääntää rautalangasta.
","If you're a cheerleader, you have to spell everything out for me.
","['Jeez, you gotta spell everything out for the cheerleader.\n']",1,Cheerleader pitää kaikki vääntää rauta#lanka .,['vääntää rauta#lanka'],66
"- Pitääkö vääntää rautalangasta.
","- Do I have to spell it out for you?
",['- Let me connect the dots for you.\n'],1,- pitää vääntää rauta#lanka .,['vääntää rauta#lanka'],66
"- Pitääkö minun vääntää rautalangasta?
","Do I have to spell it out for you?
",['We should wait for Captain Teitel.\n'],1,- pitää minä vääntää rauta#lanka ?,['vääntää rauta#lanka'],66
"Väännän rautalangasta.
","Let me spell it out for you.
","[""Maybe I wasn't clear enough.\n""]",1,vääntää rauta#lanka .,['vääntää rauta#lanka'],66
"Ei tarvitse vääntää rautalangasta.
","You don't have to spell it out for me.
","[""- You don't have to draw me pictures.\n""]",1,ei tarvita vääntää rauta#lanka .,['vääntää rauta#lanka'],66
"Lähtekää vetää täältä.
","Get out of here.
","['All right, get outta here.\n']",1,lähteä vetää täältä .,['lähteä vetää'],63
"Lähde vetämään täältä.
","Get out of here.
",['Get out of here.\n'],1,lähteä vetää täältä .,['lähteä vetää'],63
"Selvitä, kuka hänen toimittajansa on, ja lähde vetämään.
","Find out who his reporter is and get out of here.
",['Find out who his supplier is and then get out of there. All right?\n'],1,"selvitä , kuka hän toimittaja olla , ja lähteä vetää .",['lähteä vetää'],63
"Nyt lähti vetämään.
","Here we go.
","['Oh! Hey, here we go.\n']",1,nyt lähteä vetää .,['lähteä vetää'],63
"Meidän pitää muutenkin lähtee vetään.
","We have to get out of here anyway.
","['Yeah, we gotta bounce anyway.\n']",1,minä pitää muuten lähteä vetää .,['lähteä vetää'],63
"Minulla on kana kynittävänä kanssasi.
","I've got a score to settle with you.
","[""I've got a bone to pick with you, Detective.\n""]",1,minä olla kana kynittää kanssa .,['kana kynittää'],58
"Minulla on kana kynittävänä.
","I've got a score to settle.
",['I have a score to settle.\n'],1,minä olla kana kynittää .,['kana kynittää'],58
"- Sinullakin oli kana kynittävänä.
","You had a score to settle too.
","[""And then there's your beef with her on top of that.\n""]",1,- sinä olla kana kynittää .,['kana kynittää'],58
"Meillä on kana kynittävänä.
","We got a score to settle.
","[""I've got a score to settle with you.\n""]",1,minä olla kana kynittää .,['kana kynittää'],58
"Jos selviän, minulla on kana kynittävänä kanssasi.
","If I make it, I've got a bone to pick with you.
","['If I do make it, you and I have unfinished business. Yeah, I know.\n']",1,"jos selvitä , minä olla kana kynittää kanssa .",['kana kynittää'],58
"Emme olleet kuin kaksi marjaa.
","We weren't exactly peas in a pod.
",['Not that Conor and I were peas in a pod.\n'],1,ei olla kuin kaksi marja .,['kuin kaksi marja'],52
"Vanhempi veljeni sekä suojattini ovat kuin kaksi marjaa.
","My older brother and protege are like two peas in a pod.
",['My older brother and my ward getting along like two peas in a pod.\n'],1,vanha veli sekä suojatti olla kuin kaksi marja .,['kuin kaksi marja'],52
"He olivat kuin kaksi marjaa.
","They were like two peas in a pod.
","['I figured hey, birds of a feather.\n']",1,hän olla kuin kaksi marja .,['kuin kaksi marja'],52
"- Olettekin kuin kaksi marjaa.
","You're two peas in a pod.
","[""Makes sense. You're carbon copies of each other.\n""]",1,- olla kuin kaksi marja .,['kuin kaksi marja'],52
"Sano, kuin kaksi marjaa.
","Say it like two peas in a pod.
",['Say two peas in a pod.\n'],1,"sanoa , kuin kaksi marja .",['kuin kaksi marja'],52
"Kun kerran käännät kelkkasi olet hukassa.
","Once you turn around, you're lost.
","[""Once you tergiversate, you're lost.\n""]",1,kun kerran kääntää kelkkasi olla hukassa .,"['kääntää kelkka', 'olla hukassa']",30
