source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Jotkut eivät näe metsää puilta. Vai mitä, Vincent?","['I guess some people just see what they wanna see, right, Vincent?']","Some people can&#39;t see the forest for the trees. Or what, Vincent?",idiomatic,"joku ei nähdä metsä puu . vai mikä , Vincent ?",['ei nähdä metsä puu'],18
Et näe metsää puilta.,"[""You get myopic, can't see the forest for the trees.""]",You can&#39;t see the forest for the trees.,idiomatic,ei nähdä metsä puu .,['ei nähdä metsä puu'],18
"Siinäpä aasinsilta muistoihin, eikö?","[""Now, there's a trip down memory lane.""]","That&#39;s a donkey bridge to memories, right?",idiomatic,"siinä aasinsi muisto , ei ?",['aasinsi'],18
Hevonen karkaa.,['Your zipper is open.'],The horse runs away.,idiomatic,hevonen karata .,['hevonen karata'],18
Ja että hevosesi karkaavat?,['And that the barn door on your ski suit is open?'],And that your horses run away?,idiomatic,ja että hevonen karata ?,['hevonen karata'],18
- Hevoset karkaa!,"['- Your flies, Charlie! - Mm?']",- The horses run away!,idiomatic,- hevonen karata !,['hevonen karata'],18
Hevosesi karkaavat.,['Oops.'],Your horses run away.,idiomatic,hevonen karata .,['hevonen karata'],18
- Hevoset karkaavat.,['Your pajama thing is a little bit open.'],- The horses run away.,idiomatic,- hevonen karata .,['hevonen karata'],18
Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.,"[""And if anyone's a genius, it's me for the way I brought that full circle.""]",There&#39;s nothing more ingenious here than that donkey bridge I invented.,idiomatic,täällä ei olla muu nerokas kuin tuo keksiä aasinsi .,['aasinsi'],18
Hieno aasinsilta itsemurhaan.,"['Nice speech, Mr. Hobson. Way to hit the suicide theme.']",Nice donkey bridge to suicide.,idiomatic,hieno aasinsi itsemurha .,['aasinsi'],18
Mikä onkin loistava aasinsilta seuraavaan asiaani.,['Which brings me to our next order of business.'],Which is a great bridge to my next thing.,idiomatic,mikä olla loistava aasinsi seuraava asia .,['aasinsi'],18
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.","[""You can't see the forest for the trees... even when the forest is in your own backyard.""]","Sometimes you can&#39;t see the forest for the trees, even if the forest is in your backyard.",idiomatic,"joskus ei nähdä metsä puu , vaikka metsä olla taka#piha .",['ei nähdä metsä puu'],18
"Ja sokerina pohjalla Anne Dettrey, muotitoimittajamme.","['And last, as a kind of dessert, Anne Dettrey, our fashion editor.']","And as sugar on the bottom, Anne Dettrey, our fashion editor.",idiomatic,"ja sokeri pohja Anne Dettrey , muoti#toimittaja .",['sokeri pohja'],17
Ja sokerina pohjalla Sebastian Krajenski.,['And rounding out the starters: Sebastian Krajenski.'],And Sebastian Krajenski as sugar on the bottom.,idiomatic,ja sokeri pohja Sebastian Krajenski .,['sokeri pohja'],17
Bougainvilleläiset tapaavat löytää ulos- pääsyn hämmästyttävän itsepintaisesti,['Finding a way out is something the Bougainvillians tend to do with startling regularity.'],Bougainvilleans tend to find a way out with amazing persistence,idiomatic,bougain#villeläinen tavata löytää ulos pääsy hämmästyttävä itsepintaisesti,['itsepintaisesti'],17
Ja sokerina pohjalla - ulkona on limusiinikolonna - valmiina viemään meidät - strippiklubille!,['And last but not least... there is a fleet of limos outside... waiting to take us to... a strip club!'],And to top it all off - there&#39;s a limousine convoy outside - ready to take us - to the strip club!,idiomatic,ja sokeri pohja - ulkona olla limusiini#kolo - valmis viedä minä - strippi#klubi !,['sokeri pohja'],17
- Ja sokerina pohjalla:,"['Very good, sir. I saved the best for last.']",- And as sugar on the bottom:,idiomatic,- ja sokeri pohja :,['sokeri pohja'],17
Tämä herra tahtoo itsepintaisesti puhua rouvan kanssa.,"['This gentleman is most insistent upon speaking to her ladyship, sir.']",This gentleman insistently wants to talk to the lady.,idiomatic,tämä herra tahtoa itsepintaisesti puhua rouva kanssa .,['itsepintaisesti'],17
Onko korvissanne soinut itsepintaisesti?,['Have you been hearing a persistent ringing in your ears? Almost an agreeable ringing?'],Do you have persistent ringing in your ears?,idiomatic,olla korva soida itsepintaisesti ?,['itsepintaisesti'],17
Silti sinä itsepintaisesti haluat rakastaa minua.,"[""And yet you're obstinate in your desire to do so.""]",Yet you stubbornly want to love me.,idiomatic,silti sinä itsepintaisesti haluta rakastaa minä .,['itsepintaisesti'],17
Siitä lähtien hän itsepintaisesti ja tehokkaasti - alkoi sepittää teoriaa normaalista kuolemasta.,"['Leaving from there, insistent and superficially, it defended the theory of death for natural causes.']","From then on, he persistently and effectively - began to forge a theory about normal death.",idiomatic,se lähtien hän itsepintaisesti ja tehokkaasti - alkaa sepittää teoria normaali kuolema .,['itsepintaisesti'],17
"Ja sokerina pohjalla, - minulla on Lontoon paras äänentoistojärjestelmä.",['And to top it off... I got the baddest system in all of London.'],"And to top it all off, - I have the best sound system in London.",idiomatic,"ja sokeri pohja , - minä olla Lontoo hyvä äänen#toisto#järjestelmä .",['sokeri pohja'],17
- Olenkin äimän käkenä.,"[""- Yeah, well, I'm fucking surprised.""]",- I&#39;m a mother-in-law.,idiomatic,- olla äimän käkenä .,['äimän käkenä'],15
Olin äimän käkenä.,"['I\'m thinking, ""What the hell?""']",I was with my mother.,idiomatic,olla äimän käkenä .,['äimän käkenä'],15
Kaikki elävät koodinmurtajamme ovat äimän käkenä.,['All of our living code breakers are absolutely stumped.'],All of our live codebreakers are in good hands.,idiomatic,kaikki elää koodin#murtaja olla äimän käkenä .,['äimän käkenä'],15
Olen äimän käkenä.,"[""I'm amazed.""]",I&#39;m with my mother.,idiomatic,olla äimän käkenä .,['äimän käkenä'],15
"Holztmann, olen äimän käkenä.","['Holtzmann, I am beyond impressed.']","Holztmann, I&#39;m a mother-in-law.",idiomatic,"Holztmann , olla äimän käkenä .",['äimän käkenä'],15
"Onko järkesi jäässä, Ante?","['No, Ante, are you stupid?']","Are you out of your mind, Ante?",idiomatic,"olla järki jää , Ante ?",['järki jää'],15
- Onko sulta perkele järki jäässä?,['Have you gone mad?'],- Are you out of your damn mind?,idiomatic,- olla sinä perkele järki jää ?,['järki jää'],15
Kannattaa ottaa tilaisuudesta vaarin.,['You have to make the most of it.'],You should take advantage of the opportunity.,idiomatic,kannattaa ottaa tilaisuus vaari .,['ottaa tilaisuus vaari'],14
"Jos se oli tahallista, heille tulee tupenrapinat.","['If they did it on purpose, they could get in trouble.']","If it was intentional, they&#39;ll get vaginal discharge.",idiomatic,"jos se olla tahallinen , hän tulla tupen#rapina .",['tulla tupen#rapina'],14
Nyt tuli tupenrapinat.,"[""- [ Whimpering Laugh ] Oh, I'm in trouble.""]",Now came vaginal cramps.,idiomatic,nyt tulla tupen#rapina .,['tulla tupen#rapina'],14
Ota tilaisuudesta vaarin. Kaikki on täysin laillista.,['I want you to take this opportunity.'],Take advantage of the opportunity. Everything is perfectly legal.,idiomatic,ottaa tilaisuus vaari . kaikki olla täysin laillinen .,['ottaa tilaisuus vaari'],14
"Mukava nähdä, että otat tilaisuudesta vaarin.","[""Glad to seeyou're taking advantage of the opportunities offered.""]",Nice to see that you are taking advantage of the opportunity.,idiomatic,"mukava nähdä , että ottaa tilaisuus vaari .",['ottaa tilaisuus vaari'],14
On otettava tilaisuudesta vaarin.,"['And when you have an opportunity, you take it.']",The opportunity must be taken care of.,idiomatic,olla ottaa tilaisuus vaari .,['ottaa tilaisuus vaari'],14
"Minä otan tilaisuudesta vaarin, vaikka lapsia ei kiinnostaisikaan.","[""Well, I'm gonna take advantage of this opportunity even if you children aren't interested.""]","I will take advantage of the opportunity, even if the children are not interested.",idiomatic,"minä ottaa tilaisuus vaari , vaikka lapsi ei kiinnostaa .",['ottaa tilaisuus vaari'],14
Nyt tuli tupenrapinat!,"[""You're gonna regret it!""]",Now came the vaginal rasping!,idiomatic,nyt tulla tupen#rapina !,['tulla tupen#rapina'],14
Nyt tulee tupenrapinat.,"[""He's going to be so angry.""]",Now comes vaginal cramping.,idiomatic,nyt tulla tupen#rapina .,['tulla tupen#rapina'],14
Nyt tuli tupenrapinat,['ROSE! WHAT ARE YOU DOING?'],Now came vaginal cramps,idiomatic,nyt tulla tupen#rapina,['tulla tupen#rapina'],14
"Johtuu kai siitä, että rahat meni kankkulan kaivoon.","[""I guess it's having just thrown $200,000 into the toilet.""]",I guess it&#39;s because the money went down the well.,idiomatic,"johtua kai se , että raha mennä kankkula kaivo .",['kankkula kaivo'],12
Pantavaksi kankkulan kaivoon.,"[""He's asking us to fund a wild goose chase.""]",To be put in the well of the dumpling.,idiomatic,panna kankkula kaivo .,['kankkula kaivo'],12
Siis miljoonien dollarien edestä tavaraa kankkulan kaivoon.,"[""Now, we're talking about millions of dollars of merchandise down the drain.""]","That is, in front of millions of dollars of stuff in the well of the kannkula.",idiomatic,siis miljoona dollari edestä tavara kankkula kaivo .,['kankkula kaivo'],12
250 dollaria meni kankkulan kaivoon.,"[""$250 and we didn't learn a goddamn thing. $250?""]",250 dollars went into the well of the dumpling.,idiomatic,250 dollari mennä kankkula kaivo .,['kankkula kaivo'],12
1900 dollaria kankkulan kaivoon.,['Nineteen hundred dollars down the drain.'],"$1,900 for the well of the mound.",idiomatic,1900 dollari kankkula kaivo .,['kankkula kaivo'],12
"Yrititkö kertoa, että olet taas pieniin päin?",['You announcing the birth of yet another child?'],Were you trying to tell me that you&#39;re into small things again?,idiomatic,"yrittää kertoa , että olla taas pieni päin ?",['pieni päin'],11
En minä olekaan pieniin päin.,"[""I'm not in the family way after all.""]",I&#39;m not into small things.,idiomatic,ei minä olla pieni päin .,['pieni päin'],11
"Onnittelu, olet toden totta pieniin päin.","['Congratulations. Your test confirms you, in fact, have a baby on the way. How about that?']","Congratulations, you are so true to the little ones.",idiomatic,"onnittelu , olla toden totta pieni päin .",['pieni päin'],11
"Betsillä ja minulla on vaikea päästä pieniin päin, jos tajuatte.","[""You know, um, well, Betts and I are, uh... We're having a hell of a time getting in a family way, if you catch my drift.""]","Bets and I have a hard time getting to the little ones, if you understand.",idiomatic,"Betsi ja minä olla vaikea päästä pieni päin , jos tajuta .",['pieni päin'],11
Pieniin päin.,['Pregnant...'],Towards the little ones.,idiomatic,pieni päin .,['pieni päin'],11
He maksavat itsensä kipeäksi.,"[""In fact, they'll pay through the nose for it.""]",They pay themselves sick.,idiomatic,hän maksaa itse kipeä .,['maksaa itse kipeä'],10
Maksoimme itsemme kipeiksi siitä.,['- Paid through the nose for it.'],We paid ourselves sick for it.,idiomatic,maksaa itse kipeä se .,['maksaa itse kipeä'],10
"Jos lapsi sattuu sairastumaan, maksat itsesi kipeäksi lääkkeistä.","[""Yeah, well, Fiona already said if I have the baby, she's throwing me out, so I don't even care if we lose the house.""]","If the child happens to get sick, you will pay yourself a lot for the medicines.",idiomatic,"jos lapsi sattua sairastua , maksaa itse kipeä lääke .",['maksaa itse kipeä'],10
"Maksoin itseni kipeäksi, mutta Alexis innostuu.",['- Oh. Cost me an arm and a leg but Alexis will be thrilled.'],"I made myself sick, but Alexis gets excited.",idiomatic,"maksaa itse kipeä , mutta Alexis innostua .",['maksaa itse kipeä'],10
"Syyttömiä tuomitaan joskus, vaikka he maksavat itsensä kipeäksi.","[""There are some people that, no matter how much money they threw at the case, were convicted and shouldn't have been.""]","Innocent people are sometimes convicted, even if they pay dearly.",idiomatic,"syytön tuomita joskus , vaikka hän maksaa itse kipeä .",['maksaa itse kipeä'],10
Ei pane tikkuakaan ristiin.,['He does nothing.'],Doesn&#39;t give a damn.,idiomatic,ei panna tikku ristiin .,['panna tikku ristiin'],9
Yhdysvallat ei pane tikkua ristiin.,"[""That's my point. The USA isn't going to lift a finger!""]",The US doesn&#39;t give a damn.,idiomatic,Yhdysvallat ei panna tikku ristiin .,['panna tikku ristiin'],9
Eihän se että minä annan tarkoita että mies panisi tikun ristiin takiani.,"[""Just because I'm giving doesn't mean I can expect a man to lift a finger for me.""]",The fact that I give doesn&#39;t mean that the man will give up on me.,idiomatic,ei se että minä antaa tarkoittaa että mies panna tikku ristiin takia .,['panna tikku ristiin'],9
Yli 800 ihmistä joutui viime vuonna vampyyrien uhriksi Louisianassa. Viranomaiset eivät pane tikkua ristiin.,"[""You know, last year there were over 800 reported vampire-related attacks in Louisiana alone, and the law won't do nothing about it.""]",More than 800 people fell victim to vampires in Louisiana last year. The authorities don&#39;t give a damn.,idiomatic,yli 800 ihminen joutua viime vuosi vampyyri uhri Louisiana . viran#omainen ei panna tikku ristiin .,['panna tikku ristiin'],9
Aiotko sietää ryöstöt ja tapot panematta tikkua ristiin?,['Are you ready to put up with looting and killing without lifting a finger?'],Are you going to put up with robberies and Killings without giving a damn?,idiomatic,aikoa sietää ryöstö ja tapota panna tikku ristiin ?,['panna tikku ristiin'],9
"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.","['In this case, my client paid for the wedding and was hung out to dry.']",My main man paid for the wedding and he was left like a teddy bear on a rock.,idiomatic,"pää#mies maksaa häät , ja hän jättää kuin nalli kallio .",['nalli kallio'],9
-Selvä. Jätätkö minut nalliksi kalliolle taas?,['You gonna leave me sitting on my ass like you did yesterday?'],-Clear. Are you leaving me as a teddy bear on a rock again?,idiomatic,-Selvä . jättää minä nalli kallio taas ?,['nalli kallio'],9
Et voi jättää toista kuin nallia kalliolle.,['But you cannot just leave someone alone like that!'],You can&#39;t leave anything but a teddy bear on a rock.,idiomatic,ei voida jättää toinen kuin nalli kallio .,['nalli kallio'],9
Shane jäi kuin nalli kalliolle! Britit voittivat kirkkaasti!,"[""After our first-innings victory, Jeremy decided that for the second challenge, we should re-run a race we'd first tried against the Germans.""]",Shane was left like a teddy bear on a rock! The British won resoundingly!,idiomatic,Shane jäädä kuin nalli kallio ! britti voittaa kirkkaasti !,['nalli kallio'],9
"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.","['In this case, my client paid for the wedding and was hung out to dry.']",My main man paid for the wedding and he was left like a teddy bear on a rock.,idiomatic,"pää#mies maksaa häät , ja hän jättää kuin nalli kallio .",['nalli kallio'],9
