source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"MacGyver, Khan te vendrait pour une bouchée de pain, tu le sais ?
","MacGyver, Khan would sell you out for nothing, you know that?
","['MacGyver, Khan would sell you down for a second cup of coffee, you know?\n']",1,"MacGyver , Khan lui vendre pour un bouchée de pain , il le savoir ?",['un bouchée de pain'],47
"On résout les problèmes en jetant l'argent par les fenêtres ?
","We solve problems by throwing money out the window?
","[""That's the spirit. Solving problems by throwing money at them.\n""]",1,on résoudre le problème en jeter le argent par le fenêtre ?,['jeter le argent par le fenêtre'],47
"Je prends mon courage à deux mains.
","I'm getting my courage up.
",['Start getting a little brave.\n'],1,il prendre son courage à deux main .,['prendre son courage à deux main'],44
"Mike prit son courage à deux mains pour aller voir son frère.
","Mike worked up his nerve to go see his brother.
","[""So Mike sucked it up and went over to his brother's house.\n""]",1,Mike prendre son courage à deux main pour aller voir son frère .,['prendre son courage à deux main'],44
"Tu crois que je raconte des salades ? - C'est ça ?
","You think I'm full of shit?
",['Are you calling me a liar?\n'],1,de le croire que il raconter un salade ? - ce être ça ?,['raconter un salade'],44
"Prendre son courage à deux mains pour dire à Rogelio qu'elle avait fait vœu de chasteté était plus difficile que ce que Xiomara pensait.
","Taking the courage to tell Rogelio that she took a vow of chastity was harder than Xiomara thought.
",['Working up the courage to tell Rogelio about her vow of chastity was proving harder than Xiomara had anticipated.\n'],1,prendre son courage à deux main pour dire à Rogelio que il avoir faire vœu de chasteté être plus difficile que ce que Xiomara penser .,['prendre son courage à deux main'],44
"Il nous a raconté des salades, puis nous a drogués et enfermés dans un frigo.
","He bullshitted us, then drugged us and locked us in a fridge.
","['He tells us this crazy story, then he drugs us and locks us in a freezer.\n']",1,"il il avoir raconter un salade , puis il avoir droguer et enfermer dans un frigo .",['raconter un salade'],44
"Elle était sur son 31. C'est un peu tôt pour aller en boîte.
","She was all dressed up. It's a little early to go clubbing.
","[""She was certainly dressed to impress, but it's a little early for clubbing, isn't it?\n""]",1,il être sur son 31 . ce être un peu tôt pour aller en boîte .,['être sur son 31'],44
"Vous êtes sur votre 31.
","You're all dressed up.
","[""You're looking great.\n""]",1,il être sur son 31 .,['être sur son 31'],44
"Alors elle a pris son courage à deux mains pour faire la fille mature de fac.
","So she mustered up the courage to be the mature college girl.
",['So she dug down deep and did the only thing a mature college woman could do.\n'],1,alors il avoir prendre son courage à deux main pour faire le fille mature de fac .,['prendre son courage à deux main'],44
"Ma maman à moi, elle me pinçait quand je racontais des salades.
","My mom, she used to pinch me when I told stories.
",['- My mom used to pinch me when I lied.\n'],1,"son maman à lui , il se pincer quand il raconter un salade .",['raconter un salade'],44
"Pourquoi vous êtes sur votre 31 ?
","Why are you all dressed up?
","[""What's with the dress up?\n""]",1,pourquoi il être sur son 31 ?,['être sur son 31'],44
"Il est sur son 31.
","He's all dressed up.
","[""He's looking sharp!\n""]",1,il être sur son 31 .,['être sur son 31'],44
"Quand il est arrivé, j'ai pris mon courage à deux mains pour aborder le sujet.
","When he came in, I mustered up the courage to broach the subject.
","['When he did arrive, I had the courage to get to the heart of the matter.\n']",1,"quand il être arriver , il avoir prendre son courage à deux main pour aborder le sujet .",['prendre son courage à deux main'],44
"- Tu es sur ton 31.
","- You're all dressed up.
","[""- Whoa, don't you look sharp.\n""]",1,- il être sur son 31 .,['être sur son 31'],44
"Ça t'autorise pas à raconter des salades.
","That doesn't give you the right to bullshit.
","['If I lied,\n']",1,ça lui autoriser pas à raconter un salade .,['raconter un salade'],44
"Lave tes mains et arrête de raconter des salades.
","Wash your hands and stop telling stories.
",['Wash your hands and no more bullshit.\n'],1,laver son main et arrêter de raconter un salade .,['raconter un salade'],44
"J'ai la flemme de lire des sous-titres.
","I'm too lazy to read subtitles.
","[""Actually, no. I'm not down for subtitles tonight.\n""]",1,il avoir le flemme de lire de le sous-titre .,['avoir le flemme'],43
"Je ne sais pas si sortir ou pas. J'ai la flemme...
","I don't know whether to go out or not.
","[""I don't know if I want to go or if I'm too tired but...\n""]",1,il ne savoir pas si sortir ou pas . il avoir le flemme ...,['avoir le flemme'],43
"Ses parents avaient la flemme de l'appeler Bob ?
","His parents were too lazy to call him Bob?
","['What, his parents were too lazy to come up with, like, Bob?\n']",1,son parent avoir le flemme de le appeler Bob ?,['avoir le flemme'],43
"Ses parents avaient la flemme de l'appeler Bob ?
","His parents were too lazy to call him Bob?
","['What, his parents were too lazy to come up with, like, Bob?\n']",1,son parent avoir le flemme de le appeler Bob ?,['avoir le flemme'],43
"J'ai eu la flemme.
","I was too lazy.
","['I got lazy, man, you know.\n']",1,il avoir avoir le flemme .,['avoir le flemme'],43
"Voila ce qui arrive lorsqu'on a les yeux plus gros que le ventre, Pat.
","This is what happens when your eyes are bigger than your stomach, Pat.
","['This is what happens when you get too big for your boots, Pat.\n']",1,"voila ce qui arriver lorsque on avoir le œil plus gros que le ventre , Pat.",['avoir le œil plus gros que le ventre'],42
"Elle pense qu'on a les yeux plus gros que le ventre.
","She thinks we bite off more than we can chew.
",['She worries our eyes might be a little bigger than our stomachs.\n'],1,il penser que on avoir le œil plus gros que le ventre .,['avoir le œil plus gros que le ventre'],42
"Tu cherches trop à impressionner. Tu as les yeux plus gros que le ventre.
","You're trying too hard to impress, you're biting off more than you can chew.
","['You try so hard to impress people, you always bite off more than you can chew.\n']",1,il chercher trop à impressionner . il avoir le œil plus gros que le ventre .,['avoir le œil plus gros que le ventre'],42
"J'avais les yeux plus gros que le ventre.
","I bit off more than I could chew.
",['I bit off more than I could chew.\n'],1,il avoir le œil plus gros que le ventre .,['avoir le œil plus gros que le ventre'],42
"Vous avez les yeux plus gros que le ventre, mon ami.
","You're biting off more than you can chew, my friend.
","[""You've bitten off more than you can chew this time, my friend.\n""]",1,"il avoir le œil plus gros que le ventre , son ami .",['avoir le œil plus gros que le ventre'],42
"Une heure après, vous crevez la dalle.
","An hour later, you're starving.
","['You go in there and spend 50 and eat for an hour and a half, and a half hour later you ́re starving to death.\n']",1,"un heure après , il crever le dalle .",['crever le dalle'],41
"Tout ce que j'ai à faire, c'est crever la dalle une semaine... et je retrouverai la vie infernale que j'avais avant ?
","All I have to do is starve for a week... and I get back to the infernal life I used to have?
","['So all I gotta do is starve and be miserable for a week, then my life will go back to the normal hell it always was?\n']",1,"tout ce que il avoir à faire , ce être crever le dalle un semaine ... et il retrouver le vie infernal que il avoir avant ?","['crever le dalle', 'être crever']",41
"J'appelle un chat un chat...
","I call a spade a spade...
",['If it walks like a duck...\n'],1,il appeler un chat un chat ...,['appeler un chat un chat'],41
"Appelons un chat un chat.
","Let's call a spade a spade.
","[""Let's call a spade a spade.\n""]",1,appeler un chat un chat .,['appeler un chat un chat'],41
"Je suis prêt à appeler un chat un chat, pour dissuader les générations d'aujourd'hui et de demain.
","I'm willing to call a spade a spade, to deter generations today and tomorrow.
","['There I am prepared to call a spade a spade, as a warning to present and future generations.\n']",1,"il être prêt à appeler un chat un chat , pour dissuader le génération de aujourd'hui et de demain .",['appeler un chat un chat'],41
"On crève la dalle.
","We're starving.
",['-We were starving.\n'],1,on crever le dalle .,['crever le dalle'],41
"Attendez, soyons... Appelons un chat un chat.
","Wait, let's... let's call a spade a spade.
","[""Well now, let's be, let's call a spade a spade.\n""]",1,"attendre , soier ... appeler un chat un chat .",['appeler un chat un chat'],41
"Je crève la dalle.
","I'm starving.
","['Look, I gotta eat, okay?\n']",1,il crever le dalle .,['crever le dalle'],41
"Nous appellerons un chat un chat.
","We will call a spade a spade.
","[""We're going to call a spade a dirty spade.\n""]",1,il appeler un chat un chat .,['appeler un chat un chat'],41
"Ouais, je crève la dalle.
","Yeah, I'm starving.
","[""Yeah, I'm freaking starving.\n""]",1,"ouais , il crever le dalle .",['crever le dalle'],41
"- J'arrive pas à dormir. Je crève la dalle. Regarde sur quoi je tombe.
","I can't sleep, I'm starving.
","[""I can't sleep because I'm starving and look what's on TV.\n""]",1,- il arriver pas à dormir . il crever le dalle . regarder sur quoi il tomber .,['crever le dalle'],41
"Tu as du pain sur la planche la.
","You've got your work cut out for you.
",['You got your hands full over there.\n'],1,il avoir de le pain sur le planche le .,['avoir de le pain sur le planche'],38
"C'est bon, tu peux avoir le coeur sur la main
","It's okay, you can have your heart on your sleeve
","[""It's okay, you can wear your heart on your sleeve\n""]",1,"ce être bon , il pouvoir avoir le cœur sur le main",['avoir le cœur sur le main'],38
"J'ai du pain sur la planche...
","I got a lot of work to do.
","[""I've got a lot on my plate and um...\n""]",1,il avoir de le pain sur le planche ...,['avoir de le pain sur le planche'],38
"Tu as du pain sur la planche.
","You've got your work cut out for you.
",['You have a job to do.\n'],1,il avoir de le pain sur le planche .,['avoir de le pain sur le planche'],38
"Avait le coeur sur la main.
","Had the heart on his hand.
",['Wore his heart on his sleeve.\n'],1,avoir le cœur sur le main .,['avoir le cœur sur le main'],38
"Elle a le coeur sur la main.
","She's got her heart on her sleeve.
","[""She's got a big heart.\n""]",1,il avoir le cœur sur le main .,['avoir le cœur sur le main'],38
"J'ai du pain sur la planche.
","I got a lot of work to do.
",['Lotta irons in the fire.\n'],1,il avoir de le pain sur le planche .,['avoir de le pain sur le planche'],38
"Vous savez, les Punjabis ont le coeur sur la main.
","You know, minibars have a heart on their sleeve.
",['You know we Punjabis are really large-hearted.\n'],1,"il savoir , le Punjabis avoir le cœur sur le main .",['avoir le cœur sur le main'],38
"Ecoute, je sais que tu as du pain sur la planche, mais mes parents ne peuvent pas te supporter et mon cousin est...
","Look, I know you've got your work cut out for you, but my parents can't stand you and my cousin is...
","[""Look, I know you have a lot on your plate, but my parents can't stand you, and my cousin is...\n""]",1,"écoute , il savoir que il avoir de le pain sur le planche , mais son parent ne pouvoir pas lui supporter et son cousin être ...",['avoir de le pain sur le planche'],38
"Mitsuko et Joe ont le cœur sur la main.
","Mitsuko and Joe have a good heart.
",['Mitsuko and Joe are open-handed.\n'],1,Mitsuko et Joe avoir le cœur sur le main .,['avoir le cœur sur le main'],38
"Pourquoi avez-vous filé à l'anglaise?
","Why did you run off like that?
","[""Why'd you give them the slip up at the hospital? You don't like the place?\n""]",1,pourquoi avoir il filer à le anglais ?,['filer à le anglais'],35
"Ça se vend comme des petits pains sur Internet.
","It sells like hot cakes on the Internet.
","[""They're going crazy on the Internet.\n""]",1,ça se vendre comme un petit pain sur Internet .,['se vendre comme un petit pain'],35
"L'aventure. Le sexe. Mets ça dans ton livre, il se vendra comme des petits pains.
","The adventure, the sex, put it in your book, it'll sell like hot cakes.
","[""Adventure, sex... you put that in your book, it'll sell like hot cakes.\n""]",1,"le aventure . le sexe . mettre ça dans son livre , il se vendre comme un petit pain .",['se vendre comme un petit pain'],35
"22 personnes qui filent à l'anglaise, tu t'imagines ?
","22 people sneaking off, can you imagine?
","[""You don't want 22 people skipping all in one day, do you? - Of course not, but...\n""]",1,"22 personne qui filer à le anglais , il lui imaginer ?",['filer à le anglais'],35
"Ces brioches ""Loyauté"" se vendent comme des petits pains.
","These loyalty buns are selling like hot cakes.
","['Those sweet buns marked ""Loyalty"" are selling like hot cakes\n']",1,"ce brioche "" Loyauté "" se vendre comme un petit pain .",['se vendre comme un petit pain'],35
"Le livre se vend comme des petits pains.
","The book sells like hot cakes.
",['The book is selling like hotcakes.\n'],1,le livre se vendre comme un petit pain .,['se vendre comme un petit pain'],35
"Vous avez filé à l'anglaise ?
","Did you sneak out?
","['Say, did you sneak out of here?\n']",1,il avoir filer à le anglais ?,['filer à le anglais'],35
"Il a filé à l'anglaise.
","He ran away the hard way.
",['He was tired and slipped away.\n'],1,il avoir filer à le anglais .,['filer à le anglais'],35
"Je vais filer à l'anglaise pour ne pas gâcher la fête.
","I'm gonna sneak out so I don't spoil the party.
","[""I thought I'd just sneak away quietly. I don't want to spoil the party.\n""]",1,il aller filer à le anglais pour ne pas gâcher le fête .,['filer à le anglais'],35
"Je garde les traces de ce que mes clients achètent, et ceux-là se vendent comme des petits pains.
","I keep track of what my clients buy, and those sell like hot cakes.
","['I keep strict tabs on what my customers buy, and those are selling like hotcakes.\n']",1,"il garder le trace de ce que son client acheter , et celui là se vendre comme un petit pain .",['se vendre comme un petit pain'],35
"Va-t-on se jeter dans la gueule du loup ?
","Are we going to throw ourselves into the lion's den?
","[""We'll be walking into a trap!\n""]",1,voir on se jeter dans le gueule de le loup ?,['se jeter dans le gueule de le loup'],31
"Verdice se jette dans la gueule du loup.
","Krabce throws herself into the lion's den.
",['Verdice is walking right into an arrest.\n'],1,Verdice se jeter dans le gueule de le loup .,['se jeter dans le gueule de le loup'],31
"Je voulais savoir ce que ça fait de se jeter dans la gueule du loup.
","I wanted to know what it feels like to walk into the lion's den.
",['Wanted to know what it was like to walk into a propeller.\n'],1,il vouloir savoir ce que ça faire de se jeter dans le gueule de le loup .,['se jeter dans le gueule de le loup'],31
"C'est ce qui s'appelle se jeter dans la gueule du loup.
","It's called throwing yourself into the lion's den.
",['I guess this is what they mean by moths flying to the flame.\n'],1,ce être ce qui se appeler se jeter dans le gueule de le loup .,['se jeter dans le gueule de le loup'],31
"Nous on se jette dans la gueule du loup pendant que vous restez là, hors du danger !
","We throw ourselves into the lion's den while you stand there, out of danger!
","[""We're going down... while you all stay up here, out of danger.\n""]",1,"il on se jeter dans le gueule de le loup pendant que il rester là , hors de le danger !",['se jeter dans le gueule de le loup'],31
"Je veux dire du recel d'armes c'est comme ça qu'ils s' en mettent plein les poches.
","I mean, weapons possession is how they make a lot of money.
","[""Yeah, well, I mean, dealing weapons-- that's how they make the big bucks.\n""]",1,il vouloir dire de le recel de arme ce être comme ça que il se en mettre plein le poche .,['se en mettre plein le poche'],30
"Nous ne pouvons nous permettre d'être déroutés par un nouveau joueur de flûte dont les intérêts ne sont que de s'en mettre plein les poches.
","We can't afford to be confused by a new flute player whose best interests are just lining their pockets.
",['We cannot afford to be led astray by a latter-day pied piper whose interests begin and end with lining his own pockets.\n'],1,il ne pouvoir il permettre de être dérouter par un nouveau joueur de flûte dont le intérêt ne être que de se en mettre plein le poche .,['se en mettre plein le poche'],30
"La technologie en soi, on s'en fout complètement. Tout ce qu'on veut, c'est s'en mettre plein les poches.
","We don't give a damn about technology, we just want to make a lot of money.
","[""We don't give two shits about how technology works because all we care about is getting fucking rich.\n""]",1,"le technologie en soi , on se en fouloir complètement . tout ce que on vouloir , ce être se en mettre plein le poche .",['se en mettre plein le poche'],30
"Ces messieurs se servent, s'en mettent plein les poches et nous oublient.
","These gentlemen take it out of their pockets and forget about us.
",['The rich people that we serve will put the money in their pockets and forget about us.\n'],1,"ce messieur se servir , se en mettre plein le poche et il oublier .",['se en mettre plein le poche'],30
"Il s'en met plein les poches. J'en ai côtoyé, aux Moeurs.
","He's got a lot of money in his pocket.
",['I met people like him in Vice.\n'],1,"il se en mettre plein le poche . il en avoir côtoyer , à le Moeurs .",['se en mettre plein le poche'],30
"Il a assez mis son grain de sel quand on écrivait le discours...
","He put in enough of his two cents when we were writing the speech...
",['We got enough input from him while we were writing the thing.\n'],1,il avoir assez mettre son grain de sel quand on écrire le discours ...,['mettre son grain de sel'],28
"Tu veux mettre ton grain de sel ?
","You wanna put your two cents in it?
","[""Don't you want to put your 2Â¢ in?\n""]",1,de le vouloir mettre son grain de sel ?,['mettre son grain de sel'],28
"Donc tu dois venir me voir quand tu veux mettre ton grain de sel.
","So you have to come to me when you want to put your two cents in it.
",['So you need to consult with me before you do anything like this.\n'],1,donc il devoir venir se voir quand il vouloir mettre son grain de sel .,['mettre son grain de sel'],28
"Sans vouloir mettre mon grain de sel, supposons que vous ayez raison et que Drake soit un espion...
","I don't want to get into it, but let's assume that you're right and Drake is a spy...
","[""I don't wanna get too wrapped up in your caper... but let's assume that you're right and Damian Drake is a spy?\n""]",1,"sans vouloir mettre son grain de sel , supposer que il avoir raison et que Drake être un espion ...",['mettre son grain de sel'],28
"Peut-être que tu pourrais mettre ton grain de sel.
","Maybe you could put your two cents in it.
",['Maybe you could chip in.\n'],1,peut-être que il pouvoir mettre son grain de sel .,['mettre son grain de sel'],28
"Mais, elle sera ravie de vous rappeler, quand les poules auront des dents.
","But she'll be happy to call you back when pigs fly.
","[""But, she'll be happy to return your call, when hell freezes over.\n""]",1,"mais , il être ravi de il rappeler , quand le poule avoir un dent .",['quand le poule avoir un dent'],27
"Tu feras ça pour moi quand les poules auront des dents.
","You can do that for me when pigs fly.
","['The day you do this for me, pigs will fly!\n']",1,il faire ça pour lui quand le poule avoir un dent .,['quand le poule avoir un dent'],27
"- Je quitterai ma ferme... quand les poules auront des dents!
","- I'll leave my farm when pigs fly!
","[""- Ain't leaving my house for nothing. Not in a hundred years!\n""]",1,- il quitter son ferme ... quand le poule avoir un dent !,['quand le poule avoir un dent'],27
"- Quand les poules auront des dents.
","- When pigs fly.
",['-When fish ride bicycles.\n'],1,- quand le poule avoir un dent .,['quand le poule avoir un dent'],27
"Ouais, quand les poules auront des dents!
","Yeah, when pigs fly!
","['Yeah, about the time you get your third set of teeth.\n']",1,"ouais , quand le poule avoir un dent !",['quand le poule avoir un dent'],27
"J'attends qu'il passe l'arme à gauche.
","I'm waiting for him to drop the gun.
","[""I'm waiting him out.\n""]",1,il attendre que il passer le arme à gauche .,['passer le arme à gauche'],26
"Un type normal aurait passé l'arme à gauche et serait mort.
","A normal guy would have passed away and died.
","['I mean, any normal man would have just turned up his toes and died.\n']",1,un type normal avoir passer le arme à gauche et être mourir .,['passer le arme à gauche'],26
"Tu as entendu beaucoup de voix... mais comparé à moi, c'est du pipi de chat.
","You've heard a lot of voices... but compared to me, it's cat pee.
","[""You may have heard a lot of singers... but you ain't heard nothing sung till you heard me sung it.\n""]",1,"il avoir entendre beaucoup de voix ... mais comparer à lui , ce être de le pipi de chat .",['pipi de chat'],26
"Je croyais... qu'il avait passé l'arme á gauche.
","I thought he passed away.
",['But I thought... he was long gone.\n'],1,il croire ... que il avoir passer le arme à gauche .,['passer le arme à gauche'],26
"Vous avez enfin passé l'arme à gauche?
","Did you finally get the hang of it?
","['Are you finally dead, old man?\n']",1,il avoir enfin passer le arme à gauche ?,['passer le arme à gauche'],26
"De quoi il héritera quand ses parents passeront l'arme à gauche ?
","What's he gonna inherit when his parents get off the hook?
","[""What's he gonna inherit when his parents croak?\n""]",1,de quoi il hériter quand son parent passer le arme à gauche ?,['passer le arme à gauche'],26
"A des implications bien au-delà de la sécurité nationale, ...A côté, la guerre froide, c'est du pipi de chat.
","The cold war's a bitch.
",['Has implications that go so far beyond national security The cold war seems like a case of the sniffles.\n'],1,"à un implication bien au-delà de le sécurité national , ...A côté , le guerre froid , ce être de le pipi de chat .",['pipi de chat'],26
"Là, c'est tu pipi de chat.
","That's you cat pee.
","[""This is fuckin' nothin'.\n""]",1,"là , ce être il pipi de chat .",['pipi de chat'],26
"Mais c'est du pipi de chat !
","But it's cat pee!
",['No big deal.\n'],1,mais ce être de le pipi de chat !,['pipi de chat'],26
"Et ça, c'est du pipi de chat ?
","And this is cat pee?
","['This, of course, is chopped liver, huh?\n']",1,"et ça , ce être de le pipi de chat ?",['pipi de chat'],26
"Il a donné sa langue au chat.
","He gave up his tongue.
","[""Seems the cat got Watts's tongue.\n""]",1,il avoir donner son langue à le chat .,['donner son langue à le chat'],24
"Je donne ma langue au chat.
","I give up.
",['What is it?\n'],1,il donner son langue à le chat .,['donner son langue à le chat'],24
"- Je donne ma langue au chat.
","- I give up.
",['- I give up.\n'],1,- il donner son langue à le chat .,['donner son langue à le chat'],24
"Vous avez donné votre langue au chat?
","Cat got your tongue?
",['Cat got your tongue?\n'],1,il avoir donner son langue à le chat ?,['donner son langue à le chat'],24
"- Je donne ma langue au chat, James.
","- I give up, James.
","[""- You've got me, James.\n""]",1,"- il donner son langue à le chat , James .",['donner son langue à le chat'],24
"Bien sûr, par moment, j'étais le dindon de la farce... Mais rien de bien grave...
","Of course, at times, I was the joke, but nothing serious.
","['Yes, I was the butt of the occasional practical joke, but I mean, er...nothing sinister.\n']",1,"bien sûr , par moment , il être le dindon de le farce ... mais rien de bien grave ...",['être le dindon de le farce'],23
"- Et j'ai été le dindon de la farce.
","- And I was the joke.
",['- You played me for a sap.\n'],1,- et il avoir être le dindon de le farce .,['être le dindon de le farce'],23
"Mais je t'ai épousée, je suis le dindon de la farce.
","But I married you. I'm the joke.
","[""I know. But I'm married to you, so the joke's on me.\n""]",1,"mais il lui avoir épouser , il être le dindon de le farce .",['être le dindon de le farce'],23
"- C'est le dindon de la farce.
","- He's the joke.
","[""- It's the classic barnacle.\n""]",1,- ce être le dindon de le farce .,['être le dindon de le farce'],23
"Non, mais on sera les dindons de la farce.
","No, but we'll be the joke.
","[""No, but we're farting on our own candle.\n""]",1,"non , mais on être le dindon de le farce .",['être le dindon de le farce'],23
"je suis au taquet.
","I'm ready to go.
","[""I'm on fire.\n""]",1,il être à le taquet .,['être à le taquet'],22
"Mes gars sont au taquet.
","My guys are ready to go.
",['My guys prevailed.\n'],1,son gars être à le taquet .,['être à le taquet'],22
"""Hier soir, j'ai rencontré une artiste de selfie sexy et je suis au taquet, parce que je vais peut-être la baiser.""
","""Last night, I met a hot salsa artist and I'm all over it, because I might be fucking her.""
","['""Last night, I met this sexy young selfie artist, and I\'m psyched because maybe I\'m gonna fuck her brains out."" [laughs]\n']",1,""" hier soir , il avoir rencontrer un artiste de selfie sexy et il être à le taquet , parce que il aller peut-être le baiser . """,['être à le taquet'],22
"Demain, on va être au taquet. Je veux une équipe au Parlement. Et des éditions spéciales.
","Tomorrow, we're going to be on fire, and I want a team in parliament, and I want special changes.
","[""Try to find out who's busy in the morning, we must have the Castle fully staffed from now on, and we need an extra broadcast.\n""]",1,"demain , on aller être à le taquet . il vouloir un équipe à le parlement . et un édition spécial .",['être à le taquet'],22
"Je serai sage comme une image !
","I'll be good as gold.
",['- Like an angel of light.\n'],1,il être sage comme un image !,['être sage comme un image'],22
"Alors que j'étais sage comme une image.
","When I was good as gold.
",['And I was as good as gold.\n'],1,alors que il être sage comme un image .,['être sage comme un image'],22
"On va être sage comme des images.
","We're gonna be good as gold.
","[""We're gonna be real good now.\n""]",1,on aller être sage comme un image .,['être sage comme un image'],22
"Il est sage comme une image, ce petit gentleman italien.
","He's good as gold, this little Italian gentleman.
","['Good as gold he is, little Italian gentleman.\n']",1,"il être sage comme un image , ce petit gentleman italien .",['être sage comme un image'],22
"Mon Dieu, tout le monde est au taquet aujourd'hui.
","Oh, my God, everyone's ready today.
","[""My goodness, everyone's on their game today.\n""]",1,"son Dieu , tout le monde être à le taquet aujourd'hui .",['être à le taquet'],22
"Il a été sage comme une image.
","He's been good as gold.
","[""Didn't give me an ounce of trouble.\n""]",1,il avoir être sage comme un image .,['être sage comme un image'],22
"Qu'il s'occupe de ses oignons !
","Let him mind his own business!
","[""Why doesn't he mind his own business!\n""]",1,que il se occuper de son oignon !,['se occuper de son oignon'],21
"Chacun fait un truc qui l'aide à être bien dans sa peau.
","Everyone does something that helps them feel good about themselves.
",['Everybody has their thing they do that makes them feel better about themselves.\n'],1,chacun faire un truc qui le aider à être bien dans son peau .,['être bien dans son peau'],21
"Les gens s'occupent de leurs oignons.
","People mind their own business.
",['People mind their own business.\n'],1,le gens se occuper de son oignon .,['se occuper de son oignon'],21
"le gagnant du concours devrait juste être une petite fille qui passe un magnifique moment sur scène, Qui est bien dans sa peau qui aime être sur scène et à confiance Et c'est vraiment ca
","The winner of the contest should just be a little girl who's having a beautiful time on stage, who's comfortable in her skin, who likes to be on stage and trusting, and that's really it.
","[""The winner of the pageant should just be an all-around little girl who's having a great time on stage, who's comfortable in herself, loves being on stage and feels confident and that's really it.\n""]",1,"le gagnant de le concours devoir juste être un petit fille qui passer un magnifique moment sur scène , qui être bien dans son peau qui aimer être sur scène et à confiance et ce être vraiment ça",['être bien dans son peau'],21
"Tu m'aides à me reconstruire, à être bien dans ma peau.
","You help me rebuild myself, make me feel good about myself.
","[""It's because, like, you're really good at like, building me up, and like, makin' me feel good about myself.\n""]",1,"il lui aide à se reconstruire , à être bien dans son peau .",['être bien dans son peau'],21
"T'es inquiète, mais je suis bien dans ma peau, tu voudrais que ça dure.
","I know you're worried, but I feel good about myself, and you want it to last.
","[""Rochelle, I know you're concerned right now, but if you knew how I felt, you'd want me to keep feeling this way.\n""]",1,"il être inquiéter , mais il être bien dans son peau , il vouloir que ça durer .",['être bien dans son peau'],21
"Pour les aider à être bien dans leur peau. C'est flippant, non ?
","To help them feel good about themselves.
",['Helped them feel good about themselves.\n'],1,"pour le aider à être bien dans son peau . ce être flippant , non ?",['être bien dans son peau'],21
"Dis à ton amant qu'il s'occupe de ses oignons.
","Tell your lover to mind his own business.
",['Your lover should stay out of it.\n'],1,dis à son amant que il se occuper de son oignon .,['se occuper de son oignon'],21
