source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"- Älä nyt, se on menneen talven lumia.","[""Come on, that's water under the bridge now.""]","- Come on, it's the snow of the past winter.",idiomatic,"- ei nyt , se olla mennyt talvi lumi .",['mennyt talvi lumi'],34
"Buck on menneen talven lumia, kaikki muut tietävät sen.",['- Okay. It is over for Buck and everyone knows it but him.'],"Buck is the snow of the past winter, everyone else knows it.",idiomatic,"Buck olla mennyt talvi lumi , kaikki muu tietää se .",['mennyt talvi lumi'],34
Hän hyppii seinille.,"[""She's bouncing off of the walls. Please. - Dawn.""]",He jumps on the walls.,idiomatic,hän hyppiä seinä .,['hyppiä seinä'],32
"Cordy hyppii seinille, kun saa kuulla tästä.","['I mean, Cordy is gonna lose it when she finds out...']",Cordy jumps up and down when she hears about this.,idiomatic,"Cordy hyppiä seinä , kun saada kuulla tämä .",['hyppiä seinä'],32
"Kuulostaa siltä, että kiinnostaa, koska tuskin muuten hyppisit seinille.","[""It kind of sounds like you care, Tibby. Otherwise you wouldn't be here freaking out.""]","Sounds like you're interested, because you'd hardly be jumping off the walls otherwise.",idiomatic,"kuulostaa se , että kiinnostaa , koska tuskin muuten hyppiä seinä .",['hyppiä seinä'],32
Haluatko saada hänet hyppimään seinille?,['What do you say? Should we drive him crazy?'],Want to get him jumping on the walls?,idiomatic,haluta saada hän hyppiä seinä ?,['hyppiä seinä'],32
"Jos Gaby saa selville, hän hyppii seinille.","[""You know, if Gaby finds out, she's gonna hit the ceiling.""]","If Gaby finds out, she'll jump off the walls.",idiomatic,"jos Gaby saada selville , hän hyppiä seinä .",['hyppiä seinä'],32
Kun kerran käännät kelkkasi olet hukassa.,"[""Once you tergiversate, you're lost.""]","Once you turn your sled, you're lost.",idiomatic,kun kerran kääntää kelkkasi olla hukassa .,"['kääntää kelkka', 'olla hukassa']",30
"Joo, ennen kuin hän käänsi kelkkansa.","['Yeah, I knew him once, before he turned his back.']","Yeah, before he turned his sled around.",idiomatic,"joo , ennen kuin hän kääntää kelkka .",['kääntää kelkka'],30
Hän käänsi kelkkansa hiljattain.,"[""Yes, but she's become one quite recently.""]",He recently turned his sled around.,idiomatic,hän kääntää kelkka hiljattain .,['kääntää kelkka'],30
Hän on kääntänyt kelkkansa.,['I think she flipped.'],He has turned his sled around.,idiomatic,hän olla kääntää kelkka .,['kääntää kelkka'],30
"Puolustan abortteja, mutta käännän kelkan hetkessä, jos voitamme sillä.","[""But I would go pro-life in a fetal fucking heartbeat if it meant winning. You're suggesting that you would like me to be a hypocrite like Maddox?""]","I'm all for abortion, but I'll turn the tide in a heartbeat if we win with it.",idiomatic,"puolustaa abortti , mutta kääntää kelkka hetki , jos voittaa se .",['kääntää kelkka'],30
Olen kääntänyt kelkkani.,"[""I'm all turned around, you know.""]",I have turned my sled.,idiomatic,olla kääntää kelkkani .,['kääntää kelkka'],30
"Miten vanha hän oli, kun hän potkaisi tyhjää?",['So how old was she when she finally blasted off?'],How old was he when he kicked the bucket?,idiomatic,"miten vanha hän olla , kun hän potkaista tyhjä ?",['potkaista tyhjä'],28
"Äiti potkaisee tyhjää, kun saa tietää tästä.","[""No beer. We shouldn't even be doing this here. Mom's gonna die when she finds out about all this.""]",Mum kicks the bucket when she finds out about this.,idiomatic,"äiti potkaista tyhjä , kun saada tietää tämä .",['potkaista tyhjä'],28
Olin töissä vankilan sairaalassa kun Johnny potkaisi tyhjää.,"['Look, I was working at the prison hospital when Johnny Handsome checked out.']",I was working in a prison hospital when Johnny kicked the bucket.,idiomatic,olla työ vankila sairaala kun Johnny potkaista tyhjä .,['potkaista tyhjä'],28
Siitä lähtien kun Zac potkaisi tyhjää.,"['- Mmm. Oh, ever since Zac bit the dust.']",Ever since Zac kicked the bucket.,idiomatic,se lähtien kun Zac potkaista tyhjä .,['potkaista tyhjä'],28
"Se on voimassa vasta, kun on potkaissut tyhjää.","[""Yes. It's only effective after you've kicked the bucket.""]",It is only valid after you have kicked clear.,idiomatic,"se olla voimassa vasta , kun olla potkaista tyhjä .",['potkaista tyhjä'],28
Yritäpä vielä asettua poikkiteloin.,"['Just do me a favor, man...']",Try again to settle in with a crossbar.,idiomatic,yrittää vielä asettua poikki#telo .,['asettua poikki#telo'],27
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","['If I even dreamed of defecting, Penelope would make my life hell.']","If I settled across the street, Penelope would make my life a living hell.",idiomatic,"jos asettua poikki#telo , Penelope tehdä elämä helvettiä .",['asettua poikki#telo'],27
Enää en asetu poikkiteloin.,"[""William, I'm not going to get in your way no more.""]",I will no longer be cross-legged.,idiomatic,enää ei asettua poikki#telo .,['asettua poikki#telo'],27
"Jos aiotte asettua poikkiteloin, tiedätte missä ovi on.","['If either of you has a problem with it, you know where the door is.']","If you're going to stay across the street, you know where the door is.",idiomatic,"jos aikoa asettua poikki#telo , tietää mikä ovi olla .",['asettua poikki#telo'],27
"En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.","[""I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.""]",I don't know anything. This place will be closed if you stand across the street.,idiomatic,"ei tietää mikään . ― tämä paikka sulkea , jos asettua poikki#telo .",['asettua poikki#telo'],27
Pitikin aukoa päätä.,"[""It's all for talking shit to him. - I'll see you later.""]",I had to open my head.,idiomatic,pitää auko pää .,['auko pää'],24
Kehtaatko aukoa päätäsi minulle?,"['Look at this guy, talking back to me.']",Do you dare to open your head to me?,idiomatic,kehdata auko pää minä ?,['auko pää'],24
Äläkä yhtään ala aukoa päätäsi.,"[""Yes, we do have to and don't be so cheeky! Do you hear me, Davey?""]",And don't get your head up at all.,idiomatic,ei yhtään alkaa auko pää .,['auko pää'],24
"Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.","[""You don't get a bitch pass just 'cause you're old.""]",You must not open your heads to me just because you are old.,idiomatic,"ei saada auko päättää minä vain siksi , että olla vanha .",['auko pää'],24
Mitä sä tuut tänne aukoon päätäs?,['Who the fuck do you think you are coming in here mouthing off at my mates?'],What are you doing in this hole?,idiomatic,mikä sinä tuutaa tänne auko päätäs ?,['auko pää'],24
- Tuut kans tai vedän turpaan.,"[""You better come back or else I'm gonna kick your ass.""]",- Come with me or I'll kick your ass.,idiomatic,- tuutaa kanssa tai vetää turpa .,['vetää turpa'],23
Sinuna menisin silti vetämään turpaan.,"[""Still, man. If I was you, I'd go and kick his arse right now!""]","If I were you, I'd still go kick his ass.",idiomatic,sinä mennä silti vetää turpa .,['vetää turpa'],23
Vähän isompana toivoin törmääväni siihen ja vetäväni turpaan.,"['When I got older, I wanted to bump into him and beat him up.']","When I was a bit bigger, I was hoping to bump into it and kick its ass.",idiomatic,vähän iso toivoa törmätä se ja vetää turpa .,['vetää turpa'],23
- Vetämään turpaan?,['Then shut your mouth.'],- To kick your ass?,idiomatic,- vetää turpa ?,['vetää turpa'],23
Ehkä voisit antaa minulle listan kaikista existäsi jotta tietäisin edes kuka minua seuraavaksi vetää turpaan.,"[""Maybe you could just give me a list of all of your exes so that I can at least know who's going to beat my ass into the ground next.""]",Maybe you could give me a list of all your exes so I know at least who's going to kick my ass next.,idiomatic,ehkä voida antaa minä lista kaikki exi jotta tietää edes kuka minä seuraavaksi vetää turpa .,['vetää turpa'],23
Joudutte ojasta allikkoon.,"['You go from bad to worse, Colonel.']",You'll go from the ditch to the bottom.,idiomatic,joutua oja allikko .,['oja allikko'],22
Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,"[""But you're so smooth I figured you were hiding something too.""]","You're like a hatchet man, I thought you were hiding something too.",idiomatic,sinä olla kuin viili#pytty luulla sinä salata jokin .,['kuin viili#pytty'],22
- Sinä olet kuin viilipytty!,['You look about as stirred up as a cesspool.'],- You're like a tin can!,idiomatic,- sinä olla kuin viili#pytty !,['kuin viili#pytty'],22
Hän on kuin viilipytty.,['He always kept his head.'],He's like a tin can.,idiomatic,hän olla kuin viili#pytty .,['kuin viili#pytty'],22
Ja minä pidin pääni kylmänä. Olin kuin viilipytty.,['- I had a chill in my back.'],And I kept my head cool. I was like a cooler.,idiomatic,ja minä pitää pää kylmä . olla kuin viili#pytty .,['kuin viili#pytty'],22
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.","[""I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.""]",I think it's safe to say that at this point you went from the ditch to the bottom.,idiomatic,"voida varmaan sanoa , että tämä vaihe mennä oja allikko .","['oja allikko', 'vaihe']",22
Sinä olet varmaan viileä kuin viilipytty.,"[""You're probably cool as a cucumber.""]",You must be cool as a cucumber.,idiomatic,sinä olla varmaan viileä kuin viili#pytty .,['kuin viili#pytty'],22
Ryhmän päämajassa asiat menevät ojasta allikkoon.,"['Back at base, things are going from bad to worse.']","At the group's headquarters, things go from ditch to ditch.",idiomatic,ryhmä pää#maja asia mennä oja allikko .,['oja allikko'],22
Jouduimmekohan ojasta allikkoon?,"['Out of the frying pan; hopefully, not into the fire.']",Did we get out of the ditch and into the ditch?,idiomatic,joutua oja allikko ?,['oja allikko'],22
Ojasta allikkoon!,"['Out of the frying pan, into the fire.']",From the well to the bottom!,idiomatic,oja allikko !,['oja allikko'],22
Taisimme joutua ojasta allikkoon.,"[""Looks like the fat's not out of the fire yet.""]",I think we've fallen into a ditch.,idiomatic,taitaa joutua oja allikko .,['oja allikko'],22
