source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
En ole mikään eilisen teeren poika.,"[""I was born, but I wasn't born yesterday, son.""]",I&#39;m not a boy from yesterday.,idiomatic,ei olla mikään eilinen teeri poika .,['eilinen teeri poika'],42
- Hän ei ole eilisen teeren poika.,"[""- He's no milksop. I said I'd take care of it.""]",- He is not the son of yesterday&#39;s tea.,idiomatic,- hän ei olla eilinen teeri poika .,['eilinen teeri poika'],42
Näytänkö eilisen teeren pojalta?,['What? Do I look like I was born yesterday?'],Do I look like yesterday&#39;s tea boy?,idiomatic,näyttää eilinen teeri poika ?,['eilinen teeri poika'],42
"Rikoit Talon sääntöjä, kun löit vetoa pelistä, - jossa sinulla on oma lehmä ojassa.",['You broke with House rules when you bet on a game that you hold a personal stake in.'],You broke the House Rules when you bet on a game where you have your own cow in the ditch.,idiomatic,"rikko talo sääntö , kun luöda veto peli , - joka sinä olla oma lehmä oja .",['oma lehmä oja'],40
"Alalla on oma lehmänsä ojassa niiden kanssa, - jotta eläimet nähdään yhä, - söpöinä nallukoina, jotka ovat täysin turvallisia.",['The industry has a vested interest in spinning these so that the animals continue to appear like cuddly teddy bears that are completely safe.'],"The industry has its own cow in the ditch with them, - so that the animals are still seen, - as cute teddies that are completely safe.",idiomatic,"ala olla oma lehmä oja se kanssa , - jotta eläin nähdä yhä , - söpä nallukko , joka olla täysin turvallinen .",['oma lehmä oja'],40
- Minulla on tässä oma lehmä ojassa.,"[""It's mostly selfish on my part.""]",- I have my own cow in the ditch here.,idiomatic,- minä olla tämä oma lehmä oja .,['oma lehmä oja'],40
"Huhutaan, että teillä on oma lehmä ojassa Skotlannin suhteen. Maanpuolustusta tärkeämpää on skottikuningattaren kukistaminen.","[""It's the expense of your Scottish cause, which many say is personal, designed more to undermine Scotland's queen than secure our borders.""]",Rumor has it that you have your own cow in the ditch when it comes to Scotland. Defeating the Queen of Scots is more important than national defense.,idiomatic,"huhua , että sinä olla oma lehmä oja Skotlanti suhteen . maan#puolustus tärkeä olla skotti#kuningattari kukistaminen .",['oma lehmä oja'],40
Lornalla on nyt jokin oma lehmä ojassa.,"[""Is that it, Lorna? 'Cause sure sounds like you've got a dog in this hunt.""]",Lorna now has a cow of her own in the ditch.,idiomatic,Lorna olla nyt jokin oma lehmä oja .,['oma lehmä oja'],40
Taisin juoda liikaa ja asiat lähtivät lapasesta - ja tein jotain tyhmää.,"['Look, I guess I had too much to drink and things got out of control and I did something really bad.']",I guess I drank too much and things got out of hand - and I did something stupid.,idiomatic,taitaa juoda liikaa ja asia lähteä lapanen - ja tehdä jokin tyhmä .,['lähteä lapanen'],39
Hittolainen. - Nyt se lähtee lapasesta.,"[""Now it's starting to just spin out of control.""]",Damn. - Now it comes out of the glove.,idiomatic,hittolainen . - nyt se lähteä lapanen .,['lähteä lapanen'],39
Mutta veli Marinus - on lähtenyt lapasesta.,['But Brother Marinus... has gone out of control.'],But brother Marinus - has left the glove.,idiomatic,mutta veli Marinus - olla lähteä lapanen .,['lähteä lapanen'],39
"- Niitä on pilvin pimein. Mersu, Mersu, Mersu, Mersu...","['We stopped to let the twin turbo V8 cool, but then... it decided to die.']","- They are the darkest of clouds. Mersu, Mersu, Mersu, Mersu...",idiomatic,"- se olla pilvin pimein . Mersu , Mersu , Mersu , Mersu ...",['pilvin pimein'],37
Sellaisia on Gothamissa pilvin pimein.,"[""This is Gotham. That doesn't exactly narrow it down.""]",Those are the darkest of clouds in Gotham.,idiomatic,sellainen olla Gotham pilvin pimein .,['pilvin pimein'],37
Jalkaväkeä oli pilvin pimein.,['Arty and infantry just kept on coming.'],The infantry was in the darkest of clouds.,idiomatic,jalka#väki olla pilvin pimein .,['pilvin pimein'],37
Äitisi antoi meille patoja ja pannuja vaikka meillä on jo niitä pilvin pimein.,"[""Your mom said we can't leave without pots and pans. I told her I had some, and then she handed me pots and pans.""]",Your mother gave us pots and pans even though we already have them in the darkest of clouds.,idiomatic,äiti antaa minä pata ja pannu vaikka minä olla jo se pilvin pimein .,['pilvin pimein'],37
"Arvasin, että tähän on koira haudattuna.",['I knew there was something else in there.'],I guessed that a dog was buried here.,idiomatic,"arvata , että tämä olla koira haudattua .",['koira haudattua'],37
"Luulenpa, että sinulla on koira haudattuna.","['McBeal, we need to talk to you. We think you have a donkey on your back.']",I think you have a dog buried.,idiomatic,"luulla , että sinä olla koira haudattua .",['koira haudattua'],37
- Tuohon taitaa olla koira haudattuna.,"[""Oh, that compliment sounds like it's got a favor attached to it.""]",- There seems to be a dog buried there.,idiomatic,- tuo taitaa olla koira haudattua .,['koira haudattua'],37
"Anteeksi jos olen hieman skeptien, mutta viimeksi kun liittovaltojen agentti tuli tarjoamaan minulle diiliä, siihen oli koira haudattuna... ja sen koiran oli tarkoitus olla minä.","[""Now, I'm sorry if I seem a little bit skeptical. But the last time a federal agent came up in here offering me a deal, there was a string attached... that I was supposed to put around my neck.""]","Sorry to be a little skeptical, but the last time a feds agent came to offer me a deal, there was a dog buried in it... and that dog was supposed to be me.",idiomatic,"anteeksi jos olla hieman skepti , mutta viimeksi kun liitto#valta agentti tulla tarjota minä diili , se olla koira haudattua ... ja se koira olla tarkoitus olla minä .",['koira haudattua'],37
"Sanoit, että siinä on koira haudattuna.","['You said it should come without strings. Well, here it is.']",You said there was a dog buried in it.,idiomatic,"sanoa , että se olla koira haudattua .",['koira haudattua'],37
Siellä oli kollegoja pilvin pimein.,['The police were everywhere.'],There were colleagues there in pitch darkness.,idiomatic,siellä olla kollega pilvin pimein .,['pilvin pimein'],37
"Pidin sinusta ennen. Et seissyt tumput suorina odottamassa, että jotakin tapahtuu.","[""I liked the old you who wouldn't just sit around and wait for things to happen.""]",I liked you before. You didn&#39;t just stand there and wait for something to happen.,idiomatic,"pitää sinä ennen . ei seistyä tumpu suora odottaa , että jokin tapahtua .",['tumpu suora'],36
"Älä seiso siellä tumput suorina, Elliot.","[""Don't just stand there, Elliot.""]","Don&#39;t stand there straight, Elliot.",idiomatic,"ei seisoa siellä tumpu suora , Elliot .",['tumpu suora'],36
"Toisin kuin sinä, joka vain seisot tumput suorina - minä päätin tehdä jotain.",['So unlike you... who seems to be completely comfortable just standing around like some fucking pussy... I decided to do something about it.'],"Unlike you, who just stand there dumbfounded - I decided to do something.",idiomatic,"toisin kuin sinä , joka vain seisoa tumpu suora - minä päättää tehdä jokin .",['tumpu suora'],36
Miksi täällä seistään tumput suorina?,['What is everybody doing standing around here?'],Why are we standing here straight?,idiomatic,miksi täällä seistä tumpu suora ?,['tumpu suora'],36
En voi vain seisoa tumput suorina.,"[""You can't expect me to do nothing.""]",I just can&#39;t stand up straight.,idiomatic,ei voida vain seisoa tumpu suora .,['tumpu suora'],36
- Nousitko väärällä jalalla?,"['- You got up the wrong side, huh?']",- Did you get off on the wrong foot?,idiomatic,- nousta väärä jalka ?,['nousta väärä jalka'],35
Joskus sitä nousee väärällä jalalla.,"[""You get up on the wrong side of the bed. - You haven't brushed you teeth.""]",Sometimes it gets off on the wrong foot.,idiomatic,joskus se nousta väärä jalka .,['nousta väärä jalka'],35
Taisi nousta väärällä jalalla tänään.,['Talk about getting off on the wrong foot.'],I guess I got off on the wrong foot today.,idiomatic,taitaa nousta väärä jalka tänään .,['nousta väärä jalka'],35
Nousitko väärällä jalalla sängystä?,['Did someone wake up on the wrong side of the bed?'],Did you get out of bed on the wrong foot?,idiomatic,nousta väärä jalka sänky ?,['nousta väärä jalka'],35
- Kuka nousi väärällä jalalla tänä aamuna?,"[""Look who didn't get out of bed on the wrong side this morning.""]",- Who got off on the wrong foot this morning?,idiomatic,- kuka nousta väärä jalka tämä aamu ?,['nousta väärä jalka'],35
- Vai menneen talven lumia?,['Water under the bridge?'],- Or last winter&#39;s snow?,idiomatic,- vai mennyt talvi lumi ?,['mennyt talvi lumi'],34
Menneen talven lumia. Nyt saksalaiset ja amerikkalaiset ovat ylimpiä ystäviä.,"['But that is water under the bridge, now that the Germans and Americans are best friends.']",Last winter&#39;s snow. Now the Germans and the Americans are best friends.,idiomatic,mennyt talvi lumi . nyt saksalainen ja amerikkalainen olla ylin ystävä .,['mennyt talvi lumi'],34
"Buck on menneen talven lumia, kaikki muut tietävät sen.",['- Okay. It is over for Buck and everyone knows it but him.'],"Buck is last winter&#39;s snow, everyone else knows that.",idiomatic,"Buck olla mennyt talvi lumi , kaikki muu tietää se .",['mennyt talvi lumi'],34
- Se on menneen talven lumia.,"['Detective, that is all water under the bridge now.']",- It&#39;s last winter&#39;s snow.,idiomatic,- se olla mennyt talvi lumi .,['mennyt talvi lumi'],34
"- Älä nyt, se on menneen talven lumia.","[""Come on, that's water under the bridge now.""]","- Don&#39;t, it&#39;s last winter&#39;s snow.",idiomatic,"- ei nyt , se olla mennyt talvi lumi .",['mennyt talvi lumi'],34
"Cordy hyppii seinille, kun saa kuulla tästä.","['I mean, Cordy is gonna lose it when she finds out...']",Cordy is jumping up and down when she hears about this.,idiomatic,"Cordy hyppiä seinä , kun saada kuulla tämä .",['hyppiä seinä'],32
"Kuulostaa siltä, että kiinnostaa, koska tuskin muuten hyppisit seinille.","[""It kind of sounds like you care, Tibby. Otherwise you wouldn't be here freaking out.""]","It sounds like you&#39;re interested, because you&#39;d hardly be jumping on walls otherwise.",idiomatic,"kuulostaa se , että kiinnostaa , koska tuskin muuten hyppiä seinä .",['hyppiä seinä'],32
Haluatko saada hänet hyppimään seinille?,['What do you say? Should we drive him crazy?'],Want to make him jump on walls?,idiomatic,haluta saada hän hyppiä seinä ?,['hyppiä seinä'],32
"Jos Gaby saa selville, hän hyppii seinille.","[""You know, if Gaby finds out, she's gonna hit the ceiling.""]","If Gaby finds out, she&#39;ll jump the walls.",idiomatic,"jos Gaby saada selville , hän hyppiä seinä .",['hyppiä seinä'],32
Hän hyppii seinille.,"[""She's bouncing off of the walls. Please. - Dawn.""]",He jumps on the walls.,idiomatic,hän hyppiä seinä .,['hyppiä seinä'],32
"Joo, ennen kuin hän käänsi kelkkansa.","['Yeah, I knew him once, before he turned his back.']","Yeah, before he flipped his sled.",idiomatic,"joo , ennen kuin hän kääntää kelkka .",['kääntää kelkka'],30
Hän käänsi kelkkansa hiljattain.,"[""Yes, but she's become one quite recently.""]",He turned his sled recently.,idiomatic,hän kääntää kelkka hiljattain .,['kääntää kelkka'],30
Hän on kääntänyt kelkkansa.,['I think she flipped.'],He has turned his sled.,idiomatic,hän olla kääntää kelkka .,['kääntää kelkka'],30
"Puolustan abortteja, mutta käännän kelkan hetkessä, jos voitamme sillä.","[""But I would go pro-life in a fetal fucking heartbeat if it meant winning. You're suggesting that you would like me to be a hypocrite like Maddox?""]","I&#39;m pro-abortion, but I&#39;ll flip the bandwagon in a second if we win with it.",idiomatic,"puolustaa abortti , mutta kääntää kelkka hetki , jos voittaa se .",['kääntää kelkka'],30
Olen kääntänyt kelkkani.,"[""I'm all turned around, you know.""]",I have turned my sled.,idiomatic,olla kääntää kelkkani .,['kääntää kelkka'],30
"Miten vanha hän oli, kun hän potkaisi tyhjää?",['So how old was she when she finally blasted off?'],How old was he when he kicked empty?,idiomatic,"miten vanha hän olla , kun hän potkaista tyhjä ?",['potkaista tyhjä'],28
Olin töissä vankilan sairaalassa kun Johnny potkaisi tyhjää.,"['Look, I was working at the prison hospital when Johnny Handsome checked out.']",I was working in the prison hospital when Johnny was kicking the crap out of me.,idiomatic,olla työ vankila sairaala kun Johnny potkaista tyhjä .,['potkaista tyhjä'],28
"Äiti potkaisee tyhjää, kun saa tietää tästä.","[""No beer. We shouldn't even be doing this here. Mom's gonna die when she finds out about all this.""]",Mom will be kicking herself when she finds out about this.,idiomatic,"äiti potkaista tyhjä , kun saada tietää tämä .",['potkaista tyhjä'],28
Siitä lähtien kun Zac potkaisi tyhjää.,"['- Mmm. Oh, ever since Zac bit the dust.']",Ever since Zac kicked a blank.,idiomatic,se lähtien kun Zac potkaista tyhjä .,['potkaista tyhjä'],28
"Se on voimassa vasta, kun on potkaissut tyhjää.","[""Yes. It's only effective after you've kicked the bucket.""]",It&#39;s only valid when you&#39;ve kicked a blank.,idiomatic,"se olla voimassa vasta , kun olla potkaista tyhjä .",['potkaista tyhjä'],28
Yritäpä vielä asettua poikkiteloin.,"['Just do me a favor, man...']",Try to position yourself crosswise.,idiomatic,yrittää vielä asettua poikki#telo .,['asettua poikki#telo'],27
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.","['If I even dreamed of defecting, Penelope would make my life hell.']","If I settled down, Penelope would make my life hell.",idiomatic,"jos asettua poikki#telo , Penelope tehdä elämä helvettiä .",['asettua poikki#telo'],27
Enää en asetu poikkiteloin.,"[""William, I'm not going to get in your way no more.""]",I don&#39;t cross paths anymore.,idiomatic,enää ei asettua poikki#telo .,['asettua poikki#telo'],27
"Jos aiotte asettua poikkiteloin, tiedätte missä ovi on.","['If either of you has a problem with it, you know where the door is.']","If you are going to set up with cross rollers, you know where the door is.",idiomatic,"jos aikoa asettua poikki#telo , tietää mikä ovi olla .",['asettua poikki#telo'],27
"En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.","[""I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.""]",I don&#39;t know anything. ― This place will be closed if you line up crosswise.,idiomatic,"ei tietää mikään . ― tämä paikka sulkea , jos asettua poikki#telo .",['asettua poikki#telo'],27
Pitikin aukoa päätä.,"[""It's all for talking shit to him. - I'll see you later.""]",I had to keep an open mind.,idiomatic,pitää auko pää .,['auko pää'],24
Kehtaatko aukoa päätäsi minulle?,"['Look at this guy, talking back to me.']",Do you dare open your head to me?,idiomatic,kehdata auko pää minä ?,['auko pää'],24
Äläkä yhtään ala aukoa päätäsi.,"[""Yes, we do have to and don't be so cheeky! Do you hear me, Davey?""]",And don&#39;t even start opening your head.,idiomatic,ei yhtään alkaa auko pää .,['auko pää'],24
"Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.","[""You don't get a bitch pass just 'cause you're old.""]",You can&#39;t open your head to me just because you&#39;re old.,idiomatic,"ei saada auko päättää minä vain siksi , että olla vanha .",['auko pää'],24
Mitä sä tuut tänne aukoon päätäs?,['Who the fuck do you think you are coming in here mouthing off at my mates?'],What are you bringing to the hole?,idiomatic,mikä sinä tuutaa tänne auko päätäs ?,['auko pää'],24
- Tuut kans tai vedän turpaan.,"[""You better come back or else I'm gonna kick your ass.""]",- You bring the lid or I&#39;ll pull the plug.,idiomatic,- tuutaa kanssa tai vetää turpa .,['vetää turpa'],23
Sinuna menisin silti vetämään turpaan.,"[""Still, man. If I was you, I'd go and kick his arse right now!""]","If I were you, I&#39;d still go and pull the plug.",idiomatic,sinä mennä silti vetää turpa .,['vetää turpa'],23
Vähän isompana toivoin törmääväni siihen ja vetäväni turpaan.,"['When I got older, I wanted to bump into him and beat him up.']","When I was a little bigger, I was hoping to run into it and pull the plug.",idiomatic,vähän iso toivoa törmätä se ja vetää turpa .,['vetää turpa'],23
- Vetämään turpaan?,['Then shut your mouth.'],- To pull the plug?,idiomatic,- vetää turpa ?,['vetää turpa'],23
Ehkä voisit antaa minulle listan kaikista existäsi jotta tietäisin edes kuka minua seuraavaksi vetää turpaan.,"[""Maybe you could just give me a list of all of your exes so that I can at least know who's going to beat my ass into the ground next.""]",Maybe you could give me a list of all your exes so I&#39;ll even know who&#39;s going to fuck me next.,idiomatic,ehkä voida antaa minä lista kaikki exi jotta tietää edes kuka minä seuraavaksi vetää turpa .,['vetää turpa'],23
Joudutte ojasta allikkoon.,"['You go from bad to worse, Colonel.']",You have to go from the ditch to the spring.,idiomatic,joutua oja allikko .,['oja allikko'],22
Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.,"[""But you're so smooth I figured you were hiding something too.""]","You&#39;re such a creep, I thought you were hiding something too.",idiomatic,sinä olla kuin viili#pytty luulla sinä salata jokin .,['kuin viili#pytty'],22
- Sinä olet kuin viilipytty!,['You look about as stirred up as a cesspool.'],- You are like a coolie!,idiomatic,- sinä olla kuin viili#pytty !,['kuin viili#pytty'],22
Hän on kuin viilipytty.,['He always kept his head.'],He&#39;s like a coolie.,idiomatic,hän olla kuin viili#pytty .,['kuin viili#pytty'],22
Ja minä pidin pääni kylmänä. Olin kuin viilipytty.,['- I had a chill in my back.'],And I kept my cool. I was like a creep.,idiomatic,ja minä pitää pää kylmä . olla kuin viili#pytty .,['kuin viili#pytty'],22
Sinä olet varmaan viileä kuin viilipytty.,"[""You're probably cool as a cucumber.""]",You must be cool as hell.,idiomatic,sinä olla varmaan viileä kuin viili#pytty .,['kuin viili#pytty'],22
Ryhmän päämajassa asiat menevät ojasta allikkoon.,"['Back at base, things are going from bad to worse.']","At the group&#39;s headquarters, things go from bad to worse.",idiomatic,ryhmä pää#maja asia mennä oja allikko .,['oja allikko'],22
Jouduimmekohan ojasta allikkoon?,"['Out of the frying pan; hopefully, not into the fire.']",Did we fall from the ditch into the spring?,idiomatic,joutua oja allikko ?,['oja allikko'],22
Ojasta allikkoon!,"['Out of the frying pan, into the fire.']",Out of the frying pan into the fire!,idiomatic,oja allikko !,['oja allikko'],22
Taisimme joutua ojasta allikkoon.,"[""Looks like the fat's not out of the fire yet.""]",I think we got out of the ditch and into the spring.,idiomatic,taitaa joutua oja allikko .,['oja allikko'],22
