source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"- Hän ei ole eilisen teeren poika.
","- He wasn't born yesterday.
","[""- He's no milksop. I said I'd take care of it.\n""]",1,- hän ei olla eilinen teeri poika .,['eilinen teeri poika'],42
"Näytänkö eilisen teeren pojalta?
","Do I look like I was born yesterday?
",['What? Do I look like I was born yesterday?\n'],1,näyttää eilinen teeri poika ?,['eilinen teeri poika'],42
"Huhutaan, että teillä on oma lehmä ojassa Skotlannin suhteen. Maanpuolustusta tärkeämpää on skottikuningattaren kukistaminen.
","There are rumors that you have a vested interest in Scotland, more important than simply defeating the queen of Scotland.
","[""It's the expense of your Scottish cause, which many say is personal, designed more to undermine Scotland's queen than secure our borders.\n""]",1,"huhua , että sinä olla oma lehmä oja Skotlanti suhteen . maan#puolustus tärkeä olla skotti#kuningattari kukistaminen .",['oma lehmä oja'],40
"- Minulla on tässä oma lehmä ojassa.
","I've got my own agenda.
","[""It's mostly selfish on my part.\n""]",1,- minä olla tämä oma lehmä oja .,['oma lehmä oja'],40
"Rikoit Talon sääntöjä, kun löit vetoa pelistä, - jossa sinulla on oma lehmä ojassa.
","You broke House rules when you bet on a game where you have your own agenda.
",['You broke with House rules when you bet on a game that you hold a personal stake in.\n'],1,"rikko talo sääntö , kun luöda veto peli , - joka sinä olla oma lehmä oja .",['oma lehmä oja'],40
"Alalla on oma lehmänsä ojassa niiden kanssa, - jotta eläimet nähdään yhä, - söpöinä nallukoina, jotka ovat täysin turvallisia.
","The industry has its own trap with them, so they can still be seen as cute bears, relatively safe.
",['The industry has a vested interest in spinning these so that the animals continue to appear like cuddly teddy bears that are completely safe.\n'],1,"ala olla oma lehmä oja se kanssa , - jotta eläin nähdä yhä , - söpä nallukko , joka olla täysin turvallinen .",['oma lehmä oja'],40
"Lornalla on nyt jokin oma lehmä ojassa.
","Lorna's got her own agenda now.
","[""Is that it, Lorna? 'Cause sure sounds like you've got a dog in this hunt.\n""]",1,Lorna olla nyt jokin oma lehmä oja .,['oma lehmä oja'],40
"Mutta veli Marinus - on lähtenyt lapasesta.
","But Brother Marinus is out of control.
",['But Brother Marinus... has gone out of control.\n'],1,mutta veli Marinus - olla lähteä lapanen .,['lähteä lapanen'],39
"Hittolainen. - Nyt se lähtee lapasesta.
","Damn it.
","[""Now it's starting to just spin out of control.\n""]",1,hittolainen . - nyt se lähteä lapanen .,['lähteä lapanen'],39
"Taisin juoda liikaa ja asiat lähtivät lapasesta - ja tein jotain tyhmää.
","I think I drank too much, and things got out of hand, and I did something stupid.
","['Look, I guess I had too much to drink and things got out of control and I did something really bad.\n']",1,taitaa juoda liikaa ja asia lähteä lapanen - ja tehdä jokin tyhmä .,['lähteä lapanen'],39
"Luulenpa, että sinulla on koira haudattuna.
","I think you have a secret agenda.
","['McBeal, we need to talk to you. We think you have a donkey on your back.\n']",1,"luulla , että sinä olla koira haudattua .",['koira haudattua'],37
"- Niitä on pilvin pimein. Mersu, Mersu, Mersu, Mersu...
","Mercedes, Mercedes, Mercedes, Mercedes...
","['We stopped to let the twin turbo V8 cool, but then... it decided to die.\n']",1,"- se olla pilvin pimein . Mersu , Mersu , Mersu , Mersu ...",['pilvin pimein'],37
"Sellaisia on Gothamissa pilvin pimein.
","There's a lot of them in Gotham.
","[""This is Gotham. That doesn't exactly narrow it down.\n""]",1,sellainen olla Gotham pilvin pimein .,['pilvin pimein'],37
"Äitisi antoi meille patoja ja pannuja vaikka meillä on jo niitä pilvin pimein.
","Your mother gave us dams and pans when we already have plenty of them.
","[""Your mom said we can't leave without pots and pans. I told her I had some, and then she handed me pots and pans.\n""]",1,äiti antaa minä pata ja pannu vaikka minä olla jo se pilvin pimein .,['pilvin pimein'],37
"Jalkaväkeä oli pilvin pimein.
","Infantry was all over the place.
",['Arty and infantry just kept on coming.\n'],1,jalka#väki olla pilvin pimein .,['pilvin pimein'],37
"- Tuohon taitaa olla koira haudattuna.
","I think there's a catch.
","[""Oh, that compliment sounds like it's got a favor attached to it.\n""]",1,- tuo taitaa olla koira haudattua .,['koira haudattua'],37
"Anteeksi jos olen hieman skeptien, mutta viimeksi kun liittovaltojen agentti tuli tarjoamaan minulle diiliä, siihen oli koira haudattuna... ja sen koiran oli tarkoitus olla minä.
","Forgive me if I'm a little skeptical, but the last time a federal agent offered me a deal, there was a dog buried in it... and that dog was supposed to be me.
","[""Now, I'm sorry if I seem a little bit skeptical. But the last time a federal agent came up in here offering me a deal, there was a string attached... that I was supposed to put around my neck.\n""]",1,"anteeksi jos olla hieman skepti , mutta viimeksi kun liitto#valta agentti tulla tarjota minä diili , se olla koira haudattua ... ja se koira olla tarkoitus olla minä .",['koira haudattua'],37
"Sanoit, että siinä on koira haudattuna.
","You said there was a catch.
","['You said it should come without strings. Well, here it is.\n']",1,"sanoa , että se olla koira haudattua .",['koira haudattua'],37
"Arvasin, että tähän on koira haudattuna.
","I knew there was a catch.
",['I knew there was something else in there.\n'],1,"arvata , että tämä olla koira haudattua .",['koira haudattua'],37
"Siellä oli kollegoja pilvin pimein.
","There were colleagues all over the place.
",['The police were everywhere.\n'],1,siellä olla kollega pilvin pimein .,['pilvin pimein'],37
"Toisin kuin sinä, joka vain seisot tumput suorina - minä päätin tehdä jotain.
","Unlike you, who just stands there like a fool, I decided to do something.
",['So unlike you... who seems to be completely comfortable just standing around like some fucking pussy... I decided to do something about it.\n'],1,"toisin kuin sinä , joka vain seisoa tumpu suora - minä päättää tehdä jokin .",['tumpu suora'],36
"Miksi täällä seistään tumput suorina?
","What's with all the shit standing around here?
",['What is everybody doing standing around here?\n'],1,miksi täällä seistä tumpu suora ?,['tumpu suora'],36
"Pidin sinusta ennen. Et seissyt tumput suorina odottamassa, että jotakin tapahtuu.
","I used to like you, but you didn't just stand around waiting for something to happen.
","[""I liked the old you who wouldn't just sit around and wait for things to happen.\n""]",1,"pitää sinä ennen . ei seistyä tumpu suora odottaa , että jokin tapahtua .",['tumpu suora'],36
"En voi vain seisoa tumput suorina.
","I can't just stand back and do nothing.
","[""You can't expect me to do nothing.\n""]",1,ei voida vain seisoa tumpu suora .,['tumpu suora'],36
"Älä seiso siellä tumput suorina, Elliot.
","Don't just stand there, Elliot.
","[""Don't just stand there, Elliot.\n""]",1,"ei seisoa siellä tumpu suora , Elliot .",['tumpu suora'],36
"- Nousitko väärällä jalalla?
","Did you get up on the wrong side of the bed?
","['- You got up the wrong side, huh?\n']",1,- nousta väärä jalka ?,['nousta väärä jalka'],35
"Joskus sitä nousee väärällä jalalla.
","Sometimes you wake up on the wrong side of the bed.
","[""You get up on the wrong side of the bed. - You haven't brushed you teeth.\n""]",1,joskus se nousta väärä jalka .,['nousta väärä jalka'],35
"Taisi nousta väärällä jalalla tänään.
","Somebody got up on the wrong side of the bed today.
",['Talk about getting off on the wrong foot.\n'],1,taitaa nousta väärä jalka tänään .,['nousta väärä jalka'],35
"Nousitko väärällä jalalla sängystä?
","Did you get up on the wrong side of the bed?
",['Did someone wake up on the wrong side of the bed?\n'],1,nousta väärä jalka sänky ?,['nousta väärä jalka'],35
"- Kuka nousi väärällä jalalla tänä aamuna?
","Who got up on the wrong side of the bed this morning?
","[""Look who didn't get out of bed on the wrong side this morning.\n""]",1,- kuka nousta väärä jalka tämä aamu ?,['nousta väärä jalka'],35
"Buck on menneen talven lumia, kaikki muut tietävät sen.
","Buck is yesterday's news. Everyone else knows that.
",['- Okay. It is over for Buck and everyone knows it but him.\n'],1,"Buck olla mennyt talvi lumi , kaikki muu tietää se .",['mennyt talvi lumi'],34
"Menneen talven lumia. Nyt saksalaiset ja amerikkalaiset ovat ylimpiä ystäviä.
","It's water under the bridge, and now the Germans and the Americans are best friends.
","['But that is water under the bridge, now that the Germans and Americans are best friends.\n']",1,mennyt talvi lumi . nyt saksalainen ja amerikkalainen olla ylin ystävä .,['mennyt talvi lumi'],34
"- Se on menneen talven lumia.
","It's water under the bridge.
","['Detective, that is all water under the bridge now.\n']",1,- se olla mennyt talvi lumi .,['mennyt talvi lumi'],34
"- Älä nyt, se on menneen talven lumia.
","- Come on, it's water under the bridge.
","[""Come on, that's water under the bridge now.\n""]",1,"- ei nyt , se olla mennyt talvi lumi .",['mennyt talvi lumi'],34
"- Vai menneen talven lumia?
","Water under the bridge?
",['Water under the bridge?\n'],1,- vai mennyt talvi lumi ?,['mennyt talvi lumi'],34
"Cordy hyppii seinille, kun saa kuulla tästä.
","Cordy's gonna be bouncing off the walls when she finds out.
","['I mean, Cordy is gonna lose it when she finds out...\n']",1,"Cordy hyppiä seinä , kun saada kuulla tämä .",['hyppiä seinä'],32
"Kuulostaa siltä, että kiinnostaa, koska tuskin muuten hyppisit seinille.
","Sounds like you're interested, or you wouldn't be bouncing off the walls.
","[""It kind of sounds like you care, Tibby. Otherwise you wouldn't be here freaking out.\n""]",1,"kuulostaa se , että kiinnostaa , koska tuskin muuten hyppiä seinä .",['hyppiä seinä'],32
"Haluatko saada hänet hyppimään seinille?
","You wanna make him jump on the walls?
",['What do you say? Should we drive him crazy?\n'],1,haluta saada hän hyppiä seinä ?,['hyppiä seinä'],32
"Jos Gaby saa selville, hän hyppii seinille.
","If Gaby finds out, she'll be bouncing off the walls.
","[""You know, if Gaby finds out, she's gonna hit the ceiling.\n""]",1,"jos Gaby saada selville , hän hyppiä seinä .",['hyppiä seinä'],32
"Hän hyppii seinille.
","He's fucking bouncing off the walls.
","[""She's bouncing off of the walls. Please. - Dawn.\n""]",1,hän hyppiä seinä .,['hyppiä seinä'],32
"Kun kerran käännät kelkkasi olet hukassa.
","Once you turn around, you're lost.
","[""Once you tergiversate, you're lost.\n""]",1,kun kerran kääntää kelkkasi olla hukassa .,"['kääntää kelkka', 'olla hukassa']",30
"Joo, ennen kuin hän käänsi kelkkansa.
","Yeah, before he turned around.
","['Yeah, I knew him once, before he turned his back.\n']",1,"joo , ennen kuin hän kääntää kelkka .",['kääntää kelkka'],30
"Hän käänsi kelkkansa hiljattain.
","There was a time not long ago when he turned around.
","[""Yes, but she's become one quite recently.\n""]",1,hän kääntää kelkka hiljattain .,['kääntää kelkka'],30
"Hän on kääntänyt kelkkansa.
","He's done a U-turn.
",['I think she flipped.\n'],1,hän olla kääntää kelkka .,['kääntää kelkka'],30
"Puolustan abortteja, mutta käännän kelkan hetkessä, jos voitamme sillä.
","I support abortions, but I'll turn this around in no time if it'll win us the war.
","[""But I would go pro-life in a fetal fucking heartbeat if it meant winning. You're suggesting that you would like me to be a hypocrite like Maddox?\n""]",1,"puolustaa abortti , mutta kääntää kelkka hetki , jos voittaa se .",['kääntää kelkka'],30
"Olen kääntänyt kelkkani.
","I've turned my life around.
","[""I'm all turned around, you know.\n""]",1,olla kääntää kelkkani .,['kääntää kelkka'],30
"Olin töissä vankilan sairaalassa kun Johnny potkaisi tyhjää.
","I was working at the prison hospital when Johnny kicked the bucket.
","['Look, I was working at the prison hospital when Johnny Handsome checked out.\n']",1,olla työ vankila sairaala kun Johnny potkaista tyhjä .,['potkaista tyhjä'],28
"Miten vanha hän oli, kun hän potkaisi tyhjää?
","How old was he when he kicked the bucket?
",['So how old was she when she finally blasted off?\n'],1,"miten vanha hän olla , kun hän potkaista tyhjä ?",['potkaista tyhjä'],28
"Äiti potkaisee tyhjää, kun saa tietää tästä.
","My mom's gonna get rattled when she finds out about this.
","[""No beer. We shouldn't even be doing this here. Mom's gonna die when she finds out about all this.\n""]",1,"äiti potkaista tyhjä , kun saada tietää tämä .",['potkaista tyhjä'],28
"Siitä lähtien kun Zac potkaisi tyhjää.
","Ever since Zac kicked the bucket.
","['- Mmm. Oh, ever since Zac bit the dust.\n']",1,se lähtien kun Zac potkaista tyhjä .,['potkaista tyhjä'],28
"Se on voimassa vasta, kun on potkaissut tyhjää.
","It's only good after you bite the big one.
","[""Yes. It's only effective after you've kicked the bucket.\n""]",1,"se olla voimassa vasta , kun olla potkaista tyhjä .",['potkaista tyhjä'],28
"Yritäpä vielä asettua poikkiteloin.
","Why don't you try to stop it again?
","['Just do me a favor, man...\n']",1,yrittää vielä asettua poikki#telo .,['asettua poikki#telo'],27
"Jos asettuisin poikkiteloin, Penelope tekisi elämästäni helvettiä.
","If I tried to stop it, Penelope would make my life a living hell.
","['If I even dreamed of defecting, Penelope would make my life hell.\n']",1,"jos asettua poikki#telo , Penelope tehdä elämä helvettiä .",['asettua poikki#telo'],27
"Enää en asetu poikkiteloin.
","I won't get in the way again.
","[""William, I'm not going to get in your way no more.\n""]",1,enää ei asettua poikki#telo .,['asettua poikki#telo'],27
"Jos aiotte asettua poikkiteloin, tiedätte missä ovi on.
","If you're going to stop them, you know where the door is.
","['If either of you has a problem with it, you know where the door is.\n']",1,"jos aikoa asettua poikki#telo , tietää mikä ovi olla .",['asettua poikki#telo'],27
"En tiedä mitään. ― Tämä paikka suljetaan, jos asetutte poikkiteloin.
","I don't know anything. If you get in the way, this place will be shut down.
","[""I swear, I don't know anything. You are very close to being closed down. Please don't obstruct us.\n""]",1,"ei tietää mikään . ― tämä paikka sulkea , jos asettua poikki#telo .",['asettua poikki#telo'],27
"Pitikin aukoa päätä.
","I had to bust my balls.
","[""It's all for talking shit to him. - I'll see you later.\n""]",1,pitää auko pää .,['auko pää'],24
"Kehtaatko aukoa päätäsi minulle?
","You dare mouth off to me?
","['Look at this guy, talking back to me.\n']",1,kehdata auko pää minä ?,['auko pää'],24
"Äläkä yhtään ala aukoa päätäsi.
","And don't you start mouthing off.
","[""Yes, we do have to and don't be so cheeky! Do you hear me, Davey?\n""]",1,ei yhtään alkaa auko pää .,['auko pää'],24
"Ette saa aukoa päätänne minulle vain siksi, että olette vanhoja.
","You can't mouth off to me just because you're old.
","[""You don't get a bitch pass just 'cause you're old.\n""]",1,"ei saada auko päättää minä vain siksi , että olla vanha .",['auko pää'],24
"Mitä sä tuut tänne aukoon päätäs?
","Why do you come here?
",['Who the fuck do you think you are coming in here mouthing off at my mates?\n'],1,mikä sinä tuutaa tänne auko päätäs ?,['auko pää'],24
"- Tuut kans tai vedän turpaan.
","- Come with me or I'll kick your ass.
","[""You better come back or else I'm gonna kick your ass.\n""]",1,- tuutaa kanssa tai vetää turpa .,['vetää turpa'],23
"Sinuna menisin silti vetämään turpaan.
","But if I were you, I'd kick his ass anyway.
","[""Still, man. If I was you, I'd go and kick his arse right now!\n""]",1,sinä mennä silti vetää turpa .,['vetää turpa'],23
"Vähän isompana toivoin törmääväni siihen ja vetäväni turpaan.
","When I got older, I was hoping I'd bump into it and kick his ass.
","['When I got older, I wanted to bump into him and beat him up.\n']",1,vähän iso toivoa törmätä se ja vetää turpa .,['vetää turpa'],23
"- Vetämään turpaan?
","- Fuck him up?
",['Then shut your mouth.\n'],1,- vetää turpa ?,['vetää turpa'],23
"Ehkä voisit antaa minulle listan kaikista existäsi jotta tietäisin edes kuka minua seuraavaksi vetää turpaan.
","Maybe you could give me a list of all your exes so I could at least know who's gonna kick my ass next.
","[""Maybe you could just give me a list of all of your exes so that I can at least know who's going to beat my ass into the ground next.\n""]",1,ehkä voida antaa minä lista kaikki exi jotta tietää edes kuka minä seuraavaksi vetää turpa .,['vetää turpa'],23
"Joudutte ojasta allikkoon.
","You're gonna be in a ditch.
","['You go from bad to worse, Colonel.\n']",1,joutua oja allikko .,['oja allikko'],22
"Sinä olet kuin viilipytty luulin sinunkin salaavan jotain.
","You're cool. I thought you were hiding something too.
","[""But you're so smooth I figured you were hiding something too.\n""]",1,sinä olla kuin viili#pytty luulla sinä salata jokin .,['kuin viili#pytty'],22
"- Sinä olet kuin viilipytty!
","You're cool as a cucumber.
",['You look about as stirred up as a cesspool.\n'],1,- sinä olla kuin viili#pytty !,['kuin viili#pytty'],22
"Hän on kuin viilipytty.
","He's cool as a cucumber.
",['He always kept his head.\n'],1,hän olla kuin viili#pytty .,['kuin viili#pytty'],22
"Ja minä pidin pääni kylmänä. Olin kuin viilipytty.
","And I kept my cool.
",['- I had a chill in my back.\n'],1,ja minä pitää pää kylmä . olla kuin viili#pytty .,['kuin viili#pytty'],22
"Sinä olet varmaan viileä kuin viilipytty.
","You must be cool as a cucumber.
","[""You're probably cool as a cucumber.\n""]",1,sinä olla varmaan viileä kuin viili#pytty .,['kuin viili#pytty'],22
"Ryhmän päämajassa asiat menevät ojasta allikkoon.
","When you're at the group headquarters, things get out of hand.
","['Back at base, things are going from bad to worse.\n']",1,ryhmä pää#maja asia mennä oja allikko .,['oja allikko'],22
"Jouduimmekohan ojasta allikkoon?
","Do you think we got caught in a ditch?
","['Out of the frying pan; hopefully, not into the fire.\n']",1,joutua oja allikko ?,['oja allikko'],22
"Ojasta allikkoon!
","Out of the frying pan!
","['Out of the frying pan, into the fire.\n']",1,oja allikko !,['oja allikko'],22
"Taisimme joutua ojasta allikkoon.
","Looks like we got lost in a ditch.
","[""Looks like the fat's not out of the fire yet.\n""]",1,taitaa joutua oja allikko .,['oja allikko'],22
