source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"Maman dit qu'il faut souffrir pour etre belle.
","Mom says you have to suffer to be beautiful.
",['Mommy says beauty is pain.\n'],1,Maman dire que il falloir souffrir pour être beau .,['il falloir souffrir pour être beau'],16
"Et bien, c'est la goutte d'eau qui fait déborder le vase.
","Well, that's the last straw.
","['Well, that is the last straw.\n']",1,"et bien , ce être le goutte de eau qui faire déborder le vase .",['le goutte de eau qui faire déborder le vase'],16
"Les carottes sont cuites et servies. Joli !
","The carrots are cooked and served.
",['Your goose... is cooked and served.\n'],1,le carotte être cuire et servir . joli !,['le carotte être cuire'],16
"J'aimerais qu'ils arrêtent de faire les andouilles.
","I wish they'd stop being stupid.
",['[groans] I wish these kids would stop acting up.\n'],1,il aimerer que il arrêter de faire le andouille .,['faire le andouille'],16
"Le jour de la fête des Mères, les gens se mettent sur leurs 31.
","On Mother's Day, people dress up.
","[""On Mother's Day, people pull out all the stops.\n""]",1,"le jour de le fête de le Mères , le gens se mettre sur son 31 .",['se mettre sur son 31'],13
"Je me mets sur mon 31 et je vais à un enterrement.
","I'm getting all dressed up and going to a funeral.
",['I put on my best dress... to go to a funeral.\n'],1,il se mettre sur son 31 et il aller à un enterrement .,['se mettre sur son 31'],13
"Mais je vais essayer de me mettre sur mon 31.
","But I'm gonna try to dress up.
",['But I think I might try to dress up.\n'],1,mais il aller essayer de se mettre sur son 31 .,['se mettre sur son 31'],13
"Je me mettais sur mon 31. On faisait comme si on avait les moyens.
","We were acting like we could afford it.
","[""I'd get myself all dressed up, make the dealer believe we could actually afford it.\n""]",1,il se mettre sur son 31 . on faire comme si on avoir le moyen .,['se mettre sur son 31'],13
"Il se mettait sur son 31, prenait une valise.
","He'd dress up, take a suitcase.
","[""He'd get dressed up, pack a suitcase.\n""]",1,"il se mettre sur son 31 , prendre un valise .",['se mettre sur son 31'],13
"A quelque chose malheur est bon.
","Something bad is good.
",['Silver lining for your black cloud.\n'],1,à quelque chose malheur être bon .,['à quelque chose malheur être bon'],12
"Nous, on a la patate !
","We've got potatoes!
",['We all feel great.\n'],1,"il , on avoir le patate !",['avoir le patate'],12
"J'ai la patate, moi !
","I've got potatoes!
","[""I'm starting to see why!\n""]",1,"il avoir le patate , lui !",['avoir le patate'],12
"Ils vont avoir la banane.
","They're gonna get the banana.
","[""Yeah, they'll go bananas for that one.\n""]",1,il aller avoir le banane .,['avoir le banane'],12
"J'ai la banane quand je suis avec elle.
","I get the banana when I'm with her.
","[""I can't help but smile when I'm around her.\n""]",1,il avoir le banane quand il être avec il .,['avoir le banane'],12
"Eh bien, à quelque chose malheur est bon.
","Well, something bad is good.
",['This turned out to be a blessing in disguise.\n'],1,"eh bien , à quelque chose malheur être bon .",['à quelque chose malheur être bon'],12
"Souvenez-vous: ""A quelque chose malheur est bon.""
","Remember, ""Something bad is good.""
","['Remember, every cloud has a silver lining.\n']",1,"souvenir il : "" à quelque chose malheur être bon . """,['à quelque chose malheur être bon'],12
"Les gens doivent avoir la banane en te voyant.
","People must get bananas when they see you.
","[""People have to be happy that you've arrived.\n""]",1,le gens devoir avoir le banane en lui voir .,['avoir le banane'],12
"J'ai la patate, ce matin.
","I'm hungry this morning.
","[""I'm on top form today.\n""]",1,"il avoir le patate , ce matin .",['avoir le patate'],12
"- Ouais, j'avais la patate.
","- Yeah, I had the potatoes.
","[""You should've seen me.\n""]",1,"- ouais , il avoir le patate .",['avoir le patate'],12
"O.K., vous avez la patate.
","Okay, you've got the potato.
",['Fine. You guys rock.\n'],1,"O.K. , il avoir le patate .",['avoir le patate'],12
"La centrifugeuse d'isotopes a la banane.
","The banana isotope centrifuge.
",['The isotope centrifuge went bananas.\n'],1,le centrifugeuse de isotope avoir le banane .,['avoir le banane'],12
"Les circonstances sont regrettables, mais à quelque chose malheur est bon.
","The circumstances are unfortunate, but something bad is good.
","['The circumstances are unfortunate, but each loss brings opportunity.\n']",1,"le circonstance être regrettable , mais à quelque chose malheur être bon .",['à quelque chose malheur être bon'],12
"à quelque chose malheur est bon.
","Something bad is good.
",['dark clouds do have silver linings.\n'],1,à quelque chose malheur être bon .,['à quelque chose malheur être bon'],12
"j'aurai la banane.
","I'll get the banana.
","[""I'll go bananas.\n""]",1,il avoir le banane .,['avoir le banane'],12
"Il faut battre le fer tant qu'il est chaud.
","You have to beat the iron while it's hot.
",['You gotta strike while the iron is hot.\n'],1,il falloir battre le fer tant que il être chaud .,['battre le fer tant que il être chaud'],11
"Et tu le sais, il faut battre le fer tant qu'il est chaud.
","And as you know, you have to beat the iron while it's hot.
","['And you know, you have to strike while the iron is hot.\n']",1,"et il le savoir , il falloir battre le fer tant que il être chaud .",['battre le fer tant que il être chaud'],11
"- Battons le fer tant qu'il est chaud!
","- Let's beat the iron while it's hot!
",['Strike while the iron is hot!\n'],1,- battre le fer tant que il être chaud !,['battre le fer tant que il être chaud'],11
"Battons le fer tant qu'il est chaud.
","Let's beat the iron while it's hot.
",['We have to act quickly and seize this opportunity.\n'],1,battre le fer tant que il être chaud .,['battre le fer tant que il être chaud'],11
"Ils veulent le capital sur la publicité produite par le Post, nous devons battre le fer tant qu'il est chaud.
","They want the capital on the ad that the Post produces, we have to beat the iron while it's hot.
","[""They want to capitalize on the publicity from The Post, so we have to strike while the iron's hot.\n""]",1,"il vouloir le capital sur le publicité produire par le Post , il devoir battre le fer tant que il être chaud .",['battre le fer tant que il être chaud'],11
"Tu m'as fait une queue de poisson.
","You gave me a fish tail.
","['You cut me off, bitch.\n']",1,il mèr faire un queue de poisson .,['faire un queue de poisson'],10
"Pourquoi est-ce qu'il faut en faire tout un fromage ?
","Why does it have to be such a big deal?
",['Why does it have to be such a big deal?\n'],1,pourquoi être ce que il falloir en faire tout un fromage ?,['en faire tout un fromage'],10
"Ah la vache, c'est le saumon.
","Oh, my God, it's the salmon.
","[""It's the salmon guy!\n""]",1,"ah le vache , ce être le saumon .",['ah le vache'],10
"Ce type m'a fait une queue de poisson.
","This guy gave me a fish tail.
",['The guy cut me off. What was I supposed to do?\n'],1,ce type lui avoir faire un queue de poisson .,['faire un queue de poisson'],10
"Cette stupide bague dont ta famille en fait tout un fromage ?
","That stupid ring your family's making a big deal out of?
","['Oh, that stupid ring that your family holds onto like a bunch of hobbits?\n']",1,ce stupide bague dont ta famille en faire tout un fromage ?,['en faire tout un fromage'],10
"Il t'a fait une queue de poisson sur l'autoroute.
","He gave you a fish tail on the highway.
",['He cut you off on the freeway.\n'],1,il lui avoir faire un queue de poisson sur le autoroute .,['faire un queue de poisson'],10
"Un jour, un type a fait une queue de poisson à Pinker.
","One day, some guy made Pinker a fish tail.
","['One time, this guy cuts Pinker off on the highway.\n']",1,"un jour , un type avoir faire un queue de poisson à Pinker .",['faire un queue de poisson'],10
"Il m'a fait une queue de poisson.
","He gave me a fish tail.
",['- He cut in on me.\n'],1,il lui avoir faire un queue de poisson .,['faire un queue de poisson'],10
"Ouais enfin, on va pas en faire tout un fromage.
","Yeah, well, let's not make a big deal out of it.
","[""Yeah, well, let's not make a big deal out of it.\n""]",1,"ouais enfin , on aller pas en faire tout un fromage .",['en faire tout un fromage'],10
"Salut. Ah la vache, ils sont costauds, ceux-là.
","Oh, my God, they're strong.
","[""Oh my God, who's winning so far?\n""]",1,"salut . ah le vache , il être costaud , celui là .",['ah le vache'],10
"Ah la vache!
","Oh, my God!
",['- Holy moly.\n'],1,ah le vache !,['ah le vache'],10
"Ah la vache !
","Oh, my God!
",['Holy cow!\n'],1,ah le vache !,['ah le vache'],10
"Pourquoi t'en fais tout un fromage ?
","Why are you making such a big deal about this?
",['Why are you making such a big fuss over it?\n'],1,pourquoi lui en faire tout un fromage ?,['en faire tout un fromage'],10
"Je sais pas pourquoi elle en fait tout un fromage.
","I don't know why she's making such a big deal about it.
","[""I don't know why she's making such a big deal out of a wedding.\n""]",1,il savoir pas pourquoi il en faire tout un fromage .,['en faire tout un fromage'],10
"Ah la vache !
","Oh, my God!
",['Holy cow!\n'],1,ah le vache !,['ah le vache'],10
"Qu'elle ramène sa fraise ici.
","Tell her to bring her strawberry here.
",['Have her get her ass over here.\n'],1,que il ramener son fraise ici .,['ramener son fraise'],9
"Bon... s'il ramène sa fraise, ou s'il appelle...
","Well... if he brings his strawberry, or if he calls...
","[""So... if he fuckin' shows up or anything, or if he fuckin' calls.\n""]",1,"bon ... si il ramener son fraise , ou si il appeler ...",['ramener son fraise'],9
"Warwick a ramené sa fraise.
","Warwick brought his strawberry.
",['Warwick came sniffing around.\n'],1,Warwick avoir ramener son fraise .,['ramener son fraise'],9
"Et va savoir qui va ramener sa fraise !
","And who knows who's gonna bring his strawberry?
","[""Who knows who's gonna be coming along in that time?\n""]",1,et aller savoir qui aller ramener son fraise !,['ramener son fraise'],9
"C'est un peu tard pour que ton vagin ramène sa fraise.
","It's a little late for your vagina to get her strawberry back.
",['Bit late in the day for your vagina to chime in.\n'],1,ce être un peu tard pour que son vagin ramener son fraise .,['ramener son fraise'],9
"Ce n'est pas la fin des haricots.
","It's not the end of the beans.
","[""That's the last straw!\n""]",1,ce ne être pas le fin de le haricot .,['le fin de le haricot'],7
"Elle vend la peau de l'ours avant de l'avoir tué.
","She sells the skin of the bear before she kills him.
","[""She's counting her chicks before they're hatched.\n""]",1,il vendre le peau de le our avant de le avoir tuer .,['vendre le peau de le our avant de le avoir tuer'],7
"Il doit faire un froid de canard, en ce moment.
","It must be cold as hell right now.
",['Must be cold as hell this time of year.\n'],1,"il devoir faire un froid de canard , en ce moment .",['un froid de canard'],7
"Un froid de canard.
","Cold as a duck.
",['Freezing cold.\n'],1,un froid de canard .,['un froid de canard'],7
"- Il y fait un froid de canard.
","- It's cold as hell in there.
","[""- Yeah, but it's freezing in there, Dad.\n""]",1,- il y faire un froid de canard .,['un froid de canard'],7
"- ""La fin des haricots."" - Des haricots latins !
","Latin beans!
","['- ""That\'s how the cookie crumbles."" - ln Latin!\n']",1,"- "" le fin de le haricot . "" - un haricot latin !",['le fin de le haricot'],7
"Venez, je vais vous montrer qu'il est fou celui qui vend la peau de l'ours avant de l'avoir tué.
","Come on, I'll show you how crazy it is to sell the skin of a bear before you kill it.
","['Come, I hope to show you clearly how foolish it is to sell the bearskin while the bear is still alive.\n']",1,"venir , il aller il montrer que il être fou celui qui vendre le peau de le our avant de le avoir tuer .",['vendre le peau de le our avant de le avoir tuer'],7
"La fin des haricots !
","The end of the beans!
","[""The whole ride's over.\n""]",1,le fin de le haricot !,['le fin de le haricot'],7
"J'avais déjà gaspillé l'argent que j'avais reçu à ma sortie, et avec ce vent, il faisait un froid de canard.
","I'd already wasted the money I got when I got out, and with this wind, it was cold as hell.
","[""I'd already blown the money they gave me. And the north wind was colder than hell.\n""]",1,"il avoir déjà gaspiller le argent que il avoir recevoir à son sortie , et avec ce vent , il faire un froid de canard .","['il faire un froid de canard', 'un froid de canard']",7
"Je crois que c'est la fin des haricots pour le mollusque à moteur.
","I think that's the end of the beans for the motor mollusk.
",['Looks like the party is over for the motoring mollusk.\n'],1,il croire que ce être le fin de le haricot pour le mollusque à moteur .,"['ce être le fin de le haricot', 'le fin de le haricot']",7
"Sapristi, il fait un froid de canard.
","Wow, it's freezing cold.
","['Oh, Jiminy. It sure turned cold.\n']",1,"Sapristi , il faire un froid de canard .","['il faire un froid de canard', 'un froid de canard']",7
"Je ne veux pas compter nos poussins avant qu'ils éclosent (=vendre la peau de l'ours avant de l'avoir tué)
","I don't want to count our chicks before they hatch.
","[""I don't want to count our chickens before they hatch.\n""]",1,il ne vouloir pas compter son poussin avant que il écloser ( =vendre le peau de le our avant de le avoir tuer ),['vendre le peau de le our avant de le avoir tuer'],7
"C'est la fin des haricots.
","It's the end of the beans.
","[""It's a nail in my coffin.\n""]",1,ce être le fin de le haricot .,"['ce être le fin de le haricot', 'le fin de le haricot']",7
"- Il fait un froid de canard.
","- It's cold as hell.
","[""- It's freezing cold!\n""]",1,- il faire un froid de canard .,"['il faire un froid de canard', 'un froid de canard']",7
"Il fait un froid de canard, ici.
","It's cold as hell in here.
","[""It's freezing here.\n""]",1,"il faire un froid de canard , ici.","['il faire un froid de canard', 'un froid de canard']",7
"Ce n'est pas la fin des haricots...
","It's not the end of the beans...
","[""There, there, Esme. It's not the end of the world.\n""]",1,ce ne être pas le fin de le haricot ...,['le fin de le haricot'],7
"C'est pas la fin des haricots.
","It's not the end of the beans.
","[""listen, uh... It's not the end of the world.\n""]",1,ce être pas le fin de le haricot .,['le fin de le haricot'],7
"Ne pas vendre la peau de l'ours avant de l'avoir tué.
","Don't sell the skin of the bear before you kill it.
",['- No. Cannot sell bearskin before shooting bear.\n'],1,ne pas vendre le peau de le our avant de le avoir tuer .,['vendre le peau de le our avant de le avoir tuer'],7
"Il fait un froid de canard.
","It's cold as hell.
","[""It's colder than a well digger's ass, man.\n""]",1,il faire un froid de canard .,"['il faire un froid de canard', 'un froid de canard']",7
"Comme dit le vieux dicton : il ne faut pas vendre la peau de l'ours avant de l'avoir tué.
","It's like the old saying, you shouldn't sell the skin of a bear before you kill it.
","['I just remembered the old saying, ""Don\'t count your chickens before they hatch.""\n']",1,comme dire le vieux dicton : il ne falloir pas vendre le peau de le our avant de le avoir tuer .,['vendre le peau de le our avant de le avoir tuer'],7
"Il doit faire un froid de canard, à Joliet.
","It must be cold as hell in Joliet.
",['I wonder how cold it is in Joliet.\n'],1,"il devoir faire un froid de canard , à Joliet .",['un froid de canard'],7
"Il y faisait un froid de canard.
","It was cold as a duck.
",['Freezing in there.\n'],1,il y faire un froid de canard .,['un froid de canard'],7
"Quand ils sortent, ça sent le sapin.
","When they come out, it smells like a tree.
","[""Once they're up, that's it.\n""]",1,"quand il sortir , ça sentir le sapin .",['sentir le sapin'],6
"- II sent le sapin!
","- He smells like a tree!
","[""- He knows it's coming!\n""]",1,- II sentir le sapin !,['sentir le sapin'],6
"Ça sent le sapin, mec.
","It smells like a tree, man.
","['That sucks, dude.\n']",1,"ça sentir le sapin , mec .",['sentir le sapin'],6
"C'est comme si j'enfonçais une porte ouverte encore et encore.
","It's like I'm breaking down an open door over and over again.
","[""But that's just stating the obvious over and over.\n""]",1,ce être comme si il enfoncer un porte ouvrir encore et encore .,['enfoncer un porte ouvrir'],6
"Eh bien, au risque d'enfoncer une porte ouverte, c'est fini.
","Well, at the risk of breaking in an open door, it's over.
","[""Well, at the risk of stating the obvious, it's over.\n""]",1,"eh bien , à le risque de enfoncer un porte ouvrir , ce être finir .",['enfoncer un porte ouvrir'],6
"Pour notre ami le Bandit Ça sentait le sapin
","To our friend the Bandit It smelled like a tree
",['And everybody that seen it thought the Bandit was gone\n'],1,pour son ami le Bandit ça sentir le sapin,['sentir le sapin'],6
"C'est enfoncer une porte ouverte, mais, d'accord...
","It's breaking down an open door, but, okay...
","[""That's sort of a given but, yes.\n""]",1,"ce être enfoncer un porte ouvrir , mais , de accord ...",['enfoncer un porte ouvrir'],6
"Tu enfonces une porte ouverte.
","You're breaking down an open door.
","[""Now you're preaching to the choir.\n""]",1,il enfoncer un porte ouvrir .,['enfoncer un porte ouvrir'],6
"Alors je me prends un râteau. Je suppose.
","So I grab a rake, I guess.
","[""Wow, so you're turning me down?\n""]",1,alors il se prendre un râteau . il supposer .,['se prendre un râteau'],5
"Oh oui, pour sûr, on peut la guérir. Sauf que ça coûte un bras de lui sauver un oeil.
","Oh, yeah, sure, we can cure her, except it costs an arm to save an eye.
",['You know what they charge for an eye?\n'],1,"oh oui , pour sûr , on pouvoir le guérir . sauf que ça coûter un bras de lui sauver un oeil .",['ça coûter un bras'],5
