source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Luulin, että ryöstelisimme jo tässä vaiheessa pankkeja - emmekä bensarekkoja jossain Jumalan selän takana.","[""I thought we'd be robbing banks by now, not some gas truck in the middle of nowhere.""]",I thought we&#39;d already be robbing banks at this point - and not gas trucks somewhere behind God&#39;s back.,idiomatic,"luulla , että ryöstellä jo tämä vaihe pankki - ei bensa#rekko jokin Jumala selkä takana .",['vaihe'],9907
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.","[""I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.""]",We can probably say that at this point you went from ditch to ditch.,idiomatic,"voida varmaan sanoa , että tämä vaihe mennä oja allikko .","['vaihe', 'oja allikko']",9907
Maatilalle korven keskelle.,"['Had a farm, middle of nowhere.']",To a farm in the middle of the ear.,idiomatic,maa#tila korvi keskelle .,['korvi'],871
Vain Angela saa kyydin korvessa.,['Only Angela could get a ride in the middle of nowhere.'],Only Angela gets a ride in the ear.,idiomatic,vain Angela saada kyytin korvi .,['korvi'],871
Asut korvessa väärällä nimellä.,"[""You're living in the middle of nowhere under an assumed name. I can help you.""]",You live in Korve under the wrong name.,idiomatic,asua korvi väärä nimi .,['korvi'],871
Olemme kaukana korvessa.,['We are away on the boonies here.'],We are far away.,idiomatic,olla kaukana korvi .,['korvi'],871
"Maalaistalossa, ihan korvessa.","[""Ta-da! I'm in a farmhouse that's miles from anywhere.""]","In a country house, right in the ear.",idiomatic,"maalais#talo , ihan korvi .",['korvi'],871
- Olen hukassa.,"[""I'm lost.""]",- I am lost.,idiomatic,- olla hukassa .,['olla hukassa'],717
Kun kerran käännät kelkkasi olet hukassa.,"[""Once you tergiversate, you're lost.""]","Once you turn your sled, you&#39;re lost.",idiomatic,kun kerran kääntää kelkkasi olla hukassa .,"['olla hukassa', 'kääntää kelkka']",717
"Hän on hukassa, herra. Pakkomielteinen.","[""She's undone, sir.""]","He&#39;s lost, sir. Obsessive.",idiomatic,"hän olla hukassa , herra . pakko#mielteinen .",['olla hukassa'],717
"Jos olet hukassa tässä talossa, mene pelloille.","[""If you're lost in this house go back to the land!""]","If you are lost in this house, go to the fields.",idiomatic,"jos olla hukassa tämä talo , mennä pelto .",['olla hukassa'],717
"llman venepyssyä, olemme hukassa.","[""Without the punt gun, I feel we're lost.""]","Without a boat gun, we&#39;re lost.",idiomatic,"llmata vene#pyssy , olla hukassa .",['olla hukassa'],717
Missä vaiheessa aloit tuntea olevasi hukassa?,['At what point did you begin to feel lost?'],At what point did you start feeling lost?,idiomatic,mikä vaihe alkaa tuntea olla hukassa ?,"['olla hukassa', 'vaihe']",717
-Olen hukassa.,"[""I'm lost.""]",-I am lost.,idiomatic,olla hukassa .,['olla hukassa'],717
Soitit suutasi psykopaattien edessä.,"[""You had to run your mouth in front of psychopaths, didn't you?""]",You played your mouth in front of psychopaths.,idiomatic,soittaa suu psykopaatti edessä .,['soittaa suu'],252
-Älä soita suutasi.,"[""I'll bounce you off the wall, son.""]",-Don&#39;t play with your mouth.,idiomatic,-Älä soittaa suu .,['soittaa suu'],252
"Soitan suutani, mutta sanon harvoin suorat sanat.","['I mean, I talk a good game, but I very rarely tell people what I think to their face.']","I play with my mouth, but I rarely say direct words.",idiomatic,"soittaa suu , mutta sanoa harvoin suora sana .",['soittaa suu'],252
- Älä soita suutasi.,"[""Don't you brash me.""]",- Don&#39;t run your mouth.,idiomatic,- ei soittaa suu .,['soittaa suu'],252
Kuningas osoitti suurta johtajuutta vaarallisessa tilanteessa.,['Yippee. His Majesty showed great leadership in extremely perilous circumstances.'],The king showed great leadership in a dangerous situation.,idiomatic,kuningas osoittaa suuri johtajuus vaarallinen tilanne .,['soittaa suu'],252
Partiz katosi ihmisten ilmoilta.,"['So, Ronnie Partiz now goes deep underground.']",Partiz disappeared from human sight.,idiomatic,partiz kadota ihminen ilma .,['ihminen ilma'],249
Otetaanpas sinut ihmisten ilmoille.,"['Come on, little mate, out you come.']",Let&#39;s introduce you to people.,idiomatic,ottaa sinä ihminen ilma .,['ihminen ilma'],249
"Tapaat naisen, jos lähdet ihmisten ilmoille. Ymmärrätkö?",['You will meet someone if you go out and try to meet people.'],You will meet a woman if you go out in front of people. Do you understand?,idiomatic,"tavata nainen , jos lähteä ihminen ilma . ymmärtää ?",['ihminen ilma'],249
Huhun mukaan olet käynyt enemmän ihmisten ilmoilla.,"[""So, rumor has it, you're getting out more often.""]",Rumor has it that you have visited more people.,idiomatic,huhu mukaan olla käydä enemmän ihminen ilma .,['ihminen ilma'],249
"Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.",['As people with no ID no money no memories do.'],"As a person without ID, - no money, no memories.",idiomatic,"ihminen ilman henkilö#todistus , - ei raha , ei muisto .",['ihminen ilma'],249
Olet lampaiden kasvattama tiikeri.,"[""You're a tiger raised by lambs.""]",You are a tiger raised by sheep.,idiomatic,olla lammas kasvattaa tiikeri .,['olla lammas'],204
Emme ole lampaita!,['- We are not sheep.'],We are not sheep!,idiomatic,ei olla lammas !,['olla lammas'],204
Me olemme lampaiden planeetalla.,"['Here we are, on a planet of sheep.']",We are on the planet of the sheep.,idiomatic,minä olla lammas planeetta .,['olla lammas'],204
"Etsikää oma äänenne. Älkää olko lampaita.""","['""Find your own voice."" ""Don\'t be a sheep.""']",Find your own voice. Don&#39;t be sheep.&quot;,idiomatic,"etsiä oma äänenne . ei olla lammas . """,['olla lammas'],204
-He ovatkin lampaita.,['- Most people are sheep.'],- They are sheep.,idiomatic,-He olla lammas .,['olla lammas'],204
Ehkä hän on pihkassa sinuun.,['Maybe he has a crush on you.'],Maybe he has a crush on you.,idiomatic,ehkä hän olla pihkka sinä .,['pihkka'],161
Ja hän taitaa olla pihkassa sinuun.,"[""Plus, I think she's got a little thing for you.""]",And he seems to have a crush on you.,idiomatic,ja hän taitaa olla pihkka sinä .,['pihkka'],161
Koska olit pihkassa minuun.,"[""'Cause you were into me.""]",Because you were into me.,idiomatic,koska olla pihkka minä .,['pihkka'],161
- Oletko pihkassa Mackenzieen?,['Do you have a crush on Mackenzie? No.'],- Are you going to Mackenzie?,idiomatic,- olla pihkka Mackenzie ?,['pihkka'],161
Olet pihkassa tyttööni.,['You got a thing for my girl.'],You&#39;re in love with my girl.,idiomatic,olla pihkka tyttö .,['pihkka'],161
Se meni putkeen.,"[""- That's right. All the way.""]",It went down the drain.,idiomatic,se mennä putki .,['mennä putki'],131
"Jokin ilmiselvästi meni putkeen, koska tienasitte miljoonan.",['Obviously it was something because you made a million bucks in two months.'],Something obviously went wrong because you made a million.,idiomatic,"jokin ilmiselvästi mennä putki , koska tienata miljoona .",['mennä putki'],131
"No, jos tämä kaikki menee putkeen niin haluan tehdä sen oikein.","['Well, if this all connects, I want to do it right.']","Well, if this all works out, I want to do it right.",idiomatic,"no , jos tämä kaikki mennä putki niin haluta tehdä se oikein .",['mennä putki'],131
"Kun Frank jää kiinni rysän päältä, sinäkin saat oman välitystoimiston.","['Just think, Vanessa, when you catch Frank cheating on you, you can open your own real-estate agency.']","When Frank gets caught red-handed, you too get your own agency.",idiomatic,"kun Frank jäädä kiinni rysä päältä , sinä saada oma välitys#toimisto .",['rysä päältä'],93
Connor on ehkä yllätänyt hänet rysän päältä.,"['Looks like Connor probably, uh, caught him in the act, so...']",Connor may have caught him off guard.,idiomatic,Connor olla ehkä yllättää hän rysä päältä .,['rysä päältä'],93
Jäikö hän kiinni rysän päältä?,"['Oh my God! - What, then you caught her?']",Did he get caught in the crossfire?,idiomatic,jäädä hän kiinni rysä päältä ?,['rysä päältä'],93
Ehkä hän haluaa saada heidät kiinni rysän päältä.,"[""I guess he's trying to catch them at it or...""]",Maybe he wants to catch them red-handed.,idiomatic,ehkä hän haluta saada hän kiinni rysä päältä .,['rysä päältä'],93
Smith jäi kiinni rysän päältä varastaessaan lapsilta.,['Smith was caught red-handed stealing from boys.'],Smith was caught red-handed stealing from children.,idiomatic,Smith jäädä kiinni rysä päältä varastaa lapsi .,['rysä päältä'],93
"Ihan sama minne, kunhan liput ovat kiven alla.","[""Anything hard to get. I don't give a fuck what. Neither will they.""]","It doesn&#39;t matter where, as long as the tickets are under a rock.",idiomatic,"ihan sama minne , kunhan lippu olla kivi alla .",['kivi alla'],91
Vapaaehtoiset ovat kiven alla.,"[""I'm having a tough time finding volunteers.""]",Volunteers are under a rock.,idiomatic,vapaa#ehtoinen olla kivi alla .,['kivi alla'],91
Tietyt tiedot ovat kiven alla.,"[""It's just, some of the information I need, it's like getting blood out of a stone.""]",Certain information is under a rock.,idiomatic,tietty tieto olla kivi alla .,['kivi alla'],91
Vastaukset olivat kiven alla.,['Okay. But he was finding it difficult to get any answers.'],The answers were under a rock.,idiomatic,vastaus olla kivi alla .,['kivi alla'],91
Hyvät miehet ovat kiven alla.,['It is impossible to find a good guy in this city.'],Good men are under a rock.,idiomatic,hyvä mies olla kivi alla .,['kivi alla'],91
Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle.,['It was your class that got Kristen off the cannabis and onto the right track.'],"Thanks to you, Kristen quit drugs and got back on track.",idiomatic,sinä ansio Kriste jättää huume ja palata kaita polku .,['kaita polku'],86
"Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille.","['That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account.']","That we have deviated from the narrow path that the Creator set, and now he is calling us to account.",idiomatic,"että olla poiketa kaita polku , joka luoja asettaa , ja nyt hän laittaa minä tili .",['kaita polku'],86
Useampikin vartija on eksynyt kaidalta polulta.,['Um... I show more than a few prison guards that have strayed from the path of righteousness.'],More than one guard has lost his way from the narrow path.,idiomatic,usea vartija olla eksyä kaita polku .,['kaita polku'],86
Lähden kaidalle polulle.,"[""I'm giving up the trade, going straight.""]",I&#39;m going to the track.,idiomatic,lähteä kaita polku .,['kaita polku'],86
Toivottavasti hän onnistuu pysymään kaidalla polulla.,"['Now, if only she can strike that happy balance between creative curiosity and criminal trespass.']",I hope he manages to stay on the right path.,idiomatic,toivottavasti hän onnistua pysyä kaita polku .,['kaita polku'],86
Se on aidattu ja keskellä ei-mitään.,"[""I don't know. It's in the middle of nowhere. It's all fenced in.""]",It&#39;s gated and in the middle of nowhere.,idiomatic,se olla aidata ja keskellä ei#mitä .,['keskellä ei#mitä'],77
"Aina keskellä ei-mitään, salassa.","['Always in the middle of nowhere, hiding?']","Always in the middle of nowhere, in secret.",idiomatic,"aina keskellä ei#mitä , salassa .",['keskellä ei#mitä'],77
Aika keskellä ei-mitään malariaklinikaksi.,"[""It's kind of in the middle of nowhere, isn't it, for a malaria clinic?""]",Time in the middle of nowhere for a malaria clinic.,idiomatic,aika keskellä ei#mitä malari#akli#nika .,['keskellä ei#mitä'],77
Jos pitää kuolla ennenaikaisesti keskellä ei-mitään teen sen mieluummin sinun kuin muiden kanssa.,"[""If I have to fall to an untimely death in the middle of nowhere, I'd rather do it with you than anyone else.""]","If I have to die prematurely in the middle of nowhere, I&#39;d rather do it with you than anyone else.",idiomatic,jos pitää kuolla ennenaikaisesti keskellä ei#mitä tehdä se mieluummin sinä kuin muu kanssa .,['keskellä ei#mitä'],77
Meidän ei pitäisi tehdä tätä keskellä ei-mitään.,"[""We shouldn't do this in the middle of nowhere.""]",We shouldn&#39;t be doing this in the middle of nowhere.,idiomatic,minä ei pitää tehdä tämä keskellä ei#mitä .,['keskellä ei#mitä'],77
Cheerleaderille pitää kaikki vääntää rautalangasta.,"['Jeez, you gotta spell everything out for the cheerleader.']","For a cheerleader, everything has to be twisted.",idiomatic,Cheerleader pitää kaikki vääntää rauta#lanka .,['vääntää rauta#lanka'],66
- Pitääkö vääntää rautalangasta.,['- Let me connect the dots for you.'],- Do you have to twist the iron wire?,idiomatic,- pitää vääntää rauta#lanka .,['vääntää rauta#lanka'],66
- Pitääkö minun vääntää rautalangasta?,['We should wait for Captain Teitel.'],- Do I have to twist the iron wire?,idiomatic,- pitää minä vääntää rauta#lanka ?,['vääntää rauta#lanka'],66
Väännän rautalangasta.,"[""Maybe I wasn't clear enough.""]",I&#39;m twisting iron wire.,idiomatic,vääntää rauta#lanka .,['vääntää rauta#lanka'],66
Ei tarvitse vääntää rautalangasta.,"[""- You don't have to draw me pictures.""]",No need to twist the iron wire.,idiomatic,ei tarvita vääntää rauta#lanka .,['vääntää rauta#lanka'],66
Lähtekää vetää täältä.,"['All right, get outta here.']",Get out of here.,idiomatic,lähteä vetää täältä .,['lähteä vetää'],63
Lähde vetämään täältä.,['Get out of here.'],Get out of here.,idiomatic,lähteä vetää täältä .,['lähteä vetää'],63
"Selvitä, kuka hänen toimittajansa on, ja lähde vetämään.",['Find out who his supplier is and then get out of there. All right?'],Find out who his editor is and go for it.,idiomatic,"selvitä , kuka hän toimittaja olla , ja lähteä vetää .",['lähteä vetää'],63
Nyt lähti vetämään.,"['Oh! Hey, here we go.']",Now started pulling.,idiomatic,nyt lähteä vetää .,['lähteä vetää'],63
Meidän pitää muutenkin lähtee vetään.,"['Yeah, we gotta bounce anyway.']",We have to leave anyway.,idiomatic,minä pitää muuten lähteä vetää .,['lähteä vetää'],63
Minulla on kana kynittävänä kanssasi.,"[""I've got a bone to pick with you, Detective.""]",I have a chicken to pluck with you.,idiomatic,minä olla kana kynittää kanssa .,['kana kynittää'],58
Minulla on kana kynittävänä.,['I have a score to settle.'],I have a chicken to pluck.,idiomatic,minä olla kana kynittää .,['kana kynittää'],58
- Sinullakin oli kana kynittävänä.,"[""And then there's your beef with her on top of that.""]",- You also had a chicken to pluck.,idiomatic,- sinä olla kana kynittää .,['kana kynittää'],58
Meillä on kana kynittävänä.,"[""I've got a score to settle with you.""]",We have a chicken to pluck.,idiomatic,minä olla kana kynittää .,['kana kynittää'],58
"Jos selviän, minulla on kana kynittävänä kanssasi.","['If I do make it, you and I have unfinished business. Yeah, I know.']","If I make it, I&#39;ll have a chicken to pluck with you.",idiomatic,"jos selvitä , minä olla kana kynittää kanssa .",['kana kynittää'],58
Emme olleet kuin kaksi marjaa.,['Not that Conor and I were peas in a pod.'],We were just two berries.,idiomatic,ei olla kuin kaksi marja .,['kuin kaksi marja'],52
Vanhempi veljeni sekä suojattini ovat kuin kaksi marjaa.,['My older brother and my ward getting along like two peas in a pod.'],My older brother and my protege are like two berries.,idiomatic,vanha veli sekä suojatti olla kuin kaksi marja .,['kuin kaksi marja'],52
He olivat kuin kaksi marjaa.,"['I figured hey, birds of a feather.']",They were like two berries.,idiomatic,hän olla kuin kaksi marja .,['kuin kaksi marja'],52
- Olettekin kuin kaksi marjaa.,"[""Makes sense. You're carbon copies of each other.""]",- You are like two berries.,idiomatic,- olla kuin kaksi marja .,['kuin kaksi marja'],52
"Sano, kuin kaksi marjaa.",['Say two peas in a pod.'],"Say, like two berries.",idiomatic,"sanoa , kuin kaksi marja .",['kuin kaksi marja'],52
