source,hypothesis,references,cond,lemmatized,idioms_in_sents,freq
"En nähnyt metsää puilta.
","I couldn't see the forest for the trees.
","[""I...couldn't see the wood for the trees.\n""]",1,ei nähdä metsä puu .,['ei nähdä metsä puu'],18
"Et näe metsää puilta... Kun kyseessä on perheesi.
","You can't see the forest for the trees... when it comes to your family.
","[""You can't see the forest through the trees, man -- not when it comes to family.\n""]",1,ei nähdä metsä puu ... kun kyse olla perhe .,['ei nähdä metsä puu'],18
"Jotkut eivät näe metsää puilta. Vai mitä, Vincent?
","Some people can't see the forest for the trees, can they, Vincent?
","['I guess some people just see what they wanna see, right, Vincent?\n']",1,"joku ei nähdä metsä puu . vai mikä , Vincent ?",['ei nähdä metsä puu'],18
"Et näe metsää puilta.
","You can't see the forest for the trees.
","[""You get myopic, can't see the forest for the trees.\n""]",1,ei nähdä metsä puu .,['ei nähdä metsä puu'],18
"Siinäpä aasinsilta muistoihin, eikö?
","Well, that's a clue to memories, isn't it?
","[""Now, there's a trip down memory lane.\n""]",1,"siinä aasinsi muisto , ei ?",['aasinsi'],18
"Hevonen karkaa.
","The horse is getting away.
",['Your zipper is open.\n'],1,hevonen karata .,['hevonen karata'],18
"Ja että hevosesi karkaavat?
","And your horses are running away?
",['And that the barn door on your ski suit is open?\n'],1,ja että hevonen karata ?,['hevonen karata'],18
"- Hevoset karkaa!
","- The horses are getting away!
","['- Your flies, Charlie! - Mm?\n']",1,- hevonen karata !,['hevonen karata'],18
"Hevosesi karkaavat.
","Your horses are getting away.
",['Oops.\n'],1,hevonen karata .,['hevonen karata'],18
"- Hevoset karkaavat.
","The horses are getting away.
",['Your pajama thing is a little bit open.\n'],1,- hevonen karata .,['hevonen karata'],18
"Täällä ei ole muuta nerokasta kuin tuo keksimäni aasinsilta.
","There's nothing genius about this place except that segue I invented.
","[""And if anyone's a genius, it's me for the way I brought that full circle.\n""]",1,täällä ei olla muu nerokas kuin tuo keksiä aasinsi .,['aasinsi'],18
"Hieno aasinsilta itsemurhaan.
","That's a great alphabet for suicide.
","['Nice speech, Mr. Hobson. Way to hit the suicide theme.\n']",1,hieno aasinsi itsemurha .,['aasinsi'],18
"Mikä onkin loistava aasinsilta seuraavaan asiaani.
","Which is a great start to my next point.
",['Which brings me to our next order of business.\n'],1,mikä olla loistava aasinsi seuraava asia .,['aasinsi'],18
"Joskus ei näe metsää puilta, vaikka metsä olisi takapihalla.
","Sometimes you can't see the forest for the trees, even if it's in the backyard.
","[""You can't see the forest for the trees... even when the forest is in your own backyard.\n""]",1,"joskus ei nähdä metsä puu , vaikka metsä olla taka#piha .",['ei nähdä metsä puu'],18
"Ja sokerina pohjalla Anne Dettrey, muotitoimittajamme.
","And, last but not least, Anne Dettrey, our fashion editor.
","['And last, as a kind of dessert, Anne Dettrey, our fashion editor.\n']",1,"ja sokeri pohja Anne Dettrey , muoti#toimittaja .",['sokeri pohja'],17
"Ja sokerina pohjalla Sebastian Krajenski.
","And, last but not least, Sebastian Kuchenski.
",['And rounding out the starters: Sebastian Krajenski.\n'],1,ja sokeri pohja Sebastian Krajenski .,['sokeri pohja'],17
"Bougainvilleläiset tapaavat löytää ulos- pääsyn hämmästyttävän itsepintaisesti
","Bougainvilleians tend to find a way out with astonishing stubbornness.
",['Finding a way out is something the Bougainvillians tend to do with startling regularity.\n'],1,bougain#villeläinen tavata löytää ulos pääsy hämmästyttävä itsepintaisesti,['itsepintaisesti'],17
"Ja sokerina pohjalla - ulkona on limusiinikolonna - valmiina viemään meidät - strippiklubille!
","And on top of that, there's a limo train outside ready to take us to a strip club!
",['And last but not least... there is a fleet of limos outside... waiting to take us to... a strip club!\n'],1,ja sokeri pohja - ulkona olla limusiini#kolo - valmis viedä minä - strippi#klubi !,['sokeri pohja'],17
"- Ja sokerina pohjalla:
","And last but not least:
","['Very good, sir. I saved the best for last.\n']",1,- ja sokeri pohja :,['sokeri pohja'],17
"Tämä herra tahtoo itsepintaisesti puhua rouvan kanssa.
","This gentleman is anxious to speak to the lady.
","['This gentleman is most insistent upon speaking to her ladyship, sir.\n']",1,tämä herra tahtoa itsepintaisesti puhua rouva kanssa .,['itsepintaisesti'],17
"Onko korvissanne soinut itsepintaisesti?
","Have you ever heard a stubborn ringing in your ears?
",['Have you been hearing a persistent ringing in your ears? Almost an agreeable ringing?\n'],1,olla korva soida itsepintaisesti ?,['itsepintaisesti'],17
"Silti sinä itsepintaisesti haluat rakastaa minua.
","And yet you want to love me shamelessly.
","[""And yet you're obstinate in your desire to do so.\n""]",1,silti sinä itsepintaisesti haluta rakastaa minä .,['itsepintaisesti'],17
"Siitä lähtien hän itsepintaisesti ja tehokkaasti - alkoi sepittää teoriaa normaalista kuolemasta.
","From then on, he stubbornly and nastily began concocting a theory of normal death.
","['Leaving from there, insistent and superficially, it defended the theory of death for natural causes.\n']",1,se lähtien hän itsepintaisesti ja tehokkaasti - alkaa sepittää teoria normaali kuolema .,['itsepintaisesti'],17
"Ja sokerina pohjalla, - minulla on Lontoon paras äänentoistojärjestelmä.
","And on top of that, I have the best sound system in London.
",['And to top it off... I got the baddest system in all of London.\n'],1,"ja sokeri pohja , - minä olla Lontoo hyvä äänen#toisto#järjestelmä .",['sokeri pohja'],17
"- Olenkin äimän käkenä.
","Yeah, I'm overwhelmed.
","[""- Yeah, well, I'm fucking surprised.\n""]",1,- olla äimän käkenä .,['äimän käkenä'],15
"Olin äimän käkenä.
","I was overwhelmed.
","['I\'m thinking, ""What the hell?""\n']",1,olla äimän käkenä .,['äimän käkenä'],15
"Kaikki elävät koodinmurtajamme ovat äimän käkenä.
","All of our living codebreakers are overwhelmed.
",['All of our living code breakers are absolutely stumped.\n'],1,kaikki elää koodin#murtaja olla äimän käkenä .,['äimän käkenä'],15
"Olen äimän käkenä.
","I'm overwhelmed.
","[""I'm amazed.\n""]",1,olla äimän käkenä .,['äimän käkenä'],15
"Holztmann, olen äimän käkenä.
","Niedertmann, I'm overwhelmed.
","['Holtzmann, I am beyond impressed.\n']",1,"Holztmann , olla äimän käkenä .",['äimän käkenä'],15
"Onko järkesi jäässä, Ante?
","Are you out of your mind, Ante?
","['No, Ante, are you stupid?\n']",1,"olla järki jää , Ante ?",['järki jää'],15
"- Onko sulta perkele järki jäässä?
","Are you out of your fucking mind?
",['Have you gone mad?\n'],1,- olla sinä perkele järki jää ?,['järki jää'],15
"Kannattaa ottaa tilaisuudesta vaarin.
","It's a great opportunity, and you should take it.
",['You have to make the most of it.\n'],1,kannattaa ottaa tilaisuus vaari .,['ottaa tilaisuus vaari'],14
"Jos se oli tahallista, heille tulee tupenrapinat.
","If it was intentional, they're gonna get hurt.
","['If they did it on purpose, they could get in trouble.\n']",1,"jos se olla tahallinen , hän tulla tupen#rapina .",['tulla tupen#rapina'],14
"Nyt tuli tupenrapinat.
","We're going to get it now.
","[""- [ Whimpering Laugh ] Oh, I'm in trouble.\n""]",1,nyt tulla tupen#rapina .,['tulla tupen#rapina'],14
"Ota tilaisuudesta vaarin. Kaikki on täysin laillista.
","Take advantage of the opportunity, it's perfectly legal.
",['I want you to take this opportunity.\n'],1,ottaa tilaisuus vaari . kaikki olla täysin laillinen .,['ottaa tilaisuus vaari'],14
"Mukava nähdä, että otat tilaisuudesta vaarin.
","I'm glad to see you're taking advantage of the opportunity.
","[""Glad to seeyou're taking advantage of the opportunities offered.\n""]",1,"mukava nähdä , että ottaa tilaisuus vaari .",['ottaa tilaisuus vaari'],14
"On otettava tilaisuudesta vaarin.
","We have to take advantage of the situation.
","['And when you have an opportunity, you take it.\n']",1,olla ottaa tilaisuus vaari .,['ottaa tilaisuus vaari'],14
"Minä otan tilaisuudesta vaarin, vaikka lapsia ei kiinnostaisikaan.
","I'll take advantage of it, even if the kids don't care.
","[""Well, I'm gonna take advantage of this opportunity even if you children aren't interested.\n""]",1,"minä ottaa tilaisuus vaari , vaikka lapsi ei kiinnostaa .",['ottaa tilaisuus vaari'],14
"Nyt tuli tupenrapinat!
","This is serious now!
","[""You're gonna regret it!\n""]",1,nyt tulla tupen#rapina !,['tulla tupen#rapina'],14
"Nyt tulee tupenrapinat.
","I'm in for a world of hurt.
","[""He's going to be so angry.\n""]",1,nyt tulla tupen#rapina .,['tulla tupen#rapina'],14
"Nyt tuli tupenrapinat
","We're going to get it now.
",['ROSE! WHAT ARE YOU DOING?\n'],1,nyt tulla tupen#rapina,['tulla tupen#rapina'],14
"Johtuu kai siitä, että rahat meni kankkulan kaivoon.
","I think it's because the money's gone to waste.
","[""I guess it's having just thrown $200,000 into the toilet.\n""]",1,"johtua kai se , että raha mennä kankkula kaivo .",['kankkula kaivo'],12
"Pantavaksi kankkulan kaivoon.
","Buried in a hole in the ground.
","[""He's asking us to fund a wild goose chase.\n""]",1,panna kankkula kaivo .,['kankkula kaivo'],12
"Siis miljoonien dollarien edestä tavaraa kankkulan kaivoon.
","That's millions of dollars worth of merchandise down the drain.
","[""Now, we're talking about millions of dollars of merchandise down the drain.\n""]",1,siis miljoona dollari edestä tavara kankkula kaivo .,['kankkula kaivo'],12
"250 dollaria meni kankkulan kaivoon.
","$250 down the drain.
","[""$250 and we didn't learn a goddamn thing. $250?\n""]",1,250 dollari mennä kankkula kaivo .,['kankkula kaivo'],12
"1900 dollaria kankkulan kaivoon.
","Nine thousand dollars down the drain.
",['Nineteen hundred dollars down the drain.\n'],1,1900 dollari kankkula kaivo .,['kankkula kaivo'],12
"Yrititkö kertoa, että olet taas pieniin päin?
","Were you trying to tell me you're losing it again?
",['You announcing the birth of yet another child?\n'],1,"yrittää kertoa , että olla taas pieni päin ?",['pieni päin'],11
"En minä olekaan pieniin päin.
","I'm not pissed off.
","[""I'm not in the family way after all.\n""]",1,ei minä olla pieni päin .,['pieni päin'],11
"Onnittelu, olet toden totta pieniin päin.
","Congratulations, you really are on a roll.
","['Congratulations. Your test confirms you, in fact, have a baby on the way. How about that?\n']",1,"onnittelu , olla toden totta pieni päin .",['pieni päin'],11
"Betsillä ja minulla on vaikea päästä pieniin päin, jos tajuatte.
","Bets and I are having a hard time getting along, if you know what I mean.
","[""You know, um, well, Betts and I are, uh... We're having a hell of a time getting in a family way, if you catch my drift.\n""]",1,"Betsi ja minä olla vaikea päästä pieni päin , jos tajuta .",['pieni päin'],11
"Pieniin päin.
","Baby steps.
",['Pregnant...\n'],1,pieni päin .,['pieni päin'],11
"He maksavat itsensä kipeäksi.
","They pay for themselves.
","[""In fact, they'll pay through the nose for it.\n""]",1,hän maksaa itse kipeä .,['maksaa itse kipeä'],10
"Maksoimme itsemme kipeiksi siitä.
","We paid you a lot of money for that.
",['- Paid through the nose for it.\n'],1,maksaa itse kipeä se .,['maksaa itse kipeä'],10
"Jos lapsi sattuu sairastumaan, maksat itsesi kipeäksi lääkkeistä.
","If a kid gets sick, you pay for the drugs.
","[""Yeah, well, Fiona already said if I have the baby, she's throwing me out, so I don't even care if we lose the house.\n""]",1,"jos lapsi sattua sairastua , maksaa itse kipeä lääke .",['maksaa itse kipeä'],10
"Maksoin itseni kipeäksi, mutta Alexis innostuu.
","I paid you a lot of money, but Alexis will be thrilled.
",['- Oh. Cost me an arm and a leg but Alexis will be thrilled.\n'],1,"maksaa itse kipeä , mutta Alexis innostua .",['maksaa itse kipeä'],10
"Syyttömiä tuomitaan joskus, vaikka he maksavat itsensä kipeäksi.
","Innocent people get convicted sometimes, even when they pay the price.
","[""There are some people that, no matter how much money they threw at the case, were convicted and shouldn't have been.\n""]",1,"syytön tuomita joskus , vaikka hän maksaa itse kipeä .",['maksaa itse kipeä'],10
"Ei pane tikkuakaan ristiin.
","Doesn't do a damn thing.
",['He does nothing.\n'],1,ei panna tikku ristiin .,['panna tikku ristiin'],9
"Yhdysvallat ei pane tikkua ristiin.
","The United States doesn't do that.
","[""That's my point. The USA isn't going to lift a finger!\n""]",1,Yhdysvallat ei panna tikku ristiin .,['panna tikku ristiin'],9
"Eihän se että minä annan tarkoita että mies panisi tikun ristiin takiani.
","Just because I let him, doesn't mean he's gonna do it for me.
","[""Just because I'm giving doesn't mean I can expect a man to lift a finger for me.\n""]",1,ei se että minä antaa tarkoittaa että mies panna tikku ristiin takia .,['panna tikku ristiin'],9
"Yli 800 ihmistä joutui viime vuonna vampyyrien uhriksi Louisianassa. Viranomaiset eivät pane tikkua ristiin.
","More than 800 people were the victims of vampires in Louisiana last year, and authorities aren't gonna do anything about it.
","[""You know, last year there were over 800 reported vampire-related attacks in Louisiana alone, and the law won't do nothing about it.\n""]",1,yli 800 ihminen joutua viime vuosi vampyyri uhri Louisiana . viran#omainen ei panna tikku ristiin .,['panna tikku ristiin'],9
"Aiotko sietää ryöstöt ja tapot panematta tikkua ristiin?
","You're going to put up with the robberies and the killings without even putting a finger on it?
",['Are you ready to put up with looting and killing without lifting a finger?\n'],1,aikoa sietää ryöstö ja tapota panna tikku ristiin ?,['panna tikku ristiin'],9
"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.
","My client paid for the wedding, and they left him high and dry.
","['In this case, my client paid for the wedding and was hung out to dry.\n']",1,"pää#mies maksaa häät , ja hän jättää kuin nalli kallio .",['nalli kallio'],9
"-Selvä. Jätätkö minut nalliksi kalliolle taas?
","You're gonna leave me hanging on the rocks again?
",['You gonna leave me sitting on my ass like you did yesterday?\n'],1,-Selvä . jättää minä nalli kallio taas ?,['nalli kallio'],9
"Et voi jättää toista kuin nallia kalliolle.
","You can't leave anything but a brick on the cliff.
",['But you cannot just leave someone alone like that!\n'],1,ei voida jättää toinen kuin nalli kallio .,['nalli kallio'],9
"Shane jäi kuin nalli kalliolle! Britit voittivat kirkkaasti!
","Shane didn't stand a chance.
","[""After our first-innings victory, Jeremy decided that for the second challenge, we should re-run a race we'd first tried against the Germans.\n""]",1,Shane jäädä kuin nalli kallio ! britti voittaa kirkkaasti !,['nalli kallio'],9
"Päämieheni maksoi häät, ja hänet jätettiin kuin nalli kalliolle.
","My client paid for the wedding, and they left him high and dry.
","['In this case, my client paid for the wedding and was hung out to dry.\n']",1,"pää#mies maksaa häät , ja hän jättää kuin nalli kallio .",['nalli kallio'],9
