source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
"Kun tulit Los Angelesiin, sinulla ei ollut muuta, kuin matti kukkarossa.","[""You show up to L.A., you got nothin' but your ding-dong in your hands.""]","When you came to Los Angeles, you had nothing but Matti in your purse.",idiomatic,"kun tulla Los Angeles , sinä ei olla muu , kuin matti kukkaro .",['matti kukkaro'],6
"Anteeksi, mutta heroiinia sisältävä kondomi räjähti vatsassani, niin että koko päivä meni pipariksi!","['Well, excuse me, Kimmy. But a condom full of heroin exploded in my stomach, so this whole day has been for the birds!']","Sorry, but the condom containing heroin exploded in my stomach, so the whole day went to hell!",idiomatic,"anteeksi , mutta hero#iini sisältää kondomi räjähtää vatsa , niin että koko päivä mennä pipari !",['mennä pipari'],6
Suunnitelma kariutui ja meni pipariksi.,['The plan just crashed and burned.'],The plan failed and went to pieces.,idiomatic,suunnitelma kariutua ja mennä pipari .,['mennä pipari'],6
Koko homma meni pipariksi! Juokse!,"[""The whole thing's gone in the crapper, kid!""]",The whole thing went haywire! Run!,idiomatic,koko homma mennä pipari ! juosta !,['mennä pipari'],6
Toinenkin yritys meni pipariksi.,"[""-Well, from what I can see, He didn't do a better job the second time.""]",The second attempt also failed.,idiomatic,toinen yritys mennä pipari .,['mennä pipari'],6
Roger voi tykätä kyttyrää.,['- Roger may take a dim view of this...'],Roger may like a hunchback.,idiomatic,Roger voida tykätä kyttyrä .,['tykätä kyttyrä'],6
- Ensimmäinen päiväni meni pipariksi.,"['First day on the job, I lead us straight into an ambush.']",- My first day was a mess.,idiomatic,- ensimmäinen päivä mennä pipari .,['mennä pipari'],6
"Yksi kaveri tykkäsi kyttyrää, koska pelkää minun vievän paikkansa.","[""This kid took umbrage at my presence. 'Cause he thinks I'm gonna take his spot.""]",One guy liked the hunchback because he&#39;s afraid I&#39;ll take his place.,idiomatic,"yksi kaveri tykätä kyttyrä , koska pelätä minä viedä paikka .",['tykätä kyttyrä'],6
Taidat tykätä kyttyrää.,['- Getting a hint of disapproval.'],I guess you like the hunchback.,idiomatic,taitaa tykätä kyttyrä .,['tykätä kyttyrä'],6
Oletko nähnyt Janen vihaisena? Siinä ovat oksat poissa.,['Have you ever seen Jane in full flight?'],Have you seen Jane angry? There the branches are gone.,idiomatic,olla nähdä Jane vihainen ? se olla oksa poissa .,['oksa pois'],6
Kohta tänne sataa faneja niin että oksat pois.,"['Gonna be a lot of fans in here soon, yeah.']","At this point, it&#39;s raining fans so much that you will leave.",idiomatic,kohta tänne sataa fani niin että oksa pois .,['oksa pois'],6
Nousen kohta ylös ja järjestän sellaisen kohtauksen että oksat pois.,"[""Paul, I'm gonna get up and make the biggest scene you can imagine.""]",I&#39;ll get up right away and arrange such a scene that the branches will be removed.,idiomatic,nousta kohta ylös ja järjestää sellainen kohtaus että oksa pois .,['oksa pois'],6
"Minun on paras jäädä, etteivät pomot tykkää kyttyrää.","[""Oh, no, I'd better hang around because if I leave now, it looks bad upstairs.""]","I better stay, the bosses don&#39;t like squatting.",idiomatic,"minä olla hyvä jäädä , että ei pomo tykätä kyttyrä .",['tykätä kyttyrä'],6
"Anna potkut, jos tykkäät kyttyrää.","[""And if you don't like that, you can just fire me.""]",Get fired if you like hunchback.,idiomatic,"antaa potku , jos tykätä kyttyrä .",['tykätä kyttyrä'],6
- Jo alkoi lyyti kirjoittaa.,"[""- Now we're getting somewhere.""]",- Lyyti already started writing.,idiomatic,- jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Älä vedä hernettä nenääsi.,['Give peas a chance. Now come on.'],Don&#39;t pick a pea up your nose.,idiomatic,ei vetää herne nenä .,['vetää herne nenä'],6
- Jo alkaa lyyti kirjoittamaan.,"[""- Well, that's more like it.""]",- Lyyti is already starting to write.,idiomatic,- jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
- No johan alkoi lyyti kirjoittaa.,"[""- Now we're getting someplace.""]","- Well, Johan, Lyyti started to write.",idiomatic,- no jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Jotkut vetävät herneen nenään.,"[""Some people get pissed off, saying we're taking over.""]",Some pull a pea up their nose.,idiomatic,joku vetää herne nenä .,['vetää herne nenä'],6
Jo alkoi Lyyti kirjoittaa.,"[""Now we're getting somewhere.""]",Lyyti already started writing.,idiomatic,jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Jo alkoi lyyti kirjoittaa.,"[""Well, now you're singing a tune that we may dance to.""]",Lyyti already started writing.,idiomatic,jo alkaa lyyti kirjoittaa .,['jo alkaa lyyti kirjoittaa'],6
Älä vedä hernettä nenään.,['Keep your knickers on.'],Don&#39;t pull a pea up your nose.,idiomatic,ei vetää herne nenä .,['vetää herne nenä'],6
"Olen kuin täi tervassa, riskien ympäröimä.","[""I'm a fly in the ointment.""]","I am like a louse in tar, surrounded by risks.",idiomatic,"olla kuin täi terva , riski ympäröimä .",['kuin täi terva'],6
Puolimatkassa Newmar oli jäänyt kuin täi tervaan.,['It was now a race for pride.'],"Halfway through, Newmar was stuck like a louse in tar.",idiomatic,puoli#matka Newmar olla jäädä kuin täi terva .,['kuin täi terva'],6
Herra Tuckeria lainatakseni: Olemme kuin täit tervassa.,"[""To quote our very own Mr Tucker, it means we're dead in the water.""]",To quote Mr. Tucker: We are like lice in tar.,idiomatic,herra Tuckeri lainattaa : olla kuin täi terva .,['kuin täi terva'],6
Sano että olen sivulla 411 ja etenen kuin täi tervassa.,"[""You can tell him this: I'm on page 411 and I have real problems with it.""]",Say I&#39;m on page 411 and I&#39;m making progress like a louse in tar.,idiomatic,sanoa että olla sivu 411 ja edetä kuin täi terva .,['kuin täi terva'],6
Hän veti herneet nenään.,['He was super pissed.'],He pulled peas up his nose.,idiomatic,hän vetää herne nenä .,['vetää herne nenä'],6
Taisi vetää herneen nenään.,['That pissed her off.'],I think he pulled a pea up his nose.,idiomatic,taitaa vetää herne nenä .,['vetää herne nenä'],6
"B.A., tiedämme että sinulla on ruista ranteessasi.","[""And B.A. we know you've got the bulk, baby.""]","BA, we know you have a ring on your wrist.",idiomatic,"B.A. , tietää että sinä olla ruosi ranne .",['ruosi ranne'],5
"B.A., tiedämme että sinulla on ruista ranteessasi.","[""And B.A. we know you've got the bulk, baby.""]","BA, we know you have a ring on your wrist.",idiomatic,"B.A. , tietää että sinä olla ruosi ranne .",['ruosi ranne'],5
- Hänellä on ruista ranteessa.,['She could do anything. Yeah.'],- He has a ring on his wrist.,idiomatic,- hän olla ruosi ranne .,['ruosi ranne'],5
Siinä oli ruista ranteessa.,"['Ooh, is there stuff on that pitch!']",It had rye on the wrist.,idiomatic,se olla ruosi ranne .,['ruosi ranne'],5
Tästä ruista ranteeseen!,['Eat your hearts out!'],From here to the wrist!,idiomatic,tämä ruosi ranne !,['ruosi ranne'],5
Minulla on peukalo keskellä kämmentä.,"[""I'm all thumbs today.""]",I have a thumb in the middle of my palm.,idiomatic,minä olla peukalo keskellä kämmen .,['peukalo keskellä kämmen'],4
"Yritys hyvä kymmenen, vaikka häviäisitte.","['Win or lose, you are giving it your best shot.']","Company good ten, even if you lose.",idiomatic,"yritys hyvä kymmenen , vaikka hävitä .",['yritys hyvä kymmenen'],4
"Yritys hyvä kymmenen, mutta luulenpa että onnemme loppui.","[""A great ride, friend. But I have a feeling it's about over.""]","A good ten, but I think our luck has run out.",idiomatic,"yritys hyvä kymmenen , mutta luulla että onni loppua .",['yritys hyvä kymmenen'],4
Yritys hyvä kymmenen.,"['Then give him an A for effort, Andy.']",Company good ten.,idiomatic,yritys hyvä kymmenen .,['yritys hyvä kymmenen'],4
"Sinulla on peukalo keskellä kämmentä, pappi.","['barrie: You play like a man with ten thumbs, priest.']","You have a thumb in the middle of your palm, priest.",idiomatic,"sinä olla peukalo keskellä kämmen , pappi .",['peukalo keskellä kämmen'],4
"Mutta yritys hyvä kymmenen, vai mitä?","[""We had a damn good fight, didn't we?""]","But try a good ten, eh?",idiomatic,"mutta yritys hyvä kymmenen , vai mikä ?",['yritys hyvä kymmenen'],4
Hänellä on peukalo keskellä kämmentä.,['He seems to be all thumbs.'],He has a thumb in the middle of his palm.,idiomatic,hän olla peukalo keskellä kämmen .,['peukalo keskellä kämmen'],4
Darby halusi olla kukkona tunkiolla.,"['Darby, he wanted to be the ruler of the world, you know?']",Darby wanted to be cocky.,idiomatic,Darby haluta olla kukkona tunkio .,['kukkona tunkio'],4
Pata kattilaa soimaa.,"[""Yeah? Look who's talking.""]",A pot of soima.,idiomatic,pata kattila soida .,['pata kattila soida'],4
-Pata kattilaa soimaa.,['It takes one to know one.'],- Boil a pot of soima.,idiomatic,pata kattila soida .,['pata kattila soida'],4
- Pata kattilaa soimaa.,"[""- Look who's talking.""]",- A pot of soima.,idiomatic,- pata kattila soida .,['pata kattila soida'],4
- Pata kattilaa soimaan!,['Double standards!'],- Let the kettle ring!,idiomatic,- pata kattila soida !,['pata kattila soida'],4
- Kukkona tunkiolla?,"['ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE.']",- As a cock on the prowl?,idiomatic,- kukkona tunkio ?,['kukkona tunkio'],4
Et ole enää kukkona tunkiolla.,"[""You ain't king of shit around here no more.""]",You are no longer a rooster.,idiomatic,ei olla enää kukkona tunkio .,['kukkona tunkio'],4
Hän häärii täällä kukkona tunkiolla.,['He rules the roost around here.'],He&#39;s strutting around here like a rooster.,idiomatic,hän hääriä täällä kukkona tunkio .,['kukkona tunkio'],4
Ja Thomasilla kun on peukalo keskellä kämmentä.,"[""Thomas will be very busy. He's all fingers and thumbs.""]",And Thomas has his thumb in the middle of his palm.,idiomatic,ja Thomas kun olla peukalo keskellä kämmen .,['peukalo keskellä kämmen'],4
"Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","[""It looks worse than it is, it's just that we have a particular house style.""]","It&#39;s okay it doesn&#39;t look like this, but we use a certain style.",idiomatic,"ei hätä olla tämä näköinen , mutta käyttää tietty tyyli .",['ei hätä olla tämä näköinen'],3
Täällähän eletään kuin pellossa.,['Nasty motherfuckers. Got no goddamned home-training.'],Here we live like in a field.,idiomatic,täällä elää kuin pelto .,['elää kuin pelto'],3
Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia.,"[""You'd be like a pig in a barley field, with no control.""]",No one would be able to monitor your spending. You could live like a field without control.,idiomatic,ei kukaan pystyä valvoa raha#käyttö . voida elää kuin pelto ilman kontrolli .,['elää kuin pelto'],3
Eukko elää kuin pellossa.,['Whoa. Homegirl clearly never met a trashcan.'],Eukko lives like a field.,idiomatic,eukko elää kuin pelto .,['elää kuin pelto'],3
Ei hätä ole tämän näköinen.,"[""-Yeah. Don't worry about it.""]",It&#39;s not a problem like this.,idiomatic,ei hätä olla tämä näköinen .,['ei hätä olla tämä näköinen'],3
Et voi lähteä soitellen sotaan avaruusolentoja vastaan.,"[""Fighting Alchemy or Savitar or aliens isn't something you just show up and try.""]",You can&#39;t go to war against aliens by calling.,idiomatic,ei voida lähteä soitella sota avaruus#olento vastaan .,['soitella sota'],3
"Saat käyttöösi tutkia, satelliitteja ja pari lentokonetta. Emme ryntää soitellen sotaan.",['Ground troops are still out.'],"You get to explore, satellites and a couple of planes. We don&#39;t rush into war.",idiomatic,"saada käyttöösi tutkia , satelliitti ja pari lento#kone . ei ryntää soitella sota .",['soitella sota'],3
Elena lähti soitellen sotaan.,"['She went in with no extraction plan, no idea how to find mack.']",Elena went off to war calling.,idiomatic,Elena lähteä soitella sota .,['soitella sota'],3
"Odota, ei hätä ole tämän näköinen.","[""Just hang tight. It's not that bad.""]","Wait, it&#39;s not like this.",idiomatic,"odottaa , ei hätä olla tämä näköinen .",['ei hätä olla tämä näköinen'],3
On kylmä kuin ryssän helvetissä.,"[""Can't tell you. I'm as cold as a witch's tit.""]",It&#39;s cold as hell.,idiomatic,olla kylmä kuin ryssä helvetti .,['kylmä kuin ryssä helvetti'],2
"En halua olla vastarannankiiski, mutta nautin tästä.","[""I think that's the point! I don't mean to be a contrarian, - but I'm enjoying this.""]","I don&#39;t want to be a rant, but I&#39;m enjoying this.",idiomatic,"ei haluta olla vasta#rannan#kiiski , mutta nauttia tämä .",['vasta#rannan#kiiski'],2
Kylmä kuin ryssän helvetissä.,"[""Colder than a witch's titty out there.""]",Cold as hell.,idiomatic,kylmä kuin ryssä helvetti .,['kylmä kuin ryssä helvetti'],2
Miten nenänvalkaisu sujuu?,"[""How's the drying out going?""]",How does nose whitening work?,idiomatic,miten nenän#valkaisu sujua ?,['nenän#valkaisu'],2
"Miten sujuu? -Mikä? No liikunta, tupakkalakko, nenänvalkaisu...","['You know: exercise, no smoking, no drinking...']","How are you getting along? -What? Well, exercise, no smoking, nose whitening...",idiomatic,"miten sujua ? - mikä ? no liikunta , tupakka#lakko , nenän#valkaisu ...",['nenän#valkaisu'],2
"Ed, olet kuin seipään niellyt.","[""Ed... You're like a stick in the mud over here.""]","Ed, it&#39;s like you swallowed a bar of soap.",idiomatic,"Ed , olla kuin seipä niellä .",['kuin seipä niellä'],2
Kuin seipään niellyt.,"['No, not a stuffed fish. A boiled owl.']",Stiff as a ramrod.,idiomatic,kuin seipä niellä .,['kuin seipä niellä'],2
He juoksivat pää kolmantena jalkana.,['They preferred to run.'],They ran the head as the third leg.,idiomatic,hän juosta pää kolmas jalka .,['juosta pää kolmas jalka'],2
Sitten juoksette pää kolmantena jalkana luoksemme.,['Then you flock to us. Huh?'],Then you run headfirst to us.,idiomatic,sitten juosta pää kolmas jalka luos .,['juosta pää kolmas jalka'],2
Minulla ei ole kaikki muumit laaksossa.,"[""You might've noticed I'm a few raisins short of a full scoop.""]",I don&#39;t have all the Moomins in the valley.,idiomatic,minä ei olla kaikki muumi laakso .,['ei olla kaikki muumi laakso'],2
Hänellä ei ole kaikki muumit laaksossa.,"[""She's not in her right mind.""]",He doesn&#39;t have all the Moomins in the valley.,idiomatic,hän ei olla kaikki muumi laakso .,['ei olla kaikki muumi laakso'],2
Et enää erota vastarannankiiskejä.,['No more dismissing anyone who disagrees.'],You don&#39;t separate the opposing sides anymore.,idiomatic,ei enää erota vasta#rannan#kiiski .,['vasta#rannan#kiiski'],2
