source,references,hypothesis,type,lemmatized,idioms_in_sents,freq
On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki.,"[""- I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I..""]",We have to meet Jack.The marriage is falling apart and we are wide open.,idiomatic,olla tavata jack.A#vio#liitto rakoilla ja olla aivan auki .,['auki'],11728
Haluan olla täysin perse auki neljässä sekunnissa.,['I want to be completely broke in the next four secds.'],I want to have my ass wide open in four seconds.,idiomatic,haluta olla täysin perse auki neljä sekunti .,['auki'],11728
"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.","['If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation.']","If you want to keep an open mind, attend a day seminar presenting the 32 steps of handwashing.",idiomatic,"jos haluta pysyä auki , osallistua päivä#seminaari joka esitellä käsi#enpesu 32 vaihe .","['auki', 'vaihe']",11728
"Ehkä se oli väärin, mutta olin persaukinen.","[""Maybe that was wrong, but I was broke, and that's what I did.""]","Maybe it was wrong, but I was an asshole.",idiomatic,"ehkä se olla väärin , mutta olla persaukinen .","['auki', 'persaukinen']",11728
Mitä persaukinen Randy Newman ajattelee asiasta?,"[""What's broke-ass Randy Newman's take on it?""]",What does asshole Randy Newman think about it?,idiomatic,mikä persaukinen Randy Newman ajatella asia ?,"['auki', 'persaukinen']",11728
Meidät putsattiin persaukiseksi.,['They cleaned us out.'],We were cleaned up like an asshole.,idiomatic,minä putsata persaukinen .,"['auki', 'persaukinen']",11728
"Et halua mennä kotiin persaukisena, kun John lyö tämän lyönnin.","[""You don't want to go home broke once John makes this shot.""]",You don't want to go home an asshole when John hits this shot.,idiomatic,"ei haluta mennä koti persaukinen , kun John lyödä tämä lyönti .","['auki', 'persaukinen']",11728
Miten persaukisella olisi varaa 1 500 dollarin aseeseen?,"[""How's a guy that's so broke afford a $1500 handgun?""]","How would an asshole afford a $1,500 gun?",idiomatic,miten persaukinen olla vara 1 500 dollari ase ?,"['auki', 'persaukinen']",11728
Otat riskin Lafayette-aukiolla.,"[""I watch the news. You're going for broke in Lafayette square.""]",You're taking a risk on Lafayette Square.,idiomatic,ottaa riski lafayette#aukio .,['auki'],11728
Olen persauki.,"[""Okay, I'm broke, man.""]",I'm an asshole.,idiomatic,olla persauki .,['auki'],11728
Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,['I caught you stealing a bunch of coins out of the fountain at Logan Circle.'],Mention one other oddity. You got caught stealing coins from the fountain in Logan Square.,idiomatic,mainita yksi toinen kummallisuus . jäädä kiinni rysä päältä varastaa kolikko Logan aukio lähde .,"['auki', 'rysä päältä']",11728
"Luulin, että ryöstelisimme jo tässä vaiheessa pankkeja - emmekä bensarekkoja jossain Jumalan selän takana.","[""I thought we'd be robbing banks by now, not some gas truck in the middle of nowhere.""]",I thought we were already robbing banks at this stage - not petrol stations somewhere behind God's back.,idiomatic,"luulla , että ryöstellä jo tämä vaihe pankki - ei bensa#rekko jokin Jumala selkä takana .",['vaihe'],9907
Maatilalle korven keskelle.,"['Had a farm, middle of nowhere.']",On a farm in the middle of a field.,idiomatic,maa#tila korvi keskelle .,['korvi'],871
Olemme kaukana korvessa.,['We are away on the boonies here.'],We are far out in the wilderness.,idiomatic,olla kaukana korvi .,['korvi'],871
Asut korvessa väärällä nimellä.,"[""You're living in the middle of nowhere under an assumed name. I can help you.""]",You live in the wilderness under a false name.,idiomatic,asua korvi väärä nimi .,['korvi'],871
Vain Angela saa kyydin korvessa.,['Only Angela could get a ride in the middle of nowhere.'],Only Angela gets a ride in the wilderness.,idiomatic,vain Angela saada kyytin korvi .,['korvi'],871
"Maalaistalossa, ihan korvessa.","[""Ta-da! I'm in a farmhouse that's miles from anywhere.""]","In a farmhouse, in the middle of nowhere.",idiomatic,"maalais#talo , ihan korvi .",['korvi'],871
"Hän on hukassa, herra. Pakkomielteinen.","[""She's undone, sir.""]","He's lost, sir. Obsessed.",idiomatic,"hän olla hukassa , herra . pakko#mielteinen .",['olla hukassa'],717
"llman venepyssyä, olemme hukassa.","[""Without the punt gun, I feel we're lost.""]","Without a boat gun, we're lost.",idiomatic,"llmata vene#pyssy , olla hukassa .",['olla hukassa'],717
"Jos olet hukassa tässä talossa, mene pelloille.","[""If you're lost in this house go back to the land!""]","If you are lost in this house, go to the fields.",idiomatic,"jos olla hukassa tämä talo , mennä pelto .",['olla hukassa'],717
-Olen hukassa.,"[""I'm lost.""]",-I'm lost.,idiomatic,olla hukassa .,['olla hukassa'],717
- Olen hukassa.,"[""I'm lost.""]",- I'm lost.,idiomatic,- olla hukassa .,['olla hukassa'],717
Missä vaiheessa aloit tuntea olevasi hukassa?,['At what point did you begin to feel lost?'],At what point did you start to feel lost?,idiomatic,mikä vaihe alkaa tuntea olla hukassa ?,"['olla hukassa', 'vaihe']",717
"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","[""I only want you to know that if you feel like you're under water, if you need to talk, my door is open.""]","If you feel lost - if you want to talk, my door is open.",idiomatic,"jos tuntea olla hukassa , - jos haluta puhua , ovi olla auki .","['olla hukassa', 'auki']",717
Soitit suutasi psykopaattien edessä.,"[""You had to run your mouth in front of psychopaths, didn't you?""]",You were running your mouth in front of psychopaths.,idiomatic,soittaa suu psykopaatti edessä .,['soittaa suu'],252
Kuningas osoitti suurta johtajuutta vaarallisessa tilanteessa.,['Yippee. His Majesty showed great leadership in extremely perilous circumstances.'],The King showed great leadership in a dangerous situation.,idiomatic,kuningas osoittaa suuri johtajuus vaarallinen tilanne .,['soittaa suu'],252
- Älä soita suutasi.,"[""Don't you brash me.""]",- Don't say anything.,idiomatic,- ei soittaa suu .,['soittaa suu'],252
"Soitan suutani, mutta sanon harvoin suorat sanat.","['I mean, I talk a good game, but I very rarely tell people what I think to their face.']","I speak my mind, but I rarely say a straight word.",idiomatic,"soittaa suu , mutta sanoa harvoin suora sana .",['soittaa suu'],252
-Älä soita suutasi.,"[""I'll bounce you off the wall, son.""]",-Don't call your mouth.,idiomatic,-Älä soittaa suu .,['soittaa suu'],252
Huhun mukaan olet käynyt enemmän ihmisten ilmoilla.,"[""So, rumor has it, you're getting out more often.""]",Rumour has it that you've been out in the world more.,idiomatic,huhu mukaan olla käydä enemmän ihminen ilma .,['ihminen ilma'],249
Partiz katosi ihmisten ilmoilta.,"['So, Ronnie Partiz now goes deep underground.']",Partiz disappeared from the public eye.,idiomatic,partiz kadota ihminen ilma .,['ihminen ilma'],249
"Tapaat naisen, jos lähdet ihmisten ilmoille. Ymmärrätkö?",['You will meet someone if you go out and try to meet people.'],You'll meet a woman if you go out in public. Do you understand?,idiomatic,"tavata nainen , jos lähteä ihminen ilma . ymmärtää ?",['ihminen ilma'],249
Otetaanpas sinut ihmisten ilmoille.,"['Come on, little mate, out you come.']",Let's get you out in the open.,idiomatic,ottaa sinä ihminen ilma .,['ihminen ilma'],249
"Ihmisenä ilman henkilötodistusta, - ei rahaa, ei muistojakaan.",['As people with no ID no money no memories do.'],"As a human being with no ID - no money, no memories.",idiomatic,"ihminen ilman henkilö#todistus , - ei raha , ei muisto .",['ihminen ilma'],249
"Etsikää oma äänenne. Älkää olko lampaita.""","['""Find your own voice."" ""Don\'t be a sheep.""']","Find your voice. Don't be sheep.""",idiomatic,"etsiä oma äänenne . ei olla lammas . """,['olla lammas'],204
Olet lampaiden kasvattama tiikeri.,"[""You're a tiger raised by lambs.""]",You are a tiger raised by sheep.,idiomatic,olla lammas kasvattaa tiikeri .,['olla lammas'],204
-He ovatkin lampaita.,['- Most people are sheep.'],-They are sheep.,idiomatic,-He olla lammas .,['olla lammas'],204
Emme ole lampaita!,['- We are not sheep.'],We are not sheep!,idiomatic,ei olla lammas !,['olla lammas'],204
Me olemme lampaiden planeetalla.,"['Here we are, on a planet of sheep.']",We are on a planet of sheep.,idiomatic,minä olla lammas planeetta .,['olla lammas'],204
Olet pihkassa tyttööni.,['You got a thing for my girl.'],You have a crush on my girl.,idiomatic,olla pihkka tyttö .,['pihkka'],161
Koska olit pihkassa minuun.,"[""'Cause you were into me.""]",Because you had a crush on me.,idiomatic,koska olla pihkka minä .,['pihkka'],161
Ja hän taitaa olla pihkassa sinuun.,"[""Plus, I think she's got a little thing for you.""]",And I think he has a crush on you.,idiomatic,ja hän taitaa olla pihkka sinä .,['pihkka'],161
Ehkä hän on pihkassa sinuun.,['Maybe he has a crush on you.'],Maybe he has a crush on you.,idiomatic,ehkä hän olla pihkka sinä .,['pihkka'],161
- Oletko pihkassa Mackenzieen?,['Do you have a crush on Mackenzie? No.'],- Are you a Mackenzie?,idiomatic,- olla pihkka Mackenzie ?,['pihkka'],161
"No, jos tämä kaikki menee putkeen niin haluan tehdä sen oikein.","['Well, if this all connects, I want to do it right.']","Well, if this all goes well, I want to do it right.",idiomatic,"no , jos tämä kaikki mennä putki niin haluta tehdä se oikein .",['mennä putki'],131
Se meni putkeen.,"[""- That's right. All the way.""]",It went well.,idiomatic,se mennä putki .,['mennä putki'],131
"Jokin ilmiselvästi meni putkeen, koska tienasitte miljoonan.",['Obviously it was something because you made a million bucks in two months.'],Something obviously went wrong because you made a million.,idiomatic,"jokin ilmiselvästi mennä putki , koska tienata miljoona .",['mennä putki'],131
Jäikö hän kiinni rysän päältä?,"['Oh my God! - What, then you caught her?']",Did he get caught in the trap?,idiomatic,jäädä hän kiinni rysä päältä ?,['rysä päältä'],93
Connor on ehkä yllätänyt hänet rysän päältä.,"['Looks like Connor probably, uh, caught him in the act, so...']",Connor may have caught him off guard.,idiomatic,Connor olla ehkä yllättää hän rysä päältä .,['rysä päältä'],93
Smith jäi kiinni rysän päältä varastaessaan lapsilta.,['Smith was caught red-handed stealing from boys.'],Smith was caught stealing from children at the end of the trap.,idiomatic,Smith jäädä kiinni rysä päältä varastaa lapsi .,['rysä päältä'],93
Ehkä hän haluaa saada heidät kiinni rysän päältä.,"[""I guess he's trying to catch them at it or...""]",Maybe he wants to catch them off guard.,idiomatic,ehkä hän haluta saada hän kiinni rysä päältä .,['rysä päältä'],93
"Kun Frank jää kiinni rysän päältä, sinäkin saat oman välitystoimiston.","['Just think, Vanessa, when you catch Frank cheating on you, you can open your own real-estate agency.']","When Frank gets caught in the trap, you'll have your own brokerage too.",idiomatic,"kun Frank jäädä kiinni rysä päältä , sinä saada oma välitys#toimisto .",['rysä päältä'],93
"Ihan sama minne, kunhan liput ovat kiven alla.","[""Anything hard to get. I don't give a fuck what. Neither will they.""]","I don't care where, as long as the tickets are under a rock.",idiomatic,"ihan sama minne , kunhan lippu olla kivi alla .",['kivi alla'],91
Hyvät miehet ovat kiven alla.,['It is impossible to find a good guy in this city.'],Good men are under a rock.,idiomatic,hyvä mies olla kivi alla .,['kivi alla'],91
Vapaaehtoiset ovat kiven alla.,"[""I'm having a tough time finding volunteers.""]",Volunteers are under a rock.,idiomatic,vapaa#ehtoinen olla kivi alla .,['kivi alla'],91
Tietyt tiedot ovat kiven alla.,"[""It's just, some of the information I need, it's like getting blood out of a stone.""]",Some information is under a rock.,idiomatic,tietty tieto olla kivi alla .,['kivi alla'],91
Vastaukset olivat kiven alla.,['Okay. But he was finding it difficult to get any answers.'],The answers were set in stone.,idiomatic,vastaus olla kivi alla .,['kivi alla'],91
Sinun ansiostasi Kristen jätti huumeet ja palasi kaidalle polulle.,['It was your class that got Kristen off the cannabis and onto the right track.'],"Thanks to you, Kristen quit drugs and got back on the straight and narrow.",idiomatic,sinä ansio Kriste jättää huume ja palata kaita polku .,['kaita polku'],86
Toivottavasti hän onnistuu pysymään kaidalla polulla.,"['Now, if only she can strike that happy balance between creative curiosity and criminal trespass.']",I hope he manages to stay on track.,idiomatic,toivottavasti hän onnistua pysyä kaita polku .,['kaita polku'],86
"Että olemme poikenneet kaidalta polulta, jonka Luoja asetti, ja nyt hän laittaa meidät tilille.","['That we have departed from the path of righteousness that our lord set out, so now he is holding us to terrible account.']","That we have strayed from the path that the Creator set, and now He is holding us to account.",idiomatic,"että olla poiketa kaita polku , joka luoja asettaa , ja nyt hän laittaa minä tili .",['kaita polku'],86
Useampikin vartija on eksynyt kaidalta polulta.,['Um... I show more than a few prison guards that have strayed from the path of righteousness.'],Several guards have strayed off the beaten track.,idiomatic,usea vartija olla eksyä kaita polku .,['kaita polku'],86
Lähden kaidalle polulle.,"[""I'm giving up the trade, going straight.""]",I'm taking the straight and narrow.,idiomatic,lähteä kaita polku .,['kaita polku'],86
Aika keskellä ei-mitään malariaklinikaksi.,"[""It's kind of in the middle of nowhere, isn't it, for a malaria clinic?""]",Time in the middle of nowhere for a malaria clinic.,idiomatic,aika keskellä ei#mitä malari#akli#nika .,['keskellä ei#mitä'],77
"Aina keskellä ei-mitään, salassa.","['Always in the middle of nowhere, hiding?']","Always in the middle of nowhere, in secret.",idiomatic,"aina keskellä ei#mitä , salassa .",['keskellä ei#mitä'],77
Meidän ei pitäisi tehdä tätä keskellä ei-mitään.,"[""We shouldn't do this in the middle of nowhere.""]",We shouldn't be doing this in the middle of nowhere.,idiomatic,minä ei pitää tehdä tämä keskellä ei#mitä .,['keskellä ei#mitä'],77
Se on aidattu ja keskellä ei-mitään.,"[""I don't know. It's in the middle of nowhere. It's all fenced in.""]",It is fenced and in the middle of nowhere.,idiomatic,se olla aidata ja keskellä ei#mitä .,['keskellä ei#mitä'],77
Jos pitää kuolla ennenaikaisesti keskellä ei-mitään teen sen mieluummin sinun kuin muiden kanssa.,"[""If I have to fall to an untimely death in the middle of nowhere, I'd rather do it with you than anyone else.""]","If I have to die prematurely in the middle of nowhere, I'd rather do it with you than with others.",idiomatic,jos pitää kuolla ennenaikaisesti keskellä ei#mitä tehdä se mieluummin sinä kuin muu kanssa .,['keskellä ei#mitä'],77
Cheerleaderille pitää kaikki vääntää rautalangasta.,"['Jeez, you gotta spell everything out for the cheerleader.']","For a cheerleader, you have to spell everything out.",idiomatic,Cheerleader pitää kaikki vääntää rauta#lanka .,['vääntää rauta#lanka'],66
- Pitääkö vääntää rautalangasta.,['- Let me connect the dots for you.'],- Do I need to spell it out.,idiomatic,- pitää vääntää rauta#lanka .,['vääntää rauta#lanka'],66
- Pitääkö minun vääntää rautalangasta?,['We should wait for Captain Teitel.'],- Do I have to spell it out?,idiomatic,- pitää minä vääntää rauta#lanka ?,['vääntää rauta#lanka'],66
Väännän rautalangasta.,"[""Maybe I wasn't clear enough.""]",I'm spinning a web.,idiomatic,vääntää rauta#lanka .,['vääntää rauta#lanka'],66
Ei tarvitse vääntää rautalangasta.,"[""- You don't have to draw me pictures.""]",There is no need to twist the iron.,idiomatic,ei tarvita vääntää rauta#lanka .,['vääntää rauta#lanka'],66
Lähtekää vetää täältä.,"['All right, get outta here.']",Get the hell out of here.,idiomatic,lähteä vetää täältä .,['lähteä vetää'],63
Lähde vetämään täältä.,['Get out of here.'],Go here to get started.,idiomatic,lähteä vetää täältä .,['lähteä vetää'],63
Nyt lähti vetämään.,"['Oh! Hey, here we go.']",Now it's on.,idiomatic,nyt lähteä vetää .,['lähteä vetää'],63
"Selvitä, kuka hänen toimittajansa on, ja lähde vetämään.",['Find out who his supplier is and then get out of there. All right?'],"Find out who his supplier is, and get to the drawing board.",idiomatic,"selvitä , kuka hän toimittaja olla , ja lähteä vetää .",['lähteä vetää'],63
Meidän pitää muutenkin lähtee vetään.,"['Yeah, we gotta bounce anyway.']",We have to leave anyway.,idiomatic,minä pitää muuten lähteä vetää .,['lähteä vetää'],63
"Jos selviän, minulla on kana kynittävänä kanssasi.","['If I do make it, you and I have unfinished business. Yeah, I know.']","If I survive, I'll have a bone to pick with you.",idiomatic,"jos selvitä , minä olla kana kynittää kanssa .",['kana kynittää'],58
Minulla on kana kynittävänä kanssasi.,"[""I've got a bone to pick with you, Detective.""]",I have a bone to pick with you.,idiomatic,minä olla kana kynittää kanssa .,['kana kynittää'],58
Meillä on kana kynittävänä.,"[""I've got a score to settle with you.""]",We have a chicken to pluck.,idiomatic,minä olla kana kynittää .,['kana kynittää'],58
- Sinullakin oli kana kynittävänä.,"[""And then there's your beef with her on top of that.""]",- You also had a chicken to pluck.,idiomatic,- sinä olla kana kynittää .,['kana kynittää'],58
Minulla on kana kynittävänä.,['I have a score to settle.'],I have a chicken to pluck.,idiomatic,minä olla kana kynittää .,['kana kynittää'],58
Emme olleet kuin kaksi marjaa.,['Not that Conor and I were peas in a pod.'],We were no more than two peas in a pod.,idiomatic,ei olla kuin kaksi marja .,['kuin kaksi marja'],52
Vanhempi veljeni sekä suojattini ovat kuin kaksi marjaa.,['My older brother and my ward getting along like two peas in a pod.'],My older brother and my protégé are like two peas in a pod.,idiomatic,vanha veli sekä suojatti olla kuin kaksi marja .,['kuin kaksi marja'],52
He olivat kuin kaksi marjaa.,"['I figured hey, birds of a feather.']",They were like two peas in a pod.,idiomatic,hän olla kuin kaksi marja .,['kuin kaksi marja'],52
- Olettekin kuin kaksi marjaa.,"[""Makes sense. You're carbon copies of each other.""]",- You are like two berries.,idiomatic,- olla kuin kaksi marja .,['kuin kaksi marja'],52
"Sano, kuin kaksi marjaa.",['Say two peas in a pod.'],"Say, like two berries.",idiomatic,"sanoa , kuin kaksi marja .",['kuin kaksi marja'],52
"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.","[""The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing.""]","The chance of infection increases every second she's open. Plus, you're wasting thousands of dollars standing there with your butt outstretched.",idiomatic,"lnfektio mahdollisuus kasvaa joka sekunti , joka hän olla auki . lisäksi tuhla tuhat dollari , kun seisoa se tumpu suora .","['tumpu suora', 'auki']",36
Kun kerran käännät kelkkasi olet hukassa.,"[""Once you tergiversate, you're lost.""]","Once you turn your sled, you're lost.",idiomatic,kun kerran kääntää kelkkasi olla hukassa .,"['kääntää kelkka', 'olla hukassa']",30
"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.","[""I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.""]",I think it's safe to say that at this point you went from the ditch to the bottom.,idiomatic,"voida varmaan sanoa , että tämä vaihe mennä oja allikko .","['oja allikko', 'vaihe']",22
